date,Median Existing-Home Price / Median Household Income
1984-01-01,3.153
1984-02-01,3.185
1984-03-01,3.202
1984-04-01,3.216
1984-05-01,3.243
1984-06-01,3.274
1984-07-01,3.31
1984-08-01,3.278
1984-09-01,3.207
1984-10-01,3.207
1984-11-01,3.207
1984-12-01,3.216
1985-01-01,3.124
1985-02-01,3.133
1985-03-01,3.158
1985-04-01,3.167
1985-05-01,3.184
1985-06-01,3.239
1985-07-01,3.247
1985-08-01,3.268
1985-09-01,3.213
1985-10-01,3.184
1985-11-01,3.171
1985-12-01,3.196
1986-01-01,3.096
1986-02-01,3.108
1986-03-01,3.205
1986-04-01,3.221
1986-05-01,3.341
1986-06-01,3.317
1986-07-01,3.209
1986-08-01,3.293
1986-09-01,3.225
1986-10-01,3.189
1986-11-01,3.229
1986-12-01,3.245
1987-01-01,3.181
1987-02-01,3.285
1987-03-01,3.269
1987-04-01,3.3
1987-05-01,3.3
1987-06-01,3.296
1987-07-01,3.388
1987-08-01,3.319
1987-09-01,3.281
1987-10-01,3.246
1987-11-01,3.262
1987-12-01,3.277
1988-01-01,3.235
1988-02-01,3.265
1988-03-01,3.265
1988-04-01,3.232
1988-05-01,3.29
1988-06-01,3.313
1988-07-01,3.331
1988-08-01,3.36
1988-09-01,3.25
1988-10-01,3.265
1988-11-01,3.25
1988-12-01,3.257
1989-01-01,2.982
1989-02-01,3.044
1989-03-01,3.051
1989-04-01,3.075
1989-05-01,3.068
1989-06-01,3.099
1989-07-01,3.141
1989-08-01,3.189
1989-09-01,3.12
1989-10-01,3.085
1989-11-01,3.148
1989-12-01,3.113
1990-01-01,3.039
1990-02-01,3.043
1990-03-01,3.1
1990-04-01,3.09
1990-05-01,3.059
1990-06-01,3.196
1990-07-01,3.173
1990-08-01,3.09
1990-09-01,3.066
1990-10-01,2.996
1990-11-01,2.976
1990-12-01,2.973
1991-01-01,3.083
1991-02-01,3.057
1991-03-01,3.173
1991-04-01,3.226
1991-05-01,3.239
1991-06-01,3.279
1991-07-01,3.342
1991-08-01,3.292
1991-09-01,3.223
1991-10-01,3.206
1991-11-01,3.173
1991-12-01,3.233
1992-01-01,3.205
1992-02-01,3.225
1992-03-01,3.26
1992-04-01,3.241
1992-05-01,3.238
1992-06-01,3.306
1992-07-01,3.244
1992-08-01,3.283
1992-09-01,3.251
1992-10-01,3.264
1992-11-01,3.238
1992-12-01,3.254
1993-01-01,3.143
1993-02-01,3.127
1993-03-01,3.198
1993-04-01,3.233
1993-05-01,3.262
1993-06-01,3.393
1993-07-01,3.361
1993-08-01,3.374
1993-09-01,3.335
1993-10-01,3.319
1993-11-01,3.329
1993-12-01,3.348
1994-01-01,3.252
1994-02-01,3.205
1994-03-01,3.236
1994-04-01,3.277
1994-05-01,3.314
1994-06-01,3.425
1994-07-01,3.397
1994-08-01,3.425
1994-09-01,3.311
1994-10-01,3.295
1994-11-01,3.298
1994-12-01,3.323
1995-01-01,3.096
1995-02-01,3.06
1995-03-01,3.093
1995-04-01,3.099
1995-05-01,3.146
1995-06-01,3.327
1995-07-01,3.339
1995-08-01,3.377
1995-09-01,3.304
1995-10-01,3.263
1995-11-01,3.283
1995-12-01,3.278
1996-01-01,3.184
1996-02-01,3.13
1996-03-01,3.19
1996-04-01,3.215
1996-05-01,3.243
1996-06-01,3.373
1996-07-01,3.342
1996-08-01,3.345
1996-09-01,3.266
1996-10-01,3.229
1996-11-01,3.257
1996-12-01,3.294
1997-01-01,3.178
1997-02-01,3.118
1997-03-01,3.178
1997-04-01,3.205
1997-05-01,3.267
1997-06-01,3.364
1997-07-01,3.356
1997-08-01,3.394
1997-09-01,3.345
1997-10-01,3.299
1997-11-01,3.307
1997-12-01,3.348
1998-01-01,3.196
1998-02-01,3.147
1998-03-01,3.204
1998-04-01,3.235
1998-05-01,3.314
1998-06-01,3.376
1998-07-01,3.392
1998-08-01,3.363
1998-09-01,3.327
1998-10-01,3.294
1998-11-01,3.327
1998-12-01,3.304
1999-01-01,3.292
1999-02-01,3.219
1999-03-01,3.292
1999-04-01,3.292
1999-05-01,3.366
1999-06-01,3.489
1999-07-01,3.44
1999-08-01,3.464
1999-09-01,3.44
1999-10-01,3.366
1999-11-01,3.391
1999-12-01,3.391
2000-01-01,3.263
2000-02-01,3.263
2000-03-01,3.31
2000-04-01,3.334
2000-05-01,3.382
2000-06-01,3.453
2000-07-01,3.501
2000-08-01,3.477
2000-09-01,3.501
2000-10-01,3.382
2000-11-01,3.429
2000-12-01,3.453
2001-01-01,3.363
2001-02-01,3.386
2001-03-01,3.481
2001-04-01,3.481
2001-05-01,3.552
2001-06-01,3.718
2001-07-01,3.694
2001-08-01,3.718
2001-09-01,3.623
2001-10-01,3.552
2001-11-01,3.599
2001-12-01,3.765
2002-01-01,3.678
2002-02-01,3.655
2002-03-01,3.726
2002-04-01,3.749
2002-05-01,3.82
2002-06-01,4.032
2002-07-01,3.985
2002-08-01,3.938
2002-09-01,3.891
2002-10-01,3.914
2002-11-01,3.961
2002-12-01,4.032
2003-01-01,3.855
2003-02-01,3.832
2003-03-01,3.901
2003-04-01,3.97
2003-05-01,4.04
2003-06-01,4.247
2003-07-01,4.247
2003-08-01,4.247
2003-09-01,4.178
2003-10-01,4.155
2003-11-01,4.132
2003-12-01,4.271
2004-01-01,4.038
2004-02-01,4.083
2004-03-01,4.128
2004-04-01,4.218
2004-05-01,4.354
2004-06-01,4.557
2004-07-01,4.534
2004-08-01,4.467
2004-09-01,4.467
2004-10-01,4.421
2004-11-01,4.489
2004-12-01,4.534
2005-01-01,4.252
2005-02-01,4.295
2005-03-01,4.382
2005-04-01,4.619
2005-05-01,4.684
2005-06-01,4.943
2005-07-01,4.921
2005-08-01,4.943
2005-09-01,4.856
2005-10-01,4.943
2005-11-01,4.856
2005-12-01,4.792
