date,Altos Total Inventory (SFR + Condo)
2015-01-02,1181261.0
2015-01-09,1138046.0
2015-01-16,1147469.0
2015-01-23,1151680.0
2015-01-30,1159104.0
2015-02-06,1161295.0
2015-02-13,1171640.0
2015-02-20,1180397.0
2015-02-27,1183695.0
2015-03-06,1189349.0
2015-03-13,1200704.0
2015-03-20,1213148.0
2015-03-27,1213876.0
2015-04-03,1245759.0
2015-04-10,1254262.0
2015-04-17,1280957.0
2015-04-24,1300042.0
2015-05-01,1312665.0
2015-05-08,1325391.0
2015-05-15,1357529.0
2015-05-22,1375217.0
2015-05-29,1380058.0
2015-06-05,1382593.0
2015-06-12,1418911.0
2015-06-19,1429684.0
2015-06-26,1436354.0
2015-07-03,1439526.0
2015-07-10,1436616.0
2015-07-17,1451473.0
2015-07-24,1456936.0
2015-07-31,1461896.0
2015-08-07,1446840.0
2015-08-14,1457068.0
2015-08-21,1466475.0
2015-08-28,1469707.0
2015-09-04,1456349.0
2015-09-11,1445816.0
2015-09-18,1455100.0
2015-09-25,1452241.0
2015-10-02,1440218.0
2015-10-09,1418142.0
2015-10-16,1430283.0
2015-10-23,1421749.0
2015-10-30,1419047.0
2015-11-06,1385705.0
2015-11-13,1380291.0
2015-11-20,1364454.0
2015-11-27,1345848.0
2015-12-04,1318320.0
2015-12-11,1281499.0
2015-12-18,1264752.0
2015-12-25,1236106.0
2016-01-01,1216036.0
2016-01-08,1167091.0
2016-01-15,1178891.0
2016-01-22,1164779.0
2016-01-29,1161960.0
2016-02-05,1176799.0
2016-02-12,1178007.0
2016-02-19,1158284.0
2016-02-26,1164864.0
2016-03-04,1157865.0
2016-03-11,1170371.0
2016-03-18,1173895.0
2016-03-25,1175004.0
2016-04-01,1169063.0
2016-04-08,1174080.0
2016-04-15,1191828.0
2016-04-22,1221360.0
2016-04-29,1232538.0
2016-05-06,1229491.0
2016-05-13,1245893.0
2016-05-20,1258242.0
2016-05-27,1271014.0
2016-06-03,1271717.0
2016-06-10,1280263.0
2016-06-17,1301668.0
2016-06-24,1302794.0
2016-07-01,1311032.0
2016-07-08,1301492.0
2016-07-15,1309696.0
2016-07-22,1317910.0
2016-07-29,1319590.0
2016-08-05,1302115.0
2016-08-12,1309310.0
2016-08-19,1298047.0
2016-08-26,1290700.0
2016-09-02,1286786.0
2016-09-09,1271743.0
2016-09-16,1279242.0
2016-09-23,1283561.0
2016-09-30,1273603.0
2016-10-07,1252054.0
2016-10-14,1251763.0
2016-10-21,1246567.0
2016-10-28,1242012.0
2016-11-04,1233471.0
2016-11-11,1211844.0
2016-11-18,1196741.0
2016-11-25,1179019.0
2016-12-02,1158213.0
2016-12-09,1130777.0
2016-12-16,1110722.0
2016-12-23,1086349.0
2016-12-30,1061281.0
2017-01-06,1011214.0
2017-01-13,1013902.0
2017-01-20,1017285.0
2017-01-27,1017367.0
2017-02-03,1019155.0
2017-02-10,1018024.0
2017-02-17,1021067.0
2017-02-24,1027374.0
2017-03-03,1031201.0
2017-03-10,1039713.0
2017-03-17,1052590.0
2017-03-24,1063919.0
2017-03-31,1081656.0
2017-04-07,1083112.0
2017-04-14,1097296.0
2017-04-21,1102600.0
2017-04-28,1118742.0
2017-05-05,1122103.0
2017-05-12,1130606.0
2017-05-19,1153557.0
2017-05-26,1165211.0
2017-06-02,1168220.0
2017-06-09,1177865.0
2017-06-16,1188876.0
2017-06-23,1185682.0
2017-06-30,1199519.0
2017-07-07,1192302.0
2017-07-14,1203575.0
2017-07-21,1214612.0
2017-07-28,1219439.0
2017-08-04,1219885.0
2017-08-11,1207561.0
2017-08-18,1209618.0
2017-08-25,1211836.0
2017-09-01,1203780.0
2017-09-08,1190421.0
2017-09-15,1192615.0
2017-09-22,1192702.0
2017-09-29,1191283.0
2017-10-06,1177342.0
2017-10-13,1189894.0
2017-10-20,1173128.0
2017-10-27,1173977.0
2017-11-03,1164512.0
2017-11-10,1146126.0
2017-11-17,1135788.0
2017-11-24,1116964.0
2017-12-01,1092893.0
2017-12-08,1063257.0
2017-12-15,1049369.0
2017-12-22,1023697.0
2017-12-29,995767.0
2018-01-05,946730.0
2018-01-12,948243.0
2018-01-19,954094.0
2018-01-26,959496.0
2018-02-02,945398.0
2018-02-09,942737.0
2018-02-16,951989.0
2018-02-23,959360.0
2018-03-02,958894.0
2018-03-09,962012.0
2018-03-16,976212.0
2018-03-23,989275.0
2018-03-30,996471.0
2018-04-06,986846.0
2018-04-13,999957.0
2018-04-20,1013905.0
2018-04-27,1019932.0
2018-05-04,1025850.0
2018-05-11,1041167.0
2018-05-18,1056600.0
2018-05-25,1072394.0
2018-06-01,1083732.0
2018-06-08,1093607.0
2018-06-15,1108858.0
2018-06-22,1115797.0
2018-06-29,1127948.0
2018-07-06,1120942.0
2018-07-13,1126322.0
2018-07-20,1140067.0
2018-07-27,1148477.0
2018-08-03,1150799.0
2018-08-10,1142492.0
2018-08-17,1152732.0
2018-08-24,1149824.0
2018-08-31,1148881.0
2018-09-07,1139683.0
2018-09-14,1156404.0
2018-09-21,1162488.0
2018-09-28,1167834.0
2018-10-05,1159727.0
2018-10-12,1164756.0
2018-10-19,1168376.0
2018-10-26,1166552.0
2018-11-02,1161801.0
2018-11-09,1145960.0
2018-11-16,1143991.0
2018-11-23,1132185.0
2018-11-30,1114176.0
2018-12-07,1090739.0
2018-12-14,1077027.0
2018-12-21,1063593.0
2018-12-28,1039264.0
2019-01-04,1002910.0
2019-01-11,1001248.0
2019-01-18,1014637.0
2019-01-25,1017494.0
2019-02-01,1006501.0
2019-02-08,1002296.0
2019-02-15,1011371.0
2019-02-22,1012560.0
2019-03-01,1010925.0
2019-03-08,1010441.0
2019-03-15,1019474.0
2019-03-22,1027167.0
2019-03-29,1031746.0
2019-04-05,1035721.0
2019-04-12,1052838.0
2019-04-19,1067644.0
2019-04-26,1072469.0
2019-05-03,1092662.0
2019-05-10,1104835.0
2019-05-17,1120033.0
2019-05-24,1145473.0
2019-05-31,1157054.0
2019-06-07,1145134.0
2019-06-14,1158462.0
2019-06-21,1171567.0
2019-06-28,1185380.0
2019-07-05,1158088.0
2019-07-12,1159683.0
2019-07-19,1170377.0
2019-07-26,1170581.0
2019-08-02,1171488.0
2019-08-09,1162989.0
2019-08-16,1161354.0
2019-08-23,1156693.0
2019-08-30,1164543.0
2019-09-06,1148661.0
2019-09-13,1159445.0
2019-09-20,1160568.0
2019-09-27,1160947.0
2019-10-04,1152607.0
2019-10-11,1146804.0
2019-10-18,1134138.0
2019-10-25,1126029.0
2019-11-01,1115817.0
2019-11-08,1092484.0
2019-11-15,1083936.0
2019-11-22,1068631.0
2019-11-29,1046539.0
2019-12-06,1017687.0
2019-12-13,1003815.0
2019-12-20,983108.0
2019-12-27,957569.0
2020-01-03,933911.0
2020-01-10,904798.0
2020-01-17,907893.0
2020-01-24,903759.0
2020-01-31,900867.0
2020-02-07,884412.0
2020-02-14,891739.0
2020-02-21,889125.0
2020-02-28,893319.0
2020-03-06,889325.0
2020-03-13,904717.0
2020-03-20,915187.0
2020-03-27,926322.0
2020-04-03,932214.0
2020-04-10,930044.0
2020-04-17,929679.0
2020-04-24,926857.0
2020-05-01,916765.0
2020-05-08,909791.0
2020-05-15,908125.0
2020-05-22,903891.0
2020-05-29,898871.0
2020-06-05,882942.0
2020-06-12,875173.0
2020-06-19,863969.0
2020-06-26,849888.0
2020-07-03,838049.0
2020-07-10,822142.0
2020-07-17,814401.0
2020-07-24,807457.0
2020-07-31,794975.0
2020-08-07,783310.0
2020-08-14,774286.0
2020-08-21,766348.0
2020-08-28,764122.0
2020-09-04,754744.0
2020-09-11,748684.0
2020-09-18,744534.0
2020-09-25,739241.0
2020-10-02,733151.0
2020-10-09,724014.0
2020-10-16,724955.0
2020-10-23,719704.0
2020-10-30,712459.0
2020-11-06,696587.0
2020-11-13,691248.0
2020-11-20,683585.0
2020-11-27,665125.0
2020-12-04,642325.0
2020-12-11,626299.0
2020-12-18,608557.0
2020-12-25,586715.0
2021-01-01,562446.0
2021-01-08,533389.0
2021-01-15,523283.0
2021-01-22,510612.0
2021-01-29,494560.0
2021-02-05,479398.0
2021-02-12,465289.0
2021-02-19,458098.0
2021-02-26,443161.0
2021-03-05,432338.0
2021-03-12,430266.0
2021-03-19,427642.0
2021-03-26,423440.0
2021-04-02,419066.0
2021-04-09,412249.0
2021-04-16,417634.0
2021-04-23,417759.0
2021-04-30,412512.0
2021-05-07,415607.0
2021-05-14,417516.0
2021-05-21,427970.0
2021-05-28,431202.0
2021-06-04,432655.0
2021-06-11,447219.0
2021-06-18,459001.0
2021-06-25,464894.0
2021-07-02,479923.0
2021-07-09,477789.0
2021-07-16,498473.0
2021-07-23,510397.0
2021-07-30,517521.0
2021-08-06,523041.0
2021-08-13,535030.0
2021-08-20,545343.0
2021-08-27,543245.0
2021-09-03,549153.0
2021-09-10,541362.0
2021-09-17,548718.0
2021-09-24,544859.0
2021-10-01,539752.0
2021-10-08,536575.0
2021-10-15,533728.0
2021-10-22,530957.0
2021-10-29,520061.0
2021-11-05,502332.0
2021-11-12,493563.0
2021-11-19,482186.0
2021-11-26,469980.0
2021-12-03,439243.0
2021-12-10,425355.0
2021-12-17,409529.0
2021-12-24,389824.0
2021-12-31,369359.0
2022-01-07,366712.0
2022-01-14,356744.0
2022-01-21,348192.0
2022-01-28,341383.0
2022-02-04,323088.0
2022-02-11,315546.0
2022-02-18,313543.0
2022-02-25,309519.0
2022-03-04,305138.0
2022-03-11,313003.0
2022-03-18,311821.0
2022-03-25,318455.0
2022-04-01,319743.0
2022-04-08,326690.0
2022-04-15,338385.0
2022-04-22,342946.0
2022-04-29,361665.0
2022-05-06,376524.0
2022-05-13,391666.0
2022-05-20,421583.0
2022-05-27,444547.0
2022-06-03,456510.0
2022-06-10,485477.0
2022-06-17,513004.0
2022-06-24,543175.0
2022-07-01,579429.0
2022-07-08,595906.0
2022-07-15,620878.0
2022-07-22,640167.0
2022-07-29,654202.0
2022-08-05,659532.0
2022-08-12,667473.0
2022-08-19,668929.0
2022-08-26,673224.0
2022-09-02,669611.0
2022-09-09,661688.0
2022-09-16,668590.0
2022-09-23,675216.0
2022-09-30,680684.0
2022-10-07,680476.0
2022-10-14,685777.0
2022-10-21,692973.0
2022-10-28,699174.0
2022-11-04,695925.0
2022-11-11,691978.0
2022-11-18,689362.0
2022-11-25,683479.0
2022-12-02,666457.0
2022-12-09,650651.0
2022-12-16,634767.0
2022-12-23,620003.0
2022-12-30,598960.0
2023-01-06,575537.0
2023-01-13,578524.0
2023-01-20,580195.0
2023-01-27,573185.0
2023-02-03,564000.0
2023-02-10,548848.0
2023-02-17,541767.0
2023-02-24,534988.0
2023-03-03,522759.0
2023-03-10,515709.0
2023-03-17,518028.0
2023-03-24,517198.0
2023-03-31,513859.0
2023-04-07,514743.0
2023-04-14,508603.0
2023-04-21,518618.0
2023-04-28,527064.0
2023-05-05,525061.0
2023-05-12,526227.0
2023-05-19,531681.0
2023-05-26,542864.0
2023-06-02,546090.0
2023-06-09,553770.0
2023-06-16,562470.0
2023-06-23,572697.0
2023-06-30,578671.0
2023-07-07,576909.0
2023-07-14,581357.0
2023-07-21,591439.0
2023-07-28,597258.0
2023-08-04,599520.0
2023-08-11,604446.0
2023-08-18,609866.0
2023-08-25,617373.0
2023-09-01,625027.0
2023-09-08,625129.0
2023-09-15,638542.0
2023-09-22,650923.0
2023-09-29,658278.0
2023-10-06,661421.0
2023-10-13,673970.0
2023-10-20,684778.0
2023-10-27,695197.0
2023-11-03,701384.0
2023-11-10,702590.0
2023-11-17,707226.0
2023-11-24,703329.0
2023-12-01,691785.0
2023-12-08,681933.0
2023-12-15,673896.0
2023-12-22,662460.0
2023-12-29,643205.0
2024-01-05,627118.0
2024-01-12,637110.0
2024-01-19,641225.0
2024-01-26,639917.0
2024-02-02,634280.0
2024-02-09,633218.0
2024-02-16,633971.0
2024-02-23,639560.0
2024-03-01,641417.0
2024-03-08,645716.0
2024-03-15,654453.0
2024-03-22,663519.0
2024-03-29,669790.0
2024-04-05,664197.0
2024-04-12,681267.0
2024-04-19,701429.0
2024-04-26,719062.0
2024-05-03,724514.0
2024-05-10,735481.0
2024-05-17,747489.0
2024-05-24,767293.0
2024-05-31,779533.0
2024-06-07,783998.0
2024-06-14,793633.0
2024-06-21,808858.0
2024-06-28,822580.0
2024-07-05,828658.0
2024-07-12,827180.0
2024-07-19,847815.0
2024-07-26,857950.0
2024-08-02,865126.0
2024-08-09,874556.0
2024-08-16,879176.0
2024-08-23,886250.0
2024-08-30,884358.0
2024-09-06,883906.0
2024-09-13,898505.0
2024-09-20,912526.0
2024-09-27,920356.0
2024-10-04,925418.0
2024-10-11,923514.0
2024-10-18,932766.0
2024-10-25,929104.0
2024-11-01,929384.0
2024-11-08,912088.0
2024-11-15,914101.0
2024-11-22,910952.0
2024-11-29,896520.0
2024-12-06,876336.0
2024-12-13,867701.0
2024-12-20,850264.0
2024-12-27,829892.0
2025-01-03,810923.0
2025-01-10,796708.0
2025-01-17,809190.0
2025-01-24,817359.0
2025-01-31,817992.0
2025-02-07,816462.0
2025-02-14,825902.0
2025-02-21,831058.0
2025-02-28,832288.0
2025-03-07,836936.0
2025-03-14,855415.0
2025-03-21,872053.0
2025-03-28,882819.0
2025-04-04,902854.0
2025-04-11,916833.0
2025-04-18,938377.0
