date,Altos New Listings (SFR + Condo),Altos New Listings 4-Week Avg (SFR + Condo),Altos New Listings 13-Week Avg (SFR + Condo)
2015-01-02,26959.0,,63499.46153846153
2015-01-09,49650.0,,61251.92307692308
2015-01-16,67431.0,,60279.153846153844
2015-01-23,70335.0,53593.8,58778.307692307695
2015-01-30,74661.0,65519.2,59068.07692307692
2015-02-06,96063.0,77122.5,62222.153846153844
2015-02-13,84271.0,81332.5,62791.23076923077
2015-02-20,82951.0,84486.5,64050.07692307692
2015-02-27,95880.0,89791.2,66497.38461538461
2015-03-06,98105.0,90301.8,69918.84615384616
2015-03-13,83324.0,90065.0,71849.69230769231
2015-03-20,101055.0,94591.0,75328.53846153847
2015-03-27,134290.0,104193.5,80527.53846153847
2015-04-03,99581.0,104562.5,86148.84615384616
2015-04-10,106939.0,110466.2,90616.53846153847
2015-04-17,117894.0,114676.0,94587.38461538461
2015-04-24,109634.0,108512.0,97712.23076923077
2015-05-01,107394.0,110465.2,100339.92307692306
2015-05-08,115903.0,112706.2,102116.46153846153
2015-05-15,119713.0,113161.0,104961.15384615384
2015-05-22,110836.0,113461.5,107222.07692307692
2015-05-29,93734.0,110046.5,107185.53846153847
2015-06-05,112873.0,109289.0,108470.23076923078
2015-06-12,131487.0,112232.5,112291.30769230769
2015-06-19,107238.0,111333.0,112885.84615384616
2015-06-26,103358.0,113739.0,110506.46153846155
2015-07-03,100380.0,110615.8,110567.92307692306
2015-07-10,96279.0,101813.8,109747.92307692308
2015-07-17,108169.0,102046.5,108999.84615384616
2015-07-24,95167.0,99998.8,107887.0
2015-07-31,107899.0,101878.5,107925.84615384616
2015-08-07,84697.0,98983.0,105525.38461538462
2015-08-14,108137.0,98975.0,104634.92307692306
2015-08-21,95372.0,99026.2,103445.38461538461
2015-08-28,91123.0,94832.2,103244.53846153847
2015-09-04,92583.0,96803.8,101683.76923076922
2015-09-11,85144.0,91055.5,98118.92307692306
2015-09-18,96522.0,91343.0,97294.61538461539
2015-09-25,89980.0,91057.2,96265.53846153845
2015-10-02,87545.0,89797.8,95278.23076923078
2015-10-09,84479.0,89631.5,94370.53846153847
2015-10-16,91375.0,88344.8,93078.6923076923
2015-10-23,82072.0,86367.8,92071.38461538462
2015-10-30,79051.0,84244.2,89852.30769230769
2015-11-06,76213.0,82177.8,89199.69230769231
2015-11-13,82517.0,79963.2,87228.92307692308
2015-11-20,73930.0,77927.8,85579.53846153847
2015-11-27,60092.0,73188.0,83192.53846153847
2015-12-04,54580.0,67779.8,80269.23076923077
2015-12-11,76073.0,66168.8,79571.46153846155
2015-12-18,61279.0,63006.0,76860.46153846153
2015-12-25,50331.0,60565.8,73810.53846153847
2016-01-01,32363.0,55011.5,69565.76923076923
2016-01-08,46303.0,47569.0,66629.15384615384
2016-01-15,73734.0,50682.8,65272.153846153844
2016-01-22,90428.0,60707.0,65914.92307692308
2016-01-29,69951.0,70104.0,65214.92307692308
2016-02-05,91163.0,81319.0,66364.92307692308
2016-02-12,71782.0,80831.0,65539.15384615384
2016-02-19,82789.0,78921.2,66220.61538461538
2016-02-26,98069.0,85950.8,69141.92307692308
2016-03-04,89950.0,85647.5,71862.69230769231
2016-03-11,99430.0,92559.5,73659.38461538461
2016-03-18,108252.0,98925.2,77272.69230769231
2016-03-25,94779.0,98102.8,80691.76923076922
2016-04-01,90447.0,98227.0,85159.76923076922
2016-04-08,105392.0,99717.5,89705.07692307691
2016-04-15,106671.0,99322.2,92238.6923076923
2016-04-22,116613.0,104780.8,94252.92307692308
2016-04-29,99607.0,107070.8,96534.15384615384
2016-05-06,107802.0,107673.2,97814.07692307694
2016-05-13,102045.0,106516.8,100142.0
2016-05-20,110897.0,105087.8,102304.15384615384
2016-05-27,109729.0,107618.2,103201.07692307692
2016-06-03,92171.0,103710.5,103371.92307692306
2016-06-10,113780.0,106644.2,104475.76923076923
2016-06-17,128457.0,111034.2,106030.0
2016-06-24,93131.0,106884.8,105903.23076923077
2016-07-01,98312.0,108420.0,106508.23076923077
2016-07-08,95371.0,103817.8,105737.38461538462
2016-07-15,114440.0,100313.5,106335.0
2016-07-22,99973.0,102024.0,105055.0
2016-07-29,98849.0,102158.2,104996.69230769231
2016-08-05,94425.0,101921.8,103967.69230769231
2016-08-12,104076.0,99330.8,104123.92307692306
2016-08-19,83045.0,95098.8,101981.46153846153
2016-08-26,87154.0,92175.0,100244.92307692308
2016-09-02,86009.0,90071.0,99770.92307692309
2016-09-09,80496.0,84176.0,97210.61538461539
2016-09-16,89687.0,85836.5,94228.30769230769
2016-09-23,85909.0,85525.2,93672.76923076922
2016-09-30,96554.0,88161.5,93537.53846153845
2016-10-07,86552.0,89675.5,92859.15384615384
2016-10-14,68062.0,84269.2,89291.61538461538
2016-10-21,90622.0,85447.5,88572.3076923077
2016-10-28,72425.0,79415.2,86539.6923076923
2016-11-04,83779.0,78722.0,85720.76923076922
2016-11-11,69050.0,78969.0,83026.46153846153
2016-11-18,69485.0,73684.8,81983.38461538462
2016-11-25,64361.0,71668.8,80230.07692307692
2016-12-02,45826.0,62180.5,77139.07692307692
2016-12-09,73943.0,63403.8,76635.0
2016-12-16,49085.0,58303.8,73511.76923076923
2016-12-23,50402.0,54814.0,70780.46153846153
2016-12-30,33234.0,51666.0,65909.69230769231
2017-01-06,38466.0,42796.8,62210.769230769234
2017-01-13,54750.0,44213.0,61186.769230769234
2017-01-20,71634.0,49521.0,59726.15384615385
2017-01-27,66810.0,57915.0,59294.230769230766
2017-02-03,72082.0,66319.0,58394.461538461546
2017-02-10,88615.0,74785.2,59899.46153846154
2017-02-17,84090.0,77899.2,61022.92307692308
2017-02-24,79648.0,81108.8,62198.846153846156
2017-03-03,76800.0,82288.2,64581.46153846154
2017-03-10,100372.0,85227.5,66614.46153846155
2017-03-17,97930.0,88687.5,70371.76923076923
2017-03-24,98438.0,93385.0,74066.84615384616
2017-03-31,110134.0,101718.5,79982.23076923077
2017-04-07,105970.0,103118.0,85174.84615384616
2017-04-14,95077.0,102404.8,88276.92307692306
2017-04-21,95333.0,101628.5,90099.92307692308
2017-04-28,107769.0,101037.2,93250.61538461538
2017-05-05,124901.0,105770.0,97313.61538461538
2017-05-12,111596.0,109899.8,99081.38461538462
2017-05-19,110019.0,113571.2,101075.92307692308
2017-05-26,89093.0,108902.2,101802.46153846155
2017-06-02,104856.0,103891.0,103960.61538461538
2017-06-09,108107.0,103018.8,104555.61538461538
2017-06-16,107032.0,102272.0,105255.76923076922
2017-06-23,103642.0,105909.2,105656.07692307692
2017-06-30,105099.0,105970.0,105268.76923076923
2017-07-07,100345.0,104029.5,104836.07692307692
2017-07-14,87027.0,99028.2,104216.84615384616
2017-07-21,102971.0,98860.5,104804.38461538461
2017-07-28,99664.0,97501.8,104180.92307692308
2017-08-04,102368.0,98007.5,102447.61538461539
2017-08-11,103056.0,102014.8,101790.69230769231
2017-08-18,95921.0,100252.2,100706.23076923077
2017-08-25,100084.0,100357.2,101551.69230769231
2017-09-01,95093.0,98538.5,100800.69230769231
2017-09-08,89368.0,95116.5,99359.23076923077
2017-09-15,74004.0,89637.2,96818.61538461539
2017-09-22,83582.0,85511.8,95275.53846153847
2017-09-29,87237.0,83547.8,93901.53846153847
2017-10-06,83871.0,82173.5,92634.30769230769
2017-10-13,93454.0,87036.0,93128.69230769231
2017-10-20,83544.0,87026.5,91634.30769230769
2017-10-27,79921.0,85197.5,90115.61538461539
2017-11-03,76767.0,83421.5,88146.30769230769
2017-11-10,82289.0,80630.2,86548.84615384616
2017-11-17,77855.0,79208.0,85159.15384615384
2017-11-24,70391.0,76825.5,82875.07692307694
2017-12-01,44809.0,68836.0,79007.07692307692
2017-12-08,69811.0,65716.5,77502.69230769231
2017-12-15,56990.0,60500.2,76193.92307692308
2017-12-22,55158.0,56692.0,74007.46153846153
2017-12-29,33709.0,53917.0,69889.92307692308
2018-01-05,32754.0,44652.8,65957.84615384616
2018-01-12,58700.0,45080.2,63284.46153846154
2018-01-19,66435.0,47899.5,61968.38461538462
2018-01-26,72160.0,57512.2,61371.38461538462
2018-02-02,74329.0,67906.0,61183.846153846156
2018-02-09,83343.0,74066.8,61264.92307692308
2018-02-16,80727.0,77639.8,61485.84615384615
2018-02-23,80746.0,79786.2,62282.38461538461
2018-03-02,79545.0,81090.2,64954.38461538461
2018-03-09,102085.0,85775.8,67437.0
2018-03-16,101111.0,90871.8,70830.92307692308
2018-03-23,96055.0,94699.0,73976.84615384616
2018-03-30,99559.0,99702.5,79042.23076923077
2018-04-06,87045.0,95942.5,83218.46153846153
2018-04-13,105610.0,97067.2,86826.92307692308
2018-04-20,106444.0,99664.5,89904.53846153845
2018-04-27,107026.0,101531.2,92586.53846153847
2018-05-04,106534.0,106403.5,95063.84615384616
2018-05-11,112277.0,108070.2,97289.53846153847
2018-05-18,105167.0,107751.0,99169.53846153847
2018-05-25,111597.0,108893.8,101542.69230769231
2018-06-01,95698.0,106184.8,102785.23076923078
2018-06-08,110812.0,105818.5,103456.53846153847
2018-06-15,110644.0,107187.8,104189.84615384616
2018-06-22,107954.0,106277.0,105105.15384615384
2018-06-29,120310.0,112430.0,106701.38461538461
2018-07-06,93954.0,108215.5,107232.84615384616
2018-07-13,86821.0,102259.8,105787.53846153845
2018-07-20,103795.0,101220.0,105583.76923076923
2018-07-27,105020.0,97397.5,105429.46153846153
2018-08-03,91343.0,96744.8,104260.92307692308
2018-08-10,111671.0,102957.2,104214.30769230769
2018-08-17,95900.0,100983.5,103501.46153846155
2018-08-24,94877.0,98447.8,102215.30769230769
2018-08-31,87259.0,97426.8,101566.15384615384
2018-09-07,80220.0,89564.0,99212.92307692308
2018-09-14,99015.0,90342.8,98318.38461538461
2018-09-21,87992.0,88621.5,96782.84615384616
2018-09-28,86212.0,88359.8,94159.92307692308
2018-10-05,92288.0,91376.8,94031.76923076923
2018-10-12,88783.0,88818.8,94182.6923076923
2018-10-19,84127.0,87852.5,92669.76923076922
2018-10-26,82973.0,87042.8,90973.84615384616
2018-11-02,81208.0,84272.8,90194.23076923077
2018-11-09,83424.0,82933.0,88021.38461538461
2018-11-16,78985.0,81647.5,86720.23076923078
2018-11-23,70685.0,78575.5,84859.30769230769
2018-11-30,43662.0,69189.0,81505.69230769231
2018-12-07,67342.0,65168.5,80515.07692307692
2018-12-14,60660.0,60587.2,77564.69230769231
2018-12-21,58830.0,57623.5,75321.46153846153
2018-12-28,38742.0,56393.5,71669.92307692308
2019-01-04,29505.0,46934.2,66840.46153846155
2019-01-11,60978.0,47013.8,64701.61538461538
2019-01-18,83967.0,53298.0,64689.307692307695
2019-01-25,65698.0,60037.0,63360.46153846154
2019-02-01,87252.0,74473.8,63825.38461538462
2019-02-08,68288.0,76301.2,62661.07692307692
2019-02-15,82150.0,75847.0,62904.53846153847
2019-02-22,75419.0,78277.2,63268.692307692305
2019-03-01,79227.0,76271.0,66004.46153846153
2019-03-08,92420.0,82304.0,67933.53846153847
2019-03-15,90625.0,84422.8,70238.53846153847
2019-03-22,92606.0,88719.5,72836.69230769231
2019-03-29,94039.0,92422.5,77090.30769230769
2019-04-05,103386.0,95164.0,82773.46153846153
2019-04-12,108486.0,99629.2,86427.92307692308
2019-04-19,106826.0,103184.2,88186.30769230769
2019-04-26,98436.0,104283.5,90704.61538461539
2019-05-03,110395.0,106035.8,92484.84615384616
2019-05-10,113874.0,107382.8,95991.46153846153
2019-05-17,108747.0,107863.0,98037.38461538461
2019-05-24,121189.0,113551.2,101558.15384615384
2019-05-31,95227.0,109759.2,102788.92307692309
2019-06-07,109491.0,108663.5,104102.07692307692
2019-06-14,116150.0,110514.2,106065.53846153847
2019-06-21,109435.0,107575.8,107360.07692307692
2019-06-28,105821.0,110224.2,108266.38461538461
2019-07-05,105455.0,109215.2,108425.53846153847
2019-07-12,82310.0,100755.2,106412.0
2019-07-19,105743.0,99832.2,106328.6923076923
2019-07-26,99922.0,98357.5,106443.0
2019-08-02,94226.0,95550.2,105199.23076923078
2019-08-09,95594.0,98871.2,103793.07692307692
2019-08-16,94010.0,95938.0,102659.46153846155
2019-08-23,89411.0,93310.2,100215.0
2019-08-30,88690.0,91926.2,99712.15384615384
2019-09-06,76679.0,87197.5,97188.15384615384
2019-09-13,91697.0,86619.2,95307.15384615384
2019-09-20,92945.0,87502.8,94038.69230769231
2019-09-27,84866.0,86546.8,92426.76923076923
2019-10-04,83840.0,88337.0,90764.07692307692
2019-10-11,88683.0,87583.5,91254.30769230769
2019-10-18,85094.0,85620.8,89665.92307692308
2019-10-25,79688.0,84326.2,88109.46153846155
2019-11-01,72333.0,81449.5,86425.38461538462
2019-11-08,73200.0,77578.8,84702.76923076922
2019-11-15,73457.0,74669.5,83121.76923076923
2019-11-22,69462.0,72113.0,81587.23076923077
2019-11-29,64196.0,70078.8,79703.07692307692
2019-12-06,46019.0,63283.5,77344.61538461538
2019-12-13,60033.0,59927.5,74908.92307692308
2019-12-20,54332.0,56145.0,71938.69230769231
2019-12-27,45011.0,51348.8,68872.92307692308
2020-01-03,26513.0,46472.2,64463.153846153844
2020-01-10,48634.0,43622.5,61382.46153846153
2020-01-17,69184.0,47335.5,60158.61538461539
2020-01-24,68030.0,53090.2,59261.846153846156
2020-01-31,74896.0,65186.0,59459.0
2020-02-07,81836.0,73486.5,60123.307692307695
2020-02-14,79862.0,76156.0,60616.0
2020-02-21,77142.0,78434.0,61206.769230769234
2020-02-28,83824.0,80666.0,62716.61538461539
2020-03-06,87151.0,81994.8,65880.61538461539
2020-03-13,100660.0,87194.2,69005.76923076923
2020-03-20,94185.0,91455.0,72071.38461538461
2020-03-27,85406.0,91850.5,75178.69230769231
2020-04-03,70918.0,87792.2,78594.46153846153
2020-04-10,66676.0,79296.2,79982.30769230769
2020-04-17,58300.0,70325.0,79145.07692307692
2020-04-24,60467.0,64090.2,78563.30769230769
2020-05-01,60903.0,61586.5,77486.92307692308
2020-05-08,75058.0,63682.0,76965.53846153847
2020-05-15,77552.0,68495.0,76787.84615384616
2020-05-22,82055.0,73892.0,77165.76923076923
2020-05-29,79289.0,78488.5,76816.92307692308
2020-06-05,85566.0,81115.5,76695.0
2020-06-12,89973.0,84220.8,75872.92307692308
2020-06-19,92873.0,86925.2,75772.0
2020-06-26,86134.0,88636.5,75828.0
2020-07-03,90964.0,89986.0,77370.0
2020-07-10,86575.0,89136.5,78900.69230769231
2020-07-17,91460.0,88783.2,81451.46153846153
2020-07-24,93682.0,90670.2,84006.46153846153
2020-07-31,89861.0,90394.5,86234.0
2020-08-07,89642.0,91161.2,87355.84615384616
2020-08-14,89233.0,90604.5,88254.38461538462
2020-08-21,90644.0,89845.0,88915.07692307692
2020-08-28,93448.0,90741.8,90004.23076923077
2020-09-04,86523.0,89962.0,90077.84615384616
2020-09-11,86107.0,89180.5,89780.46153846153
2020-09-18,91328.0,89351.5,89661.61538461538
2020-09-25,90255.0,88553.2,89978.61538461539
2020-10-02,85716.0,88351.5,89574.92307692308
2020-10-09,89272.0,89142.8,89782.38461538461
2020-10-16,88190.0,88358.2,89530.84615384616
2020-10-23,83192.0,86592.5,88723.92307692308
2020-10-30,78543.0,84799.2,87853.30769230769
2020-11-06,74360.0,81071.2,86677.76923076923
2020-11-13,72942.0,77259.2,85424.61538461539
2020-11-20,72831.0,74669.0,84054.38461538461
2020-11-27,68248.0,72095.2,82115.92307692308
2020-12-04,43073.0,64273.5,78773.61538461539
2020-12-11,62400.0,61638.0,76950.0
2020-12-18,58016.0,57934.2,74387.53846153847
2020-12-25,49406.0,53223.8,71245.30769230769
2021-01-01,28997.0,49704.8,66882.30769230769
2021-01-08,37498.0,43479.2,62899.69230769231
2021-01-15,60012.0,43978.2,60732.153846153844
2021-01-22,64606.0,47778.2,59302.46153846154
2021-01-29,62296.0,56103.0,58052.692307692305
2021-02-05,62900.0,62453.5,57171.153846153844
2021-02-12,60538.0,62585.0,56217.0
2021-02-19,65501.0,62808.8,55653.153846153844
2021-02-26,57907.0,61711.5,54857.692307692305
2021-03-05,66001.0,62486.8,56621.38461538462
2021-03-12,76203.0,66403.0,57683.153846153844
2021-03-19,76822.0,69233.2,59129.769230769234
2021-03-26,76461.0,73871.8,61210.92307692308
2021-04-02,75476.0,76240.5,64786.230769230766
2021-04-09,77609.0,76592.0,67871.69230769231
2021-04-16,84477.0,78505.8,69753.61538461539
2021-04-23,87561.0,81280.8,71519.38461538461
2021-04-30,84606.0,83563.2,73235.53846153845
2021-05-07,92637.0,87320.2,75523.0
2021-05-14,89671.0,88618.8,77764.0
2021-05-21,95377.0,90572.8,80062.15384615384
2021-05-28,93984.0,92917.2,82837.30769230769
2021-06-04,89342.0,92093.5,84632.76923076922
2021-06-11,100118.0,94705.2,86472.38461538461
2021-06-18,103297.0,96685.2,88508.92307692306
2021-06-25,95120.0,96969.2,89944.23076923077
2021-07-02,99175.0,99427.5,91767.23076923078
2021-07-09,84813.0,95601.2,92321.38461538461
2021-07-16,103180.0,95572.0,93760.07692307692
2021-07-23,102755.0,97480.8,94928.84615384616
2021-07-30,100789.0,97884.2,96173.69230769231
2021-08-06,98203.0,101231.8,96601.84615384616
2021-08-13,98603.0,100087.5,97288.92307692308
2021-08-20,99896.0,99372.8,97636.53846153847
2021-08-27,90937.0,96909.8,97402.15384615384
2021-09-03,87517.0,94238.2,97261.76923076923
2021-09-10,80515.0,89716.2,95753.84615384616
2021-09-17,92694.0,87915.8,94938.23076923077
2021-09-24,87040.0,86941.5,94316.69230769231
2021-10-01,83965.0,86053.5,93146.69230769231
2021-10-08,87600.0,87824.8,93361.07692307692
2021-10-15,81462.0,85016.8,91690.46153846153
2021-10-22,83515.0,84135.5,90210.46153846155
2021-10-29,75067.0,81911.0,88231.84615384616
2021-11-05,69874.0,77479.5,86052.69230769231
2021-11-12,72225.0,75170.2,84023.61538461539
2021-11-19,69913.0,71769.8,81717.23076923077
2021-11-26,63703.0,68928.8,79622.30769230769
2021-12-03,39354.0,61298.8,75917.46153846153
2021-12-10,58227.0,57799.2,74203.0
2021-12-17,49399.0,52670.8,70872.61538461538
2021-12-24,44226.0,47801.5,67579.23076923077
2021-12-31,26628.0,44620.0,63168.69230769231
2022-01-07,40704.0,40239.2,59561.30769230769
2022-01-14,47260.0,39704.5,56930.38461538461
2022-01-21,53238.0,41957.5,54601.38461538461
2022-01-28,59862.0,50266.0,53431.769230769234
2022-02-04,50936.0,52824.0,51975.0
2022-02-11,57610.0,55411.5,50850.769230769234
2022-02-18,61293.0,57425.2,50187.692307692305
2022-02-25,61457.0,57824.0,50014.92307692308
2022-03-04,61310.0,60417.5,51703.84615384615
2022-03-11,74222.0,64570.5,52934.23076923077
2022-03-18,68416.0,66351.2,54397.07692307692
2022-03-25,76233.0,70045.2,56859.153846153844
2022-04-01,69731.0,72150.5,60174.769230769234
2022-04-08,78543.0,73230.8,63085.46153846153
2022-04-15,83668.0,77043.8,65886.07692307692
2022-04-22,73865.0,76451.8,67472.76923076923
2022-04-29,85992.0,80517.0,69482.76923076923
2022-05-06,92968.0,84123.2,72716.0
2022-05-13,89035.0,85465.0,75133.30769230769
2022-05-20,101512.0,92376.8,78227.07692307692
2022-05-27,100230.0,95936.2,81209.61538461539
2022-06-03,84402.0,93794.8,82985.92307692308
2022-06-10,102927.0,97267.8,85194.0
2022-06-17,107309.0,98717.0,88185.76923076922
2022-06-24,100441.0,98769.8,90047.92307692308
2022-07-01,109013.0,104922.5,93069.61538461539
2022-07-08,106717.0,105870.0,95236.84615384616
2022-07-15,86411.0,100645.5,95447.84615384616
2022-07-22,96856.0,99749.2,97216.38461538461
2022-07-29,88189.0,94543.2,97385.38461538461
2022-08-05,88140.0,89899.0,97014.0
2022-08-12,87433.0,90154.5,96890.76923076922
2022-08-19,81674.0,86359.0,95364.76923076923
2022-08-26,78293.0,83885.0,93677.30769230769
2022-09-02,75374.0,80693.5,92982.84615384616
2022-09-09,69581.0,76230.5,90417.76923076923
2022-09-16,77111.0,75089.8,88094.84615384616
2022-09-23,77677.0,74935.8,86343.76923076923
2022-09-30,72473.0,74210.5,83533.0
2022-10-07,69752.0,74253.2,80689.53846153845
2022-10-14,72006.0,72977.0,79581.46153846155
2022-10-21,70377.0,71152.0,77544.61538461538
2022-10-28,68674.0,70202.2,76043.46153846155
2022-11-04,62159.0,68304.0,74044.92307692308
2022-11-11,64081.0,66322.8,72248.61538461539
2022-11-18,57639.0,63138.2,70399.76923076923
2022-11-25,56100.0,59994.8,68692.61538461539
2022-12-02,34993.0,53203.2,65586.38461538461
2022-12-09,49391.0,49530.8,64033.307692307695
2022-12-16,43398.0,45970.5,61440.0
2022-12-23,40038.0,41955.0,58544.69230769231
2022-12-30,23810.0,39159.2,54801.38461538462
2023-01-06,39615.0,36715.2,52483.153846153844
2023-01-13,46635.0,37524.5,50531.53846153846
2023-01-20,53614.0,40918.5,49242.07692307692
2023-01-27,54040.0,48476.0,48116.38461538461
2023-02-03,51403.0,51423.0,47289.0
2023-02-10,56349.0,53851.5,46694.230769230766
2023-02-17,53149.0,53735.2,46348.846153846156
2023-02-24,56822.0,54430.8,46404.38461538461
2023-03-03,60917.0,56809.2,48398.53846153847
2023-03-10,63329.0,58554.2,49470.692307692305
2023-03-17,51674.0,58185.5,50107.30769230769
2023-03-24,62515.0,59608.8,51836.307692307695
2023-03-31,60342.0,59465.0,54646.46153846154
2023-04-07,67915.0,60611.5,56823.38461538461
2023-04-14,60466.0,62809.5,57887.30769230769
2023-04-21,72445.0,65292.0,59335.846153846156
2023-04-28,77326.0,69538.0,61127.07692307692
2023-05-05,70512.0,70187.2,62597.0
2023-05-12,76197.0,74120.0,64123.76923076923
2023-05-19,72855.0,74222.5,65639.61538461539
2023-05-26,76323.0,73971.8,67139.69230769231
2023-06-02,66540.0,72978.8,67572.23076923077
2023-06-09,77270.0,73247.0,68644.61538461539
2023-06-16,75378.0,73877.8,70468.0
2023-06-23,75771.0,73739.8,71487.69230769231
2023-06-30,75005.0,75856.0,72615.61538461539
2023-07-07,70955.0,74277.2,72849.46153846155
