date,Altos New Pending Sales (SFR + Condo),Altos New Pending Sales 4-Week Avg (SFR + Condo),Altos New Pending Sales 13-Week Avg (SFR + Condo),Altos Pending Days on Market (SFR + Condo)
2015-01-02,8152.0,,13977.846153846152,74.56
2015-01-09,8610.0,,13480.23076923077,76.04
2015-01-16,11106.0,,13181.076923076922,78.68
2015-01-23,12828.0,10174.0,12587.923076923076,80.22
2015-01-30,16144.0,12172.0,12803.615384615385,81.92
2015-02-06,18005.0,14520.8,13263.76923076923,81.77
2015-02-13,15714.0,15672.8,13170.692307692309,81.67
2015-02-20,15539.0,16350.5,13067.384615384615,80.74
2015-02-27,16896.0,16538.5,13167.076923076924,79.64
2015-03-06,19236.0,16846.2,13729.615384615385,77.22
2015-03-13,16775.0,17111.5,14062.846153846154,76.26
2015-03-20,24926.0,19458.2,15030.23076923077,78.01
2015-03-27,28398.0,22333.8,16333.0,77.64
2015-04-03,19925.0,22506.0,17238.615384615387,75.54
2015-04-10,21619.0,23717.0,18239.307692307695,72.98
2015-04-17,21673.0,22903.8,19052.153846153844,71.35
2015-04-24,22634.0,21462.8,19806.46153846154,69.71
2015-05-01,25056.0,22745.5,20492.0,67.81
2015-05-08,24076.0,23359.8,20959.0,66.75
2015-05-15,26026.0,24448.0,21752.23076923077,66.5
2015-05-22,22789.0,24486.8,22309.923076923078,64.85
2015-05-29,21749.0,23660.0,22683.23076923077,63.54
2015-06-05,23717.0,23570.2,23027.923076923078,62.53
2015-06-12,26313.0,23642.0,23761.615384615387,61.73
2015-06-19,24212.0,23997.8,23706.69230769231,60.55
2015-06-26,25070.0,24828.0,23450.69230769231,60.06
2015-07-03,22977.0,24643.0,23685.46153846154,59.59
2015-07-10,23382.0,23910.2,23821.076923076922,59.16
2015-07-17,20961.0,23097.5,23766.307692307695,59.18
2015-07-24,21124.0,22111.0,23650.153846153844,59.28
2015-07-31,25742.0,22802.2,23702.923076923074,58.78
2015-08-07,20753.0,22145.0,23447.307692307695,58.58
2015-08-14,23861.0,22870.0,23280.76923076923,60.38
2015-08-21,25629.0,23996.2,23499.23076923077,60.83
2015-08-28,21914.0,23039.2,23511.923076923078,60.53
2015-09-04,25923.0,24331.8,23681.615384615387,61.36
2015-09-11,24810.0,24569.0,23566.0,61.59
2015-09-18,24783.0,24357.5,23609.923076923078,62.51
2015-09-25,22121.0,24409.2,23383.076923076922,62.61
2015-10-02,28039.0,24938.2,23772.46153846154,65.6
2015-10-09,24080.0,24755.8,23826.153846153844,65.38
2015-10-16,23090.0,24332.5,23989.923076923078,65.75
2015-10-23,20983.0,24048.0,23979.076923076922,66.18
2015-10-30,43600.0,27938.2,25352.76923076923,72.87
2015-11-06,23633.0,27826.5,25574.307692307695,72.4
2015-11-13,23582.0,27949.5,25552.846153846156,72.41
2015-11-20,19558.0,27593.2,25085.846153846152,67.71
2015-11-27,18778.0,21387.8,24844.615384615387,68.16
2015-12-04,18483.0,20100.2,24272.307692307695,68.33
2015-12-11,16828.0,18411.8,23658.30769230769,64.92
2015-12-18,14337.0,17106.5,22854.76923076923,65.09
2015-12-25,14111.0,15939.8,22238.615384615383,62.65
2016-01-01,12193.0,14367.2,21019.69230769231,65.35
2016-01-08,10858.0,12874.8,20002.615384615383,66.75
2016-01-15,15824.0,13246.5,19443.69230769231,70.7
2016-01-22,24693.0,15892.0,19729.076923076922,72.76
2016-01-29,17299.0,17168.5,17705.923076923078,73.27
2016-02-05,23956.0,20443.0,17730.76923076923,73.91
2016-02-12,24056.0,22501.0,17767.23076923077,74.67
2016-02-19,24632.0,22485.8,18157.53846153846,76.16
2016-02-26,27780.0,25106.0,18850.0,75.98
2016-03-04,28874.0,26335.5,19649.307692307695,76.73
2016-03-11,27513.0,27199.8,20471.23076923077,75.7
2016-03-18,31730.0,28974.2,21809.153846153848,74.36
2016-03-25,41186.0,32325.8,23891.846153846152,76.9
2016-04-01,31216.0,32911.2,25355.153846153844,75.1
2016-04-08,29723.0,33463.8,26806.307692307695,74.33
2016-04-15,39046.0,35292.8,28592.615384615387,72.19
2016-04-22,46063.0,36512.0,30236.46153846154,71.73
2016-04-29,37629.0,38115.2,31800.30769230769,70.85
2016-05-06,38257.0,40248.8,32900.38461538462,68.86
2016-05-13,33981.0,38982.5,33663.846153846156,67.14
2016-05-20,36376.0,36560.8,34567.230769230766,65.74
2016-05-27,39159.0,36943.2,35442.53846153846,64.35
2016-06-03,35483.0,36249.8,35950.92307692308,62.99
2016-06-10,41174.0,38048.0,37001.769230769234,63.92
2016-06-17,39958.0,38943.5,37634.692307692305,61.27
2016-06-24,34183.0,37699.5,37096.0,58.83
2016-07-01,35485.0,37700.0,37424.38461538462,57.9
2016-07-08,36278.0,36476.0,37928.61538461538,56.98
2016-07-15,42513.0,37114.8,38195.30769230769,59.35
2016-07-22,44205.0,39620.2,38052.38461538462,60.15
2016-07-29,39049.0,40511.2,38161.61538461538,59.88
2016-08-05,37438.0,40801.2,38098.61538461538,59.47
2016-08-12,37992.0,39671.0,38407.153846153844,59.75
2016-08-19,31662.0,36535.2,38044.53846153846,60.05
2016-08-26,37753.0,36211.2,37936.38461538461,60.83
2016-09-02,39978.0,36846.2,38282.153846153844,61.37
2016-09-09,32460.0,35463.2,37611.846153846156,61.77
2016-09-16,32653.0,35711.0,37049.92307692308,64.22
2016-09-23,33741.0,34708.0,37015.92307692308,64.63
2016-09-30,41446.0,35075.0,37474.46153846154,65.75
2016-10-07,45633.0,38368.2,38194.07692307692,68.23
2016-10-14,29383.0,37550.8,37184.07692307692,68.11
2016-10-21,38293.0,38688.8,36729.307692307695,68.83
2016-10-28,32726.0,36508.8,36242.92307692308,69.1
2016-11-04,37566.0,34492.0,36252.769230769234,69.15
2016-11-11,31088.0,34918.2,35721.692307692305,69.35
2016-11-18,30324.0,32926.0,35618.769230769234,69.92
2016-11-25,28630.0,31902.0,34917.0,70.61
2016-12-02,23437.0,28369.8,33644.61538461538,71.02
2016-12-09,29827.0,28054.5,33442.07692307692,72.85
2016-12-16,23007.0,26225.2,32700.076923076922,73.47
2016-12-23,26763.0,25758.5,32163.30769230769,74.55
2016-12-30,20266.0,24965.8,30534.076923076922,75.3
2017-01-06,18430.0,22116.5,28441.53846153846,77.02
2017-01-13,20500.0,21489.8,27758.23076923077,78.81
2017-01-20,27189.0,21596.2,26904.076923076926,80.74
2017-01-27,29285.0,23851.0,26639.384615384617,81.53
2017-02-03,31983.0,27239.2,26209.923076923078,81.97
2017-02-10,34924.0,30845.2,26505.0,82.05
2017-02-17,35267.0,32864.8,26885.23076923077,81.44
2017-02-24,32275.0,33612.2,27165.615384615383,80.92
2017-03-03,36494.0,34740.0,28170.0,80.84
2017-03-10,39582.0,35904.5,28920.384615384613,79.95
2017-03-17,38591.0,36735.5,30119.153846153844,78.93
2017-03-24,40661.0,38832.0,31188.230769230766,77.13
2017-03-31,43338.0,40543.0,32963.0,75.79
2017-04-07,41892.0,41120.5,34767.769230769234,74.69
2017-04-14,37314.0,40801.2,36061.153846153844,73.0
2017-04-21,39508.0,40513.0,37008.769230769234,71.4
2017-04-28,43821.0,40633.8,38126.92307692308,70.11
2017-05-05,51850.0,43123.2,39655.153846153844,67.71
