date,All Employees - Construction,All Employees - Residential Building,All Employees - Nonresidential Building
1939-01-01,1139.0,,
1939-02-01,1162.0,,
1939-03-01,1225.0,,
1939-04-01,1249.0,,
1939-05-01,1262.0,,
1939-06-01,1264.0,,
1939-07-01,1221.0,,
1939-08-01,1236.0,,
1939-09-01,1203.0,,
1939-10-01,1186.0,,
1939-11-01,1172.0,,
1939-12-01,1142.0,,
1940-01-01,1121.0,,
1940-02-01,1178.0,,
1940-03-01,1214.0,,
1940-04-01,1276.0,,
1940-05-01,1298.0,,
1940-06-01,1290.0,,
1940-07-01,1272.0,,
1940-08-01,1286.0,,
1940-09-01,1379.0,,
1940-10-01,1506.0,,
1940-11-01,1627.0,,
1940-12-01,1777.0,,
1941-01-01,1833.0,,
1941-02-01,1820.0,,
1941-03-01,1739.0,,
1941-04-01,1772.0,,
1941-05-01,1784.0,,
1941-06-01,1791.0,,
1941-07-01,1881.0,,
1941-08-01,1918.0,,
1941-09-01,1939.0,,
1941-10-01,1935.0,,
1941-11-01,1915.0,,
1941-12-01,1903.0,,
1942-01-01,1914.0,,
1942-02-01,1900.0,,
1942-03-01,2042.0,,
1942-04-01,2170.0,,
1942-05-01,2271.0,,
1942-06-01,2380.0,,
1942-07-01,2494.0,,
1942-08-01,2478.0,,
1942-09-01,2433.0,,
1942-10-01,2352.0,,
1942-11-01,2260.0,,
1942-12-01,2136.0,,
1943-01-01,2064.0,,
1943-02-01,2022.0,,
1943-03-01,1954.0,,
1943-04-01,1854.0,,
1943-05-01,1737.0,,
1943-06-01,1639.0,,
1943-07-01,1516.0,,
1943-08-01,1433.0,,
1943-09-01,1357.0,,
1943-10-01,1334.0,,
1943-11-01,1320.0,,
1943-12-01,1316.0,,
1944-01-01,1323.0,,
1944-02-01,1300.0,,
1944-03-01,1237.0,,
1944-04-01,1172.0,,
1944-05-01,1149.0,,
1944-06-01,1123.0,,
1944-07-01,1103.0,,
1944-08-01,1081.0,,
1944-09-01,1036.0,,
1944-10-01,1085.0,,
1944-11-01,1095.0,,
1944-12-01,1113.0,,
1945-01-01,1143.0,,
1945-02-01,1191.0,,
1945-03-01,1179.0,,
1945-04-01,1148.0,,
1945-05-01,1138.0,,
1945-06-01,1133.0,,
1945-07-01,1144.0,,
1945-08-01,1159.0,,
1945-09-01,1143.0,,
1945-10-01,1231.0,,
1945-11-01,1291.0,,
1945-12-01,1336.0,,
1946-01-01,1421.0,,
1946-02-01,1501.0,,
1946-03-01,1581.0,,
1946-04-01,1639.0,,
1946-05-01,1679.0,,
1946-06-01,1697.0,,
1946-07-01,1761.0,,
1946-08-01,1808.0,,
1946-09-01,1836.0,,
1946-10-01,1875.0,,
1946-11-01,1901.0,,
1946-12-01,1931.0,,
1947-01-01,1927.0,,
1947-02-01,1960.0,,
1947-03-01,1972.0,,
1947-04-01,1992.0,,
1947-05-01,2015.0,,
1947-06-01,2076.0,,
1947-07-01,2077.0,,
1947-08-01,2095.0,,
1947-09-01,2094.0,,
1947-10-01,2109.0,,
1947-11-01,2101.0,,
1947-12-01,2130.0,,
1948-01-01,2179.0,,
1948-02-01,2105.0,,
1948-03-01,2163.0,,
1948-04-01,2202.0,,
1948-05-01,2245.0,,
1948-06-01,2280.0,,
1948-07-01,2284.0,,
1948-08-01,2269.0,,
1948-09-01,2264.0,,
1948-10-01,2263.0,,
1948-11-01,2280.0,,
1948-12-01,2306.0,,
1949-01-01,2292.0,,
1949-02-01,2275.0,,
1949-03-01,2264.0,,
1949-04-01,2243.0,,
1949-05-01,2232.0,,
1949-06-01,2197.0,,
1949-07-01,2202.0,,
1949-08-01,2208.0,,
1949-09-01,2223.0,,
1949-10-01,2218.0,,
1949-11-01,2229.0,,
1949-12-01,2207.0,,
1950-01-01,2216.0,,
1950-02-01,2228.0,,
1950-03-01,2241.0,,
1950-04-01,2293.0,,
1950-05-01,2345.0,,
1950-06-01,2408.0,,
1950-07-01,2454.0,,
1950-08-01,2491.0,,
1950-09-01,2512.0,,
1950-10-01,2546.0,,
1950-11-01,2564.0,,
1950-12-01,2542.0,,
1951-01-01,2609.0,,
1951-02-01,2628.0,,
1951-03-01,2670.0,,
1951-04-01,2696.0,,
1951-05-01,2711.0,,
1951-06-01,2692.0,,
1951-07-01,2692.0,,
1951-08-01,2689.0,,
1951-09-01,2674.0,,
1951-10-01,2699.0,,
1951-11-01,2660.0,,
1951-12-01,2696.0,,
1952-01-01,2694.0,,
1952-02-01,2754.0,,
1952-03-01,2691.0,,
1952-04-01,2688.0,,
1952-05-01,2687.0,,
1952-06-01,2717.0,,
1952-07-01,2713.0,,
1952-08-01,2718.0,,
1952-09-01,2723.0,,
1952-10-01,2695.0,,
1952-11-01,2707.0,,
1952-12-01,2714.0,,
1953-01-01,2728.0,,
1953-02-01,2764.0,,
1953-03-01,2728.0,,
1953-04-01,2707.0,,
1953-05-01,2684.0,,
1953-06-01,2663.0,,
1953-07-01,2657.0,,
1953-08-01,2657.0,,
