date,Total Residential Construction Spending,Private Residential Construction Spending
1993-01-01,,194150.0
1993-02-01,,194689.0
1993-03-01,,190185.0
1993-04-01,,198296.0
1993-05-01,,198835.0
1993-06-01,,203175.0
1993-07-01,,208760.0
1993-08-01,,212238.0
1993-09-01,,214446.0
1993-10-01,,214778.0
1993-11-01,,227235.0
1993-12-01,,235648.0
1994-01-01,,238612.0
1994-02-01,,236577.0
1994-03-01,,235150.0
1994-04-01,,244746.0
1994-05-01,,244056.0
1994-06-01,,244032.0
1994-07-01,,245463.0
1994-08-01,,243134.0
1994-09-01,,242619.0
1994-10-01,,234905.0
1994-11-01,,239857.0
1994-12-01,,241395.0
1995-01-01,,241184.0
1995-02-01,,234257.0
1995-03-01,,228013.0
1995-04-01,,225488.0
1995-05-01,,222062.0
1995-06-01,,218972.0
1995-07-01,,224113.0
1995-08-01,,226045.0
1995-09-01,,228688.0
1995-10-01,,227589.0
1995-11-01,,231913.0
1995-12-01,,235572.0
1996-01-01,,240958.0
1996-02-01,,243695.0
1996-03-01,,249952.0
1996-04-01,,252836.0
1996-05-01,,259296.0
1996-06-01,,263085.0
1996-07-01,,263549.0
1996-08-01,,263618.0
1996-09-01,,265677.0
1996-10-01,,261444.0
1996-11-01,,259668.0
1996-12-01,,253234.0
1997-01-01,,255365.0
1997-02-01,,258595.0
1997-03-01,,264566.0
1997-04-01,,257490.0
1997-05-01,,264581.0
1997-06-01,,262299.0
1997-07-01,,261593.0
1997-08-01,,263951.0
1997-09-01,,270511.0
1997-10-01,,272980.0
1997-11-01,,272786.0
1997-12-01,,269192.0
1998-01-01,,276485.0
1998-02-01,,279249.0
1998-03-01,,291505.0
1998-04-01,,288409.0
1998-05-01,,292879.0
1998-06-01,,296632.0
1998-07-01,,296717.0
1998-08-01,,299495.0
1998-09-01,,305345.0
1998-10-01,,308127.0
1998-11-01,,307899.0
1998-12-01,,302650.0
1999-01-01,,305968.0
1999-02-01,,307914.0
1999-03-01,,316822.0
1999-04-01,,316111.0
1999-05-01,,320326.0
1999-06-01,,322905.0
1999-07-01,,320854.0
1999-08-01,,326779.0
1999-09-01,,334947.0
1999-10-01,,342423.0
1999-11-01,,348035.0
1999-12-01,,346989.0
2000-01-01,,353065.0
2000-02-01,,351933.0
2000-03-01,,353452.0
2000-04-01,,356188.0
2000-05-01,,349907.0
2000-06-01,,348133.0
2000-07-01,,337374.0
2000-08-01,,337583.0
2000-09-01,,339048.0
2000-10-01,,344095.0
2000-11-01,,347301.0
2000-12-01,,344139.0
2001-01-01,,348279.0
2001-02-01,,353629.0
2001-03-01,,350029.0
2001-04-01,,361991.0
2001-05-01,,360534.0
2001-06-01,,365905.0
2001-07-01,,366500.0
2001-08-01,,369000.0
2001-09-01,,368809.0
2001-10-01,,370957.0
2001-11-01,,375803.0
2001-12-01,,376279.0
2002-01-01,382979.0,377631.0
2002-02-01,391434.0,385745.0
2002-03-01,390942.0,385406.0
2002-04-01,404255.0,398990.0
2002-05-01,399164.0,394223.0
2002-06-01,407305.0,401920.0
2002-07-01,410171.0,404632.0
2002-08-01,404055.0,398875.0
2002-09-01,400059.0,394820.0
2002-10-01,402091.0,397077.0
2002-11-01,406609.0,401424.0
2002-12-01,416844.0,411758.0
2003-01-01,423049.0,417788.0
2003-02-01,422705.0,417500.0
2003-03-01,418232.0,413303.0
2003-04-01,425493.0,420510.0
2003-05-01,426270.0,421143.0
2003-06-01,436163.0,430929.0
2003-07-01,454040.0,448917.0
2003-08-01,458676.0,453031.0
2003-09-01,463954.0,458676.0
2003-10-01,475234.0,469855.0
2003-11-01,490441.0,485245.0
2003-12-01,508637.0,503356.0
2004-01-01,503659.0,498640.0
2004-02-01,505081.0,500439.0
2004-03-01,511829.0,506879.0
2004-04-01,517912.0,512400.0
2004-05-01,528180.0,522534.0
2004-06-01,533358.0,527794.0
2004-07-01,549031.0,543260.0
2004-08-01,557411.0,551447.0
2004-09-01,552375.0,546306.0
2004-10-01,556425.0,551137.0
2004-11-01,555944.0,550392.0
2004-12-01,571871.0,566284.0
2005-01-01,581168.0,575650.0
2005-02-01,594003.0,588435.0
2005-03-01,597200.0,591580.0
2005-04-01,603975.0,598335.0
2005-05-01,609170.0,603707.0
2005-06-01,622726.0,616958.0
2005-07-01,634572.0,628750.0
2005-08-01,639501.0,633710.0
2005-09-01,652748.0,647374.0
2005-10-01,664407.0,658590.0
2005-11-01,670757.0,665376.0
2005-12-01,676135.0,670522.0
2006-01-01,681263.0,675679.0
2006-02-01,684482.0,678562.0
2006-03-01,674457.0,668311.0
2006-04-01,656899.0,650388.0
2006-05-01,640049.0,633815.0
2006-06-01,621219.0,615053.0
2006-07-01,604020.0,598487.0
2006-08-01,590189.0,584460.0
2006-09-01,579753.0,573878.0
2006-10-01,567752.0,561444.0
2006-11-01,555299.0,548971.0
2006-12-01,551740.0,545011.0
2007-01-01,544096.0,537571.0
2007-02-01,538260.0,531641.0
2007-03-01,534655.0,527865.0
2007-04-01,530749.0,523666.0
2007-05-01,521499.0,514131.0
2007-06-01,513524.0,505936.0
2007-07-01,503486.0,495976.0
2007-08-01,488816.0,480974.0
2007-09-01,472995.0,465709.0
2007-10-01,455045.0,447819.0
2007-11-01,439144.0,431878.0
2007-12-01,423699.0,416486.0
2008-01-01,409420.0,402138.0
2008-02-01,393193.0,386197.0
2008-03-01,397469.0,390471.0
2008-04-01,392801.0,385328.0
2008-05-01,389335.0,381911.0
2008-06-01,382000.0,374495.0
2008-07-01,372755.0,364873.0
2008-08-01,360382.0,352598.0
2008-09-01,348206.0,340396.0
2008-10-01,336824.0,329304.0
2008-11-01,320284.0,312540.0
2008-12-01,301332.0,293997.0
2009-01-01,291523.0,283870.0
2009-02-01,276113.0,267938.0
2009-03-01,262528.0,254645.0
2009-04-01,251235.0,243958.0
2009-05-01,244399.0,237188.0
2009-06-01,245226.0,237343.0
2009-07-01,252642.0,244141.0
2009-08-01,258774.0,250768.0
2009-09-01,262509.0,254135.0
2009-10-01,263232.0,254942.0
2009-11-01,263973.0,255941.0
2009-12-01,264592.0,255801.0
2010-01-01,263680.0,254826.0
2010-02-01,263649.0,255121.0
2010-03-01,263220.0,253924.0
2010-04-01,264593.0,254574.0
2010-05-01,263020.0,252896.0
2010-06-01,261202.0,250518.0
2010-07-01,254964.0,244354.0
2010-08-01,249367.0,238695.0
2010-09-01,249015.0,237834.0
2010-10-01,247981.0,236512.0
2010-11-01,248808.0,237468.0
2010-12-01,248929.0,239030.0
2011-01-01,250965.0,240548.0
2011-02-01,249760.0,240062.0
2011-03-01,251180.0,241586.0
2011-04-01,253897.0,244598.0
2011-05-01,254629.0,245449.0
2011-06-01,256286.0,247520.0
2011-07-01,257737.0,249770.0
2011-08-01,259960.0,251877.0
2011-09-01,258293.0,250152.0
2011-10-01,260305.0,252821.0
2011-11-01,254401.0,247279.0
2011-12-01,255090.0,247983.0
2012-01-01,259223.0,251869.0
2012-02-01,254120.0,247503.0
2012-03-01,258662.0,252283.0
2012-04-01,265032.0,258567.0
2012-05-01,269833.0,263797.0
2012-06-01,275699.0,269664.0
2012-07-01,279707.0,273587.0
2012-08-01,285467.0,279216.0
2012-09-01,292076.0,286120.0
2012-10-01,300200.0,294197.0
2012-11-01,302823.0,296510.0
2012-12-01,305105.0,299101.0
2013-01-01,309893.0,303792.0
2013-02-01,314633.0,309078.0
2013-03-01,318708.0,312083.0
2013-04-01,322768.0,316537.0
2013-05-01,327919.0,321706.0
2013-06-01,330608.0,324770.0
2013-07-01,334273.0,328388.0
2013-08-01,341543.0,335690.0
2013-09-01,345327.0,339977.0
2013-10-01,351749.0,346273.0
2013-11-01,358973.0,353317.0
2013-12-01,366094.0,360754.0
2014-01-01,373352.0,368359.0
2014-02-01,368792.0,363860.0
2014-03-01,374228.0,369329.0
2014-04-01,380061.0,375347.0
