date,Consumer Confidence Index (Conference Board),Consumer Confidence - Present Situation,Consumer Confidence - Expectations
1967-02-01,,155.9,119.9
1967-04-01,,162.9,125.8
1967-06-01,,159.9,116.8
1967-08-01,,161.7,109.1
1967-10-01,,164.4,114.5
1967-12-01,,162.8,118.2
1968-02-01,,159.1,123.7
1968-04-01,,166.8,116.5
1968-06-01,,164.2,108.4
1968-08-01,,166.8,107.7
1968-10-01,,174.8,120.5
1968-12-01,,172.4,114.9
1969-02-01,,166.9,119.1
1969-04-01,,169.7,114.5
1969-06-01,,168.6,117.4
1969-08-01,,162.8,111.0
1969-10-01,,162.2,103.2
1969-12-01,,160.8,102.9
1970-01-01,126.0,,
1970-02-01,126.0,121.1,88.8
1970-03-01,101.7,,
1970-04-01,101.7,106.9,92.1
1970-05-01,98.0,,
1970-06-01,98.0,85.1,90.0
1970-07-01,88.1,,
1970-08-01,88.1,75.9,101.0
1970-09-01,91.0,,
1970-10-01,91.0,61.8,97.5
1970-11-01,83.2,,
1970-12-01,83.2,47.1,94.8
1971-01-01,75.7,,
1971-02-01,75.7,45.3,98.9
1971-03-01,77.4,,
1971-04-01,77.4,40.2,98.5
1971-05-01,75.2,,
1971-06-01,75.2,48.9,104.6
1971-07-01,82.3,,
1971-08-01,82.3,50.1,103.4
1971-09-01,82.1,,
1971-10-01,82.1,49.4,100.9
1971-11-01,80.3,,
1971-12-01,80.3,52.0,107.1
1972-01-01,85.0,,
1972-02-01,85.0,67.5,111.0
1972-03-01,93.6,,
1972-04-01,93.6,74.4,108.8
1972-05-01,95.1,,
1972-06-01,95.1,86.0,107.5
1972-07-01,98.9,,
1972-08-01,98.9,94.2,110.7
1972-09-01,104.1,,
1972-10-01,104.1,110.0,113.3
1972-11-01,112.0,,
1972-12-01,112.0,117.9,114.9
1973-01-01,116.1,,
1973-02-01,116.1,125.7,100.8
1973-03-01,110.8,,
1973-04-01,110.8,115.5,94.4
1973-05-01,102.8,,
1973-06-01,102.8,122.6,92.2
1973-07-01,104.4,,
1973-08-01,104.4,120.0,76.4
1973-09-01,93.8,,
1973-10-01,93.8,125.3,95.6
1973-11-01,107.5,,
1973-12-01,107.5,108.8,45.2
1974-01-01,70.6,,
1974-02-01,70.6,75.9,53.9
1974-03-01,62.7,,
1974-04-01,62.7,101.1,91.2
1974-05-01,95.1,,
1974-06-01,95.1,101.2,86.8
1974-07-01,92.5,,
1974-08-01,92.5,87.7,70.4
1974-09-01,77.3,,
1974-10-01,77.3,61.4,49.9
1974-11-01,54.5,,
1974-12-01,54.5,32.3,50.5
1975-01-01,43.2,,
1975-02-01,43.2,31.9,69.5
1975-03-01,54.5,,
1975-04-01,54.5,32.6,88.9
1975-05-01,66.4,,
1975-06-01,66.4,33.6,97.8
1975-07-01,72.2,,
1975-08-01,72.2,44.5,107.6
1975-09-01,82.4,,
1975-10-01,82.4,51.2,95.2
1975-11-01,77.6,,
1975-12-01,77.6,66.0,112.1
1976-01-01,93.7,,
1976-02-01,93.7,75.7,117.9
1976-03-01,101.0,,
1976-04-01,101.0,73.6,100.1
1976-05-01,89.5,,
1976-06-01,89.5,80.6,103.8
1976-07-01,94.5,,
1976-08-01,94.5,78.8,105.1
1976-09-01,94.6,,
1976-10-01,94.6,68.2,99.7
1976-11-01,87.1,,
1976-12-01,87.1,72.8,116.3
1977-01-01,98.9,,
1977-02-01,98.9,70.7,115.5
1977-03-01,97.6,,
1977-04-01,97.6,81.3,100.9
1977-05-01,93.1,,
1977-06-01,93.1,96.5,99.4
1977-07-01,98.2,92.8,100.6
1977-08-01,97.5,96.0,100.5
1977-09-01,98.7,98.8,95.3
1977-10-01,96.7,91.9,97.9
1977-11-01,95.5,92.6,103.2
1977-12-01,98.9,104.6,113.1
1978-01-01,109.7,105.4,109.4
1978-02-01,107.8,105.2,108.2
1978-03-01,107.0,101.2,107.1
1978-04-01,104.7,112.0,108.6
1978-05-01,109.9,115.0,99.1
1978-06-01,105.5,122.2,101.0
1978-07-01,109.5,123.4,93.3
1978-08-01,105.4,123.9,97.4
1978-09-01,108.0,123.5,95.3
1978-10-01,106.6,124.9,97.7
1978-11-01,108.6,117.7,82.4
1978-12-01,96.5,126.3,86.1
1979-01-01,102.2,125.6,82.2
1979-02-01,99.5,120.5,88.8
1979-03-01,101.5,124.0,78.0
1979-04-01,96.4,119.7,77.9
1979-05-01,94.6,122.2,78.5
1979-06-01,96.0,121.7,73.3
1979-07-01,92.7,108.9,63.1
1979-08-01,81.4,107.4,60.7
1979-09-01,79.4,119.2,66.9
1979-10-01,87.8,119.5,74.1
1979-11-01,92.3,115.9,73.0
1979-12-01,90.2,114.4,74.8
1980-01-01,90.7,107.6,71.4
1980-02-01,85.9,102.0,74.1
1980-03-01,85.3,96.3,70.5
1980-04-01,80.8,76.3,50.0
1980-05-01,60.5,50.2,50.0
1980-06-01,50.1,46.9,62.3
1980-07-01,56.1,50.4,75.4
1980-08-01,65.4,49.5,85.0
1980-09-01,70.8,59.9,93.8
1980-10-01,80.3,61.1,99.6
1980-11-01,84.2,63.6,102.9
1980-12-01,87.2,59.8,91.1
1981-01-01,78.6,57.1,85.9
1981-02-01,74.4,55.0,78.4
1981-03-01,69.0,62.3,88.1
1981-04-01,77.8,64.4,93.1
1981-05-01,81.6,72.8,96.3
1981-06-01,86.9,66.6,94.0
1981-07-01,83.0,67.7,94.1
1981-08-01,83.5,69.6,96.5
1981-09-01,85.7,64.2,86.6
1981-10-01,77.6,62.0,84.7
1981-11-01,75.6,51.8,77.0
1981-12-01,66.9,42.3,82.8
1982-01-01,66.6,38.6,82.5
1982-02-01,64.9,38.5,78.2
1982-03-01,62.3,33.2,72.4
1982-04-01,56.7,26.2,77.6
1982-05-01,57.0,28.6,83.2
1982-06-01,61.4,21.7,80.1
1982-07-01,56.7,24.1,89.2
1982-08-01,63.2,21.9,80.2
1982-09-01,56.9,16.2,86.1
1982-10-01,58.1,17.8,78.6
1982-11-01,54.3,16.6,84.7
1982-12-01,57.4,15.8,88.6
1983-01-01,59.5,16.0,87.7
1983-02-01,59.0,17.5,101.1
1983-03-01,67.6,23.7,116.5
1983-04-01,79.4,28.3,119.7
1983-05-01,83.1,33.0,124.3
1983-06-01,87.7,37.4,121.0
1983-07-01,87.5,43.7,119.2
1983-08-01,89.0,49.2,119.3
1983-09-01,91.2,51.7,117.3
1983-10-01,91.1,53.9,117.6
1983-11-01,92.1,62.4,119.5
1983-12-01,96.7,74.2,123.2
1984-01-01,103.6,76.0,122.4
1984-02-01,103.9,80.5,114.7
1984-03-01,101.0,83.0,113.1
1984-04-01,101.1,86.5,119.1
1984-05-01,106.1,89.9,114.7
1984-06-01,104.8,98.5,110.6
1984-07-01,105.8,94.6,104.2
1984-08-01,100.4,100.1,105.1
1984-09-01,103.1,97.9,101.4
1984-10-01,100.0,94.7,102.0
1984-11-01,99.1,102.6,107.4
1984-12-01,105.5,94.5,98.7
1985-01-01,97.0,101.2,102.5
1985-02-01,102.0,102.0,103.9
1985-03-01,103.1,96.5,95.9
1985-04-01,96.1,103.5,105.1
1985-05-01,104.4,99.6,99.6
1985-06-01,99.6,102.5,102.7
1985-07-01,102.6,104.2,102.5
1985-08-01,103.2,99.0,102.1
1985-09-01,100.9,95.6,96.3
1985-10-01,96.0,98.5,94.5
1985-11-01,96.1,100.1,96.8
1985-12-01,98.1,98.1,98.2
1986-01-01,98.2,97.8,96.3
1986-02-01,96.9,98.4,94.4
1986-03-01,96.0,94.5,95.5
1986-04-01,95.1,101.6,99.0
1986-05-01,100.0,101.3,99.4
1986-06-01,100.2,100.4,99.7
1986-07-01,100.0,99.3,96.4
1986-08-01,97.5,91.4,92.0
1986-09-01,91.7,90.3,89.4
1986-10-01,89.7,85.4,86.1
1986-11-01,85.8,86.2,92.0
1986-12-01,89.7,94.7,92.2
1987-01-01,93.2,85.0,85.6
1987-02-01,85.4,91.9,91.8
