date,Corporate Profits with IVA & CCAdj (Pre-Tax),Corporate Profits After Tax with IVA & CCAdj,Nonfinancial Corporate Profits After Tax
1947-01-01,21.455,9.959,19.585
1947-04-01,24.483,13.603,18.363
1947-07-01,24.592,13.868,18.111
1947-10-01,26.127,14.455,19.669
1948-01-01,29.979,17.971,20.617
1948-04-01,31.757,19.109,21.572
1948-07-01,31.17,18.762,21.017
1948-10-01,32.665,20.713,20.042
1949-01-01,31.004,20.168,17.937
1949-04-01,28.664,19.144,15.455
1949-07-01,29.923,19.987,16.126
1949-10-01,26.64,16.892,15.896
1950-01-01,30.056,16.616,16.579
1950-04-01,33.889,17.781,20.406
1950-07-01,38.441,18.717,25.023
1950-10-01,41.848,20.208,27.743
1951-01-01,40.716,14.668,22.547
1951-04-01,40.568,18.564,18.483
1951-07-01,41.117,21.229,16.428
1951-10-01,42.39,21.114,17.761
1952-01-01,40.026,20.498,17.427
1952-04-01,38.129,19.757,16.504
1952-07-01,38.072,19.764,16.599
1952-10-01,42.432,22.212,18.673
1953-01-01,43.34,22.056,19.578
1953-04-01,42.509,21.133,19.547
1953-07-01,41.31,20.434,19.117
1953-10-01,34.017,17.777,14.3
1954-01-01,36.508,20.412,16.823
1954-04-01,37.847,21.235,17.377
1954-07-01,39.895,22.235,18.621
1954-10-01,43.589,24.565,19.935
1955-01-01,48.804,27.672,22.731
1955-04-01,50.107,28.727,23.165
1955-07-01,50.177,28.289,23.772
1955-10-01,51.582,28.826,24.884
1956-01-01,49.42,27.736,24.082
1956-04-01,49.642,27.546,24.727
1956-07-01,49.309,28.581,23.207
1956-10-01,50.214,28.358,24.808
1957-01-01,51.659,29.315,25.107
1957-04-01,50.289,28.933,23.593
1957-07-01,49.34,28.476,22.912
1957-10-01,45.271,26.315,20.868
1958-01-01,39.466,23.138,17.623
1958-04-01,40.608,23.932,17.998
1958-07-01,44.759,25.851,20.555
1958-10-01,50.593,28.745,23.789
1959-01-01,54.265,31.469,25.209
1959-04-01,59.067,34.115,27.682
1959-07-01,54.19,32.082,23.928
1959-10-01,54.535,33.127,22.968
1960-01-01,58.609,34.445,25.833
1960-04-01,54.796,32.68,23.395
1960-07-01,53.807,32.675,22.301
1960-10-01,51.506,31.378,21.037
1961-01-01,50.242,30.286,20.145
1961-04-01,54.481,33.057,22.001
1961-07-01,57.243,34.527,23.499
1961-10-01,61.816,37.1,25.721
1962-01-01,62.551,39.407,26.074
1962-04-01,62.521,39.661,25.6
1962-07-01,64.244,40.692,26.496
1962-10-01,66.857,43.229,26.813
1963-01-01,67.197,43.477,26.951
1963-04-01,70.229,44.817,29.171
1963-07-01,71.657,45.541,30.108
1963-10-01,72.951,46.235,30.911
1964-01-01,77.053,50.657,33.867
1964-04-01,77.32,50.92,33.943
1964-07-01,78.439,51.459,34.934
1964-10-01,78.019,51.503,34.593
1965-01-01,85.843,57.499,39.703
1965-04-01,88.045,58.813,41.253
1965-07-01,89.261,59.501,42.211
1965-10-01,94.005,62.269,44.685
1966-01-01,97.376,64.668,45.808
1966-04-01,96.371,63.743,46.206
1966-07-01,94.828,62.672,45.751
1966-10-01,95.912,64.476,44.734
1967-01-01,93.326,62.694,42.662
1967-04-01,92.153,61.809,42.869
1967-07-01,93.216,62.608,43.499
1967-10-01,96.768,64.384,46.192
1968-01-01,98.123,61.667,44.642
1968-04-01,102.114,65.05,45.713
1968-07-01,102.643,65.527,45.846
1968-10-01,104.11,66.09,47.193
1969-01-01,103.475,64.775,45.749
1969-04-01,100.332,62.864,44.048
1969-07-01,97.418,61.35,42.001
1969-10-01,92.44,56.844,40.511
1970-01-01,84.663,53.587,37.491
1970-04-01,88.47,57.314,36.966
1970-07-01,88.384,56.24,36.953
1970-10-01,83.458,52.782,34.135
1971-01-01,96.622,62.238,40.368
1971-04-01,98.739,63.423,41.856
1971-07-01,101.436,66.884,45.115
1971-10-01,105.79,70.81,46.813
1972-01-01,111.517,74.377,49.853
1972-04-01,113.41,75.95,50.478
1972-07-01,118.171,79.403,53.248
1972-10-01,125.749,82.677,58.837
1973-01-01,133.496,87.48,67.767
1973-04-01,131.249,85.213,69.155
1973-07-01,133.029,89.045,68.786
1973-10-01,135.784,89.292,73.2
1974-01-01,130.297,85.693,77.116
1974-04-01,128.925,82.261,81.105
1974-07-01,124.284,72.772,87.166
1974-10-01,119.313,73.153,76.317
1975-01-01,117.75,79.438,64.715
1975-04-01,128.94,87.52,70.25
1975-07-01,149.763,97.739,86.069
1975-10-01,158.982,105.682,90.196
1976-01-01,175.111,114.267,98.427
1976-04-01,173.151,113.771,100.789
1976-07-01,174.747,115.767,102.301
1976-10-01,174.343,115.875,100.768
1977-01-01,184.122,121.202,108.213
1977-04-01,204.911,136.491,115.514
1977-07-01,219.642,148.802,120.039
1977-10-01,214.459,142.623,121.043
1978-01-01,209.938,143.746,121.744
1978-04-01,239.724,159.716,141.067
1978-07-01,246.225,165.997,143.561
1978-10-01,258.389,173.409,150.525
1979-01-01,250.028,168.104,153.228
1979-04-01,252.438,170.326,155.758
1979-07-01,250.288,169.252,155.27
1979-10-01,244.109,166.233,152.337
1980-01-01,237.401,152.013,153.858
1980-04-01,206.769,141.837,129.998
1980-07-01,214.074,141.93,141.088
1980-10-01,234.259,154.787,150.393
1981-01-01,243.132,164.992,155.62
1981-04-01,239.325,170.249,147.732
1981-07-01,256.094,184.446,153.95
1981-10-01,245.026,182.63,145.302
1982-01-01,219.839,169.227,130.011
1982-04-01,234.129,181.393,127.629
1982-07-01,231.535,178.323,124.657
1982-10-01,225.521,176.905,112.811
1983-01-01,242.393,192.153,112.018
1983-04-01,272.625,207.293,127.864
1983-07-01,289.441,215.457,140.63
1983-10-01,307.152,231.032,143.131
1984-01-01,335.741,247.305,156.488
1984-04-01,337.676,250.532,155.988
1984-07-01,333.129,258.385,145.851
1984-10-01,342.526,266.942,145.801
1985-01-01,346.957,266.445,135.323
1985-04-01,350.273,271.461,131.408
1985-07-01,367.277,282.537,137.133
1985-10-01,347.805,265.429,131.986
1986-01-01,338.526,250.686,93.207
1986-04-01,324.827,236.423,92.054
1986-07-01,314.959,224.955,92.004
1986-10-01,315.948,214.712,99.241
1987-01-01,329.707,228.165,110.42
1987-04-01,368.167,253.045,125.317
1987-07-01,391.926,272.042,138.043
1987-10-01,393.448,279.188,139.213
1988-01-01,396.78,284.19,152.689
1988-04-01,410.038,290.036,158.148
1988-07-01,416.437,287.316,160.628
1988-10-01,441.716,306.366,170.603
1989-01-01,427.21,290.039,158.225
1989-04-01,420.362,297.398,147.61
1989-07-01,421.556,302.622,135.205
1989-10-01,405.744,287.124,130.056
1990-01-01,417.801,301.048,133.572
1990-04-01,436.576,314.909,139.362
1990-07-01,408.711,283.573,147.762
1990-10-01,414.23,290.525,138.879
1991-01-01,451.174,331.017,130.122
1991-04-01,447.811,331.815,143.75
1991-07-01,446.342,329.425,152.201
1991-10-01,449.641,331.458,149.187
1992-01-01,479.412,348.981,151.985
1992-04-01,483.44,351.069,167.432
1992-07-01,470.601,342.804,156.442
1992-10-01,491.707,354.65,174.653
1993-01-01,489.316,347.588,177.412
1993-04-01,517.64,363.517,196.598
1993-07-01,532.435,386.052,203.787
1993-10-01,583.479,405.524,226.433
1994-01-01,592.611,436.69,243.957
1994-04-01,616.49,452.366,260.21
1994-07-01,651.205,470.98,270.194
1994-10-01,676.059,485.645,287.676
1995-01-01,677.704,482.958,300.275
1995-04-01,702.518,511.485,308.021
1995-07-01,736.949,538.924,319.36
1995-10-01,749.539,555.548,319.133
1996-01-01,784.501,582.841,329.68
1996-04-01,798.142,584.751,334.902
1996-07-01,804.678,590.962,334.204
1996-10-01,826.965,610.189,345.179
1997-01-01,856.653,638.451,350.523
1997-04-01,880.888,658.411,356.478
1997-07-01,917.601,683.399,378.4
1997-10-01,904.323,680.156,377.58
1998-01-01,837.258,615.114,321.663
1998-04-01,835.598,616.661,328.547
1998-07-01,845.144,619.687,339.109
1998-10-01,822.666,601.985,321.626
1999-01-01,876.474,650.003,317.35
1999-04-01,870.933,647.382,334.076
1999-07-01,856.218,628.608,321.299
1999-10-01,863.407,631.497,319.637
2000-01-01,845.969,602.659,306.978
2000-04-01,837.646,595.936,303.17
2000-07-01,822.08,599.286,288.873
2000-10-01,799.947,573.967,245.435
2001-01-01,782.044,593.447,264.36
2001-04-01,808.069,625.379,259.146
2001-07-01,773.204,610.375,222.908
2001-10-01,785.445,638.97,128.919
2002-01-01,870.086,722.722,194.277
2002-04-01,901.521,747.849,254.758
2002-07-01,933.964,772.158,302.833
2002-10-01,1015.892,836.039,362.639
2003-01-01,1007.215,807.272,368.652
2003-04-01,1044.048,847.592,360.859
2003-07-01,1097.616,879.966,395.227
2003-10-01,1159.393,918.387,424.367
2004-01-01,1268.591,1017.183,486.644
2004-04-01,1301.225,1029.643,546.539
2004-07-01,1364.114,1071.377,571.504
2004-10-01,1348.245,1049.924,578.773
2005-01-01,1480.16,1104.414,715.798
2005-04-01,1497.015,1133.053,778.085
2005-07-01,1525.82,1155.571,758.212
2005-10-01,1617.181,1208.145,875.309
2006-01-01,1675.823,1254.443,880.676
2006-04-01,1691.228,1258.593,902.575
2006-07-01,1739.368,1288.079,969.334
2006-10-01,1677.999,1262.717,905.291
2007-01-01,1587.388,1168.768,874.867
2007-04-01,1655.229,1241.923,897.436
2007-07-01,1589.733,1213.225,791.427
2007-10-01,1550.866,1192.171,848.27
2008-01-01,1454.232,1156.248,729.1
2008-04-01,1428.07,1142.84,767.992
2008-07-01,1431.252,1160.602,815.52
2008-10-01,1068.927,899.117,499.544
2009-01-01,1297.511,1125.534,537.74
2009-04-01,1321.896,1126.565,535.467
2009-07-01,1492.548,1286.134,601.229
2009-10-01,1590.652,1348.642,749.235
2010-01-01,1684.635,1428.295,830.982
2010-04-01,1685.234,1422.987,847.955
2010-07-01,1850.316,1571.136,892.772
2010-10-01,1877.713,1586.412,834.794
2011-01-01,1720.152,1435.031,779.829
2011-04-01,1842.839,1557.726,857.915
2011-07-01,1872.252,1615.871,857.159
2011-10-01,2014.468,1718.029,841.791
2012-01-01,2078.584,1758.696,1065.4
2012-04-01,2063.652,1729.414,1040.075
2012-07-01,2047.024,1705.305,1030.716
2012-10-01,2041.673,1699.163,1044.642
2013-01-01,2060.178,1699.634,1085.759
2013-04-01,2060.487,1703.325,1067.366
2013-07-01,2084.76,1720.44,1071.135
2013-10-01,2119.135,1751.49,1082.489
2014-01-01,2056.218,1652.642,1038.075
2014-04-01,2226.807,1801.772,1103.139
2014-07-01,2286.538,1889.023,1183.319
2014-10-01,2281.771,1880.338,1165.939
2015-01-01,2240.371,1826.631,1053.093
2015-04-01,2219.018,1799.6,1071.084
2015-07-01,2171.67,1780.289,1086.265
2015-10-01,2061.454,1701.493,973.546
2016-01-01,2152.042,1777.476,1047.35
2016-04-01,2111.552,1733.129,1056.997
2016-07-01,2141.288,1754.784,1044.56
2016-10-01,2172.364,1807.72,1035.886
2017-01-01,2190.228,1911.361,1160.301
2017-04-01,2188.025,1896.913,1140.878
2017-07-01,2236.674,1927.001,1115.956
2017-10-01,2286.037,1977.064,945.96
2018-01-01,2310.84,2028.401,1058.939
2018-04-01,2372.926,2070.954,1148.471
2018-07-01,2371.399,2071.997,1122.917
2018-10-01,2405.504,2099.624,1090.338
2019-01-01,2416.436,2133.343,1032.925
2019-04-01,2456.629,2160.739,1026.807
2019-07-01,2499.116,2204.873,1082.646
2019-10-01,2513.104,2197.55,1140.219
2020-01-01,2252.456,1983.118,1075.503
2020-04-01,2087.3,1806.373,1024.736
2020-07-01,2765.854,2414.002,1668.078
2020-10-01,2540.471,2198.352,1550.877
2021-01-01,2840.375,2466.046,1788.855
2021-04-01,3136.193,2683.765,2097.733
2021-07-01,3165.099,2678.454,2045.054
2021-10-01,3250.366,2688.265,1984.145
2022-01-01,3172.463,2588.203,1945.085
2022-04-01,3380.648,2776.064,2149.546
2022-07-01,3477.058,2876.012,2015.264
2022-10-01,3420.234,2807.851,1905.647
2023-01-01,3524.291,2916.203,2109.986
2023-04-01,3532.548,2931.652,2166.239
2023-07-01,3648.807,3036.542,2259.934
2023-10-01,3763.658,3132.867,2332.854
2024-01-01,3687.52,3025.916,2306.716
2024-04-01,3793.125,3110.607,2368.759
2024-07-01,3755.734,3078.498,2385.002
2024-10-01,3970.626,3270.619,2459.456
2025-01-01,3922.871,3252.44,2151.37
2025-04-01,3929.661,3259.405,2181.6
2025-07-01,4105.221,3411.652,2312.404
2025-10-01,4352.096,3605.669,2343.642
2026-01-01,4426.485,3623.718,2564.638
2026-04-01,4827.39,3921.445,2823.249
