date,CPI - New York,CPI - Philadelphia,CPI - Boston,CPI - Chicago,CPI - Detroit,CPI - Dallas,CPI - Houston,CPI - Atlanta,CPI - Miami,CPI - San Francisco,CPI - Seattle,CPI - West Region (Size Class A),CPI - Los Angeles,CPI - Denver,CPI - Minneapolis,CPI - Milwaukee,CPI - Cincinnati,CPI - St. Louis,CPI - Washington DC,CPI - Baltimore,CPI - Tampa,CPI - Phoenix,CPI - San Diego,CPI - Portland,CPI - Riverside,CPI - Urban Hawaii,CPI - Urban Alaska
1914-12-01,9.9,10.2,10.5,10.0,9.7,,9.5,,,9.2,9.2,,,,,,,,,,,,,,,,
1915-12-01,10.1,10.3,10.7,10.2,10.1,,9.5,,,9.2,9.1,,,,,,,,,,,,,,,,
1916-12-01,11.3,11.6,12.1,11.6,11.7,,10.9,,,10.0,9.7,,,,,,,,,,,,,,,,
1917-12-01,13.8,14.1,14.2,13.5,14.3,,13.2,15.2,,11.6,11.8,,,,,,,,,,,,,,,,
1918-12-01,16.8,17.0,17.3,16.3,17.0,,15.9,18.2,,14.1,15.4,,,,,,,,,,,,,,,,
1919-06-01,17.1,17.5,17.4,16.6,17.8,,16.4,18.9,,14.7,16.0,,,,,,,,,,,,,,,,
1919-12-01,19.3,19.2,19.5,18.9,19.9,,18.5,20.8,,16.3,18.2,,,,,,,,,,,,,,,,
1920-06-01,20.9,21.3,21.5,20.8,22.9,,19.7,23.0,,17.5,19.6,,,,,,,,,,,,,,,,
1920-12-01,19.5,19.9,20.2,18.9,21.2,,18.9,20.8,,16.5,17.9,,,,,,,,,,,,,,,,
1921-05-01,17.9,18.1,18.0,17.9,19.0,,16.9,19.0,,15.2,16.8,,,,,,,,,,,,,,,,
1921-09-01,17.8,17.9,18.0,17.8,18.5,,16.6,18.5,,15.0,16.3,,,,,,,,,,,,,,,,
1921-12-01,17.9,17.7,17.8,17.5,17.9,,16.4,18.0,,15.0,16.0,,,,,,,,,,,,,,,,
1922-03-01,17.1,17.3,16.9,,17.3,,15.9,17.4,,14.7,15.7,,,,,,,,,,,,,,,,
1922-05-01,,,,16.9,,,,,,,,,,,,,,,,,,,,,,,
1922-06-01,17.2,17.3,16.8,17.0,17.4,,15.8,17.5,,14.6,15.6,,,,,,,,,,,,,,,,
1922-09-01,17.1,16.9,16.9,17.0,17.3,,15.7,17.4,,14.5,15.5,,,,,,,,,,,,,,,,
1922-12-01,17.4,17.3,17.3,17.1,17.5,,15.9,17.3,,14.6,15.5,,,,,,,,,,,,,,,,
1923-03-01,17.3,17.3,17.1,17.2,17.7,,15.7,17.4,,14.4,15.1,,,,,,,,,,,,,,,,
1923-06-01,17.4,17.6,17.1,17.3,18.0,,15.9,17.6,,14.6,15.5,,,,,,,,,,,,,,,,
