date,CPI All Urban Consumers,CPI Less Food & Energy (Core),CPI Food & Beverages,CPI Energy,CPI Shelter,CPI Medical Care,CPI Transportation,CPI Apparel,CPI Education & Communication
1947-01-01,21.48,,,,,13.2,17.9,38.4,
1947-02-01,21.62,,,,,13.3,17.9,38.8,
1947-03-01,22.0,,,,,13.3,18.1,39.4,
1947-04-01,22.0,,,,,13.4,18.3,39.7,
1947-05-01,21.95,,,,,13.5,18.3,39.8,
1947-06-01,22.08,,,,,13.5,18.4,40.0,
1947-07-01,22.23,,,,,13.5,18.5,40.0,
1947-08-01,22.4,,,,,13.6,18.5,40.1,
1947-09-01,22.84,,,,,13.7,18.7,40.2,
1947-10-01,22.91,,,,,13.8,18.8,40.4,
1947-11-01,23.06,,,,,13.8,19.0,40.6,
1947-12-01,23.41,,,,,13.9,19.1,41.0,
1948-01-01,23.68,,,,,14.0,19.6,41.3,
1948-02-01,23.67,,,,,14.0,19.5,41.8,
1948-03-01,23.5,,,,,14.1,19.6,42.0,
1948-04-01,23.82,,,,,14.3,19.9,42.1,
1948-05-01,24.01,,,,,14.3,19.9,42.5,
1948-06-01,24.15,,,,,14.4,20.0,42.4,
1948-07-01,24.4,,,,,14.5,21.0,42.7,
1948-08-01,24.43,,,,,14.6,21.3,43.1,
1948-09-01,24.36,,,,,14.5,21.4,43.1,
1948-10-01,24.31,,,,,14.6,21.5,43.1,
1948-11-01,24.16,,,,,14.7,21.6,43.0,
1948-12-01,24.05,,,,,14.7,21.6,43.0,
1949-01-01,24.01,,,,,14.7,21.6,42.2,
1949-02-01,23.91,,,,,14.8,21.8,41.8,
1949-03-01,23.91,,,,,14.8,21.9,41.6,
1949-04-01,23.92,,,,,14.8,22.0,41.3,
1949-05-01,23.91,,,,,14.8,22.2,41.1,
1949-06-01,23.92,,,,,14.8,22.1,41.0,
1949-07-01,23.7,,,,,14.8,22.2,40.8,
1949-08-01,23.7,,,,,14.9,22.3,40.5,
1949-09-01,23.75,,,,,14.9,22.2,40.2,
1949-10-01,23.67,,,,,14.9,22.3,39.9,
1949-11-01,23.7,,,,,14.9,22.3,39.8,
1949-12-01,23.61,,,,,14.9,22.5,39.8,
1950-01-01,23.51,,,,,14.9,22.4,39.7,
1950-02-01,23.61,,,,,15.0,22.4,39.7,
1950-03-01,23.64,,,,,14.9,22.4,39.7,
1950-04-01,23.65,,,,,15.0,22.4,39.7,
1950-05-01,23.77,,,,,15.0,22.5,39.7,
1950-06-01,23.88,,,,,15.0,22.5,39.7,
1950-07-01,24.07,,,,,15.1,22.7,39.9,
1950-08-01,24.2,,,,,15.1,22.9,40.1,
1950-09-01,24.34,,,,,15.2,22.9,40.6,
1950-10-01,24.5,,,,,15.3,22.9,41.2,
1950-11-01,24.6,,,,,15.3,23.0,41.5,
1950-12-01,24.98,,,,,15.4,23.2,41.9,
1951-01-01,25.38,,,,,15.4,23.3,42.6,
1951-02-01,25.83,,,,,15.5,23.6,43.3,
1951-03-01,25.88,,,,,15.7,23.8,43.5,
1951-04-01,25.92,,,,,15.7,23.9,43.8,
1951-05-01,25.99,,,,,15.8,24.0,43.9,
1951-06-01,25.93,,,,,15.8,24.1,43.9,
1951-07-01,25.91,,,,,15.8,24.1,44.0,
1951-08-01,25.86,,,,,15.9,24.2,44.0,
1951-09-01,26.03,,,,,15.9,24.4,44.8,
1951-10-01,26.16,,,,,16.0,24.5,44.7,
1951-11-01,26.32,,,,,16.1,24.8,44.4,
1951-12-01,26.47,,,,,16.3,24.9,44.3,
1952-01-01,26.45,,,,,16.3,25.0,43.9,
1952-02-01,26.41,,,,,16.4,25.2,43.9,
1952-03-01,26.39,,,,,16.5,25.3,43.7,
1952-04-01,26.46,,,,,16.5,25.5,43.6,
1952-05-01,26.47,,,,,16.5,25.6,43.6,
1952-06-01,26.53,,,,,16.8,25.8,43.5,
1952-07-01,26.68,,,,,16.9,26.0,43.5,
1952-08-01,26.69,,,,,16.9,25.9,43.4,
1952-09-01,26.63,,,,,16.9,26.0,43.3,
1952-10-01,26.69,,,,,16.9,26.1,43.1,
1952-11-01,26.69,,,,,16.9,26.2,43.0,
1952-12-01,26.71,,,,,17.0,26.2,43.0,
1953-01-01,26.64,,,,21.7,17.0,26.3,43.0,
1953-02-01,26.59,,,,21.8,17.0,26.2,43.0,
1953-03-01,26.63,,,,21.8,17.0,26.3,43.0,
1953-04-01,26.69,,,,21.9,17.1,26.4,43.1,
1953-05-01,26.7,,,,21.9,17.2,26.4,43.2,
1953-06-01,26.77,,,,21.9,17.3,26.5,43.3,
1953-07-01,26.79,,,,22.0,17.3,26.6,43.3,
1953-08-01,26.85,,,,22.0,17.4,26.7,43.2,
1953-09-01,26.89,,,,22.1,17.5,26.7,43.2,
1953-10-01,26.95,,,,22.2,17.5,26.6,43.2,
1953-11-01,26.85,,,,22.2,17.6,26.3,43.3,
1953-12-01,26.87,,,,22.3,17.6,26.2,43.2,
1954-01-01,26.94,,,,22.3,17.6,26.5,43.3,
1954-02-01,26.99,,,,22.3,17.7,26.3,43.2,
1954-03-01,26.93,,,,22.4,17.7,26.3,43.0,
1954-04-01,26.86,,,,22.4,17.8,26.4,43.0,
1954-05-01,26.93,,,,22.5,17.8,26.4,43.1,
1954-06-01,26.94,,,,22.5,17.8,26.4,43.2,
1954-07-01,26.86,,,,22.5,17.8,26.0,43.1,
1954-08-01,26.85,,,,22.5,17.9,25.9,43.0,
1954-09-01,26.81,,,,22.6,17.9,25.9,42.9,
1954-10-01,26.72,,,,22.6,17.9,25.4,42.9,
1954-11-01,26.78,,,,22.6,18.0,25.8,42.9,
1954-12-01,26.77,,,,22.7,18.0,25.8,42.9,
1955-01-01,26.77,,,,22.7,18.0,25.9,42.8,
1955-02-01,26.82,,,,22.7,18.1,25.9,42.8,
1955-03-01,26.79,,,,22.7,18.1,25.9,42.7,
1955-04-01,26.79,,,,22.7,18.1,25.6,42.8,
1955-05-01,26.77,,,,22.7,18.2,25.7,42.8,
1955-06-01,26.71,,,,22.7,18.2,25.8,42.8,
1955-07-01,26.76,,,,22.7,18.2,25.7,42.8,
1955-08-01,26.72,,,,22.8,18.3,25.6,42.9,
1955-09-01,26.85,,,,22.8,18.3,25.7,43.0,
1955-10-01,26.82,,,,22.9,18.4,25.8,43.0,
1955-11-01,26.88,,,,22.9,18.5,26.0,43.0,
1955-12-01,26.87,,,,22.9,18.6,25.8,43.1,
1956-01-01,26.83,,,,22.9,18.6,25.8,43.2,
1956-02-01,26.86,,,,22.9,18.7,25.8,43.5,
1956-03-01,26.89,,,,22.9,18.7,25.8,43.5,
1956-04-01,26.93,,,,22.9,18.8,25.8,43.6,
1956-05-01,27.03,,,,22.9,18.8,26.0,43.6,
1956-06-01,27.15,,,,23.1,18.8,26.0,43.6,
1956-07-01,27.29,,,,23.2,18.9,26.2,43.8,
1956-08-01,27.31,,,,23.3,19.0,26.3,43.9,
1956-09-01,27.35,,,,23.3,19.1,26.4,44.0,
1956-10-01,27.51,,,,23.3,19.1,27.0,44.0,
1956-11-01,27.51,,,,23.3,19.1,26.9,44.1,
1956-12-01,27.63,,,,23.5,19.2,27.0,44.3,
1957-01-01,27.67,28.5,,21.3,23.5,19.3,27.2,44.3,
1957-02-01,27.8,28.6,,21.4,23.7,19.3,27.4,44.3,
1957-03-01,27.86,28.7,,21.5,23.8,19.4,27.5,44.5,
1957-04-01,27.93,28.8,,21.6,23.9,19.5,27.7,44.4,
1957-05-01,28.0,28.8,,21.6,23.9,19.6,27.6,44.5,
1957-06-01,28.11,28.9,,21.6,23.9,19.7,27.7,44.5,
1957-07-01,28.19,29.0,,21.5,24.0,19.7,27.8,44.5,
1957-08-01,28.28,29.0,,21.4,24.0,19.8,27.8,44.6,
1957-09-01,28.32,29.1,,21.4,24.1,19.8,27.9,44.5,
1957-10-01,28.32,29.2,,21.4,24.2,19.9,27.5,44.6,
1957-11-01,28.41,29.3,,21.5,24.2,20.0,28.3,44.7,
1957-12-01,28.47,29.3,,21.5,24.3,20.1,28.1,44.6,
1958-01-01,28.64,29.3,,21.6,24.3,20.2,28.1,44.8,
1958-02-01,28.7,29.4,,21.3,24.4,20.2,28.2,44.7,
1958-03-01,28.87,29.5,,21.4,24.4,20.3,28.3,44.7,
1958-04-01,28.94,29.5,,21.4,24.5,20.4,28.3,44.7,
1958-05-01,28.94,29.5,,21.5,24.6,20.5,28.4,44.7,
1958-06-01,28.91,29.6,,21.5,24.5,20.6,28.4,44.8,
1958-07-01,28.89,29.6,,21.6,24.5,20.7,28.7,44.7,
1958-08-01,28.94,29.6,,21.7,24.5,20.7,28.8,44.7,
1958-09-01,28.91,29.7,,21.7,24.5,20.9,28.9,44.5,
1958-10-01,28.91,29.7,,21.7,24.4,21.0,28.9,44.5,
1958-11-01,28.95,29.8,,21.4,24.5,21.0,29.1,44.7,
1958-12-01,28.97,29.9,,21.4,24.5,21.1,29.2,44.7,
1959-01-01,29.01,29.9,,21.4,24.5,21.1,29.3,44.8,
1959-02-01,29.0,29.9,,21.6,24.5,21.2,29.4,44.7,
1959-03-01,28.97,30.0,,21.7,24.6,21.3,29.6,44.7,
1959-04-01,28.98,30.0,,21.8,24.6,21.3,29.7,44.8,
1959-05-01,29.04,30.1,,21.8,24.7,21.4,29.7,44.9,
1959-06-01,29.11,30.2,,21.9,24.7,21.5,29.8,45.0,
1959-07-01,29.15,30.2,,21.8,24.7,21.5,29.9,45.1,
1959-08-01,29.18,30.2,,21.9,24.8,21.6,29.9,45.2,
1959-09-01,29.25,30.3,,21.9,24.8,21.7,30.0,45.3,
1959-10-01,29.35,30.4,,22.2,24.9,21.7,30.1,45.3,
1959-11-01,29.35,30.4,,22.2,25.0,21.8,30.1,45.3,
1959-12-01,29.41,30.5,,22.3,25.0,21.8,30.1,45.3,
1960-01-01,29.37,30.5,,22.3,25.0,21.9,30.0,45.3,
1960-02-01,29.41,30.6,,22.2,25.1,22.0,30.0,45.5,
1960-03-01,29.41,30.6,,22.3,25.1,22.1,29.9,45.5,
1960-04-01,29.54,30.6,,22.4,25.2,22.2,29.9,45.6,
1960-05-01,29.57,30.6,,22.3,25.2,22.2,29.8,45.7,
1960-06-01,29.61,30.7,,22.4,25.2,22.2,29.8,45.7,
1960-07-01,29.55,30.6,,22.5,25.2,22.3,29.8,45.8,
1960-08-01,29.61,30.6,,22.5,25.3,22.3,29.8,45.8,
1960-09-01,29.61,30.6,,22.6,25.3,22.4,29.6,45.9,
1960-10-01,29.75,30.8,,22.5,25.4,22.4,29.6,46.0,
1960-11-01,29.78,30.8,,22.7,25.4,22.5,29.6,45.9,
1960-12-01,29.81,30.7,,22.6,25.4,22.6,29.7,45.9,
1961-01-01,29.84,30.8,,22.7,25.4,22.6,29.7,46.0,
