date,Total Existing Home Sales (NSA),Existing Home Sales - Northeast (NSA),Existing Home Sales - Midwest (NSA),Existing Home Sales - South (NSA),Existing Home Sales - West (NSA),Median Sales Price - National,Median Sales Price - Northeast,Median Sales Price - Midwest,Median Sales Price - South,Median Sales Price - West,Housing Inventory,Months Supply of Inventory
1968-01-01,,,,,,19700.0,,,,,,
1968-02-01,,,,,,19900.0,,,,,,
1968-03-01,,,,,,19700.0,,,,,,
1968-04-01,,,,,,20000.0,,,,,,
1968-05-01,,,,,,20100.0,,,,,,
1968-06-01,,,,,,20700.0,,,,,,
1968-07-01,,,,,,20800.0,,,,,,
1968-08-01,,,,,,20600.0,,,,,,
1968-09-01,,,,,,20500.0,,,,,,
1968-10-01,,,,,,20100.0,,,,,,
1968-11-01,,,,,,20500.0,,,,,,
1968-12-01,,,,,,20900.0,,,,,,
1969-01-01,,,,,,21100.0,,,,,,
1969-02-01,,,,,,21000.0,,,,,,
1969-03-01,,,,,,21200.0,,,,,,
1969-04-01,,,,,,21500.0,,,,,,
1969-05-01,,,,,,21600.0,,,,,,
1969-06-01,,,,,,22200.0,,,,,,
1969-07-01,,,,,,23000.0,,,,,,
1969-08-01,,,,,,22600.0,,,,,,
1969-09-01,,,,,,21700.0,,,,,,
1969-10-01,,,,,,21900.0,,,,,,
1969-11-01,,,,,,22100.0,,,,,,
1969-12-01,,,,,,22000.0,,,,,,
1970-01-01,,,,,,22200.0,,,,,,
1970-02-01,,,,,,22500.0,,,,,,
1970-03-01,,,,,,22800.0,,,,,,
1970-04-01,,,,,,22900.0,,,,,,
1970-05-01,,,,,,23100.0,,,,,,
1970-06-01,,,,,,23300.0,,,,,,
1970-07-01,,,,,,23700.0,,,,,,
1970-08-01,,,,,,23500.0,,,,,,
1970-09-01,,,,,,23100.0,,,,,,
1970-10-01,,,,,,22700.0,,,,,,
1970-11-01,,,,,,23200.0,,,,,,
1970-12-01,,,,,,22800.0,,,,,,
1971-01-01,,,,,,23700.0,,,,,,
1971-02-01,,,,,,24200.0,,,,,,
1971-03-01,,,,,,24300.0,,,,,,
1971-04-01,,,,,,24600.0,,,,,,
1971-05-01,,,,,,25100.0,,,,,,
1971-06-01,,,,,,25100.0,,,,,,
1971-07-01,,,,,,25400.0,,,,,,
1971-08-01,,,,,,25300.0,,,,,,
1971-09-01,,,,,,24800.0,,,,,,
1971-10-01,,,,,,24800.0,,,,,,
1971-11-01,,,,,,25100.0,,,,,,
1971-12-01,,,,,,24900.0,,,,,,
1972-01-01,,,,,,25300.0,,,,,,
1972-02-01,,,,,,25400.0,,,,,,
1972-03-01,,,,,,25900.0,,,,,,
1972-04-01,,,,,,26300.0,,,,,,
1972-05-01,,,,,,26900.0,,,,,,
1972-06-01,,,,,,27300.0,,,,,,
1972-07-01,,,,,,27500.0,,,,,,
1972-08-01,,,,,,27400.0,,,,,,
1972-09-01,,,,,,27000.0,,,,,,
1972-10-01,,,,,,26900.0,,,,,,
1972-11-01,,,,,,27000.0,,,,,,
1972-12-01,,,,,,27100.0,,,,,,
1973-01-01,,,,,,27400.0,,,,,,
1973-02-01,,,,,,28000.0,,,,,,
1973-03-01,,,,,,28400.0,,,,,,
1973-04-01,,,,,,28500.0,,,,,,
1973-05-01,,,,,,28800.0,,,,,,
1973-06-01,,,,,,29200.0,,,,,,
1973-07-01,,,,,,29900.0,,,,,,
1973-08-01,,,,,,29900.0,,,,,,
1973-09-01,,,,,,29100.0,,,,,,
1973-10-01,,,,,,28900.0,,,,,,
1973-11-01,,,,,,29700.0,,,,,,
1973-12-01,,,,,,29500.0,,,,,,
1974-01-01,,,,,,30600.0,,,,,,
1974-02-01,,,,,,30600.0,,,,,,
1974-03-01,,,,,,31400.0,,,,,,
1974-04-01,,,,,,31700.0,,,,,,
1974-05-01,,,,,,32100.0,,,,,,
1974-06-01,,,,,,32900.0,,,,,,
1974-07-01,,,,,,33000.0,,,,,,
1974-08-01,,,,,,32900.0,,,,,,
1974-09-01,,,,,,32400.0,,,,,,
1974-10-01,,,,,,31900.0,,,,,,
1974-11-01,,,,,,32100.0,,,,,,
1974-12-01,,,,,,32700.0,,,,,,
1975-01-01,,,,,,33200.0,,,,,,
1975-02-01,,,,,,33900.0,,,,,,
1975-03-01,,,,,,34200.0,,,,,,
1975-04-01,,,,,,34900.0,,,,,,
1975-05-01,,,,,,35200.0,,,,,,
1975-06-01,,,,,,36200.0,,,,,,
1975-07-01,,,,,,35900.0,,,,,,
1975-08-01,,,,,,36800.0,,,,,,
1975-09-01,,,,,,35800.0,,,,,,
1975-10-01,,,,,,35400.0,,,,,,
1975-11-01,,,,,,35700.0,,,,,,
1975-12-01,,,,,,35800.0,,,,,,
1976-01-01,,,,,,36300.0,,,,,,
1976-02-01,,,,,,36200.0,,,,,,
1976-03-01,,,,,,37200.0,,,,,,
1976-04-01,,,,,,37700.0,,,,,,
1976-05-01,,,,,,37600.0,,,,,,
1976-06-01,,,,,,38600.0,,,,,,
1976-07-01,,,,,,38900.0,,,,,,
1976-08-01,,,,,,39400.0,,,,,,
1976-09-01,,,,,,38700.0,,,,,,
1976-10-01,,,,,,38500.0,,,,,,
1976-11-01,,,,,,38800.0,,,,,,
1976-12-01,,,,,,39000.0,,,,,,
1977-01-01,,,,,,39600.0,,,,,,
1977-02-01,,,,,,40700.0,,,,,,
1977-03-01,,,,,,41000.0,,,,,,
1977-04-01,,,,,,42000.0,,,,,,
1977-05-01,,,,,,42200.0,,,,,,
1977-06-01,,,,,,43400.0,,,,,,
1977-07-01,,,,,,43700.0,,,,,,
1977-08-01,,,,,,43900.0,,,,,,
1977-09-01,,,,,,43800.0,,,,,,
1977-10-01,,,,,,44000.0,,,,,,
1977-11-01,,,,,,44500.0,,,,,,
1977-12-01,,,,,,44200.0,,,,,,
1978-01-01,,,,,,45500.0,,,,,,
1978-02-01,,,,,,46300.0,,,,,,
1978-03-01,,,,,,46500.0,,,,,,
1978-04-01,,,,,,48200.0,,,,,,
1978-05-01,,,,,,47800.0,,,,,,
1978-06-01,,,,,,48400.0,,,,,,
1978-07-01,,,,,,49400.0,,,,,,
1978-08-01,,,,,,50300.0,,,,,,
1978-09-01,,,,,,50200.0,,,,,,
1978-10-01,,,,,,50100.0,,,,,,
1978-11-01,,,,,,50700.0,,,,,,
1978-12-01,,,,,,50900.0,,,,,,
1979-01-01,,,,,,52000.0,,,,,,
1979-02-01,,,,,,51900.0,,,,,,
1979-03-01,,,,,,53800.0,,,,,,
1979-04-01,,,,,,54700.0,,,,,,
1979-05-01,,,,,,55900.0,,,,,,
1979-06-01,,,,,,56800.0,,,,,,
1979-07-01,,,,,,57900.0,,,,,,
1979-08-01,,,,,,57700.0,,,,,,
1979-09-01,,,,,,57300.0,,,,,,
1979-10-01,,,,,,56300.0,,,,,,
1979-11-01,,,,,,55600.0,,,,,,
1979-12-01,,,,,,56500.0,,,,,,
1980-01-01,,,,,,57900.0,,,,,,
1980-02-01,,,,,,59000.0,,,,,,
1980-03-01,,,,,,59500.0,,,,,,
1980-04-01,,,,,,60400.0,,,,,,
1980-05-01,,,,,,61200.0,,,,,,
1980-06-01,,,,,,63400.0,,,,,,
1980-07-01,,,,,,64100.0,,,,,,
1980-08-01,,,,,,64900.0,,,,,,
1980-09-01,,,,,,64200.0,,,,,,
1980-10-01,,,,,,62700.0,,,,,,
1980-11-01,,,,,,64300.0,,,,,,
1980-12-01,,,,,,63000.0,,,,,,
1981-01-01,,,,,,64500.0,,,,,,
1981-02-01,,,,,,64100.0,,,,,,
1981-03-01,,,,,,64400.0,,,,,,
1981-04-01,,,,,,65300.0,,,,,,
1981-05-01,,,,,,66300.0,,,,,,
1981-06-01,,,,,,67700.0,,,,,,
1981-07-01,,,,,,67500.0,,,,,,
1981-08-01,,,,,,68100.0,,,,,,
1981-09-01,,,,,,67100.0,,,,,,
1981-10-01,,,,,,66000.0,,,,,,
1981-11-01,,,,,,65900.0,,,,,,
1981-12-01,,,,,,66600.0,,,,,,
1982-01-01,,,,,,66400.0,,,,,,
1982-02-01,,,,,,66900.0,,,,,,
1982-03-01,,,,,,67000.0,,,,,,
1982-04-01,,,,,,67100.0,,,,,,
1982-05-01,,,,,,67800.0,,,,,,
1982-06-01,,,,,,69400.0,,,,,,
1982-07-01,,,,,,69200.0,,,,,,
1982-08-01,,,,,,68900.0,,,,,,
1982-09-01,,,,,,67300.0,,,,,,
1982-10-01,,,,,,66900.0,,,,,,
1982-11-01,,,,,,67700.0,,,,,,
1982-12-01,,,,,,67800.0,,,,,,
1983-01-01,,,,,,68100.0,,,,,,
1983-02-01,,,,,,68200.0,,,,,,
