date,Total Existing Home Sales,Existing Home Sales - Northeast,Existing Home Sales - Midwest,Existing Home Sales - South,Existing Home Sales - West,Median Sales Price - National,Median Sales Price - Northeast,Median Sales Price - Midwest,Median Sales Price - South,Median Sales Price - West,Housing Inventory,Months Supply of Inventory
2025-02-01,4150000.0,490000.0,980000.0,1880000.0,800000.0,396800.0,464400.0,295300.0,356000.0,614600.0,1230000.0,3.6
2025-03-01,4020000.0,490000.0,950000.0,1820000.0,760000.0,403100.0,468000.0,300900.0,359800.0,621200.0,1330000.0,4.0
2025-04-01,4020000.0,490000.0,960000.0,1820000.0,750000.0,414000.0,487400.0,313300.0,365300.0,628500.0,1450000.0,4.3
2025-05-01,4040000.0,500000.0,980000.0,1850000.0,710000.0,423700.0,513200.0,327200.0,369000.0,630000.0,1540000.0,4.6
2025-06-01,3980000.0,480000.0,960000.0,1820000.0,720000.0,432700.0,543400.0,337600.0,374200.0,627700.0,1540000.0,4.6
2025-07-01,4030000.0,500000.0,950000.0,1860000.0,720000.0,425700.0,535700.0,333400.0,368300.0,620700.0,1550000.0,4.6
2025-08-01,4030000.0,490000.0,960000.0,1840000.0,740000.0,422400.0,534100.0,329500.0,364100.0,620300.0,1530000.0,4.6
2025-09-01,4080000.0,490000.0,950000.0,1870000.0,770000.0,412300.0,500300.0,319600.0,360300.0,615600.0,1530000.0,4.5
2025-10-01,4110000.0,490000.0,980000.0,1880000.0,760000.0,414900.0,503600.0,319500.0,362300.0,624600.0,1520000.0,4.4
2025-11-01,4090000.0,500000.0,970000.0,1870000.0,750000.0,410000.0,499800.0,317100.0,359700.0,614900.0,1440000.0,4.2
2025-12-01,4270000.0,510000.0,990000.0,1990000.0,780000.0,405100.0,499900.0,306400.0,359400.0,598300.0,1230000.0,3.5
2026-01-01,4020000.0,500000.0,930000.0,1860000.0,730000.0,395000.0,504000.0,298100.0,350900.0,585600.0,1260000.0,3.8
2026-02-01,4130000.0,470000.0,940000.0,1920000.0,780000.0,398000.0,478000.0,303900.0,356600.0,597200.0,1320000.0,3.8
2026-03-01,3980000.0,,,1860000.0,770000.0,408800.0,494500.0,315500.0,362600.0,613400.0,1360000.0,4.1
