date,Total Occupied Housing Units (000s),Owner-Occupied Housing Units (000s),Renter-Occupied Housing Units (000s),Total Housing Units (000s),Homeownership Rate
1965-01-01,,,,,62.9
1965-04-01,,,,,62.9
1965-07-01,,,,,62.9
1965-10-01,,,,,63.4
1966-01-01,,,,,63.5
1966-04-01,,,,,63.2
1966-07-01,,,,,63.3
1966-10-01,,,,,63.8
1967-01-01,,,,,63.3
1967-04-01,,,,,63.9
1967-07-01,,,,,63.8
1967-10-01,,,,,63.5
1968-01-01,,,,,63.6
1968-04-01,,,,,64.1
1968-07-01,,,,,64.1
1968-10-01,,,,,63.6
1969-01-01,,,,,64.1
1969-04-01,,,,,64.4
1969-07-01,,,,,64.4
1969-10-01,,,,,64.4
1970-01-01,,,,,64.3
1970-04-01,,,,,64.0
1970-07-01,,,,,64.4
1970-10-01,,,,,64.0
1971-01-01,,,,,64.0
1971-04-01,,,,,64.1
1971-07-01,,,,,64.4
1971-10-01,,,,,64.5
1972-01-01,,,,,64.3
1972-04-01,,,,,64.5
1972-07-01,,,,,64.3
1972-10-01,,,,,64.4
1973-01-01,,,,,64.9
1973-04-01,,,,,64.4
1973-07-01,,,,,64.4
1973-10-01,,,,,64.4
1974-01-01,,,,,64.8
1974-04-01,,,,,64.8
1974-07-01,,,,,64.6
1974-10-01,,,,,64.4
1975-01-01,,,,,64.4
1975-04-01,,,,,64.9
1975-07-01,,,,,64.6
1975-10-01,,,,,64.5
1976-01-01,,,,,64.6
1976-04-01,,,,,64.6
1976-07-01,,,,,64.9
1976-10-01,,,,,64.8
1977-01-01,,,,,64.8
1977-04-01,,,,,64.5
1977-07-01,,,,,65.0
1977-10-01,,,,,64.9
1978-01-01,,,,,64.8
1978-04-01,,,,,64.4
1978-07-01,,,,,65.2
1978-10-01,,,,,65.4
1979-01-01,,,,,64.8
1979-04-01,,,,,64.9
1979-07-01,,,,,65.8
1979-10-01,,,,,65.4
1980-01-01,,,,,65.5
1980-04-01,,,,,65.5
1980-07-01,,,,,65.8
1980-10-01,,,,,65.5
1981-01-01,,,,,65.6
1981-04-01,,,,,65.3
1981-07-01,,,,,65.6
1981-10-01,,,,,65.2
1982-01-01,,,,,64.8
1982-04-01,,,,,64.9
1982-07-01,,,,,64.9
1982-10-01,,,,,64.5
1983-01-01,,,,,64.7
1983-04-01,,,,,64.7
1983-07-01,,,,,64.8
1983-10-01,,,,,64.4
1984-01-01,,,,,64.6
1984-04-01,,,,,64.6
1984-07-01,,,,,64.6
1984-10-01,,,,,64.1
1985-01-01,,,,,64.1
1985-04-01,,,,,64.1
1985-07-01,,,,,63.9
1985-10-01,,,,,63.5
1986-01-01,,,,,63.6
1986-04-01,,,,,63.8
1986-07-01,,,,,63.8
1986-10-01,,,,,63.9
1987-01-01,,,,,63.8
1987-04-01,,,,,63.8
1987-07-01,,,,,64.2
1987-10-01,,,,,64.1
1988-01-01,,,,,63.7
1988-04-01,,,,,63.7
1988-07-01,,,,,64.0
1988-10-01,,,,,63.8
1989-01-01,,,,,63.9
1989-04-01,,,,,63.8
1989-07-01,,,,,64.1
1989-10-01,,,,,63.8
1990-01-01,,,,,64.0
1990-04-01,,,,,63.7
1990-07-01,,,,,64.0
1990-10-01,,,,,64.1
1991-01-01,,,,,63.9
1991-04-01,,,,,63.9
1991-07-01,,,,,64.2
1991-10-01,,,,,64.2
1992-01-01,,,,,64.0
1992-04-01,,,,,63.9
1992-07-01,,,,,64.3
1992-10-01,,,,,64.4
1993-01-01,,,,,64.2
1993-04-01,,,,,64.4
1993-07-01,,,,,64.7
1993-10-01,,,,,64.6
1994-01-01,,,,,63.8
1994-04-01,,,,,63.8
1994-07-01,,,,,64.1
1994-10-01,,,,,64.2
1995-01-01,,,,,64.2
1995-04-01,,,,,64.7
1995-07-01,,,,,65.0
1995-10-01,,,,,65.1
1996-01-01,,,,,65.1
1996-04-01,,,,,65.4
1996-07-01,,,,,65.6
1996-10-01,,,,,65.4
1997-01-01,,,,,65.4
1997-04-01,,,,,65.7
1997-07-01,,,,,66.0
1997-10-01,,,,,65.7
1998-01-01,,,,,65.9
1998-04-01,,,,,66.0
1998-07-01,,,,,66.8
1998-10-01,,,,,66.4
1999-01-01,,,,,66.7
1999-04-01,,,,,66.6
1999-07-01,,,,,67.0
1999-10-01,,,,,66.9
2000-01-01,,,,,67.1
2000-04-01,102274.0,68752.0,33522.0,116047.0,67.2
2000-07-01,102896.0,69695.0,33201.0,116482.0,67.7
2000-10-01,103646.0,70010.0,33635.0,116914.0,67.5
2001-01-01,103456.0,69904.0,33552.0,117347.0,67.5
2001-04-01,103411.0,69981.0,33430.0,117786.0,67.7
2001-07-01,104228.0,71004.0,33223.0,118216.0,68.1
2001-10-01,104698.0,71230.0,33468.0,118635.0,68.0
2002-01-01,104719.0,71011.0,33707.0,119061.0,67.8
2002-04-01,105276.0,71157.0,34119.0,119483.0,67.6
2002-07-01,105527.0,71713.0,33813.0,119909.0,68.0
2002-10-01,105759.0,72187.0,33572.0,120350.0,68.3
2003-01-01,105884.0,71967.0,33917.0,120792.0,68.0
2003-04-01,105989.0,72088.0,33901.0,121233.0,68.0
2003-07-01,106068.0,72565.0,33503.0,121682.0,68.4
2003-10-01,106505.0,73091.0,33414.0,122159.0,68.6
2004-01-01,106738.0,73258.0,33479.0,122632.0,68.6
2004-04-01,107020.0,74107.0,32913.0,123099.0,69.2
2004-07-01,107932.0,74503.0,33429.0,123587.0,69.0
2004-10-01,108735.0,75233.0,33502.0,124096.0,69.2
2005-01-01,108863.0,75251.0,33612.0,124611.0,69.1
2005-04-01,109057.0,74797.0,34260.0,125118.0,68.6
2005-07-01,109736.0,75480.0,34256.0,125619.0,68.8
2005-10-01,110281.0,76119.0,34162.0,126104.0,69.0
2006-01-01,110350.0,75593.0,34757.0,126584.0,68.5
2006-04-01,110560.0,75972.0,34588.0,127072.0,68.7
2006-07-01,110779.0,76420.0,34359.0,127548.0,69.0
2006-10-01,111096.0,76544.0,34552.0,127991.0,68.9
2007-01-01,110715.0,75683.0,35031.0,128439.0,68.4
2007-04-01,111342.0,75952.0,35390.0,128888.0,68.2
2007-07-01,111251.0,75815.0,35436.0,129300.0,68.2
2007-10-01,111724.0,75720.0,36003.0,129634.0,67.8
2008-01-01,111326.0,75467.0,35859.0,129968.0,67.8
2008-04-01,111601.0,75951.0,35650.0,130303.0,68.1
2008-07-01,111939.0,76019.0,35920.0,130590.0,67.9
2008-10-01,111823.0,75465.0,36358.0,130797.0,67.5
2009-01-01,111862.0,75252.0,36610.0,131001.0,67.3
2009-04-01,112453.0,75809.0,36644.0,131207.0,67.4
2009-07-01,112381.0,75942.0,36439.0,131375.0,67.6
2009-10-01,112485.0,75537.0,36948.0,131490.0,67.2
2010-01-01,112500.0,75480.0,37020.0,131626.0,67.1
2010-04-01,112726.0,75417.0,37309.0,131749.0,66.9
2010-07-01,112941.0,75533.0,37409.0,131874.0,66.9
2010-10-01,113445.0,75417.0,38029.0,131995.0,66.5
2011-01-01,113119.0,75097.0,38021.0,132117.0,66.4
2011-04-01,113399.0,74710.0,38687.0,132239.0,65.9
2011-07-01,113559.0,75257.0,38303.0,132362.0,66.3
2011-10-01,114102.0,75325.0,38778.0,132491.0,66.0
2012-01-01,114145.0,74616.0,39530.0,132619.0,65.4
2012-04-01,114228.0,74851.0,39377.0,132748.0,65.5
2012-07-01,114741.0,75107.0,39634.0,132890.0,65.5
2012-10-01,115125.0,75270.0,39854.0,133062.0,65.4
2013-01-01,114778.0,74600.0,40178.0,133234.0,65.0
2013-04-01,115244.0,74907.0,40337.0,133408.0,65.0
2013-07-01,115415.0,75319.0,40097.0,133593.0,65.3
2013-10-01,115712.0,75429.0,40284.0,133799.0,65.2
2014-01-01,115552.0,74916.0,40636.0,134005.0,64.8
2014-04-01,115992.0,75017.0,40976.0,134212.0,64.7
2014-07-01,116253.0,74846.0,41407.0,134423.0,64.4
2014-10-01,117686.0,75271.0,42416.0,134642.0,64.0
2015-01-01,117360.0,74729.0,42631.0,134862.0,63.7
2015-04-01,117702.0,74672.0,43029.0,135081.0,63.4
2015-07-01,117799.0,75029.0,42770.0,135309.0,63.7
2015-10-01,118264.0,75507.0,42758.0,135552.0,63.8
2016-01-01,118038.0,74991.0,43047.0,135795.0,63.5
2016-04-01,118772.0,74726.0,44045.0,136039.0,62.9
2016-07-01,119129.0,75678.0,43451.0,136289.0,63.5
2016-10-01,119226.0,75976.0,43251.0,136554.0,63.7
2017-01-01,119435.0,75958.0,43475.0,136818.0,63.6
2017-04-01,119447.0,76064.0,43383.0,137083.0,63.7
2017-07-01,119669.0,76520.0,43150.0,137354.0,63.9
2017-10-01,120821.0,77592.0,43230.0,137637.0,64.2
2018-01-01,120662.0,77414.0,43249.0,137920.0,64.2
2018-04-01,121143.0,77854.0,43289.0,138203.0,64.3
2018-07-01,121267.0,78042.0,43225.0,138488.0,64.4
2018-10-01,122396.0,79318.0,43079.0,138778.0,64.8
2019-01-01,122255.0,78532.0,43723.0,139069.0,64.2
2019-04-01,122329.0,78442.0,43887.0,139360.0,64.1
2019-07-01,122617.0,79421.0,43196.0,139655.0,64.8
2019-10-01,123848.0,80615.0,43233.0,139961.0,65.1
2020-01-01,124299.0,81205.0,43094.0,140266.0,65.3
2020-04-01,126727.0,85988.0,40739.0,140603.0,67.9
2020-07-01,126675.0,85417.0,41259.0,140925.0,67.4
2020-10-01,125818.0,82813.0,43006.0,141265.0,65.8
2021-01-01,126002.0,82615.0,43387.0,141605.0,65.6
2021-04-01,126286.0,82586.0,43700.0,141945.0,65.4
2021-07-01,127098.0,83056.0,44041.0,142308.0,65.4
2021-10-01,127704.0,83649.0,44055.0,142714.0,65.5
2022-01-01,127937.0,83650.0,44286.0,143121.0,65.4
2022-04-01,128215.0,84362.0,43853.0,143528.0,65.8
2022-07-01,128589.0,84918.0,43671.0,143929.0,66.0
2022-10-01,129728.0,85442.0,44286.0,144319.0,65.9
2023-01-01,129611.0,85489.0,44122.0,144709.0,66.0
2023-04-01,130057.0,85753.0,44304.0,145099.0,65.9
2023-07-01,130314.0,85968.0,44347.0,145477.0,66.0
2023-10-01,131084.0,86141.0,44943.0,145830.0,65.7
2024-01-01,130920.0,85940.0,44980.0,146183.0,65.6
