date,Total Housing Completions,Single-Family Completions,5+ Unit Completions
1968-01-01,1257.0,875.0,309.0
1968-02-01,1174.0,771.0,332.0
1968-03-01,1323.0,874.0,369.0
1968-04-01,1328.0,898.0,356.0
1968-05-01,1367.0,900.0,391.0
1968-06-01,1184.0,792.0,330.0
1968-07-01,1370.0,892.0,376.0
1968-08-01,1279.0,836.0,389.0
1968-09-01,1397.0,877.0,424.0
1968-10-01,1348.0,828.0,432.0
1968-11-01,1367.0,865.0,428.0
1968-12-01,1390.0,875.0,436.0
1969-01-01,1257.0,839.0,356.0
1969-02-01,1414.0,872.0,466.0
1969-03-01,1558.0,872.0,601.0
1969-04-01,1318.0,752.0,483.0
1969-05-01,1430.0,821.0,520.0
1969-06-01,1455.0,850.0,517.0
1969-07-01,1432.0,811.0,542.0
1969-08-01,1393.0,800.0,508.0
1969-09-01,1367.0,770.0,518.0
1969-10-01,1406.0,806.0,521.0
1969-11-01,1404.0,765.0,560.0
1969-12-01,1402.0,766.0,560.0
1970-01-01,1434.0,830.0,528.0
1970-02-01,1430.0,761.0,582.0
1970-03-01,1317.0,715.0,516.0
1970-04-01,1354.0,743.0,525.0
1970-05-01,1334.0,766.0,486.0
1970-06-01,1431.0,772.0,553.0
1970-07-01,1384.0,792.0,526.0
1970-08-01,1609.0,843.0,683.0
1970-09-01,1383.0,883.0,424.0
1970-10-01,1437.0,806.0,541.0
1970-11-01,1457.0,845.0,523.0
1970-12-01,1437.0,835.0,522.0
1971-01-01,1471.0,847.0,528.0
1971-02-01,1448.0,868.0,488.0
1971-03-01,1489.0,903.0,498.0
1971-04-01,1709.0,1028.0,573.0
1971-05-01,1637.0,973.0,570.0
1971-06-01,1637.0,965.0,571.0
1971-07-01,1699.0,1034.0,564.0
1971-08-01,1896.0,1041.0,747.0
1971-09-01,1804.0,1078.0,612.0
1971-10-01,1815.0,1092.0,614.0
1971-11-01,1844.0,1114.0,614.0
1971-12-01,1895.0,1144.0,615.0
1972-01-01,1942.0,1133.0,683.0
1972-02-01,2061.0,1122.0,812.0
1972-03-01,1981.0,1154.0,700.0
1972-04-01,1970.0,1188.0,686.0
1972-05-01,1896.0,1131.0,662.0
1972-06-01,1936.0,1145.0,670.0
1972-07-01,1930.0,1121.0,690.0
1972-08-01,2102.0,1248.0,731.0
1972-09-01,2053.0,1112.0,814.0
1972-10-01,1995.0,1182.0,705.0
1972-11-01,1985.0,1150.0,710.0
1972-12-01,2121.0,1207.0,793.0
1973-01-01,2162.0,1294.0,750.0
1973-02-01,2124.0,1290.0,722.0
1973-03-01,2196.0,1305.0,768.0
1973-04-01,2195.0,1282.0,793.0
1973-05-01,2299.0,1299.0,857.0
1973-06-01,2258.0,1269.0,850.0
1973-07-01,2066.0,1081.0,851.0
1973-08-01,2056.0,1149.0,795.0
1973-09-01,2061.0,1171.0,757.0
1973-10-01,2052.0,1129.0,777.0
1973-11-01,1925.0,1105.0,714.0
1973-12-01,1869.0,1062.0,714.0
