date,Total Housing Starts,Single-Family Starts,2-4 Unit Starts,5+ Unit Starts,Starts - Northeast,Starts - Midwest,Starts - South,Starts - West
1959-01-01,1657.0,1336.0,0.0,321.0,350.0,452.0,505.0,350.0
1959-02-01,1667.0,1317.0,0.0,350.0,346.0,469.0,508.0,344.0
1959-03-01,1620.0,1254.0,0.0,366.0,330.0,413.0,503.0,374.0
1959-04-01,1590.0,1282.0,0.0,308.0,275.0,391.0,536.0,388.0
1959-05-01,1498.0,1213.0,0.0,285.0,260.0,355.0,487.0,396.0
1959-06-01,1503.0,1203.0,0.0,300.0,254.0,343.0,518.0,388.0
1959-07-01,1547.0,1256.0,0.0,291.0,271.0,371.0,533.0,372.0
1959-08-01,1430.0,1193.0,0.0,237.0,230.0,350.0,474.0,376.0
1959-09-01,1540.0,1275.0,0.0,265.0,242.0,362.0,560.0,376.0
1959-10-01,1355.0,1043.0,0.0,312.0,254.0,305.0,443.0,353.0
1959-11-01,1416.0,1163.0,0.0,253.0,246.0,326.0,500.0,344.0
1959-12-01,1601.0,1410.0,0.0,191.0,256.0,395.0,592.0,358.0
1960-01-01,1460.0,1211.0,0.0,249.0,274.0,358.0,506.0,322.0
1960-02-01,1503.0,1208.0,0.0,295.0,269.0,383.0,487.0,364.0
1960-03-01,1109.0,904.0,0.0,205.0,146.0,206.0,428.0,329.0
1960-04-01,1289.0,1049.0,0.0,240.0,218.0,288.0,466.0,317.0
1960-05-01,1271.0,1009.0,0.0,262.0,215.0,298.0,458.0,300.0
1960-06-01,1247.0,1003.0,0.0,244.0,208.0,323.0,408.0,308.0
1960-07-01,1197.0,947.0,0.0,250.0,198.0,306.0,394.0,299.0
1960-08-01,1344.0,1091.0,0.0,253.0,229.0,283.0,479.0,353.0
1960-09-01,1097.0,865.0,0.0,232.0,194.0,292.0,384.0,227.0
1960-10-01,1246.0,922.0,0.0,324.0,286.0,272.0,386.0,302.0
1960-11-01,1246.0,949.0,0.0,297.0,302.0,277.0,391.0,276.0
1960-12-01,1063.0,841.0,0.0,222.0,145.0,247.0,352.0,319.0
1961-01-01,1183.0,898.0,0.0,285.0,148.0,311.0,430.0,294.0
1961-02-01,1226.0,948.0,0.0,278.0,226.0,268.0,444.0,288.0
1961-03-01,1312.0,957.0,0.0,355.0,227.0,314.0,428.0,343.0
1961-04-01,1166.0,879.0,0.0,287.0,228.0,245.0,415.0,278.0
1961-05-01,1228.0,938.0,0.0,290.0,230.0,269.0,461.0,268.0
1961-06-01,1382.0,1011.0,0.0,371.0,263.0,283.0,494.0,342.0
1961-07-01,1335.0,1004.0,0.0,331.0,259.0,269.0,482.0,325.0
1961-08-01,1312.0,973.0,0.0,339.0,234.0,259.0,503.0,316.0
1961-09-01,1429.0,1052.0,0.0,377.0,305.0,286.0,510.0,328.0
1961-10-01,1415.0,993.0,0.0,422.0,263.0,292.0,511.0,349.0
1961-11-01,1385.0,1018.0,0.0,367.0,253.0,296.0,492.0,344.0
1961-12-01,1365.0,1005.0,0.0,360.0,256.0,278.0,503.0,328.0
1962-01-01,1361.0,974.0,0.0,387.0,276.0,235.0,485.0,365.0
1962-02-01,1278.0,946.0,0.0,332.0,215.0,275.0,498.0,290.0
1962-03-01,1443.0,979.0,0.0,464.0,252.0,284.0,536.0,371.0
1962-04-01,1524.0,1027.0,0.0,497.0,280.0,326.0,515.0,403.0
1962-05-01,1483.0,1032.0,0.0,451.0,284.0,289.0,518.0,392.0
1962-06-01,1404.0,951.0,0.0,453.0,272.0,260.0,517.0,355.0
1962-07-01,1450.0,983.0,0.0,467.0,262.0,284.0,520.0,384.0
1962-08-01,1517.0,1053.0,0.0,464.0,272.0,308.0,539.0,398.0
1962-09-01,1324.0,866.0,0.0,458.0,223.0,248.0,469.0,384.0
1962-10-01,1533.0,990.0,0.0,543.0,229.0,305.0,629.0,370.0
1962-11-01,1622.0,1080.0,0.0,542.0,256.0,344.0,580.0,442.0
1962-12-01,1564.0,998.0,0.0,566.0,331.0,283.0,570.0,380.0
1963-01-01,1244.0,810.0,0.0,434.0,158.0,156.0,502.0,428.0
1963-02-01,1456.0,977.0,0.0,479.0,227.0,269.0,523.0,437.0
1963-03-01,1534.0,962.0,0.0,572.0,244.0,271.0,610.0,409.0
1963-04-01,1689.0,1096.0,0.0,593.0,328.0,342.0,586.0,433.0
1963-05-01,1641.0,1071.0,0.0,570.0,262.0,356.0,571.0,452.0
1963-06-01,1588.0,1007.0,0.0,581.0,235.0,340.0,574.0,439.0
1963-07-01,1614.0,1031.0,0.0,583.0,241.0,316.0,619.0,438.0
1963-08-01,1639.0,1056.0,107.0,476.0,275.0,349.0,595.0,420.0
1963-09-01,1763.0,1106.0,133.0,524.0,269.0,362.0,693.0,439.0
1963-10-01,1779.0,1088.0,136.0,555.0,291.0,385.0,662.0,441.0
1963-11-01,1622.0,1032.0,132.0,458.0,254.0,348.0,597.0,422.0
1963-12-01,1491.0,852.0,129.0,510.0,221.0,297.0,514.0,459.0
1964-01-01,1603.0,1023.0,139.0,441.0,233.0,358.0,584.0,428.0
1964-02-01,1820.0,1162.0,177.0,481.0,249.0,491.0,650.0,431.0
1964-03-01,1517.0,931.0,120.0,466.0,245.0,329.0,580.0,363.0
1964-04-01,1448.0,901.0,105.0,442.0,217.0,297.0,566.0,368.0
1964-05-01,1467.0,947.0,81.0,439.0,267.0,334.0,561.0,305.0
