date,Total Units Under Construction (SA),Single-Family Under Construction
1970-01-01,889.0,355.0
1970-02-01,888.0,357.0
1970-03-01,890.0,361.0
1970-04-01,891.0,365.0
1970-05-01,883.0,365.0
1970-06-01,882.0,368.0
1970-07-01,891.0,370.0
1970-08-01,874.0,367.0
1970-09-01,890.0,369.0
1970-10-01,900.0,377.0
1970-11-01,914.0,381.0
1970-12-01,943.0,399.0
1971-01-01,971.0,411.0
1971-02-01,994.0,424.0
1971-03-01,1025.0,429.0
1971-04-01,1062.0,449.0
1971-05-01,1093.0,464.0
1971-06-01,1127.0,477.0
1971-07-01,1160.0,485.0
1971-08-01,1185.0,497.0
1971-09-01,1205.0,505.0
1971-10-01,1224.0,513.0
1971-11-01,1262.0,525.0
1971-12-01,1285.0,529.0
1972-01-01,1316.0,544.0
1972-02-01,1294.0,534.0
1972-03-01,1359.0,562.0
1972-04-01,1384.0,567.0
1972-05-01,1403.0,573.0
1972-06-01,1429.0,583.0
1972-07-01,1449.0,591.0
1972-08-01,1476.0,602.0
1972-09-01,1499.0,620.0
1972-10-01,1542.0,630.0
1972-11-01,1573.0,639.0
1972-12-01,1588.0,646.0
1973-01-01,1607.0,652.0
1973-02-01,1628.0,652.0
1973-03-01,1626.0,643.0
1973-04-01,1619.0,632.0
1973-05-01,1624.0,630.0
1973-06-01,1599.0,611.0
1973-07-01,1606.0,615.0
1973-08-01,1594.0,607.0
1973-09-01,1578.0,593.0
1973-10-01,1540.0,577.0
1973-11-01,1522.0,563.0
1973-12-01,1495.0,551.0
1974-01-01,1465.0,543.0
1974-02-01,1459.0,540.0
1974-03-01,1416.0,533.0
1974-04-01,1390.0,537.0
1974-05-01,1353.0,526.0
1974-06-01,1321.0,516.0
1974-07-01,1276.0,509.0
1974-08-01,1230.0,500.0
1974-09-01,1179.0,488.0
1974-10-01,1129.0,477.0
1974-11-01,1075.0,469.0
1974-12-01,1030.0,464.0
1975-01-01,990.0,454.0
1975-02-01,962.0,447.0
1975-03-01,924.0,442.0
1975-04-01,895.0,438.0
1975-05-01,873.0,439.0
1975-06-01,854.0,440.0
1975-07-01,850.0,447.0
1975-08-01,843.0,452.0
1975-09-01,835.0,450.0
1975-10-01,843.0,472.0
1975-11-01,828.0,473.0
1975-12-01,820.0,471.0
1976-01-01,827.0,482.0
1976-02-01,812.0,480.0
1976-03-01,840.0,504.0
1976-04-01,843.0,511.0
1976-05-01,844.0,518.0
1976-06-01,856.0,527.0
1976-07-01,858.0,533.0
1976-08-01,869.0,540.0
1976-09-01,895.0,558.0
1976-10-01,914.0,572.0
1976-11-01,930.0,577.0
1976-12-01,947.0,587.0
1977-01-01,963.0,598.0
1977-02-01,982.0,613.0
1977-03-01,1009.0,632.0
1977-04-01,1041.0,654.0
1977-05-01,1078.0,678.0
1977-06-01,1100.0,694.0
1977-07-01,1127.0,704.0
1977-08-01,1146.0,712.0
1977-09-01,1154.0,710.0
1977-10-01,1185.0,730.0
1977-11-01,1201.0,743.0
1977-12-01,1234.0,759.0
1978-01-01,1238.0,766.0
1978-02-01,1247.0,774.0
1978-03-01,1259.0,776.0
1978-04-01,1284.0,782.0
1978-05-01,1295.0,782.0
1978-06-01,1308.0,786.0
1978-07-01,1308.0,787.0
1978-08-01,1306.0,788.0
1978-09-01,1310.0,781.0
1978-10-01,1317.0,778.0
1978-11-01,1330.0,786.0
1978-12-01,1344.0,798.0
1979-01-01,1327.0,785.0
1979-02-01,1315.0,775.0
1979-03-01,1288.0,761.0
1979-04-01,1260.0,743.0
1979-05-01,1253.0,739.0
1979-06-01,1265.0,739.0
1979-07-01,1258.0,732.0
1979-08-01,1251.0,727.0
1979-09-01,1233.0,718.0
1979-10-01,1220.0,707.0
1979-11-01,1187.0,682.0
1979-12-01,1157.0,658.0
1980-01-01,1134.0,645.0
1980-02-01,1074.0,607.0
1980-03-01,1044.0,580.0
1980-04-01,976.0,535.0
1980-05-01,912.0,500.0
1980-06-01,881.0,482.0
1980-07-01,860.0,481.0
1980-08-01,854.0,481.0
1980-09-01,873.0,503.0
1980-10-01,894.0,519.0
1980-11-01,906.0,529.0
1980-12-01,913.0,531.0
1981-01-01,930.0,535.0
1981-02-01,926.0,532.0
1981-03-01,915.0,523.0
1981-04-01,902.0,515.0
1981-05-01,887.0,501.0
1981-06-01,854.0,483.0
1981-07-01,827.0,467.0
1981-08-01,801.0,448.0
1981-09-01,770.0,431.0
1981-10-01,737.0,415.0
1981-11-01,711.0,402.0
1981-12-01,694.0,394.0
1982-01-01,686.0,394.0
1982-02-01,687.0,399.0
1982-03-01,676.0,392.0
1982-04-01,669.0,388.0
1982-05-01,661.0,378.0
1982-06-01,654.0,378.0
1982-07-01,668.0,376.0
1982-08-01,670.0,375.0
1982-09-01,686.0,382.0
1982-10-01,697.0,388.0
1982-11-01,717.0,400.0
1982-12-01,735.0,415.0
1983-01-01,760.0,430.0
1983-02-01,798.0,455.0
1983-03-01,824.0,467.0
1983-04-01,854.0,484.0
1983-05-01,891.0,510.0
1983-06-01,925.0,525.0
1983-07-01,958.0,536.0
1983-08-01,976.0,544.0
1983-09-01,990.0,545.0
1983-10-01,996.0,544.0
1983-11-01,1016.0,548.0
1983-12-01,1026.0,547.0
1984-01-01,1040.0,558.0
1984-02-01,1039.0,558.0
1984-03-01,1069.0,571.0
1984-04-01,1086.0,578.0
1984-05-01,1081.0,581.0
1984-06-01,1093.0,584.0
1984-07-01,1098.0,580.0
1984-08-01,1087.0,571.0
1984-09-01,1089.0,569.0
1984-10-01,1081.0,573.0
1984-11-01,1080.0,577.0
1984-12-01,1080.0,582.0
1985-01-01,1074.0,574.0
1985-02-01,1067.0,576.0
1985-03-01,1065.0,579.0
1985-04-01,1085.0,581.0
1985-05-01,1088.0,579.0
1985-06-01,1071.0,573.0
1985-07-01,1070.0,575.0
1985-08-01,1075.0,578.0
1985-09-01,1063.0,568.0
1985-10-01,1085.0,575.0
1985-11-01,1088.0,573.0
1985-12-01,1094.0,568.0
