date,1-Year Expected Inflation,5-Year Expected Inflation,10-Year Expected Inflation
1982-01-01,6.3945071,6.4809404,6.1976115
1982-02-01,6.4321077,6.404901,6.0792322
1982-03-01,6.3877317,6.027709,5.6481299
1982-04-01,6.1406276,6.0649134,5.7131884
1982-05-01,5.4881669,5.9439188,5.6899798
1982-06-01,5.4452325,5.8816985,5.6023786
1982-07-01,6.3748846,6.26947,5.9160055
1982-08-01,6.367801,6.0254417,5.6967159
1982-09-01,6.339422,6.0024505,5.733214
1982-10-01,5.1327583,5.5024134,5.3410651
1982-11-01,4.6539145,4.8872182,4.7173264
1982-12-01,4.5710148,5.0022245,4.8624209
1983-01-01,4.8633048,4.9032371,4.717531
1983-02-01,4.5956615,4.9975233,4.8609296
1983-03-01,4.0629447,4.70171,4.6099924
1983-04-01,4.6289199,4.8977683,4.7379918
1983-05-01,4.6186334,4.7160543,4.5383586
1983-06-01,4.1399507,4.8201385,4.7208859
1983-07-01,4.9603809,5.0530661,4.8680949
1983-08-01,5.1924267,5.2445032,5.0178961
1983-09-01,5.1037494,5.306806,5.1079768
1983-10-01,5.1155348,5.176661,4.9742005
1983-11-01,5.2028781,5.2722768,5.0693748
1983-12-01,5.1980904,5.2879103,5.0893714
1984-01-01,5.2475146,5.2895805,5.0640591
1984-02-01,5.0622947,5.2269107,5.0342412
1984-03-01,4.8302654,5.3329609,5.1736894
1984-04-01,5.4205543,5.5447374,5.3137983
1984-05-01,5.4580169,5.6723311,5.4463469
1984-06-01,5.5883874,5.9555015,5.735139
1984-07-01,5.692377,5.9872872,5.7354156
1984-08-01,5.224781,5.6286644,5.4270067
1984-09-01,5.1047828,5.6346505,5.4416381
1984-10-01,5.4138126,5.4775321,5.2147606
1984-11-01,4.9376646,5.1955653,5.0159744
1984-12-01,4.8509702,5.1964384,5.0342399
1985-01-01,4.8807597,5.2678966,5.1142968
1985-02-01,4.6573474,5.1681521,5.0420932
1985-03-01,4.9883735,5.4160472,5.262634
1985-04-01,4.7725855,5.1858666,5.0197753
1985-05-01,4.7029389,5.1176656,4.984325
1985-06-01,4.716909,4.7352092,4.5913278
1985-07-01,4.407939,4.6871707,4.5623268
1985-08-01,4.4287764,4.8273963,4.7152609
1985-09-01,4.4613628,4.7479857,4.6239161
1985-10-01,4.4118946,4.7330919,4.6152271
1985-11-01,4.2730751,4.60993,4.4988455
1985-12-01,4.0037965,4.4539531,4.3655158
1986-01-01,3.9759159,4.212592,4.1387884
1986-02-01,3.9713373,4.2082108,4.1181726
1986-03-01,3.4802235,3.8096178,3.7367611
1986-04-01,3.0175747,3.5732099,3.5536733
1986-05-01,2.8514107,3.5965277,3.6077332
1986-06-01,3.4637795,3.970955,3.9272729
1986-07-01,3.5734378,3.7326121,3.6712197
1986-08-01,3.388122,3.6670792,3.6324582
1986-09-01,3.4035122,3.4832183,3.4359002
1986-10-01,3.4713896,3.6682398,3.6344365
1986-11-01,3.2203774,3.5598949,3.5555861
1986-12-01,3.6377004,3.547735,3.4800833
1987-01-01,3.4766992,3.561959,3.5240979
1987-02-01,3.5699365,3.5717725,3.5218239
1987-03-01,3.0945875,3.4019766,3.3855791
1987-04-01,3.6402938,3.6790244,3.6251496
1987-05-01,3.9085461,4.0365134,3.9809201
1987-06-01,3.9808006,3.9936579,3.9050188
1987-07-01,4.0066156,4.0378481,3.9670631
1987-08-01,4.126315,4.1423663,4.0511275
1987-09-01,4.2771388,4.2525761,4.1489692
1987-10-01,4.3834831,4.3840176,4.2518415
1987-11-01,3.9721739,4.2185759,4.1747832
1987-12-01,4.083687,4.3057357,4.2591451
1988-01-01,3.6629208,4.2185048,4.2204345
1988-02-01,3.7866556,3.9079721,3.8472522
1988-03-01,3.6808433,3.8587,3.8109943
1988-04-01,3.9816855,4.0993614,4.0198724
1988-05-01,4.0994026,4.1527081,4.0553785
1988-06-01,3.9480755,4.2013861,4.1290591
1988-07-01,4.2701061,4.1914496,4.0784464
1988-08-01,4.362807,4.2245312,4.0871682
1988-09-01,4.414214,4.3112075,4.1697337
1988-10-01,4.3720582,4.1905648,4.0496883
1988-11-01,4.2504516,4.1247181,4.0008188
1988-12-01,4.4612583,4.2733455,4.1229057
1989-01-01,4.4802056,4.4231783,4.2885136
1989-02-01,4.4007674,4.3268648,4.1899346
1989-03-01,4.5305051,4.475805,4.3288816
1989-04-01,4.7028561,4.4522621,4.2662182
1989-05-01,4.852568,4.3287558,4.0993473
1989-06-01,4.3841384,4.1293704,3.9601983
1989-07-01,4.3266076,3.9122299,3.7419337
1989-08-01,4.127378,3.732451,3.5784885
1989-09-01,4.0212728,3.9228887,3.797509
1989-10-01,4.2239744,3.9787139,3.8261876
1989-11-01,3.9988063,3.8128033,3.6877522
1989-12-01,3.6603593,3.74474,3.6632645
1990-01-01,4.1516909,3.9338049,3.790805
1990-02-01,4.4318376,4.132471,3.9721427
1990-03-01,3.9925157,4.077403,3.9572843
1990-04-01,4.1347922,4.09831,3.9574181
1990-05-01,4.2465017,4.2719379,4.1366521
1990-06-01,4.1908762,4.0830436,3.9542983
1990-07-01,4.0715514,3.9965096,3.8638041
1990-08-01,4.1266926,3.9608557,3.8256958
1990-09-01,4.7322385,4.258632,4.0734267
1990-10-01,5.0042957,4.2196479,3.9925768
1990-11-01,4.9594235,4.1871576,3.9799187
1990-12-01,4.8876822,4.0668749,3.8566272
1991-01-01,4.0730006,3.9044912,3.8045971
1991-02-01,3.7918137,3.8019376,3.7259127
1991-03-01,3.7886339,3.9307824,3.8681694
1991-04-01,3.7570386,3.8447069,3.7655984
1991-05-01,3.6422551,3.8320852,3.7827617
1991-06-01,3.5765848,3.8973419,3.865324
1991-07-01,3.8492682,3.9622367,3.8906803
1991-08-01,3.7712021,3.9151705,3.8552348
1991-09-01,3.5858551,3.7365516,3.6904141
1991-10-01,3.5977558,3.6371727,3.589857
1991-11-01,3.4862803,3.5845422,3.5532004
1991-12-01,3.5525591,3.5340725,3.4956178
1992-01-01,3.2724393,3.3735655,3.3688217
1992-02-01,3.3409544,3.572292,3.5751286
1992-03-01,3.5870624,3.6410505,3.6100297
1992-04-01,3.3684803,3.6454319,3.641295
1992-05-01,3.4097229,3.6681125,3.6711864
1992-06-01,3.5547337,3.610977,3.5871738
1992-07-01,3.2800719,3.4417603,3.4468602
1992-08-01,3.113691,3.2935208,3.3154797
1992-09-01,3.0056291,3.1788101,3.2081161
1992-10-01,2.9535204,3.0571779,3.0892278
1992-11-01,3.0830561,3.3134226,3.3433578
1992-12-01,3.0122331,3.3930127,3.4364061
1993-01-01,3.0462732,3.2961372,3.3294652
1993-02-01,2.9146659,3.1436628,3.1872819
1993-03-01,2.9762001,2.9893232,3.0120671
1993-04-01,2.9080126,3.0250809,3.0608057
1993-05-01,2.8227684,2.9599668,3.0064162
1993-06-01,2.8107258,2.9650958,2.9998339
1993-07-01,2.8204755,2.9083766,2.946292
1993-08-01,2.8309168,2.9558867,2.9933546
1993-09-01,2.6860327,2.7977435,2.8470506
1993-10-01,2.7698057,2.8056769,2.8473516
1993-11-01,2.8056918,2.8765847,2.9136774
1993-12-01,2.6618748,2.9210619,2.9813298
1994-01-01,2.8546535,2.9871292,3.0223498
1994-02-01,2.8042649,2.9222979,2.9679993
1994-03-01,3.2724485,3.1994656,3.2001088
1994-04-01,3.2195329,3.4636815,3.4756939
1994-05-01,3.2434833,3.4494182,3.4511028
1994-06-01,3.4229273,3.5072882,3.4930951
1994-07-01,3.2848815,3.5899216,3.6032277
1994-08-01,3.2882372,3.4585097,3.4472497
1994-09-01,3.251555,3.4849932,3.4803927
1994-10-01,3.4983836,3.6959001,3.669374
1994-11-01,3.5738487,3.8060235,3.7800547
1994-12-01,3.9072213,3.8881283,3.8150244
1995-01-01,3.7001702,3.9098209,3.86664
1995-02-01,3.5637152,3.7985512,3.7690674
1995-03-01,3.474127,3.6076784,3.5760654
1995-04-01,3.4644238,3.5623481,3.5231408
1995-05-01,3.4662409,3.3939611,3.3296496
1995-06-01,3.0571159,3.0388568,3.015143
1995-07-01,3.2567759,3.1207426,3.0816679
1995-08-01,3.2675624,3.2087773,3.1708179
1995-09-01,3.2099157,3.1469164,3.1177132
1995-10-01,3.1309968,3.1003828,3.0711001
1995-11-01,2.9833163,3.0260705,3.0207028
1995-12-01,2.7518619,2.8396168,2.8370533
1996-01-01,3.0038319,2.9044142,2.8814735
1996-02-01,2.9196834,2.8735922,2.8671836
1996-03-01,2.6168022,2.9312469,2.9629321
1996-04-01,3.1333648,3.1386677,3.1097521
1996-05-01,3.2478188,3.2939379,3.2719934
1996-06-01,3.2261356,3.3792623,3.3646355
1996-07-01,3.144873,3.2777951,3.2589758
1996-08-01,3.1073244,3.2714208,3.2637507
1996-09-01,3.1347765,3.3626417,3.3520617
1996-10-01,3.1805381,3.291125,3.2741396
1996-11-01,3.0987135,3.201551,3.1953407
1996-12-01,2.9632444,3.0469903,3.040501
1997-01-01,3.1574043,3.2527803,3.2421093
1997-02-01,3.1308768,3.2410933,3.2370082
1997-03-01,3.2344619,3.2842784,3.2576053
1997-04-01,3.2328116,3.3945573,3.3733109
1997-05-01,3.1341546,3.3190744,3.3054865
1997-06-01,3.201087,3.3073558,3.2962754
1997-07-01,3.0903227,3.2099577,3.1968296
1997-08-01,2.9692178,3.1359342,3.1381246
1997-09-01,3.0134879,3.1510133,3.1400638
1997-10-01,2.9881361,3.1114874,3.1142757
1997-11-01,2.9327548,3.0804703,3.0902691
1997-12-01,2.9354614,3.0051158,2.9939903
1998-01-01,2.7570107,2.9382678,2.9523563
1998-02-01,2.6177094,2.880843,2.9135125
1998-03-01,2.8714847,2.9492702,2.9446482
1998-04-01,2.7267374,2.9132183,2.9271605
1998-05-01,2.644841,2.9397546,2.9741111
1998-06-01,2.4650222,2.8680824,2.9159772
1998-07-01,2.7361812,2.9067383,2.9275565
1998-08-01,2.7124419,2.8945642,2.9154367
1998-09-01,2.5336411,2.7051991,2.7392548
1998-10-01,2.3601762,2.3610562,2.407417
1998-11-01,2.3458166,2.4871923,2.5441109
1998-12-01,2.2704824,2.4476835,2.5016398
1999-01-01,2.395567,2.5374704,2.5871265
1999-02-01,2.4182198,2.5762176,2.6252973
1999-03-01,2.7113296,2.7759983,2.789154
1999-04-01,2.7007827,2.7859107,2.7963377
1999-05-01,2.7428736,2.8328002,2.8490328
1999-06-01,2.3467564,2.8834057,2.9371065
1999-07-01,2.8008632,2.9953284,3.0105503
1999-08-01,2.8129568,3.0416531,3.0557115
1999-09-01,2.6882069,3.0610875,3.0939121
1999-10-01,2.8762836,3.116893,3.134861
1999-11-01,2.9859271,3.1453348,3.1492332
1999-12-01,3.1640203,3.2277521,3.2173645
2000-01-01,3.080288,3.2823419,3.2743698
2000-02-01,3.1570678,3.3621613,3.3488244
2000-03-01,3.2388566,3.3569548,3.3286618
2000-04-01,3.1606735,3.209133,3.1782392
2000-05-01,3.3126257,3.3170395,3.2724233
2000-06-01,3.7602013,3.3996781,3.3262841
2000-07-01,3.0862813,3.117007,3.0885155
2000-08-01,3.1234906,3.1030372,3.0654361
2000-09-01,3.1741185,3.0379651,2.9890166
2000-10-01,3.1062109,3.0050308,2.9611545
2000-11-01,3.0989798,2.9938058,2.9558753
2000-12-01,3.1672986,2.92333,2.8761227
2001-01-01,2.6536536,2.5494034,2.5332933
2001-02-01,2.632136,2.621347,2.6418159
2001-03-01,2.1422446,2.4433275,2.4986875
2001-04-01,2.5592129,2.5638164,2.586794
2001-05-01,2.7238774,2.7393712,2.7619294
2001-06-01,2.7511842,2.8132368,2.8453051
2001-07-01,2.6878453,2.7770899,2.8069829
2001-08-01,2.5859519,2.6512123,2.6864373
2001-09-01,3.1152263,2.7639095,2.7490267
2001-10-01,2.2912795,2.4540425,2.5279263
2001-11-01,2.0813513,2.3031101,2.3965374
2001-12-01,2.7313753,2.5981913,2.6393462
2002-01-01,2.2902539,2.690029,2.7899369
2002-02-01,2.1457897,2.598242,2.7123769
2002-03-01,2.013877,2.5771039,2.7046551
2002-04-01,2.5878316,2.8771123,2.9520356
2002-05-01,2.6186536,2.726947,2.7927848
2002-06-01,2.3419254,2.6363852,2.7303686
2002-07-01,2.3480992,2.5567135,2.6473991
2002-08-01,2.1314545,2.2898134,2.3926105
2002-09-01,2.0411286,2.1123063,2.2175256
2002-10-01,2.0053377,2.0140466,2.1200192
2002-11-01,2.0305948,2.0833957,2.1935127
2002-12-01,1.9511579,2.1991385,2.3274091
2003-01-01,2.0790118,2.1398604,2.2439394
2003-02-01,2.1065381,2.1441728,2.2455641
2003-03-01,1.903343,1.961785,2.0783864
2003-04-01,1.9895133,2.0118818,2.1166901
2003-05-01,1.8385312,1.9938746,2.1170777
2003-06-01,2.2847306,1.9096553,1.9788142
2003-07-01,1.6263355,1.8271572,1.973451
2003-08-01,1.8526073,2.1533766,2.2894709
2003-09-01,1.9804944,2.2694506,2.3966164
2003-10-01,1.7885532,1.9707333,2.1063259
2003-11-01,1.9308072,2.1622536,2.2911369
2003-12-01,2.2234564,2.2638564,2.3653793
2004-01-01,1.9069713,2.1820702,2.3167501
2004-02-01,1.9871939,2.1503905,2.2754574
2004-03-01,1.7042839,2.0215474,2.1716856
2004-04-01,1.8527671,2.0143899,2.1480768
2004-05-01,2.2141024,2.346638,2.4546894
2004-06-01,2.5740778,2.4943283,2.5673682
2004-07-01,2.2558469,2.3982173,2.501857
2004-08-01,2.3408529,2.3820341,2.4716518
2004-09-01,2.6767708,2.3099442,2.3558656
2004-10-01,2.145831,2.248695,2.3505515
2004-11-01,2.2068239,2.2193785,2.3070912
2004-12-01,1.7525286,2.2120976,2.3469422
2005-01-01,2.1405957,2.272125,2.3687512
2005-02-01,2.1370072,2.2774428,2.3706533
2005-03-01,2.3342418,2.4031048,2.474904
2005-04-01,2.4622893,2.4627918,2.5215946
2005-05-01,2.5780667,2.3666671,2.4035554
2005-06-01,2.3619011,2.2411759,2.2949612
2005-07-01,2.3318043,2.3035728,2.359812
