date,Initial Claims,Initial Claims - 4 Week Average,Continuing Claims,Continuing Claims - 4 Week Average,Insured Unemployment Rate
1967-01-07,208000.0,,1134000.0,,
1967-01-14,207000.0,,1119000.0,,
1967-01-21,217000.0,,1119000.0,,
1967-01-28,204000.0,209000.0,1103000.0,1118750.0,
1967-02-04,216000.0,211000.0,1131000.0,1118000.0,
1967-02-11,229000.0,216500.0,1153000.0,1126500.0,
1967-02-18,229000.0,219500.0,1167000.0,1138500.0,
1967-02-25,242000.0,229000.0,1199000.0,1162500.0,
1967-03-04,310000.0,252500.0,1235000.0,1188500.0,
1967-03-11,241000.0,255500.0,1234000.0,1208750.0,
1967-03-18,245000.0,259500.0,1236000.0,1226000.0,
1967-03-25,247000.0,260750.0,1268000.0,1243250.0,
1967-04-01,259000.0,248000.0,1291000.0,1257250.0,
1967-04-08,257000.0,252000.0,1273000.0,1267000.0,
1967-04-15,299000.0,265500.0,1278000.0,1277500.0,
1967-04-22,245000.0,265000.0,1277000.0,1279750.0,
1967-04-29,255000.0,264000.0,1286000.0,1278500.0,
1967-05-06,254000.0,263250.0,1308000.0,1287250.0,
1967-05-13,231000.0,246250.0,1284000.0,1288750.0,
1967-05-20,230000.0,242500.0,1265000.0,1285750.0,
1967-05-27,228000.0,235750.0,1253000.0,1277500.0,
1967-06-03,248000.0,234250.0,1265000.0,1266750.0,
1967-06-10,238000.0,236000.0,1251000.0,1258500.0,
1967-06-17,224000.0,234500.0,1248000.0,1254250.0,
1967-06-24,218000.0,232000.0,1220000.0,1246000.0,
1967-07-01,209000.0,222250.0,1193000.0,1228000.0,
1967-07-08,240000.0,222750.0,1248000.0,1227250.0,
1967-07-15,241000.0,227000.0,1258000.0,1229750.0,
1967-07-22,240000.0,232500.0,1252000.0,1237750.0,
1967-07-29,209000.0,232500.0,1280000.0,1259500.0,
1967-08-05,221000.0,227750.0,1240000.0,1257500.0,
1967-08-12,202000.0,218000.0,1215000.0,1246750.0,
1967-08-19,215000.0,211750.0,1202000.0,1234250.0,
1967-08-26,213000.0,212750.0,1180000.0,1209250.0,
1967-09-02,218000.0,212000.0,1204000.0,1200250.0,
1967-09-09,231000.0,219250.0,1189000.0,1193750.0,
1967-09-16,220000.0,220500.0,1179000.0,1188000.0,
1967-09-23,209000.0,219500.0,1178000.0,1187500.0,
1967-09-30,204000.0,216000.0,1157000.0,1175750.0,
1967-10-07,231000.0,216000.0,1165000.0,1169750.0,
1967-10-14,206000.0,212500.0,1189000.0,1172250.0,
1967-10-21,223000.0,216000.0,1174000.0,1171250.0,
1967-10-28,207000.0,216750.0,1161000.0,1172250.0,
1967-11-04,222000.0,214500.0,1176000.0,1175000.0,
1967-11-11,214000.0,216500.0,1142000.0,1163250.0,
1967-11-18,198000.0,210250.0,1133000.0,1153000.0,
1967-11-25,191000.0,206250.0,1142000.0,1148250.0,
1967-12-02,196000.0,199750.0,1150000.0,1141750.0,
1967-12-09,221000.0,201500.0,1153000.0,1144500.0,
1967-12-16,204000.0,203000.0,1188000.0,1158250.0,
1967-12-23,219000.0,210000.0,1195000.0,1171500.0,
1967-12-30,216000.0,215000.0,1167000.0,1175750.0,
1968-01-06,222000.0,215250.0,1158000.0,1177000.0,
1968-01-13,222000.0,219750.0,1187000.0,1176750.0,
1968-01-20,221000.0,220250.0,1191000.0,1175750.0,
1968-01-27,198000.0,215750.0,1157000.0,1173250.0,
1968-02-03,244000.0,221250.0,1173000.0,1177000.0,
1968-02-10,210000.0,218250.0,1175000.0,1174000.0,
1968-02-17,196000.0,212000.0,1143000.0,1162000.0,
1968-02-24,193000.0,210750.0,1165000.0,1164000.0,
1968-03-02,190000.0,197250.0,1151000.0,1158500.0,
1968-03-09,204000.0,195750.0,1147000.0,1151500.0,
1968-03-16,190000.0,194250.0,1143000.0,1151500.0,
