date,Job Openings: Total Nonfarm,Hires: Total Nonfarm,Total Separations: Total Nonfarm,Quits: Total Nonfarm,Layoffs and Discharges: Total Nonfarm
2000-12-01,5088.0,5426.0,5240.0,2882.0,2018.0
2001-01-01,5234.0,5722.0,5842.0,3245.0,2220.0
2001-02-01,5097.0,5303.0,5231.0,3053.0,1855.0
2001-03-01,4762.0,5528.0,5566.0,3054.0,2133.0
2001-04-01,4615.0,5204.0,5414.0,3163.0,1883.0
2001-05-01,4425.0,5410.0,5390.0,2993.0,2029.0
2001-06-01,4361.0,5109.0,5249.0,2878.0,2015.0
2001-07-01,4447.0,5244.0,5380.0,2947.0,2038.0
2001-08-01,4024.0,5223.0,5355.0,2928.0,2011.0
2001-09-01,4071.0,4954.0,5184.0,2703.0,2107.0
2001-10-01,3707.0,5078.0,5464.0,2795.0,2319.0
2001-11-01,3775.0,4914.0,5150.0,2560.0,2255.0
2001-12-01,3677.0,4829.0,4848.0,2559.0,1922.0
2002-01-01,3699.0,4855.0,5117.0,2845.0,1907.0
2002-02-01,3436.0,4801.0,4929.0,2572.0,1978.0
2002-03-01,3612.0,4706.0,4756.0,2493.0,1883.0
2002-04-01,3471.0,4928.0,4979.0,2624.0,1956.0
2002-05-01,3457.0,4857.0,4834.0,2537.0,1967.0
2002-06-01,3412.0,4869.0,4887.0,2522.0,2015.0
2002-07-01,3367.0,4946.0,5054.0,2561.0,2102.0
2002-08-01,3517.0,4871.0,4846.0,2561.0,1923.0
2002-09-01,3301.0,4879.0,4919.0,2521.0,2022.0
2002-10-01,3479.0,4798.0,4733.0,2423.0,1935.0
2002-11-01,3514.0,4792.0,4750.0,2403.0,1944.0
2002-12-01,3169.0,4893.0,4928.0,2501.0,2007.0
2003-01-01,3441.0,5058.0,4953.0,2429.0,2109.0
2003-02-01,3229.0,4714.0,4871.0,2490.0,2015.0
2003-03-01,3099.0,4470.0,4749.0,2394.0,1949.0
2003-04-01,3108.0,4600.0,4653.0,2279.0,1998.0
2003-05-01,3289.0,4678.0,4716.0,2291.0,2072.0
2003-06-01,3390.0,4682.0,4718.0,2315.0,2076.0
2003-07-01,2981.0,4639.0,4661.0,2271.0,2062.0
2003-08-01,3190.0,4666.0,4679.0,2195.0,2162.0
2003-09-01,3091.0,4799.0,4645.0,2354.0,1932.0
2003-10-01,3305.0,4902.0,4749.0,2415.0,1969.0
2003-11-01,3324.0,4767.0,4700.0,2411.0,1951.0
2003-12-01,3414.0,4984.0,4785.0,2444.0,2007.0
2004-01-01,3424.0,4900.0,4722.0,2354.0,2037.0
2004-02-01,3532.0,4788.0,4754.0,2448.0,1985.0
2004-03-01,3525.0,5227.0,4996.0,2582.0,2065.0
2004-04-01,3511.0,5152.0,4854.0,2534.0,2010.0
2004-05-01,3710.0,4976.0,4688.0,2428.0,1914.0
2004-06-01,3337.0,5009.0,4896.0,2659.0,1887.0
2004-07-01,3814.0,4891.0,4828.0,2609.0,1885.0
2004-08-01,3541.0,5013.0,4904.0,2586.0,1974.0
2004-09-01,3821.0,5062.0,4886.0,2531.0,2027.0
2004-10-01,3943.0,5149.0,4786.0,2550.0,1903.0
2004-11-01,3472.0,5181.0,5134.0,2789.0,2037.0
2004-12-01,4074.0,5153.0,4964.0,2695.0,1951.0
2005-01-01,3804.0,5201.0,5045.0,2732.0,2008.0
2005-02-01,3965.0,5276.0,5075.0,2651.0,2068.0
