date,U-1 Unemployed 15+ Weeks as % of Labor Force,U-2 Job Losers as % of Labor Force,U-4 + Discouraged Workers,U-5 + Other Marginally Attached,Unemployed Less Than 5 Weeks (000s),Unemployed 5-14 Weeks (000s),Unemployed 15-26 Weeks (000s),Total Unemployed (000s),Average Duration of Unemployment (Weeks),Civilian Labor Force Level (000s),Labor Force Participation Rate,Employment-Population Ratio,Average Weekly Hours - All Employees,Average Hourly Earnings - Production Workers,Hires: Total Nonfarm,Total Separations: Total Nonfarm,Quits: Total Nonfarm,Layoffs and Discharges: Total Nonfarm,Job Openings Rate,Total Separations Rate,Layoffs and Discharges Rate,Multiple Jobholders (000s),Multiple Jobholders as % of Employed,Part-Time for Economic Reasons (000s),Aggregate Weekly Payrolls Index,Temp Help Services Employment (000s),Continuing Claims,Continuing Claims - 4 Week Average,Insured Unemployment Rate
1948-01-01,0.5,,,,1188.0,507.0,183.0,2034.0,8.9,60095.0,58.6,56.6,,,,,,,,,,,,,,,,,
1948-02-01,0.5,,,,1377.0,677.0,162.0,2328.0,8.4,60524.0,58.9,56.7,,,,,,,,,,,,,,,,,
1948-03-01,0.5,,,,1279.0,830.0,182.0,2399.0,8.7,60070.0,58.5,56.1,,,,,,,,,,,,,,,,,
1948-04-01,0.5,,,,1461.0,694.0,215.0,2386.0,8.5,60677.0,59.0,56.7,,,,,,,,,,,,,,,,,
1948-05-01,0.5,,,,1146.0,671.0,220.0,2118.0,9.1,59972.0,58.3,56.2,,,,,,,,,,,,,,,,,
1948-06-01,0.5,,,,1287.0,611.0,204.0,2214.0,8.8,60957.0,59.2,57.0,,,,,,,,,,,,,,,,,
1948-07-01,0.5,,,,1259.0,643.0,188.0,2213.0,8.6,61181.0,59.3,57.1,,,,,,,,,,,,,,,,,
1948-08-01,0.5,,,,1511.0,591.0,204.0,2350.0,8.8,60806.0,58.9,56.6,,,,,,,,,,,,,,,,,
1948-09-01,0.5,,,,1245.0,759.0,171.0,2302.0,8.5,60815.0,58.9,56.6,,,,,,,,,,,,,,,,,
1948-10-01,0.5,,,,1210.0,655.0,188.0,2259.0,9.5,60646.0,58.7,56.5,,,,,,,,,,,,,,,,,
1948-11-01,0.5,,,,1251.0,682.0,187.0,2285.0,7.8,60702.0,58.7,56.5,,,,,,,,,,,,,,,,,
1948-12-01,0.5,,,,1432.0,696.0,206.0,2429.0,8.1,61169.0,59.1,56.8,,,,,,,,,,,,,,,,,
1949-01-01,0.5,,,,1510.0,715.0,211.0,2596.0,8.2,60771.0,58.7,56.2,,,,,,,,,,,,,,,,,
1949-02-01,0.6,,,,1603.0,889.0,244.0,2849.0,8.3,61057.0,59.0,56.2,,,,,,,,,,,,,,,,,
1949-03-01,0.7,,,,1631.0,1025.0,298.0,3030.0,8.3,61073.0,58.9,56.0,,,,,,,,,,,,,,,,,
1949-04-01,0.8,,,,1652.0,1171.0,325.0,3260.0,8.8,61007.0,58.8,55.7,,,,,,,,,,,,,,,,,
1949-05-01,1.0,,,,1884.0,1247.0,410.0,3707.0,9.1,61259.0,59.0,55.4,,,,,,,,,,,,,,,,,
1949-06-01,1.2,,,,1729.0,1405.0,455.0,3776.0,10.0,60948.0,58.6,55.0,,,,,,,,,,,,,,,,,
1949-07-01,1.4,,,,1852.0,1410.0,539.0,4111.0,10.8,61301.0,58.9,55.0,,,,,,,,,,,,,,,,,
1949-08-01,1.5,,,,1874.0,1472.0,578.0,4193.0,11.0,61590.0,59.2,55.1,,,,,,,,,,,,,,,,,
1949-09-01,1.6,,,,1651.0,1506.0,618.0,4049.0,11.7,61633.0,59.1,55.3,,,,,,,,,,,,,,,,,
1949-10-01,1.6,,,,2332.0,1385.0,632.0,4916.0,10.9,62185.0,59.6,54.9,,,,,,,,,,,,,,,,,
1949-11-01,1.7,,,,1747.0,1242.0,626.0,3996.0,11.6,62005.0,59.4,55.6,,,,,,,,,,,,,,,,,
1949-12-01,1.6,,,,1748.0,1400.0,552.0,4063.0,11.8,61908.0,59.2,55.3,,,,,,,,,,,,,,,,,
1950-01-01,1.5,,,,1780.0,1256.0,549.0,4026.0,11.3,61661.0,58.9,55.1,,,,,,,,,,,,,,,,,
1950-02-01,1.5,,,,1600.0,1333.0,541.0,3936.0,11.8,61687.0,58.9,55.1,,,,,,,,,,,,,,,,,
1950-03-01,1.5,,,,1503.0,1329.0,490.0,3876.0,12.4,61604.0,58.8,55.1,,,,,,,,,,,,,,,,,
1950-04-01,1.5,,,,1472.0,1126.0,450.0,3575.0,12.6,62158.0,59.2,55.8,,,,,,,,,,,,,,,,,
1950-05-01,1.4,,,,1464.0,1011.0,475.0,3434.0,12.7,62083.0,59.1,55.8,,,,,,,,,,,,,,,,,
1950-06-01,1.4,,,,1468.0,1090.0,445.0,3367.0,13.1,62419.0,59.4,56.2,,,,,,,,,,,,,,,,,
1950-07-01,1.2,,,,1411.0,955.0,431.0,3120.0,12.5,62121.0,59.1,56.1,,,,,,,,,,,,,,,,,
1950-08-01,1.0,,,,1251.0,953.0,335.0,2799.0,12.2,62596.0,59.5,56.8,,,,,,,,,,,,,,,,,
1950-09-01,1.0,,,,1272.0,888.0,350.0,2774.0,12.2,62349.0,59.2,56.6,,,,,,,,,,,,,,,,,
1950-10-01,0.9,,,,1262.0,752.0,266.0,2625.0,12.3,62428.0,59.4,56.9,,,,,,,,,,,,,,,,,
1950-11-01,0.8,,,,1354.0,755.0,247.0,2589.0,10.7,62286.0,59.3,56.9,,,,,,,,,,,,,,,,,
1950-12-01,0.8,,,,1459.0,725.0,265.0,2639.0,10.7,62068.0,59.2,56.7,,,,,,,,,,,,,,,,,
1951-01-01,0.7,,,,1115.0,687.0,259.0,2305.0,10.6,61941.0,59.1,56.9,,,,,,,,,,,,,,,,,
1951-02-01,0.6,,,,1107.0,608.0,188.0,2117.0,10.8,61778.0,59.1,57.0,,,,,,,,,,,,,,,,,
1951-03-01,0.6,,,,1215.0,558.0,202.0,2125.0,10.1,62526.0,59.8,57.7,,,,,,,,,,,,,,,,,
