date,MBA Purchase Index,MBA Purchase Index 4-Week Avg,MBA Purchase Index 13-Week Avg
1990-01-05,80.2,,
1990-01-12,83.3,,
1990-01-19,101.2,,
1990-01-26,104.9,92.4,
1990-02-02,95.3,96.17,
1990-02-09,93.2,98.65,
1990-02-16,93.4,96.7,
1990-02-23,118.8,100.17,
1990-03-02,95.5,100.23,
1990-03-09,88.7,99.1,
1990-03-16,86.7,97.42,
1990-03-23,94.3,91.3,
1990-03-30,96.2,91.47,94.75
1990-04-06,86.7,90.97,95.25
1990-04-13,114.2,97.85,97.62
1990-04-20,81.2,94.58,96.08
1990-04-27,82.9,91.25,94.39
1990-05-04,81.5,89.95,93.33
1990-05-11,85.8,82.85,92.76
1990-05-18,85.2,83.85,92.13
1990-05-25,89.5,85.5,89.88
1990-06-01,101.1,90.4,90.31
1990-06-08,99.8,93.9,91.16
1990-06-15,91.8,95.55,91.55
1990-06-22,81.5,93.55,90.57
1990-06-29,85.8,89.73,89.77
1990-07-06,98.4,89.38,90.67
1990-07-13,84.2,87.48,88.36
1990-07-20,86.5,88.72,88.77
1990-07-27,85.5,88.65,88.97
1990-08-03,93.6,87.45,89.9
1990-08-10,102.6,92.05,91.19
1990-08-17,82.3,91.0,90.97
1990-08-24,90.7,92.3,91.06
1990-08-31,76.7,88.07,89.18
1990-09-07,76.0,81.42,87.35
1990-09-14,82.9,81.58,86.67
1990-09-21,81.9,79.38,86.7
1990-09-28,81.0,80.45,86.33
1990-10-05,81.3,81.78,85.02
1990-10-12,83.6,81.95,84.97
1990-10-19,63.4,77.33,83.19
1990-10-26,71.5,74.95,82.12
1990-11-02,79.8,74.58,81.05
1990-11-09,82.0,74.17,79.47
1990-11-16,79.6,78.22,79.26
1990-11-23,75.5,79.22,78.09
1990-11-30,92.3,82.35,79.29
1990-12-07,88.7,84.02,80.27
1990-12-14,92.9,87.35,81.04
1990-12-21,80.5,88.6,80.93
1990-12-28,53.5,78.9,78.82
1991-01-04,67.2,73.53,77.73
1991-01-11,108.0,77.3,79.61
1991-01-18,92.4,80.28,81.84
1991-01-25,81.9,87.38,82.64
1991-02-01,77.8,90.03,82.48
1991-02-08,84.4,84.12,82.67
1991-02-15,92.0,84.03,83.62
1991-02-22,141.0,98.8,88.66
1991-03-01,108.0,106.35,89.87
1991-03-08,96.1,109.28,90.44
1991-03-15,103.3,112.1,91.24
1991-03-22,118.4,106.45,94.15
1991-03-29,147.2,116.25,101.36
1991-04-05,105.5,118.6,104.31
1991-04-12,112.4,120.88,104.65
1991-04-19,113.2,119.58,106.25
1991-04-26,116.9,112.0,108.94
1991-05-03,106.7,112.3,111.16
1991-05-10,113.3,112.53,113.38
1991-05-17,117.7,113.65,115.36
1991-05-24,119.8,114.38,113.73
1991-05-31,129.1,119.97,115.35
1991-06-07,128.2,123.7,117.82
1991-06-14,109.7,121.7,118.32
1991-06-21,107.1,118.52,117.45
1991-06-28,110.5,113.88,114.62
1991-07-05,121.6,112.22,115.86
1991-07-12,111.9,112.78,115.82
1991-07-19,130.2,118.55,117.13
1991-07-26,103.8,116.88,116.12
1991-08-02,105.2,112.77,116.01
1991-08-09,101.7,110.22,115.12
1991-08-16,100.3,102.75,113.78
1991-08-23,108.5,103.92,112.91
1991-08-30,110.6,105.28,111.48
1991-09-06,104.8,106.05,109.68
1991-09-13,109.1,108.25,109.64
1991-09-20,102.7,106.8,109.3
1991-09-27,111.0,106.9,109.34
1991-10-04,104.7,106.88,108.04
1991-10-11,126.4,111.2,109.15
1991-10-18,108.2,112.58,107.46
1991-10-25,109.6,112.22,107.91
1991-11-01,99.2,110.85,107.45
1991-11-08,106.3,105.83,107.8
1991-11-15,113.9,107.25,108.85
1991-11-22,106.1,106.38,108.66
1991-11-29,92.0,104.57,107.23
1991-12-06,107.7,104.92,107.45
1991-12-13,115.1,105.22,107.92
1991-12-20,99.4,103.55,107.66
1991-12-27,78.8,100.25,105.18
1992-01-03,92.8,96.53,104.27
1992-01-10,122.2,98.3,103.95
1992-01-17,148.9,110.68,107.08
1992-01-24,144.4,127.07,109.75
1992-01-31,155.9,142.85,114.12
1992-02-07,143.6,148.2,116.98
1992-02-14,138.4,145.57,118.87
1992-02-21,132.6,142.62,120.91
1992-02-28,102.9,129.38,121.75
1992-03-06,115.2,122.27,122.32
1992-03-13,118.8,117.38,122.61
1992-03-20,111.8,112.18,123.56
1992-03-27,117.9,115.93,126.57
1992-04-03,104.1,113.15,127.44
1992-04-10,109.6,110.85,126.47
1992-04-17,146.6,119.55,126.29
1992-04-24,111.5,117.95,123.76
1992-05-01,110.9,119.65,120.3
1992-05-08,112.2,120.3,117.88
1992-05-15,112.0,111.65,115.85
1992-05-22,116.3,112.85,114.6
1992-05-29,136.9,119.35,117.22
1992-06-05,117.3,120.63,117.38
1992-06-12,118.4,122.22,117.35
1992-06-19,117.6,122.55,117.79
1992-06-26,114.9,117.05,117.56
1992-07-03,128.8,119.92,119.46
1992-07-10,114.5,118.95,119.84
1992-07-17,147.6,126.45,119.92
1992-07-24,143.6,133.62,122.38
1992-07-31,157.7,140.85,125.98
1992-08-07,130.0,144.72,127.35
1992-08-14,142.4,143.42,129.69
1992-08-21,152.4,145.62,132.47
1992-08-28,146.2,142.75,133.18
1992-09-04,140.9,145.47,135.0
1992-09-11,169.5,152.25,138.93
1992-09-18,150.3,151.73,141.45
1992-09-25,128.0,147.18,142.45
1992-10-02,132.2,145.0,142.72
1992-10-09,131.2,135.43,144.0
1992-10-16,134.3,131.43,142.98
1992-10-23,148.6,136.57,143.36
1992-10-30,148.1,140.55,142.62
1992-11-06,163.9,148.72,145.23
1992-11-13,138.8,149.85,144.95
1992-11-20,147.2,149.5,144.55
1992-11-27,102.8,138.18,141.22
1992-12-04,136.1,131.22,140.85
1992-12-11,152.0,134.53,139.5
1992-12-18,132.1,130.75,138.1
1992-12-25,120.7,135.23,137.54
1993-01-01,176.0,145.2,140.91
1993-01-08,120.2,137.25,140.06
1993-01-15,124.9,135.45,139.34
1993-01-22,125.0,136.53,137.52
1993-01-29,143.9,128.5,137.2
1993-02-05,140.7,133.62,135.42
1993-02-12,141.5,137.77,135.62
1993-02-19,194.6,155.18,139.27
1993-02-26,139.3,154.02,142.08
1993-03-05,145.2,155.15,142.78
1993-03-12,147.7,156.7,142.45
1993-03-19,145.6,144.45,143.48
1993-03-26,162.9,150.35,146.73
1993-04-02,161.4,154.4,145.61
1993-04-09,192.3,165.55,151.15
1993-04-16,156.3,168.23,153.57
1993-04-23,155.9,166.48,155.95
1993-04-30,167.6,168.03,157.77
1993-05-07,143.1,155.73,157.95
1993-05-14,151.4,154.5,158.72
1993-05-21,149.4,152.88,155.24
1993-05-28,156.8,150.18,156.58
1993-06-04,171.6,157.3,158.62
1993-06-11,154.2,158.0,159.12
1993-06-18,158.7,160.32,160.12
1993-06-25,146.9,157.85,158.89
1993-07-02,163.2,155.75,159.03
1993-07-09,175.4,161.05,157.73
1993-07-16,157.1,160.65,157.79
1993-07-23,179.9,168.9,159.64
1993-07-30,155.3,166.93,158.69
1993-08-06,154.2,161.62,159.55
1993-08-13,151.1,160.12,159.52
1993-08-20,146.7,151.82,159.32
1993-08-27,154.4,151.6,159.13
1993-09-03,173.2,156.35,159.25
1993-09-10,180.6,163.72,161.28
1993-09-17,186.0,173.55,163.38
1993-09-24,168.2,177.0,165.02
1993-10-01,164.3,174.77,165.11
1993-10-08,158.2,169.18,163.78
1993-10-15,170.4,165.28,164.81
1993-10-22,167.0,164.97,163.82
1993-10-29,160.0,163.9,164.18
1993-11-05,170.9,167.07,165.46
1993-11-12,167.3,166.3,166.71
1993-11-19,181.1,169.82,169.35
1993-11-26,129.6,162.23,167.45
1993-12-03,173.0,162.75,167.43
1993-12-10,174.2,164.47,166.94
1993-12-17,160.4,159.3,164.97
1993-12-24,111.9,154.88,160.64
1993-12-31,137.5,146.0,158.58
1994-01-07,111.9,130.43,155.02
1994-01-14,154.1,128.85,153.76
1994-01-21,129.8,133.32,150.9
1994-01-28,143.3,134.78,149.62
1994-02-04,156.7,145.97,148.52
1994-02-11,135.1,141.22,146.05
1994-02-18,141.0,144.03,142.96
1994-02-25,187.4,155.05,147.41
1994-03-04,154.9,154.6,146.02
1994-03-11,145.6,157.22,143.82
1994-03-18,142.3,157.55,142.42
1994-03-25,160.6,150.85,146.17
1994-04-01,204.9,163.35,151.35
1994-04-08,146.2,163.5,153.99
1994-04-15,144.8,164.12,153.28
1994-04-22,158.2,163.53,155.46
1994-04-29,151.3,150.12,156.08
1994-05-06,145.5,149.95,155.22
1994-05-13,143.7,149.68,155.88
1994-05-20,154.8,148.82,156.94
1994-05-27,139.6,145.9,153.26
1994-06-03,147.8,146.48,152.72
1994-06-10,148.7,147.72,152.95
1994-06-17,143.8,144.97,153.07
1994-06-24,140.4,145.18,151.52
1994-07-01,147.2,145.02,147.08
1994-07-08,150.2,145.4,147.38
1994-07-15,136.9,143.68,146.78
1994-07-22,146.2,145.12,145.85
1994-07-29,139.9,143.3,144.98
1994-08-05,147.1,142.53,145.1
1994-08-12,139.0,143.05,144.74
1994-08-19,150.5,144.12,144.41
1994-08-26,130.4,141.75,143.7
1994-09-02,137.2,139.27,142.88
1994-09-09,139.6,139.42,142.18
1994-09-16,134.7,135.48,141.48
1994-09-23,136.8,137.07,141.21
1994-09-30,142.1,138.3,140.82
1994-10-07,142.0,138.9,140.18
1994-10-14,133.3,138.55,139.91
1994-10-21,134.1,137.88,138.98
1994-10-28,131.7,135.27,138.35
1994-11-04,136.8,133.97,137.55
1994-11-11,133.4,134.0,137.12
1994-11-18,167.5,142.35,138.43
1994-11-25,105.0,135.68,136.48
1994-12-02,139.7,136.4,136.67
1994-12-09,140.6,138.2,136.75
1994-12-16,133.9,129.8,136.68
1994-12-23,112.7,131.72,134.83
1994-12-30,95.7,120.72,131.26
1995-01-06,125.3,116.9,129.98
1995-01-13,124.9,114.65,129.33
1995-01-20,130.4,119.07,129.05
1995-01-27,138.0,129.65,129.53
1995-02-03,154.1,136.85,130.86
1995-02-10,125.3,136.95,130.24
1995-02-17,113.9,132.83,126.12
1995-02-24,163.4,139.17,130.61
1995-03-03,134.2,134.2,130.18
1995-03-10,135.2,136.68,129.77
1995-03-17,143.2,144.0,130.48
1995-03-24,138.7,137.82,132.48
1995-03-31,146.0,140.77,136.35
1995-04-07,136.8,141.18,137.24
1995-04-14,177.9,149.85,141.32
1995-04-21,138.7,149.85,141.95
1995-04-28,146.7,150.03,142.62
1995-05-05,145.7,152.25,141.98
1995-05-12,173.8,151.22,145.71
1995-05-19,153.9,155.03,148.78
1995-05-26,151.2,156.15,147.85
1995-06-02,183.2,165.53,151.62
1995-06-09,184.6,168.22,155.42
1995-06-16,169.8,172.2,157.46
1995-06-23,157.8,173.85,158.93
1995-06-30,165.8,169.5,160.45
1995-07-07,153.2,161.65,161.72
1995-07-14,174.8,162.9,161.48
1995-07-21,165.5,164.82,163.54
1995-07-28,153.4,161.72,164.05
1995-08-04,156.7,162.6,164.9
1995-08-11,155.6,157.8,163.5
1995-08-18,151.3,154.25,163.3
1995-08-25,153.8,154.35,163.5
1995-09-01,185.8,161.62,163.7
1995-09-08,190.7,170.4,164.17
1995-09-15,184.6,178.72,165.31
1995-09-22,202.1,190.8,168.72
1995-09-29,180.3,189.43,169.83
1995-10-06,180.7,186.93,171.95
1995-10-13,184.6,186.92,172.7
1995-10-20,193.7,184.82,174.87
1995-10-27,188.9,186.97,177.6
1995-11-03,183.7,187.72,179.68
1995-11-10,199.1,191.35,183.02
1995-11-17,197.7,192.35,186.59
1995-11-24,173.0,188.38,188.07
1995-12-01,198.6,192.1,189.05
1995-12-08,213.9,195.8,190.84
1995-12-15,190.0,193.88,191.25
1995-12-22,218.3,205.2,192.5
1995-12-29,202.6,206.2,194.22
1996-01-05,170.4,195.32,193.42
1996-01-12,165.8,189.27,191.98
1996-01-19,180.9,179.92,190.99
1996-01-26,189.8,176.73,191.06
1996-02-02,163.3,174.95,189.49
1996-02-09,157.4,172.85,186.28
1996-02-16,173.0,170.88,184.38
1996-02-23,199.9,173.4,186.45
1996-03-01,181.3,177.9,185.12
1996-03-08,173.4,181.9,182.01
1996-03-15,176.4,182.75,180.96
1996-03-22,164.9,174.0,176.85
1996-03-29,200.5,178.8,176.69
1996-04-05,195.1,184.22,178.59
1996-04-12,166.7,181.8,178.66
1996-04-19,172.4,183.67,178.01
1996-04-26,175.2,177.35,176.88
1996-05-03,209.6,180.97,180.45
1996-05-10,172.0,182.3,181.57
1996-05-17,175.5,183.07,181.76
1996-05-24,178.4,183.88,180.11
1996-05-31,210.2,184.02,182.33
1996-06-07,183.9,187.0,183.14
1996-06-14,181.4,188.47,183.52
1996-06-21,175.5,187.75,184.34
1996-06-28,193.9,183.67,183.83
1996-07-05,197.6,187.1,184.02
1996-07-12,167.0,183.5,184.05
1996-07-19,184.8,185.82,185.0
1996-07-26,176.6,181.5,185.11
1996-08-02,189.9,179.57,183.59
1996-08-09,176.3,181.9,183.92
1996-08-16,177.6,180.1,184.08
1996-08-23,172.8,179.15,183.65
1996-08-30,193.5,180.05,182.37
1996-09-06,188.9,183.2,182.75
1996-09-13,179.9,183.78,182.64
1996-09-20,192.4,188.67,183.94
