date,Mortgage Rate Spread (30Y - 10Y),Mortgage Rate Spread Weekly Avg,Mortgage Rate Spread 4-Week Avg
2021-07-14,1.72,,
2021-07-15,1.73,,
2021-07-16,1.66,,
2021-07-17,,1.7,
2021-07-19,1.7,,
2021-07-20,1.64,,
2021-07-21,1.6,,
2021-07-22,1.61,,
2021-07-23,1.57,,
2021-07-24,,1.62,
2021-07-26,1.57,,
2021-07-28,1.61,,
2021-07-29,1.58,,
2021-07-30,1.6,,
2021-07-31,,1.59,
2021-08-02,1.6,,
2021-08-03,1.59,,
2021-08-04,1.62,,
2021-08-05,1.62,,
2021-08-06,1.59,,
2021-08-07,,1.6,1.63
2021-08-09,1.61,,
2021-08-10,1.63,,
2021-08-11,1.62,,
2021-08-12,1.6,,
2021-08-13,1.66,,
2021-08-14,,1.62,1.61
2021-08-16,1.67,,
2021-08-17,1.67,,
2021-08-18,1.69,,
2021-08-19,1.69,,
2021-08-20,1.67,,
2021-08-21,,1.68,1.62
2021-08-23,1.69,,
2021-08-24,1.64,,
2021-08-25,1.63,,
2021-08-26,1.64,,
2021-08-27,1.62,,
2021-08-28,,1.64,1.64
2021-08-30,1.62,,
2021-08-31,1.61,,
2021-09-01,1.61,,
2021-09-02,1.64,,
2021-09-03,1.62,,
2021-09-04,,1.62,1.64
2021-09-07,1.59,,
2021-09-08,1.61,,
2021-09-09,1.65,,
2021-09-10,1.59,,
2021-09-11,,1.61,1.64
2021-09-13,1.61,,
2021-09-14,1.65,,
2021-09-15,1.62,,
2021-09-16,1.62,,
2021-09-17,1.66,,
2021-09-18,,1.63,1.62
2021-09-20,1.69,,
2021-09-21,1.67,,
2021-09-22,1.69,,
2021-09-23,1.69,,
2021-09-24,1.66,,
2021-09-25,,1.68,1.64
2021-09-27,1.66,,
2021-09-28,1.62,,
2021-09-29,1.6,,
2021-10-01,1.62,,
2021-10-02,,1.63,1.64
2021-10-04,1.6,,
2021-10-05,1.59,,
2021-10-06,1.6,,
2021-10-07,1.57,,
2021-10-08,1.56,,
2021-10-09,,1.58,1.63
2021-10-12,1.61,,
2021-10-13,1.62,,
2021-10-14,1.62,,
2021-10-15,1.57,,
2021-10-16,,1.61,1.62
2021-10-18,1.62,,
2021-10-19,1.54,,
2021-10-20,1.54,,
2021-10-21,1.55,,
2021-10-22,1.61,,
2021-10-23,,1.57,1.6
2021-10-25,1.63,,
2021-10-26,1.62,,
2021-10-27,1.64,,
2021-10-28,1.65,,
2021-10-29,1.67,,
2021-10-30,,1.64,1.6
2021-11-01,1.6,,
2021-11-02,1.58,,
2021-11-03,1.57,,
2021-11-04,1.59,,
2021-11-05,1.64,,
2021-11-06,,1.6,1.6
2021-11-08,1.56,,
2021-11-09,1.62,,
2021-11-10,1.63,,
2021-11-12,1.65,,
2021-11-13,,1.62,1.61
2021-11-15,1.6,,
2021-11-16,1.64,,
2021-11-17,1.65,,
2021-11-18,1.65,,
2021-11-19,1.62,,
