date,New Single-Family Homes Sold (SAAR),Median Sales Price - New Homes,Average Sales Price - New Homes,Months Supply of New Houses,New Houses For Sale (SAAR)
1963-01-01,591.0,17200.0,,4.7,235.0
1963-02-01,464.0,17700.0,,6.6,238.0
1963-03-01,461.0,18200.0,,6.4,242.0
1963-04-01,605.0,18200.0,,5.3,246.0
1963-05-01,586.0,17500.0,,5.1,248.0
1963-06-01,526.0,18000.0,,6.0,253.0
1963-07-01,665.0,18400.0,,4.6,254.0
1963-08-01,570.0,17800.0,,5.6,264.0
1963-09-01,590.0,17900.0,,5.4,257.0
1963-10-01,567.0,17600.0,,5.9,274.0
1963-11-01,579.0,18400.0,,5.5,258.0
1963-12-01,514.0,18700.0,,6.1,264.0
1964-01-01,549.0,17800.0,,5.8,261.0
1964-02-01,609.0,18000.0,,5.5,262.0
1964-03-01,562.0,19000.0,,5.8,263.0
1964-04-01,559.0,18800.0,,6.0,260.0
1964-05-01,523.0,19300.0,,6.2,266.0
1964-06-01,580.0,18800.0,,5.7,264.0
1964-07-01,575.0,19100.0,,5.5,263.0
1964-08-01,582.0,18900.0,,5.4,258.0
1964-09-01,590.0,18900.0,,5.4,256.0
1964-10-01,583.0,18900.0,,5.3,253.0
1964-11-01,548.0,19300.0,,5.6,249.0
1964-12-01,540.0,21000.0,,5.5,250.0
1965-01-01,533.0,20700.0,,5.6,248.0
1965-02-01,559.0,20400.0,,5.5,251.0
1965-03-01,556.0,19800.0,,5.4,243.0
1965-04-01,555.0,19900.0,,5.6,242.0
1965-05-01,544.0,19600.0,,5.3,238.0
1965-06-01,614.0,19800.0,,4.7,235.0
1965-07-01,554.0,21000.0,,5.2,235.0
1965-08-01,615.0,20200.0,,4.6,232.0
1965-09-01,587.0,19600.0,,4.9,231.0
1965-10-01,555.0,19900.0,,5.0,227.0
1965-11-01,616.0,20600.0,,4.6,231.0
1965-12-01,609.0,20300.0,,4.4,226.0
1966-01-01,599.0,21200.0,,4.7,228.0
1966-02-01,541.0,20900.0,,4.9,224.0
1966-03-01,557.0,20800.0,,5.0,225.0
1966-04-01,545.0,23000.0,,5.1,221.0
1966-05-01,499.0,22300.0,,5.3,216.0
1966-06-01,434.0,21200.0,,6.0,214.0
1966-07-01,435.0,21800.0,,5.9,210.0
1966-08-01,377.0,20700.0,,6.8,208.0
1966-09-01,358.0,22200.0,,7.2,208.0
1966-10-01,387.0,20800.0,,6.3,199.0
1966-11-01,382.0,21700.0,,6.2,193.0
1966-12-01,369.0,21700.0,,6.3,194.0
1967-01-01,416.0,22200.0,,5.7,193.0
1967-02-01,408.0,22400.0,,5.7,194.0
1967-03-01,439.0,22400.0,,5.4,191.0
1967-04-01,479.0,22300.0,,4.9,187.0
1967-05-01,503.0,23700.0,,4.5,187.0
1967-06-01,499.0,23900.0,,4.6,189.0
1967-07-01,515.0,23300.0,,4.4,184.0
1967-08-01,504.0,21700.0,,4.4,181.0
1967-09-01,531.0,22800.0,,4.3,184.0
1967-10-01,566.0,22300.0,,4.1,188.0
1967-11-01,500.0,23100.0,,4.6,186.0
1967-12-01,502.0,22200.0,,4.7,187.0
1968-01-01,494.0,23400.0,,4.7,189.0
1968-02-01,543.0,23500.0,,4.1,191.0
1968-03-01,490.0,24600.0,,4.8,192.0
1968-04-01,501.0,24500.0,,4.9,198.0
1968-05-01,441.0,25300.0,,5.5,199.0
1968-06-01,441.0,25400.0,,5.5,201.0
1968-07-01,493.0,24600.0,,5.1,203.0
1968-08-01,507.0,25000.0,,5.0,206.0
1968-09-01,501.0,25000.0,,5.1,208.0
1968-10-01,502.0,25600.0,,5.2,211.0
1968-11-01,469.0,24600.0,,5.6,214.0
1968-12-01,511.0,26500.0,,5.2,213.0
1969-01-01,480.0,24600.0,,5.5,215.0
1969-02-01,524.0,26000.0,,4.9,215.0
1969-03-01,474.0,26200.0,,5.7,216.0
1969-04-01,450.0,25900.0,,6.0,218.0
1969-05-01,447.0,26900.0,,6.1,221.0
1969-06-01,461.0,25200.0,,5.8,223.0
1969-07-01,436.0,26800.0,,6.3,224.0
1969-08-01,422.0,24900.0,,6.5,223.0
1969-09-01,396.0,26000.0,,6.9,224.0
1969-10-01,401.0,24400.0,,7.0,227.0
1969-11-01,441.0,24900.0,,6.2,222.0
1969-12-01,452.0,25100.0,,6.1,222.0
1970-01-01,461.0,23600.0,,5.5,213.0
1970-02-01,373.0,24100.0,,7.2,215.0
1970-03-01,389.0,24100.0,,6.8,217.0
1970-04-01,445.0,24200.0,,6.0,217.0
1970-05-01,466.0,25700.0,,5.7,217.0
1970-06-01,485.0,23800.0,,5.5,217.0
1970-07-01,481.0,22900.0,,5.4,220.0
1970-08-01,515.0,23500.0,,5.1,218.0
1970-09-01,564.0,22600.0,,4.7,218.0
1970-10-01,545.0,22100.0,,4.8,216.0
1970-11-01,570.0,23500.0,,4.6,212.0
1970-12-01,582.0,22300.0,,4.7,220.0
1971-01-01,618.0,23900.0,,4.3,220.0
1971-02-01,618.0,24500.0,,4.4,218.0
1971-03-01,681.0,24300.0,,4.0,224.0
1971-04-01,662.0,25800.0,,4.2,229.0
1971-05-01,618.0,25500.0,,4.6,236.0
1971-06-01,646.0,26100.0,,4.7,245.0
1971-07-01,706.0,25200.0,,4.1,248.0
1971-08-01,659.0,25300.0,,4.7,254.0
1971-09-01,625.0,25400.0,,5.2,263.0
1971-10-01,647.0,25600.0,,5.0,270.0
1971-11-01,710.0,25700.0,,4.9,278.0
1971-12-01,689.0,25300.0,,5.1,287.0
1972-01-01,698.0,24700.0,,5.2,296.0
1972-02-01,711.0,26500.0,,5.4,306.0
1972-03-01,640.0,27400.0,,6.1,318.0
1972-04-01,684.0,26700.0,,5.8,325.0
1972-05-01,677.0,27000.0,,6.1,338.0
1972-06-01,687.0,26800.0,,6.3,354.0
1972-07-01,681.0,27700.0,,6.3,360.0
1972-08-01,773.0,28100.0,,6.0,375.0
1972-09-01,767.0,28000.0,,6.2,382.0
1972-10-01,843.0,28900.0,,5.7,392.0
1972-11-01,735.0,29100.0,,6.8,400.0
1972-12-01,772.0,29700.0,,6.5,409.0
1973-01-01,781.0,29900.0,,6.5,414.0
1973-02-01,737.0,29700.0,,6.8,417.0
1973-03-01,725.0,31400.0,,7.0,415.0
1973-04-01,661.0,32800.0,,7.7,417.0
1973-05-01,660.0,32000.0,,7.5,417.0
1973-06-01,650.0,33100.0,,7.8,421.0
1973-07-01,601.0,34200.0,,8.7,429.0
1973-08-01,566.0,33200.0,,9.4,432.0
1973-09-01,561.0,33200.0,,9.5,428.0
1973-10-01,565.0,33300.0,,9.4,423.0
1973-11-01,547.0,34000.0,,9.6,417.0
1973-12-01,519.0,35700.0,,10.1,418.0
1974-01-01,523.0,34200.0,,9.7,414.0
1974-02-01,539.0,34900.0,,9.6,420.0
1974-03-01,572.0,36000.0,,8.8,410.0
1974-04-01,544.0,35700.0,,9.1,407.0
1974-05-01,590.0,35700.0,,8.0,399.0
1974-06-01,534.0,35100.0,,8.9,392.0
1974-07-01,534.0,36800.0,,8.8,380.0
1974-08-01,492.0,35700.0,,9.3,373.0
1974-09-01,511.0,36200.0,,9.1,362.0
1974-10-01,448.0,37200.0,,9.8,356.0
1974-11-01,450.0,37300.0,,9.7,350.0
1974-12-01,417.0,37400.0,,10.3,346.0
1975-01-01,416.0,37200.0,39500.0,9.9,347.0
1975-02-01,422.0,37900.0,40600.0,10.4,351.0
1975-03-01,477.0,38800.0,42100.0,8.9,337.0
1975-04-01,543.0,39200.0,42000.0,7.2,329.0
1975-05-01,579.0,39500.0,43200.0,6.8,323.0
1975-06-01,557.0,37900.0,42500.0,7.2,320.0
1975-07-01,569.0,38600.0,42300.0,7.0,319.0
1975-08-01,566.0,38200.0,41200.0,6.8,319.0
1975-09-01,556.0,39700.0,43400.0,7.3,319.0
1975-10-01,609.0,40700.0,43900.0,6.6,324.0
1975-11-01,680.0,41100.0,43700.0,5.8,316.0
1975-12-01,669.0,42100.0,45900.0,5.8,313.0
1976-01-01,603.0,41600.0,45300.0,6.4,312.0
1976-02-01,644.0,42700.0,45900.0,5.9,308.0
1976-03-01,591.0,43600.0,46800.0,6.8,320.0
1976-04-01,611.0,43300.0,46800.0,6.4,322.0
1976-05-01,570.0,43600.0,47500.0,7.0,331.0
1976-06-01,591.0,46100.0,49200.0,6.9,335.0
1976-07-01,664.0,44600.0,48000.0,6.4,338.0
1976-08-01,648.0,44200.0,48500.0,6.2,336.0
1976-09-01,696.0,44700.0,48200.0,6.2,340.0
1976-10-01,708.0,45300.0,50400.0,5.8,344.0
1976-11-01,735.0,45800.0,50000.0,6.0,349.0
1976-12-01,767.0,45900.0,50600.0,5.6,353.0
1977-01-01,825.0,45500.0,50700.0,5.3,354.0
1977-02-01,839.0,47400.0,52600.0,5.1,357.0
1977-03-01,872.0,46200.0,51600.0,5.0,359.0
1977-04-01,799.0,48700.0,54600.0,5.5,362.0
1977-05-01,807.0,49300.0,54400.0,5.4,364.0
1977-06-01,805.0,48700.0,53900.0,5.5,368.0
1977-07-01,755.0,48600.0,53600.0,6.1,375.0
1977-08-01,808.0,49000.0,54300.0,5.8,387.0
1977-09-01,842.0,48500.0,53900.0,5.9,388.0
1977-10-01,819.0,51400.0,57200.0,6.1,396.0
1977-11-01,829.0,51800.0,57800.0,6.0,400.0
1977-12-01,835.0,52700.0,57600.0,6.0,402.0
1978-01-01,795.0,52300.0,58500.0,5.9,404.0
1978-02-01,791.0,53200.0,59100.0,6.3,404.0
1978-03-01,814.0,53200.0,59900.0,6.1,404.0
1978-04-01,864.0,53300.0,59300.0,5.8,409.0
1978-05-01,857.0,55700.0,62300.0,5.9,413.0
1978-06-01,834.0,56700.0,63200.0,6.2,419.0
1978-07-01,789.0,54800.0,62900.0,6.6,419.0
1978-08-01,756.0,56100.0,63000.0,6.6,418.0
1978-09-01,812.0,57300.0,64400.0,5.9,416.0
1978-10-01,872.0,58300.0,65700.0,5.7,407.0
1978-11-01,798.0,58700.0,66300.0,6.5,414.0
1978-12-01,805.0,59900.0,67400.0,6.1,414.0
1979-01-01,754.0,60300.0,67700.0,6.6,411.0
1979-02-01,723.0,61200.0,68700.0,6.8,408.0
1979-03-01,793.0,60400.0,68500.0,6.6,421.0
1979-04-01,748.0,62600.0,71000.0,6.8,421.0
1979-05-01,727.0,62800.0,71800.0,7.1,428.0
1979-06-01,700.0,64200.0,74300.0,7.4,420.0
1979-07-01,715.0,63800.0,71900.0,7.1,420.0
1979-08-01,729.0,64000.0,74000.0,6.9,419.0
1979-09-01,727.0,66000.0,76800.0,7.4,413.0
1979-10-01,670.0,62300.0,71500.0,7.4,408.0
1979-11-01,597.0,63900.0,74200.0,8.3,400.0
1979-12-01,559.0,61500.0,72600.0,8.6,397.0
1980-01-01,592.0,62900.0,72400.0,7.9,392.0
1980-02-01,541.0,64900.0,76600.0,8.6,380.0
1980-03-01,474.0,62600.0,71600.0,9.8,376.0
1980-04-01,370.0,63100.0,74600.0,11.6,362.0
1980-05-01,469.0,63100.0,72800.0,9.2,350.0
1980-06-01,552.0,64900.0,75600.0,7.6,343.0
1980-07-01,636.0,64000.0,76700.0,6.5,337.0
1980-08-01,659.0,63400.0,76000.0,6.0,332.0
1980-09-01,596.0,68300.0,80100.0,7.3,336.0
1980-10-01,561.0,65600.0,77500.0,7.3,336.0
1980-11-01,562.0,66700.0,81800.0,7.4,339.0
1980-12-01,532.0,67000.0,81400.0,7.6,337.0
1981-01-01,511.0,67600.0,80700.0,8.0,334.0
1981-02-01,510.0,66200.0,80000.0,8.1,336.0
1981-03-01,514.0,66700.0,81600.0,7.7,328.0
1981-04-01,470.0,68700.0,84700.0,8.6,329.0
1981-05-01,467.0,70800.0,83600.0,8.4,325.0
1981-06-01,415.0,68800.0,84700.0,9.2,317.0
1981-07-01,431.0,69500.0,82600.0,9.0,312.0
1981-08-01,378.0,72600.0,87000.0,9.8,308.0
1981-09-01,338.0,65800.0,81300.0,11.3,304.0
1981-10-01,356.0,69600.0,82500.0,10.3,293.0
1981-11-01,382.0,71200.0,85300.0,9.1,282.0
1981-12-01,457.0,68400.0,82800.0,7.1,275.0
1982-01-01,368.0,66200.0,78000.0,8.9,276.0
1982-02-01,365.0,65700.0,80700.0,9.2,273.0
1982-03-01,374.0,67200.0,83700.0,8.7,268.0
1982-04-01,339.0,70200.0,85000.0,9.4,264.0
1982-05-01,384.0,69300.0,86500.0,8.3,258.0
1982-06-01,370.0,69300.0,84900.0,8.3,252.0
1982-07-01,375.0,70900.0,86500.0,8.2,249.0
1982-08-01,407.0,70100.0,86500.0,7.1,247.0
1982-09-01,481.0,67800.0,79600.0,6.7,247.0
1982-10-01,480.0,69700.0,79900.0,6.2,246.0
1982-11-01,554.0,73500.0,87800.0,5.4,247.0
1982-12-01,521.0,71700.0,86700.0,5.8,253.0
1983-01-01,582.0,73500.0,87200.0,5.4,259.0
1983-02-01,562.0,73800.0,86800.0,5.6,261.0
1983-03-01,596.0,72500.0,86200.0,5.4,262.0
1983-04-01,638.0,74700.0,87600.0,5.1,265.0
1983-05-01,664.0,74500.0,88800.0,4.9,273.0
1983-06-01,651.0,75800.0,90900.0,5.3,282.0
1983-07-01,606.0,75200.0,89200.0,5.8,288.0
1983-08-01,572.0,76800.0,91300.0,6.2,295.0
1983-09-01,608.0,81000.0,97800.0,6.2,299.0
1983-10-01,632.0,75900.0,89500.0,5.6,300.0
1983-11-01,644.0,75900.0,91400.0,5.8,307.0
1983-12-01,773.0,75900.0,91700.0,4.7,301.0
1984-01-01,691.0,76200.0,92200.0,5.3,302.0
1984-02-01,696.0,79200.0,94400.0,5.1,301.0
1984-03-01,641.0,78400.0,97700.0,6.1,321.0
1984-04-01,639.0,79600.0,96200.0,6.0,327.0
1984-05-01,615.0,81400.0,101900.0,6.7,334.0
1984-06-01,630.0,80500.0,98800.0,6.6,339.0
1984-07-01,619.0,80700.0,97100.0,6.7,340.0
1984-08-01,567.0,82000.0,96900.0,7.5,344.0
1984-09-01,662.0,81300.0,101300.0,6.5,342.0
1984-10-01,687.0,80100.0,95700.0,6.0,345.0
1984-11-01,597.0,82500.0,101400.0,7.2,350.0
1984-12-01,597.0,78300.0,96300.0,7.3,353.0
1985-01-01,645.0,82500.0,98300.0,6.7,355.0
1985-02-01,682.0,82000.0,96200.0,6.5,358.0
1985-03-01,671.0,84200.0,100900.0,6.4,356.0
1985-04-01,620.0,85600.0,104700.0,6.9,357.0
1985-05-01,678.0,80100.0,98100.0,6.4,358.0
1985-06-01,722.0,86300.0,99600.0,6.0,354.0
1985-07-01,766.0,82100.0,99400.0,5.6,351.0
