date,PCE Price Index,Core PCE (Less Food & Energy)
1959-01-01,15.164,15.501
1959-02-01,15.179,15.513
1959-03-01,15.189,15.531
1959-04-01,15.219,15.57
1959-05-01,15.227,15.589
1959-06-01,15.271,15.635
1959-07-01,15.303,15.672
1959-08-01,15.325,15.697
1959-09-01,15.365,15.738
1959-10-01,15.402,15.765
1959-11-01,15.412,15.794
1959-12-01,15.43,15.818
1960-01-01,15.421,15.822
1960-02-01,15.437,15.852
1960-03-01,15.446,15.853
1960-04-01,15.502,15.882
1960-05-01,15.518,15.908
1960-06-01,15.525,15.917
1960-07-01,15.553,15.945
1960-08-01,15.579,15.968
1960-09-01,15.588,15.981
1960-10-01,15.606,15.99
1960-11-01,15.659,16.033
1960-12-01,15.662,16.028
1961-01-01,15.665,16.032
1961-02-01,15.679,16.048
1961-03-01,15.67,16.053
1961-04-01,15.661,16.075
1961-05-01,15.67,16.096
1961-06-01,15.677,16.12
1961-07-01,15.711,16.145
1961-08-01,15.724,16.162
1961-09-01,15.742,16.194
1961-10-01,15.741,16.199
1961-11-01,15.742,16.202
1961-12-01,15.746,16.216
1962-01-01,15.776,16.235
1962-02-01,15.818,16.262
1962-03-01,15.839,16.3
1962-04-01,15.857,16.303
1962-05-01,15.867,16.326
1962-06-01,15.877,16.356
1962-07-01,15.868,16.37
1962-08-01,15.891,16.372
1962-09-01,15.969,16.404
1962-10-01,15.953,16.403
1962-11-01,15.964,16.415
1962-12-01,15.958,16.42
1963-01-01,15.997,16.451
1963-02-01,16.014,16.47
1963-03-01,16.001,16.48
1963-04-01,16.0,16.5
1963-05-01,16.026,16.53
1963-06-01,16.061,16.558
1963-07-01,16.093,16.573
1963-08-01,16.115,16.588
1963-09-01,16.112,16.618
1963-10-01,16.143,16.655
1963-11-01,16.166,16.67
1963-12-01,16.19,16.694
1964-01-01,16.224,16.717
1964-02-01,16.247,16.749
1964-03-01,16.257,16.765
1964-04-01,16.269,16.78
1964-05-01,16.271,16.794
1964-06-01,16.294,16.806
1964-07-01,16.315,16.823
1964-08-01,16.327,16.845
1964-09-01,16.352,16.852
1964-10-01,16.362,16.859
1964-11-01,16.385,16.883
1964-12-01,16.409,16.907
1965-01-01,16.427,16.93
1965-02-01,16.434,16.95
1965-03-01,16.455,16.96
1965-04-01,16.481,16.98
1965-05-01,16.518,17.011
1965-06-01,16.566,17.007
