date,PPI Final Demand (Headline),PPI Final Demand Less Food & Energy (Core),"PPI Final Demand Less Food, Energy & Trade Services",PPI Final Demand Goods,PPI Final Demand Services,PPI Final Demand Finished Consumer Foods,PPI Final Demand Finished Consumer Energy Goods,PPI Processed Goods for Intermediate Demand,PPI Unprocessed Goods for Intermediate Demand,PPI Final Demand - Finished Goods,PPI Final Demand - Less Food & Energy
1947-04-01,,,,,,31.5,,23.1,30.7,26.0,
1947-05-01,,,,,,31.0,,23.0,30.4,26.1,
1947-06-01,,,,,,31.1,,23.2,30.6,26.2,
1947-07-01,,,,,,31.0,,23.2,31.0,26.2,
1947-08-01,,,,,,31.4,,23.3,31.6,26.3,
1947-09-01,,,,,,32.3,,23.7,32.4,26.7,
1947-10-01,,,,,,32.8,,24.0,33.7,26.8,
1947-11-01,,,,,,33.3,,24.3,33.9,27.1,
1947-12-01,,,,,,34.4,,24.5,35.3,27.7,
1948-01-01,,,,,,35.5,,25.0,36.2,28.1,
1948-02-01,,,,,,34.8,,24.7,34.4,27.9,
1948-03-01,,,,,,34.7,,24.8,33.5,28.0,
1948-04-01,,,,,,35.2,,25.1,34.2,28.1,
1948-05-01,,,,,,35.3,,25.1,35.3,28.4,
1948-06-01,,,,,,35.5,,25.4,36.2,28.6,
1948-07-01,,,,,,35.5,,25.4,36.1,28.8,
1948-08-01,,,,,,35.5,,25.5,35.5,28.9,
1948-09-01,,,,,,35.0,,25.5,34.9,28.8,
1948-10-01,,,,,,34.4,,25.5,33.8,28.7,
1948-11-01,,,,,,34.0,,25.4,33.5,28.5,
1948-12-01,,,,,,33.6,,25.2,33.0,28.5,
1949-01-01,,,,,,33.3,,25.2,32.0,28.3,
1949-02-01,,,,,,32.5,,24.8,30.9,28.0,
1949-03-01,,,,,,32.6,,24.7,30.8,28.0,
1949-04-01,,,,,,32.5,,24.5,30.2,27.9,
1949-05-01,,,,,,32.4,,24.3,30.1,27.8,
1949-06-01,,,,,,32.4,,24.1,29.7,27.7,
1949-07-01,,,,,,31.9,,24.1,29.2,27.5,
1949-08-01,,,,,,31.8,,23.9,29.2,27.4,
1949-09-01,,,,,,31.7,,23.9,29.5,27.4,
1949-10-01,,,,,,31.3,,23.8,29.5,27.3,
1949-11-01,,,,,,31.4,,23.7,29.6,27.2,
1949-12-01,,,,,,31.1,,23.8,29.6,27.2,
1950-01-01,,,,,,31.0,,23.8,29.6,27.2,
1950-02-01,,,,,,31.4,,23.9,30.5,27.2,
1950-03-01,,,,,,31.5,,24.1,30.3,27.3,
1950-04-01,,,,,,31.3,,24.2,30.5,27.3,
1950-05-01,,,,,,31.6,,24.6,31.6,27.5,
1950-06-01,,,,,,31.9,,24.7,32.1,27.6,
1950-07-01,,,,,,33.1,,25.3,33.3,28.0,
1950-08-01,,,,,,33.8,,25.6,34.0,28.6,
1950-09-01,,,,,,34.0,,26.2,34.5,28.9,
1950-10-01,,,,,,33.5,,26.7,34.5,29.0,
1950-11-01,,,,,,34.0,,26.9,35.4,29.4,
1950-12-01,,,,,,35.3,,27.8,36.7,30.0,
1951-01-01,,,,,,36.0,,28.5,38.2,30.5,
1951-02-01,,,,,,37.2,,28.7,39.6,30.8,
1951-03-01,,,,,,36.8,,28.8,39.1,30.9,
1951-04-01,,,,,,36.9,,28.8,39.1,30.9,
1951-05-01,,,,,,37.0,,28.8,38.4,31.1,
1951-06-01,,,,,,36.9,,28.7,38.1,31.0,
1951-07-01,,,,,,35.9,,28.4,36.8,30.8,
1951-08-01,,,,,,36.2,,28.0,36.2,30.7,
1951-09-01,,,,,,36.3,,28.0,35.9,30.6,
1951-10-01,,,,,,36.9,,27.9,36.7,30.8,
1951-11-01,,,,,,37.1,,27.9,36.4,30.9,
1951-12-01,,,,,,37.3,,27.8,36.6,30.9,
1952-01-01,,,,,,37.0,,27.8,35.8,30.8,
1952-02-01,,,,,,36.7,,27.7,35.5,30.7,
1952-03-01,,,,,,36.7,,27.6,35.0,30.9,
1952-04-01,,,,,,36.5,,27.5,34.9,30.7,
1952-05-01,,,,,,36.3,,27.5,34.8,30.7,
1952-06-01,,,,,,36.3,,27.6,34.6,30.7,
1952-07-01,,,,,,36.7,,27.5,34.6,30.8,
1952-08-01,,,,,,36.7,,27.6,34.7,30.7,
1952-09-01,,,,,,36.4,,27.6,33.8,30.6,
1952-10-01,,,,,,36.2,,27.5,33.8,30.5,
1952-11-01,,,,,,35.9,,27.4,33.7,30.4,
1952-12-01,,,,,,35.1,,27.3,32.9,30.2,
1953-01-01,,,,,,35.2,,27.4,32.5,30.3,
1953-02-01,,,,,,34.9,,27.4,32.4,30.2,
1953-03-01,,,,,,34.7,,27.5,32.4,30.3,
1953-04-01,,,,,,34.3,,27.5,31.6,30.2,
1953-05-01,,,,,,34.4,,27.6,31.8,30.3,
1953-06-01,,,,,,34.4,,27.7,31.4,30.4,
1953-07-01,,,,,,34.3,,28.0,32.3,30.5,
1953-08-01,,,,,,34.2,,27.9,31.8,30.4,
1953-09-01,,,,,,34.7,,27.9,32.0,30.4,
1953-10-01,,,,,,34.4,,27.9,31.4,30.4,
1953-11-01,,,,,,34.1,,27.8,31.2,30.3,
1953-12-01,,,,,,34.3,,27.8,31.7,30.4,
1954-01-01,,,,,,34.8,,27.9,32.0,30.5,
1954-02-01,,,,,,34.3,,27.9,32.0,30.4,
1954-03-01,,,,,,34.4,,27.9,32.1,30.4,
1954-04-01,,,,,,34.5,,27.9,32.2,30.6,
1954-05-01,,,,,,34.7,,27.9,32.1,30.6,
1954-06-01,,,,,,33.9,,27.8,31.5,30.4,
1954-07-01,,,,,,34.5,,27.9,31.4,30.5,
1954-08-01,,,,,,34.4,,27.9,31.3,30.4,
1954-09-01,,,,,,33.8,,27.8,31.5,30.3,
1954-10-01,,,,,,33.7,,27.8,31.2,30.2,
1954-11-01,,,,,,33.8,,27.9,31.4,30.3,
1954-12-01,,,,,,33.7,,27.9,30.8,30.3,
1955-01-01,,,,,,33.9,,27.9,31.1,30.4,
1955-02-01,,,,,,34.1,,28.0,31.0,30.5,
1955-03-01,,,,,,33.6,,28.0,30.7,30.3,
1955-04-01,,,,,,34.0,,28.1,31.0,30.4,
1955-05-01,,,,,,33.4,,28.1,30.2,30.4,
1955-06-01,,,,,,33.7,,28.2,30.7,30.5,
1955-07-01,,,,,,33.1,,28.4,30.4,30.4,
1955-08-01,,,,,,33.1,,28.5,30.1,30.4,
1955-09-01,,,,,,33.2,,28.8,30.4,30.5,
1955-10-01,,,,,,32.7,,28.9,30.4,30.6,
1955-11-01,,,,,,32.7,,28.9,29.4,30.6,
1955-12-01,,,,,,32.7,,29.0,29.5,30.7,
1956-01-01,,,,,,32.4,,29.1,29.4,30.7,
1956-02-01,,,,,,32.5,,29.2,29.9,30.8,
1956-03-01,,,,,,32.8,,29.4,29.8,30.9,
1956-04-01,,,,,,32.8,,29.5,30.3,31.0,
1956-05-01,,,,,,33.5,,29.6,30.7,31.2,
1956-06-01,,,,,,33.6,,29.6,30.5,31.4,
1956-07-01,,,,,,33.4,,29.4,30.5,31.3,
1956-08-01,,,,,,33.2,,29.7,31.0,31.4,
1956-09-01,,,,,,33.7,,29.8,31.0,31.6,
