date,Output Per Hour - Nonfarm Business,Unit Labor Costs - Nonfarm Business
1947-01-01,22.256,
1947-04-01,22.762,9.4
1947-07-01,22.065,-11.7
1947-10-01,22.993,17.9
1948-01-01,23.097,1.8
1948-04-01,23.036,-1.1
1948-07-01,23.061,0.4
1948-10-01,23.162,1.8
1949-01-01,23.398,4.1
1949-04-01,23.639,4.2
1949-07-01,24.204,9.9
1949-10-01,24.073,-2.1
1950-01-01,24.899,14.4
1950-04-01,25.205,5.0
1950-07-01,25.752,9.0
1950-10-01,25.799,0.7
1951-01-01,25.827,0.4
1951-04-01,25.747,-1.2
1951-07-01,26.319,9.2
1951-10-01,26.398,1.2
1952-01-01,26.533,2.1
1952-04-01,26.48,-0.8
1952-07-01,26.35,-1.9
1952-10-01,26.908,8.7
1953-01-01,27.143,3.5
1953-04-01,27.207,0.9
1953-07-01,27.322,1.7
1953-10-01,27.226,-1.4
1954-01-01,27.283,0.8
1954-04-01,27.473,2.8
1954-07-01,27.968,7.4
1954-10-01,28.283,4.6
1955-01-01,28.841,8.1
1955-04-01,28.94,1.4
1955-07-01,29.045,1.5
1955-10-01,28.941,-1.4
1956-01-01,28.592,-4.7
1956-04-01,28.733,2.0
1956-07-01,28.729,-0.1
1956-10-01,29.037,4.4
1957-01-01,29.369,4.7
1957-04-01,29.253,-1.6
1957-07-01,29.664,5.7
1957-10-01,29.762,1.3
1958-01-01,29.353,-5.4
1958-04-01,29.914,7.9
1958-07-01,30.476,7.7
1958-10-01,30.996,7.0
1959-01-01,31.034,0.5
1959-04-01,31.336,3.9
1959-07-01,31.379,0.6
1959-10-01,31.277,-1.3
1960-01-01,32.007,9.7
1960-04-01,31.508,-6.1
1960-07-01,31.696,2.4
1960-10-01,31.277,-5.2
1961-01-01,31.681,5.3
1961-04-01,32.514,10.9
1961-07-01,33.067,7.0
1961-10-01,33.351,3.5
1962-01-01,33.896,6.7
1962-04-01,33.761,-1.6
1962-07-01,34.323,6.8
1962-10-01,34.575,3.0
1963-01-01,34.679,1.2
1963-04-01,34.942,3.1
1963-07-01,35.799,10.2
1963-10-01,35.775,-0.3
1964-01-01,35.999,2.5
1964-04-01,36.196,2.2
1964-07-01,36.569,4.2
1964-10-01,36.216,-3.8
1965-01-01,36.735,5.9
1965-04-01,36.905,1.9
1965-07-01,37.655,8.4
1965-10-01,38.308,7.1
1966-01-01,38.83,5.6
1966-04-01,38.561,-2.7
1966-07-01,38.688,1.3
1966-10-01,38.928,2.5
1967-01-01,39.236,3.2
1967-04-01,39.38,1.5
1967-07-01,39.581,2.1
1967-10-01,39.695,1.2
1968-01-01,40.581,9.2
1968-04-01,40.961,3.8
1968-07-01,40.977,0.2
1968-10-01,40.879,-1.0
1969-01-01,41.204,3.2
1969-04-01,40.867,-3.2
1969-07-01,40.909,0.4
1969-10-01,40.703,-2.0
1970-01-01,40.829,1.2
1970-04-01,41.426,6.0
1970-07-01,42.076,6.4
1970-10-01,41.69,-3.6
1971-01-01,42.925,12.4
1971-04-01,43.047,1.1
1971-07-01,43.454,3.8
1971-10-01,43.077,-3.4
1972-01-01,43.751,6.4
1972-04-01,44.613,8.1
1972-07-01,44.869,2.3
1972-10-01,45.248,3.4
1973-01-01,46.272,9.4
1973-04-01,46.289,0.1
1973-07-01,45.855,-3.7
1973-10-01,45.57,-2.5
1974-01-01,45.46,-1.0
1974-04-01,45.324,-1.2
1974-07-01,44.859,-4.0
1974-10-01,45.259,3.6
1975-01-01,45.595,3.0
1975-04-01,46.319,6.5
1975-07-01,46.885,5.0
1975-10-01,46.936,0.4
1976-01-01,47.631,6.1
1976-04-01,48.069,3.7
1976-07-01,48.182,0.9
1976-10-01,48.32,1.2
1977-01-01,48.632,2.6
1977-04-01,48.831,1.6
1977-07-01,49.343,4.3
1977-10-01,48.715,-5.0
1978-01-01,48.743,0.2
1978-04-01,49.712,8.2
1978-07-01,49.743,0.2
1978-10-01,50.07,2.7
1979-01-01,49.615,-3.6
1979-04-01,49.523,-0.7
1979-07-01,49.463,-0.5
1979-10-01,49.405,-0.5
1980-01-01,49.639,1.9
1980-04-01,49.122,-4.1
1980-07-01,49.316,1.6
1980-10-01,49.817,4.1
1981-01-01,50.584,6.3
1981-04-01,49.93,-5.1
1981-07-01,50.397,3.8
1981-10-01,49.862,-4.2
1982-01-01,49.612,-2.0
1982-04-01,49.626,0.1
1982-07-01,49.724,0.8
1982-10-01,50.161,3.6
1983-01-01,50.843,5.6
1983-04-01,51.956,9.0
1983-07-01,52.08,1.0
1983-10-01,52.38,2.3
1984-01-01,52.633,1.9
1984-04-01,52.926,2.2
1984-07-01,53.149,1.7
1984-10-01,53.208,0.4
1985-01-01,53.378,1.3
1985-04-01,53.546,1.3
1985-07-01,54.228,5.2
1985-10-01,54.445,1.6
1986-01-01,55.09,4.8
1986-04-01,55.522,3.2
1986-07-01,55.759,1.7
