date,Pending Ratio (Realtor.com),Price Reduced Share (Realtor.com),Total Listing Count (Realtor.com)
2016-07-01,0.2839,0.1732,1873209.0
2016-08-01,0.269,0.1762,1848466.0
2016-09-01,0.2561,0.1791,1807824.0
2016-10-01,0.2509,0.1694,1757624.0
2016-11-01,0.2477,0.1562,1667789.0
2016-12-01,0.2372,0.1243,1526082.0
2017-01-01,0.2322,0.1384,1420208.0
2017-02-01,0.2775,0.1375,1464645.0
2017-03-01,0.3173,0.1454,1540745.0
2017-04-01,0.3523,0.1578,1616241.0
2017-05-01,0.3582,0.1653,1698366.0
2017-06-01,0.3377,0.178,1725986.0
2017-07-01,0.3138,0.1924,1731433.0
2017-08-01,0.2957,0.1907,1710404.0
2017-09-01,0.2823,0.182,1672596.0
2017-10-01,0.2733,0.1844,1637397.0
2017-11-01,0.2638,0.1697,1548809.0
2017-12-01,0.2543,0.1316,1411609.0
2018-01-01,0.2467,0.1387,1300752.0
2018-02-01,0.2972,0.1403,1352911.0
2018-03-01,0.339,0.1475,1428614.0
2018-04-01,0.3794,0.1576,1516277.0
2018-05-01,0.3838,0.1742,1596998.0
2018-06-01,0.3535,0.189,1646225.0
2018-07-01,0.3192,0.2059,1660545.0
2018-08-01,0.3026,0.2126,1671435.0
2018-09-01,0.2846,0.2163,1660415.0
2018-10-01,0.2649,0.2168,1647064.0
2018-11-01,0.2573,0.1911,1598534.0
2018-12-01,0.2463,0.1481,1474356.0
2019-01-01,0.2404,0.1603,1374299.0
2019-02-01,0.2943,0.1568,1425394.0
2019-03-01,0.3425,0.1496,1493286.0
2019-04-01,0.3815,0.1445,1564417.0
2019-05-01,0.3845,0.1536,1630200.0
2019-06-01,0.3735,0.17,1672543.0
2019-07-01,0.3557,0.177,1674781.0
2019-08-01,0.3476,0.1757,1659806.0
2019-09-01,0.3396,0.1746,1636206.0
2019-10-01,0.3354,0.1737,1608994.0
2019-11-01,0.3446,0.1523,1538356.0
2019-12-01,0.3332,0.1045,1374685.0
2020-01-01,0.3365,0.1254,1270438.0
2020-02-01,0.4387,0.1198,1331547.0
2020-03-01,0.4884,0.1136,1390478.0
2020-04-01,0.4316,0.0945,1342668.0
2020-05-01,0.497,0.1102,1385296.0
2020-06-01,0.6627,0.1142,1443931.0
2020-07-01,0.7432,0.1111,1428372.0
2020-08-01,0.8057,0.1078,1399762.0
2020-09-01,0.8382,0.1064,1370417.0
2020-10-01,0.8765,0.1053,1372723.0
2020-11-01,0.8869,0.0988,1286131.0
2020-12-01,0.8693,0.0782,1140920.0
2021-01-01,0.886,0.0726,1003586.0
2021-02-01,1.157,0.057,998859.0
2021-03-01,1.3073,0.0561,1013400.0
2021-04-01,1.4247,0.0537,1054596.0
2021-05-01,1.4644,0.0588,1099849.0
2021-06-01,1.3395,0.0733,1150904.0
2021-07-01,1.1623,0.0977,1178906.0
2021-08-01,1.0955,0.1088,1200669.0
2021-09-01,1.0583,0.1121,1185969.0
2021-10-01,1.0455,0.1088,1156009.0
2021-11-01,1.1178,0.0936,1082818.0
2021-12-01,1.1391,0.0725,948666.0
2022-01-01,1.178,0.0613,815253.0
2022-02-01,1.4174,0.0541,834869.0
2022-03-01,1.4765,0.0578,873473.0
2022-04-01,1.465,0.0682,932731.0
2022-05-01,1.1727,0.1015,1040980.0
2022-06-01,0.9491,0.1474,1115405.0
2022-07-01,0.7278,0.1913,1191282.0
2022-08-01,0.6721,0.1927,1211690.0
2022-09-01,0.637,0.2023,1192823.0
2022-10-01,0.5496,0.2153,1160509.0
2022-11-01,0.4906,0.202,1114744.0
2022-12-01,0.47,0.1409,997733.0
2023-01-01,0.4886,0.1592,915143.0
2023-02-01,0.6386,0.1316,945510.0
2023-03-01,0.7047,0.1275,954973.0
2023-04-01,0.764,0.1233,989456.0
2023-05-01,0.7899,0.1272,1038418.0
2023-06-01,0.7382,0.1406,1063706.0
2023-07-01,0.6797,0.155,1082953.0
2023-08-01,0.6454,0.1621,1099964.0
2023-09-01,0.5824,0.1775,1107848.0
2023-10-01,0.5182,0.1889,1117661.0
2023-11-01,0.4698,0.1796,1107192.0
2023-12-01,0.4511,0.1265,1033561.0
2024-01-01,0.4644,0.1466,974419.0
2024-02-01,0.5524,0.146,1029096.0
2024-03-01,0.6059,0.1499,1112625.0
2024-04-01,0.6228,0.1548,1187392.0
2024-05-01,0.5997,0.1671,1255651.0
2024-06-01,0.5536,0.1843,1302278.0
2024-07-01,0.5065,0.1952,1327771.0
2024-08-01,0.4756,0.1922,1329050.0
2024-09-01,0.4488,0.1854,1353994.0
2024-10-01,0.438,0.1862,1368111.0
2024-11-01,0.4256,0.1669,1353236.0
2024-12-01,0.3971,0.1285,1214514.0
2025-01-01,0.3793,0.1558,1141040.0
2025-02-01,0.4384,0.1683,1216240.0
2025-03-01,0.4662,0.1745,1305093.0
2025-04-01,0.4874,0.1797,1422903.0
2025-05-01,0.4684,0.1906,1517398.0
2025-06-01,0.4457,0.2074,1562291.0
2025-07-01,0.4178,0.2058,1552489.0
2025-08-01,0.4121,0.2035,1547439.0
2025-09-01,0.3987,0.1989,1535298.0
2025-10-01,0.386,0.2032,1521384.0
2025-11-01,0.3834,0.1809,1480235.0
2025-12-01,0.3531,0.1289,1318754.0
2026-01-01,0.3425,0.1432,1223931.0
2026-02-01,0.4185,0.1548,1294615.0
2026-03-01,0.4485,0.1624,1393619.0
2026-04-01,0.4662,0.1672,1466894.0
