date,Active Listing Count (Realtor.com),New Listing Count (Realtor.com),Pending Listing Count (Realtor.com),Price Reduced Count (Realtor.com),Median Listing Price (Realtor.com),Average Listing Price (Realtor.com),Median Listing Price per Sq Ft (Realtor.com),Median Days on Market (Realtor.com),Median Home Size Sq Ft (Realtor.com)
2016-07-01,1463025.0,527576.0,415304.0,418920.0,259000.0,442831.0,127.0,64.0,1927.0
2016-08-01,1460071.0,470786.0,392800.0,408718.0,255267.0,439229.0,126.0,67.0,1921.0
2016-09-01,1443103.0,452994.0,369528.0,406618.0,255000.0,439191.0,126.0,71.0,1920.0
2016-10-01,1407722.0,413380.0,353149.0,365876.0,255000.0,443572.0,127.0,72.0,1914.0
2016-11-01,1339724.0,376706.0,331792.0,319376.0,252991.0,444847.0,126.0,74.0,1904.0
2016-12-01,1236003.0,281556.0,293207.0,224680.0,249900.0,444513.0,125.0,83.0,1892.0
2017-01-01,1154139.0,387202.0,267943.0,245290.0,249900.0,447922.0,126.0,88.0,1886.0
2017-02-01,1151139.0,437754.0,319466.0,268584.0,255400.0,459717.0,128.0,82.0,1897.0
2017-03-01,1172731.0,509098.0,372065.0,299882.0,264450.0,470589.0,130.0,62.0,1919.0
2017-04-01,1198445.0,555252.0,422179.0,331396.0,270000.0,478782.0,132.0,58.0,1948.0
2017-05-01,1253871.0,566590.0,449129.0,373204.0,277477.0,484481.0,133.0,55.0,1968.0
2017-06-01,1292389.0,539118.0,436451.0,406090.0,279000.0,482755.0,134.0,56.0,1977.0
2017-07-01,1322676.0,533556.0,415093.0,436424.0,279000.0,477521.0,134.0,59.0,1976.0
2017-08-01,1325376.0,500084.0,391879.0,420542.0,275000.0,471511.0,133.0,61.0,1968.0
2017-09-01,1308624.0,439208.0,369426.0,386660.0,275000.0,472469.0,133.0,64.0,1960.0
2017-10-01,1287341.0,428158.0,351800.0,380450.0,275000.0,474055.0,134.0,68.0,1951.0
2017-11-01,1228097.0,384202.0,323932.0,328050.0,274445.0,473288.0,133.0,71.0,1942.0
2017-12-01,1127819.0,288036.0,286843.0,223704.0,269900.0,473361.0,133.0,78.0,1918.0
2018-01-01,1043968.0,381636.0,257571.0,234682.0,269739.0,476816.0,134.0,83.0,1910.0
2018-02-01,1045168.0,433626.0,310658.0,252010.0,275450.0,488473.0,136.0,76.0,1918.0
2018-03-01,1067293.0,502856.0,361845.0,284284.0,285000.0,499282.0,139.0,58.0,1941.0
2018-04-01,1102074.0,552412.0,418136.0,326074.0,294950.0,508484.0,142.0,54.0,1964.0
2018-05-01,1156921.0,579566.0,443974.0,377496.0,299450.0,511961.0,144.0,51.0,1981.0
2018-06-01,1216521.0,546536.0,430100.0,417476.0,299900.0,510598.0,144.0,51.0,1991.0
2018-07-01,1261936.0,523848.0,402861.0,455130.0,299450.0,503884.0,144.0,55.0,1985.0
2018-08-01,1285682.0,492638.0,389029.0,458122.0,298500.0,494516.0,143.0,58.0,1970.0
2018-09-01,1301939.0,466844.0,370589.0,458240.0,297500.0,494128.0,144.0,60.0,1954.0
2018-10-01,1304695.0,437492.0,345655.0,452200.0,295250.0,495022.0,144.0,64.0,1944.0
2018-11-01,1273060.0,390884.0,327593.0,380204.0,295000.0,496309.0,144.0,66.0,1931.0
2018-12-01,1185880.0,300284.0,292067.0,262860.0,289900.0,493517.0,144.0,75.0,1911.0
2019-01-01,1110654.0,399042.0,266952.0,282434.0,289450.0,494606.0,144.0,81.0,1901.0
2019-02-01,1102678.0,409938.0,324492.0,285608.0,296000.0,508197.0,147.0,75.0,1909.0
2019-03-01,1115955.0,477856.0,382179.0,294788.0,305814.0,520893.0,149.0,65.0,1938.0
2019-04-01,1137210.0,552270.0,433853.0,306100.0,314950.0,532779.0,151.0,54.0,1970.0
2019-05-01,1180934.0,584354.0,454020.0,336632.0,319950.0,537149.0,153.0,52.0,1987.0
2019-06-01,1219821.0,556660.0,455583.0,380688.0,320000.0,535457.0,152.0,53.0,1997.0
2019-07-01,1239557.0,513256.0,440908.0,387628.0,319450.0,531562.0,152.0,57.0,1991.0
2019-08-01,1235278.0,479536.0,429398.0,375988.0,315791.0,526132.0,151.0,59.0,1980.0
2019-09-01,1224891.0,453048.0,415934.0,364684.0,312477.0,523422.0,150.0,62.0,1967.0
2019-10-01,1208337.0,426788.0,405222.0,356796.0,309945.0,522981.0,150.0,64.0,1958.0
2019-11-01,1143358.0,369004.0,394053.0,290428.0,305000.0,523287.0,150.0,67.0,1942.0
2019-12-01,1033913.0,267124.0,344487.0,172044.0,299900.0,523497.0,149.0,77.0,1921.0
2020-01-01,951699.0,379396.0,320266.0,208486.0,299250.0,524903.0,149.0,82.0,1912.0
2020-02-01,928363.0,413568.0,407292.0,206088.0,305490.0,543712.0,151.0,73.0,1920.0
2020-03-01,937341.0,479598.0,457774.0,213624.0,319000.0,552588.0,155.0,57.0,1941.0
2020-04-01,941752.0,348798.0,406459.0,160520.0,319250.0,540888.0,155.0,60.0,1937.0
2020-05-01,928387.0,450560.0,461396.0,199508.0,329000.0,556149.0,159.0,68.0,1956.0
2020-06-01,871577.0,496332.0,577567.0,221520.0,339450.0,583693.0,163.0,62.0,1970.0
2020-07-01,822849.0,505862.0,611581.0,215888.0,345000.0,601885.0,166.0,53.0,1964.0
2020-08-01,779567.0,493892.0,628084.0,203960.0,349000.0,621329.0,168.0,51.0,1943.0
2020-09-01,749403.0,484440.0,628133.0,197004.0,349000.0,633712.0,171.0,50.0,1909.0
2020-10-01,734048.0,456300.0,643358.0,194944.0,349000.0,641185.0,173.0,51.0,1884.0
2020-11-01,683830.0,389802.0,606477.0,168206.0,342000.0,640430.0,174.0,54.0,1854.0
2020-12-01,612307.0,309722.0,532257.0,113610.0,336250.0,642734.0,173.0,62.0,1828.0
2021-01-01,531780.0,362648.0,471149.0,99160.0,335000.0,657191.0,175.0,66.0,1805.0
2021-02-01,464924.0,380256.0,537907.0,78840.0,343500.0,685930.0,181.0,56.0,1797.0
2021-03-01,440592.0,454354.0,575993.0,82436.0,352450.0,702155.0,186.0,45.0,1800.0
2021-04-01,435667.0,491776.0,620686.0,83290.0,369450.0,721384.0,192.0,37.0,1809.0
2021-05-01,447670.0,509604.0,655556.0,95720.0,376414.0,723319.0,196.0,35.0,1823.0
2021-06-01,492432.0,545860.0,659596.0,124414.0,379900.0,712940.0,197.0,33.0,1827.0
2021-07-01,546697.0,520628.0,635414.0,168316.0,379000.0,686257.0,196.0,35.0,1827.0
2021-08-01,574649.0,493428.0,629547.0,183772.0,375000.0,669942.0,196.0,37.0,1821.0
2021-09-01,578079.0,457160.0,611799.0,182530.0,375000.0,665890.0,197.0,41.0,1813.0
2021-10-01,565716.0,430272.0,591451.0,172756.0,375000.0,671623.0,197.0,43.0,1806.0
2021-11-01,512250.0,375248.0,572619.0,136484.0,374131.0,675756.0,196.0,46.0,1799.0
2021-12-01,445310.0,286166.0,507259.0,89672.0,369158.0,677247.0,195.0,53.0,1787.0
2022-01-01,376973.0,323876.0,444075.0,69776.0,369900.0,702691.0,197.0,59.0,1776.0
2022-02-01,346514.0,368452.0,491150.0,64958.0,384500.0,742489.0,205.0,41.0,1781.0
2022-03-01,354019.0,435132.0,522693.0,75382.0,399450.0,758524.0,213.0,34.0,1795.0
2022-04-01,379980.0,495660.0,556660.0,92736.0,419500.0,764573.0,219.0,30.0,1812.0
2022-05-01,479469.0,526360.0,562263.0,161880.0,437450.0,767540.0,225.0,30.0,1852.0
2022-06-01,573660.0,533440.0,544435.0,245490.0,449000.0,752451.0,227.0,31.0,1877.0
2022-07-01,691663.0,471952.0,503402.0,323960.0,443900.0,726629.0,226.0,34.0,1880.0
2022-08-01,726793.0,418474.0,488450.0,314308.0,432588.0,709871.0,222.0,41.0,1877.0
2022-09-01,731511.0,393884.0,465973.0,319216.0,427750.0,701926.0,220.0,47.0,1873.0
2022-10-01,752749.0,360284.0,413681.0,328816.0,425000.0,702041.0,218.0,50.0,1875.0
2022-11-01,750209.0,295006.0,368038.0,284790.0,416000.0,698708.0,215.0,55.0,1866.0
2022-12-01,680931.0,215940.0,320065.0,171016.0,405000.0,697222.0,213.0,65.0,1852.0
2023-01-01,616869.0,287140.0,301420.0,191274.0,403706.0,709221.0,214.0,72.0,1850.0
2023-02-01,579268.0,304872.0,369949.0,165194.0,414375.0,738029.0,217.0,65.0,1851.0
2023-03-01,562453.0,342380.0,396375.0,165604.0,424000.0,760720.0,220.0,52.0,1865.0
2023-04-01,562979.0,385052.0,430131.0,166716.0,430000.0,777301.0,222.0,46.0,1885.0
2023-05-01,582451.0,406776.0,460092.0,182790.0,441007.0,791655.0,225.0,43.0,1902.0
2023-06-01,614336.0,396170.0,453499.0,206444.0,445000.0,786976.0,225.0,44.0,1916.0
2023-07-01,647145.0,374104.0,439883.0,228300.0,440000.0,775865.0,224.0,45.0,1914.0
2023-08-01,669765.0,387238.0,432257.0,240542.0,435495.0,760432.0,223.0,46.0,1906.0
2023-09-01,702470.0,358088.0,409123.0,263496.0,429503.0,749152.0,222.0,48.0,1891.0
2023-10-01,738119.0,348692.0,382468.0,276996.0,425000.0,745902.0,221.0,50.0,1875.0
2023-11-01,755529.0,317146.0,354952.0,256442.0,420000.0,742924.0,221.0,52.0,1857.0
2023-12-01,714214.0,235584.0,322185.0,160552.0,410000.0,736389.0,219.0,61.0,1837.0
2024-01-01,665603.0,295190.0,309122.0,182936.0,409500.0,742442.0,221.0,69.0,1823.0
