date,Pending Sales (Redfin),Homes Sold (Redfin),New Listings (Redfin),Active Inventory (Redfin),Months of Supply (Redfin),Median Days on Market (Redfin),Sale-to-List Ratio (Redfin),Price Drop Share (Redfin),Median Sale Price (Redfin),Off Market in Two Weeks (Redfin),Pending Sales SA (Redfin),Homes Sold SA (Redfin),New Listings SA (Redfin),Active Inventory SA (Redfin)
2012-01-31,371331.0,275322.0,487304.0,2182775.0,7.928074125,108.0,0.956023486,0.06415077358,158642.0,0.1052742473,467477.688946619,395649.999437335,580452.947935354,2379729.59169832
2012-02-29,414407.0,303929.0,522718.0,2223614.0,7.316235487,107.0,0.957804606,0.05690937673,158874.0,0.1309563917,469574.795776856,395603.503774404,557349.330635072,2371295.95824453
2012-03-31,511505.0,392756.0,632309.0,2275482.0,5.793622028,104.0,0.9615779353,0.05666194138,170209.0,0.1486613754,476957.851368596,401559.670799918,534848.492131333,2353979.15170557
2012-04-30,509519.0,403123.0,616460.0,2323060.0,5.762658794,91.0,0.964996237,0.05309450264,177772.0,0.1597307703,461656.885128831,402293.081349317,517690.326978644,2326507.7735102
2012-05-31,552045.0,462008.0,617497.0,2333658.0,5.051119876,82.0,0.9684480729,0.05520868192,185615.0,0.1551521807,461212.747761181,397954.281251431,490022.368460255,2262884.79839498
2012-06-30,548111.0,485857.0,583249.0,2310692.0,4.755912181,78.0,0.9703453557,0.05609176085,193327.0,0.1432921004,467630.461264884,397817.150794478,490006.829495301,2190453.81269157
2012-07-31,516770.0,448820.0,546610.0,2269729.0,5.057108304,79.0,0.9706717001,0.05708416326,191524.0,0.1408305977,470220.041868917,396901.728525296,491359.00661087,2128612.0791002
2012-08-31,539038.0,483304.0,542429.0,2200890.0,4.55384216,81.0,0.9697845364,0.05834640016,190207.0,0.1362287673,482660.887858226,400118.964133183,493263.404360667,2067803.05342022
2012-09-30,452270.0,390575.0,483604.0,2157615.0,5.524202857,83.0,0.969692579,0.05473700645,187124.0,0.1403755435,483035.31804267,408638.481565674,508827.06996755,2032136.14557219
2012-10-31,489015.0,421374.0,492035.0,2079425.0,4.934864195,84.0,0.9694559686,0.05499706522,184855.0,0.1413013908,491016.480905517,412819.345065892,517751.721939138,2007406.08795394
2012-11-30,441711.0,397243.0,389351.0,1953355.0,4.917280398,84.0,0.9692051678,0.0458261664,189302.0,0.1256214291,509799.63346629,423433.653443734,519635.877718706,1981020.48555067
2012-12-31,396755.0,389672.0,300260.0,1775357.0,4.556026775,87.0,0.9687672211,0.04131025554,192644.0,0.1184667969,518394.589580137,427948.035245285,557221.242038786,1982249.04994487
2013-01-31,406529.0,310586.0,494249.0,1801287.0,5.799646664,90.0,0.9678858869,0.05597904721,179131.0,0.1577534701,508298.214730435,439057.99586278,568547.49019606,1991215.7196828
2013-02-28,439039.0,320898.0,509834.0,1845046.0,5.749634845,89.0,0.9697806418,0.04262113556,180885.0,0.196345045,517169.902381809,437349.292338078,564960.017517739,1998273.03208792
2013-03-31,534509.0,417922.0,612323.0,1898394.0,4.542466298,80.0,0.9733290779,0.04451547778,192726.0,0.2188382673,508457.037168409,445326.351493533,551411.853657972,1986294.30536206
2013-04-30,577461.0,458161.0,695716.0,1998615.0,4.362251842,70.0,0.9768116662,0.04824525102,199330.0,0.2312718761,503604.901490664,437884.323707683,556381.456701684,2002219.68232936
2013-05-31,623741.0,531024.0,710817.0,2073743.0,3.905181625,63.0,0.9792482104,0.05075209453,208665.0,0.2148168858,516028.888211489,443778.126459939,556540.922008229,1999909.48016913
2013-06-30,594749.0,523014.0,655325.0,2114575.0,4.043053334,61.0,0.9804998019,0.05182089824,218175.0,0.1995457908,518007.815177817,452024.302161908,566107.460326278,1993782.7624339
2013-07-31,604014.0,544240.0,655852.0,2137168.0,3.926882752,62.0,0.9800482144,0.05918964431,219620.0,0.1816297061,537736.315270942,457374.335284159,574247.600022908,1995870.21087517
2013-08-31,582252.0,534722.0,618529.0,2127272.0,3.978278441,63.0,0.9781663274,0.06145040032,216335.0,0.1647556024,528147.605377754,454634.813314524,572494.397978776,1993107.8034746
2013-09-30,502994.0,445864.0,556091.0,2118760.0,4.752036407,67.0,0.9755609999,0.0668052419,209807.0,0.1589346521,525179.83403323,443910.412538522,571838.548547541,1996321.31211892
2013-10-31,512773.0,445691.0,547712.0,2081970.0,4.671330227,69.0,0.9738271434,0.07431830401,209426.0,0.1558495516,518667.927514554,438546.507743957,568084.671966483,2000717.76301472
2013-11-30,441637.0,382060.0,411260.0,1972309.0,5.162301717,73.0,0.9719253705,0.06592258367,207659.0,0.1419076833,521898.794569581,427760.111427368,570914.702779932,2002679.89691457
2013-12-31,409109.0,406691.0,310845.0,1786163.0,4.391946271,76.0,0.9703667399,0.0915496411,211072.0,0.1088817741,528660.129636879,432018.8088434,568212.233476049,1996193.85474311
2014-01-31,395579.0,301639.0,480800.0,1810349.0,6.001709743,84.0,0.9679658607,0.0598482717,199840.0,0.1593302615,496282.707839979,423401.225181506,552085.609901132,1996746.11712484
2014-02-28,412825.0,310013.0,497680.0,1858723.0,5.99562135,86.0,0.9694073694,0.06116306343,200659.0,0.1959406157,489095.796115468,426364.683251574,553524.89148335,2013330.42347704
2014-03-31,505182.0,391098.0,649588.0,1944152.0,4.971015107,78.0,0.9718138206,0.06292047197,208628.0,0.2353747112,484013.024295712,424956.585594144,573695.963501677,2032172.84013815
