date,"Payrolls - San Francisco Bay Area, 9-county (000s)"
1990-01-01,2926.7
1990-02-01,2922.0
1990-03-01,2922.8
1990-04-01,2932.5
1990-05-01,2933.6
1990-06-01,2939.5
1990-07-01,2950.8
1990-08-01,2942.2
1990-09-01,2946.7
1990-10-01,2954.7
1990-11-01,2950.3
1990-12-01,2951.7
1991-01-01,2969.1
1991-02-01,2959.1
1991-03-01,2948.1
1991-04-01,2947.4
1991-05-01,2940.3
1991-06-01,2932.6
1991-07-01,2931.4
1991-08-01,2930.5
1991-09-01,2927.1
1991-10-01,2929.3
1991-11-01,2921.5
1991-12-01,2915.4
1992-01-01,2906.2
1992-02-01,2891.9
1992-03-01,2897.9
1992-04-01,2896.6
1992-05-01,2893.0
1992-06-01,2890.3
1992-07-01,2892.7
1992-08-01,2889.4
1992-09-01,2887.9
1992-10-01,2885.8
1992-11-01,2885.8
1992-12-01,2876.9
1993-01-01,2901.5
1993-02-01,2898.6
1993-03-01,2892.7
1993-04-01,2889.3
1993-05-01,2892.0
1993-06-01,2893.4
1993-07-01,2891.4
1993-08-01,2889.0
1993-09-01,2889.4
1993-10-01,2890.1
1993-11-01,2890.2
1993-12-01,2896.7
1994-01-01,2888.2
1994-02-01,2886.0
1994-03-01,2890.5
1994-04-01,2891.6
1994-05-01,2892.4
1994-06-01,2890.6
1994-07-01,2889.2
1994-08-01,2892.7
1994-09-01,2897.1
1994-10-01,2904.4
1994-11-01,2909.2
1994-12-01,2918.8
1995-01-01,2921.5
1995-02-01,2934.9
1995-03-01,2938.5
1995-04-01,2942.9
1995-05-01,2948.4
1995-06-01,2960.4
1995-07-01,2968.9
1995-08-01,2986.1
1995-09-01,2996.6
1995-10-01,2993.5
1995-11-01,3005.7
1995-12-01,3014.5
1996-01-01,3035.7
1996-02-01,3043.0
1996-03-01,3048.3
1996-04-01,3051.4
1996-05-01,3063.4
1996-06-01,3071.4
1996-07-01,3083.1
1996-08-01,3088.1
1996-09-01,3095.5
1996-10-01,3105.7
1996-11-01,3121.6
1996-12-01,3129.4
1997-01-01,3139.6
1997-02-01,3157.1
1997-03-01,3171.6
1997-04-01,3188.2
1997-05-01,3197.4
1997-06-01,3206.2
1997-07-01,3212.0
1997-08-01,3215.8
1997-09-01,3234.8
1997-10-01,3242.9
1997-11-01,3250.0
1997-12-01,3269.5
1998-01-01,3273.8
1998-02-01,3274.9
1998-03-01,3280.7
1998-04-01,3291.7
1998-05-01,3302.0
1998-06-01,3310.7
1998-07-01,3317.7
1998-08-01,3323.5
1998-09-01,3333.9
1998-10-01,3336.5
1998-11-01,3346.0
1998-12-01,3349.2
1999-01-01,3356.7
1999-02-01,3364.5
1999-03-01,3368.0
1999-04-01,3370.2
1999-05-01,3381.5
1999-06-01,3383.8
1999-07-01,3398.3
1999-08-01,3407.0
1999-09-01,3414.3
1999-10-01,3426.6
1999-11-01,3433.2
1999-12-01,3447.4
2000-01-01,3463.3
2000-02-01,3475.2
2000-03-01,3489.1
2000-04-01,3505.6
2000-05-01,3520.6
2000-06-01,3542.7
2000-07-01,3561.1
2000-08-01,3572.9
2000-09-01,3579.8
2000-10-01,3577.7
2000-11-01,3593.2
2000-12-01,3603.5
2001-01-01,3600.8
2001-02-01,3597.6
2001-03-01,3596.4
2001-04-01,3563.9
2001-05-01,3542.3
2001-06-01,3524.6
2001-07-01,3499.5
2001-08-01,3479.5
2001-09-01,3453.3
2001-10-01,3422.8
2001-11-01,3396.1
2001-12-01,3384.7
2002-01-01,3366.9
2002-02-01,3358.7
2002-03-01,3357.9
2002-04-01,3348.3
2002-05-01,3341.1
2002-06-01,3330.0
2002-07-01,3320.9
2002-08-01,3313.4
2002-09-01,3307.3
2002-10-01,3304.1
2002-11-01,3296.8
2002-12-01,3282.1
2003-01-01,3271.1
2003-02-01,3266.7
2003-03-01,3254.4
2003-04-01,3255.6
2003-05-01,3243.3
2003-06-01,3238.1
2003-07-01,3226.6
2003-08-01,3221.5
2003-09-01,3222.1
2003-10-01,3218.0
2003-11-01,3218.5
2003-12-01,3217.2
2004-01-01,3215.6
2004-02-01,3218.2
2004-03-01,3220.6
2004-04-01,3224.1
2004-05-01,3229.0
2004-06-01,3230.5
2004-07-01,3229.9
2004-08-01,3229.9
2004-09-01,3227.0
2004-10-01,3237.6
2004-11-01,3239.9
2004-12-01,3244.6
2005-01-01,3246.1
2005-02-01,3245.0
2005-03-01,3246.4
2005-04-01,3253.1
2005-05-01,3252.2
2005-06-01,3255.1
2005-07-01,3263.9
2005-08-01,3269.3
2005-09-01,3274.0
2005-10-01,3278.1
2005-11-01,3283.8
2005-12-01,3290.6
2006-01-01,3299.3
2006-02-01,3308.8
2006-03-01,3309.9
2006-04-01,3311.5
2006-05-01,3324.5
2006-06-01,3331.0
2006-07-01,3331.4
2006-08-01,3339.9
2006-09-01,3340.9
2006-10-01,3339.4
2006-11-01,3342.3
2006-12-01,3342.1
2007-01-01,3351.5
2007-02-01,3361.5
2007-03-01,3372.1
2007-04-01,3358.4
2007-05-01,3369.1
2007-06-01,3376.0
2007-07-01,3387.1
2007-08-01,3384.2
2007-09-01,3388.5
2007-10-01,3383.6
2007-11-01,3393.4
2007-12-01,3395.8
2008-01-01,3398.9
2008-02-01,3403.4
2008-03-01,3401.7
2008-04-01,3392.9
2008-05-01,3388.9
2008-06-01,3385.8
2008-07-01,3382.3
2008-08-01,3381.6
2008-09-01,3377.2
2008-10-01,3354.3
2008-11-01,3333.4
2008-12-01,3317.8
2009-01-01,3290.9
2009-02-01,3260.7
2009-03-01,3238.8
2009-04-01,3214.0
2009-05-01,3196.2
2009-06-01,3182.6
2009-07-01,3155.5
2009-08-01,3140.6
2009-09-01,3142.8
2009-10-01,3149.9
2009-11-01,3148.8
2009-12-01,3142.2
2010-01-01,3139.0
2010-02-01,3134.1
2010-03-01,3138.8
2010-04-01,3148.1
2010-05-01,3158.1
2010-06-01,3153.6
2010-07-01,3146.4
2010-08-01,3136.2
2010-09-01,3151.7
2010-10-01,3158.2
2010-11-01,3159.7
2010-12-01,3163.8
2011-01-01,3176.4
2011-02-01,3180.9
2011-03-01,3185.4
2011-04-01,3192.3
2011-05-01,3193.9
2011-06-01,3193.7
2011-07-01,3206.3
2011-08-01,3211.5
2011-09-01,3227.0
2011-10-01,3229.1
2011-11-01,3234.9
2011-12-01,3241.0
2012-01-01,3253.6
2012-02-01,3263.3
2012-03-01,3276.4
2012-04-01,3296.8
2012-05-01,3309.5
2012-06-01,3323.8
2012-07-01,3330.9
2012-08-01,3339.9
2012-09-01,3348.2
2012-10-01,3357.5
2012-11-01,3368.4
2012-12-01,3379.8
2013-01-01,3381.3
2013-02-01,3398.9
2013-03-01,3409.8
2013-04-01,3414.6
2013-05-01,3423.4
2013-06-01,3428.2
2013-07-01,3432.0
2013-08-01,3450.9
2013-09-01,3459.5
2013-10-01,3471.0
2013-11-01,3490.7
2013-12-01,3498.6
2014-01-01,3506.8
2014-02-01,3519.2
2014-03-01,3528.6
2014-04-01,3541.3
2014-05-01,3550.5
2014-06-01,3557.3
2014-07-01,3561.5
2014-08-01,3576.8
2014-09-01,3589.5
2014-10-01,3597.4
2014-11-01,3608.5
2014-12-01,3619.4
2015-01-01,3637.7
2015-02-01,3643.8
2015-03-01,3656.9
2015-04-01,3667.5
2015-05-01,3677.4
2015-06-01,3686.5
2015-07-01,3709.5
2015-08-01,3722.3
2015-09-01,3731.6
2015-10-01,3748.3
2015-11-01,3751.2
2015-12-01,3758.9
2016-01-01,3777.1
2016-02-01,3788.7
2016-03-01,3785.4
2016-04-01,3814.2
2016-05-01,3813.6
2016-06-01,3814.4
2016-07-01,3833.4
2016-08-01,3838.6
2016-09-01,3849.2
2016-10-01,3854.6
2016-11-01,3860.6
2016-12-01,3864.6
2017-01-01,3870.6
2017-02-01,3878.4
2017-03-01,3893.0
2017-04-01,3893.2
2017-05-01,3902.1
2017-06-01,3912.0
2017-07-01,3913.8
2017-08-01,3916.3
2017-09-01,3926.0
2017-10-01,3923.2
2017-11-01,3933.7
2017-12-01,3945.1
2018-01-01,3948.5
2018-02-01,3963.8
2018-03-01,3966.8
2018-04-01,3974.7
2018-05-01,3980.7
2018-06-01,3992.6
2018-07-01,3991.0
2018-08-01,4003.0
2018-09-01,4005.3
2018-10-01,4013.0
2018-11-01,4020.4
2018-12-01,4029.0
2019-01-01,4029.8
2019-02-01,4035.3
2019-03-01,4043.2
2019-04-01,4044.9
2019-05-01,4051.6
2019-06-01,4056.1
2019-07-01,4066.4
2019-08-01,4082.7
2019-09-01,4078.7
2019-10-01,4080.3
2019-11-01,4093.3
2019-12-01,4099.3
2020-01-01,4116.6
2020-02-01,4120.3
2020-03-01,4072.9
2020-04-01,3476.4
2020-05-01,3535.7
2020-06-01,3606.2
2020-07-01,3625.4
2020-08-01,3642.2
2020-09-01,3664.3
2020-10-01,3696.0
2020-11-01,3703.1
2020-12-01,3693.6
2021-01-01,3683.3
2021-02-01,3721.3
2021-03-01,3744.0
2021-04-01,3779.2
2021-05-01,3793.9
2021-06-01,3806.4
2021-07-01,3851.4
2021-08-01,3869.0
2021-09-01,3876.6
2021-10-01,3926.4
2021-11-01,3941.3
2021-12-01,3961.3
2022-01-01,3970.4
2022-02-01,3993.2
2022-03-01,4009.6
2022-04-01,4021.0
2022-05-01,4027.1
2022-06-01,4038.0
2022-07-01,4044.0
2022-08-01,4052.8
2022-09-01,4052.3
2022-10-01,4045.3
2022-11-01,4051.9
2022-12-01,4048.1
2023-01-01,4045.9
2023-02-01,4050.4
2023-03-01,4040.6
2023-04-01,4038.0
2023-05-01,4039.5
2023-06-01,4039.3
2023-07-01,4025.4
2023-08-01,4028.1
2023-09-01,4034.7
2023-10-01,4023.8
2023-11-01,4020.9
2023-12-01,4024.6
2024-01-01,4052.2
2024-02-01,4028.6
2024-03-01,4027.0
2024-04-01,4013.9
2024-05-01,4015.5
2024-06-01,4006.1
2024-07-01,4005.4
2024-08-01,4001.2
2024-09-01,3998.6
2024-10-01,4000.6
2024-11-01,3996.3
2024-12-01,3988.4
2025-01-01,4004.4
2025-02-01,3995.8
2025-03-01,3997.1
2025-04-01,4001.4
2025-05-01,3999.3
2025-06-01,3993.4
2025-07-01,3999.0
2025-08-01,4000.0
2025-09-01,4001.4
2025-10-01,4008.8
2025-11-01,4014.4
2025-12-01,4017.4
2026-01-01,4026.3
2026-02-01,4028.3
2026-03-01,4029.9
2026-04-01,4030.0
2026-05-01,4028.9
2026-06-01,4024.8
2026-07-01,4026.6
