date,Payrolls - New York-Newark-Jersey City (000s),Payrolls - Los Angeles-Long Beach-Anaheim (000s),Payrolls - Chicago-Naperville-Elgin (000s),Payrolls - Dallas-Fort Worth-Arlington (000s),Payrolls - Houston-Pasadena-The Woodlands (000s),Payrolls - Washington-Arlington-Alexandria (000s),Payrolls - Philadelphia-Camden-Wilmington (000s),Payrolls - Atlanta-Sandy Springs-Roswell (000s),Payrolls - Miami-Fort Lauderdale-West Palm Beach (000s),Payrolls - Boston-Cambridge-Newton (000s),Payrolls - Phoenix-Mesa-Chandler (000s),Payrolls - Seattle-Tacoma-Bellevue (000s),Payrolls - Detroit-Warren-Dearborn (000s),Payrolls - Minneapolis-St. Paul-Bloomington (000s),Payrolls - Riverside-San Bernardino-Ontario (000s),Payrolls - Denver-Aurora-Centennial (000s),Payrolls - San Diego-Chula Vista-Carlsbad (000s),Payrolls - Tampa-St. Petersburg-Clearwater (000s),Payrolls - Orlando-Kissimmee-Sanford (000s),Payrolls - Baltimore-Columbia-Towson (000s),Payrolls - Austin-Round Rock-San Marcos (000s),Payrolls - Charlotte-Concord-Gastonia (000s),Payrolls - Portland-Vancouver-Hillsboro (000s),Payrolls - Nashville-Davidson-Murfreesboro-Franklin (000s),Payrolls - Pittsburgh (000s),Payrolls - San Antonio-New Braunfels (000s),"Payrolls - Columbus, OH (000s)",Payrolls - Las Vegas-Henderson-North Las Vegas (000s),Payrolls - Cincinnati (000s),Payrolls - Indianapolis-Carmel-Greenwood (000s),Payrolls - Kansas City (000s),Payrolls - Sacramento-Roseville-Folsom (000s),Payrolls - Cleveland (000s),Payrolls - Salt Lake City-Murray (000s),Payrolls - Raleigh-Cary (000s),Payrolls - San Francisco-Oakland-Fremont (000s),Payrolls - San Jose-Sunnyvale-Santa Clara (000s),Payrolls - Santa Rosa-Petaluma (000s),Payrolls - Vallejo (000s),Payrolls - Napa (000s)
1990-01-01,8058.7,5421.7,3971.0,1997.7,1738.0,2255.4,2516.2,1614.6,1696.4,2209.8,999.4,1287.7,1907.2,1398.2,708.1,845.6,972.5,861.9,571.4,1153.8,387.1,695.2,727.5,556.1,1064.9,546.4,736.8,364.3,859.7,711.8,821.0,617.3,1058.2,365.0,293.4,1823.3,828.6,137.9,96.8,40.1
1990-02-01,8044.7,5425.2,3973.5,2000.1,1745.1,2255.1,2517.6,1618.1,1698.8,2202.8,1003.6,1290.6,1913.3,1402.8,711.3,847.1,973.8,863.6,576.6,1159.6,387.4,700.1,726.0,556.5,1068.5,545.3,739.2,364.4,861.6,712.9,821.0,617.8,1059.8,364.9,295.7,1819.4,828.8,137.6,95.8,40.4
1990-03-01,8039.4,5418.4,3974.5,2002.9,1752.2,2256.2,2523.4,1622.7,1702.5,2196.2,1007.4,1292.4,1916.3,1403.3,713.9,848.5,976.0,864.0,577.7,1163.8,390.3,701.0,731.4,557.0,1070.1,545.0,740.9,367.3,863.3,714.5,821.4,619.8,1060.8,366.3,295.8,1819.7,829.3,137.8,95.8,40.2
1990-04-01,7987.7,5413.2,3960.0,2005.0,1763.2,2249.6,2505.5,1617.6,1699.1,2190.3,1017.5,1298.2,1914.0,1405.0,714.8,850.6,976.1,866.3,578.1,1156.8,393.6,700.3,735.1,554.9,1070.2,544.9,743.6,370.1,862.2,712.1,816.6,622.3,1063.0,364.3,295.7,1826.3,830.0,138.4,96.5,41.3
1990-05-01,7996.7,5405.1,3957.3,2006.4,1776.8,2248.8,2502.4,1616.6,1700.1,2185.5,1017.0,1302.9,1915.9,1402.9,719.2,856.1,978.1,865.2,580.1,1155.7,397.6,699.8,738.0,554.9,1069.6,545.9,744.0,371.4,864.1,713.0,818.0,624.2,1063.8,366.2,295.1,1826.3,830.0,138.5,96.9,41.9
1990-06-01,7987.9,5391.9,3965.9,2014.0,1790.3,2254.5,2507.0,1623.4,1698.7,2176.8,1016.9,1310.7,1919.5,1405.0,722.9,857.4,973.6,867.1,582.4,1155.2,397.2,699.7,740.4,552.3,1071.7,548.3,746.3,374.9,863.4,711.8,818.5,624.6,1066.2,368.3,295.2,1832.4,829.2,138.9,97.1,41.9
1990-07-01,7950.0,5372.3,3966.5,2021.8,1799.5,2249.6,2507.1,1628.1,1693.7,2169.3,1014.4,1312.0,1918.7,1407.3,724.0,854.8,978.5,864.2,585.4,1154.4,398.5,696.0,739.3,552.5,1077.1,546.5,747.1,378.5,865.0,715.8,818.9,625.6,1061.6,369.6,297.5,1840.9,831.0,139.7,97.3,41.9
1990-08-01,7944.9,5349.3,3962.8,2027.4,1803.5,2251.1,2506.4,1628.1,1694.6,2157.3,1012.8,1321.3,1918.5,1409.8,722.5,858.7,980.1,870.8,585.1,1154.3,398.3,693.7,750.2,554.1,1073.6,547.1,748.1,379.9,867.9,717.6,821.3,626.3,1060.3,371.3,296.6,1832.3,831.3,139.7,97.0,41.9
1990-09-01,7922.9,5327.2,3968.0,2027.3,1808.3,2247.2,2500.7,1626.8,1691.7,2145.7,1017.3,1314.0,1915.5,1409.1,723.8,862.2,981.5,865.9,581.9,1149.5,398.3,695.2,745.0,554.1,1072.3,549.3,748.5,379.1,868.0,717.7,822.4,627.7,1060.1,372.1,296.6,1839.1,828.0,140.2,97.1,42.3
1990-10-01,7843.4,5345.8,3945.5,2026.8,1804.8,2231.3,2483.7,1620.2,1690.8,2124.9,1015.2,1305.9,1908.1,1406.9,726.7,860.7,982.1,862.4,579.6,1138.2,398.9,690.9,742.0,552.3,1069.6,549.8,747.0,380.2,867.8,718.9,821.9,630.6,1054.2,373.0,296.2,1842.5,832.4,140.9,96.6,42.3
