date,"S&P 500 Reported Earnings (TTM, $/share)"
1871-01-31,10.6
1871-02-28,10.29
1871-03-31,10.14
1871-04-30,10.52
1871-05-31,10.76
1871-06-30,10.93
1871-07-31,10.93
1871-08-31,11.11
1871-09-30,10.84
1871-10-31,10.68
1871-11-30,10.68
1871-12-31,10.44
1872-01-31,10.51
1872-02-29,10.57
1872-03-31,10.48
1872-04-30,10.31
1872-05-31,10.37
1872-06-30,10.52
1872-07-31,10.74
1872-08-31,10.72
1872-09-30,10.71
1872-10-31,11.01
1872-11-30,10.75
1872-12-31,10.97
1873-01-31,11.04
1873-02-28,10.86
1873-03-31,10.92
1873-04-30,10.98
1873-05-31,11.29
1873-06-30,11.7
1873-07-31,11.77
1873-08-31,11.83
1873-09-30,11.9
1873-10-31,12.25
1873-11-30,12.71
1873-12-31,12.47
1874-01-31,12.28
1874-02-28,12.28
1874-03-31,12.28
1874-04-30,12.47
1874-05-31,12.57
1874-06-30,12.87
1874-07-31,12.78
1874-08-31,12.87
1874-09-30,12.87
1874-10-31,13.08
1874-11-30,13.2
1874-12-31,13.2
1875-01-31,12.96
1875-02-28,12.72
1875-03-31,12.48
1875-04-30,12.14
1875-05-31,12.2
1875-06-30,12.16
1875-07-31,11.92
1875-08-31,11.56
1875-09-30,11.42
1875-10-31,11.18
1875-11-30,11.02
1875-12-31,10.87
1876-01-31,10.75
1876-02-29,10.55
1876-03-31,10.35
1876-04-30,10.24
1876-05-31,10.4
1876-06-30,10.47
1876-07-31,10.25
1876-08-31,9.95
1876-09-30,9.64
1876-10-31,9.25
1876-11-30,8.97
1876-12-31,8.6
1877-01-31,8.5
1877-02-28,8.78
1877-03-31,9.24
1877-04-30,9.04
1877-05-31,8.93
1877-06-30,9.49
1877-07-31,9.46
1877-08-31,9.88
1877-09-30,10.04
1877-10-31,10.1
1877-11-30,10.36
1877-12-31,10.42
1878-01-31,10.76
1878-02-28,10.91
1878-03-31,11.17
1878-04-30,11.32
1878-05-31,11.73
1878-06-30,12.03
1878-07-31,11.92
1878-08-31,11.83
1878-09-30,11.86
1878-10-31,12.02
1878-11-30,12.2
1878-12-31,12.51
1879-01-31,12.59
1879-02-28,12.69
1879-03-31,13.06
1879-04-30,13.45
1879-05-31,13.69
1879-06-30,14.08
1879-07-31,14.16
1879-08-31,14.4
1879-09-30,14.13
1879-10-31,13.6
1879-11-30,13.12
1879-12-31,12.94
1880-01-31,12.86
