date,Unemployment Rate,U-1 Unemployed 15+ Weeks as % of Labor Force,U-2 Job Losers as % of Labor Force,U-4 + Discouraged Workers,U-5 + Other Marginally Attached,U-6 + Part-Time for Economic Reasons,Unemployed Less Than 5 Weeks (000s),Unemployed 5-14 Weeks (000s),Unemployed 15-26 Weeks (000s),Unemployed 27+ Weeks (000s),Total Unemployed (000s),Median Duration of Unemployment (Weeks),Average Duration of Unemployment (Weeks)
1948-01-01,3.4,0.5,,,,,1188.0,507.0,183.0,128.0,2034.0,,8.9
1948-02-01,3.8,0.5,,,,,1377.0,677.0,162.0,121.0,2328.0,,8.4
1948-03-01,4.0,0.5,,,,,1279.0,830.0,182.0,110.0,2399.0,,8.7
1948-04-01,3.9,0.5,,,,,1461.0,694.0,215.0,109.0,2386.0,,8.5
1948-05-01,3.5,0.5,,,,,1146.0,671.0,220.0,109.0,2118.0,,9.1
1948-06-01,3.6,0.5,,,,,1287.0,611.0,204.0,118.0,2214.0,,8.8
1948-07-01,3.6,0.5,,,,,1259.0,643.0,188.0,107.0,2213.0,,8.6
1948-08-01,3.9,0.5,,,,,1511.0,591.0,204.0,128.0,2350.0,,8.8
1948-09-01,3.8,0.5,,,,,1245.0,759.0,171.0,127.0,2302.0,,8.5
1948-10-01,3.7,0.5,,,,,1210.0,655.0,188.0,136.0,2259.0,,9.5
1948-11-01,3.8,0.5,,,,,1251.0,682.0,187.0,95.0,2285.0,,7.8
1948-12-01,4.0,0.5,,,,,1432.0,696.0,206.0,99.0,2429.0,,8.1
1949-01-01,4.3,0.5,,,,,1510.0,715.0,211.0,104.0,2596.0,,8.2
1949-02-01,4.7,0.6,,,,,1603.0,889.0,244.0,130.0,2849.0,,8.3
1949-03-01,5.0,0.7,,,,,1631.0,1025.0,298.0,116.0,3030.0,,8.3
1949-04-01,5.3,0.8,,,,,1652.0,1171.0,325.0,158.0,3260.0,,8.8
1949-05-01,6.1,1.0,,,,,1884.0,1247.0,410.0,192.0,3707.0,,9.1
1949-06-01,6.2,1.2,,,,,1729.0,1405.0,455.0,250.0,3776.0,,10.0
1949-07-01,6.7,1.4,,,,,1852.0,1410.0,539.0,309.0,4111.0,,10.8
1949-08-01,6.8,1.5,,,,,1874.0,1472.0,578.0,339.0,4193.0,,11.0
1949-09-01,6.6,1.6,,,,,1651.0,1506.0,618.0,355.0,4049.0,,11.7
1949-10-01,7.9,1.6,,,,,2332.0,1385.0,632.0,368.0,4916.0,,10.9
1949-11-01,6.4,1.7,,,,,1747.0,1242.0,626.0,430.0,3996.0,,11.6
1949-12-01,6.6,1.6,,,,,1748.0,1400.0,552.0,409.0,4063.0,,11.8
1950-01-01,6.5,1.5,,,,,1780.0,1256.0,549.0,398.0,4026.0,,11.3
1950-02-01,6.4,1.5,,,,,1600.0,1333.0,541.0,406.0,3936.0,,11.8
1950-03-01,6.3,1.5,,,,,1503.0,1329.0,490.0,422.0,3876.0,,12.4
1950-04-01,5.8,1.5,,,,,1472.0,1126.0,450.0,470.0,3575.0,,12.6
1950-05-01,5.5,1.4,,,,,1464.0,1011.0,475.0,415.0,3434.0,,12.7
1950-06-01,5.4,1.4,,,,,1468.0,1090.0,445.0,423.0,3367.0,,13.1
1950-07-01,5.0,1.2,,,,,1411.0,955.0,431.0,338.0,3120.0,,12.5
1950-08-01,4.5,1.0,,,,,1251.0,953.0,335.0,298.0,2799.0,,12.2
1950-09-01,4.4,1.0,,,,,1272.0,888.0,350.0,298.0,2774.0,,12.2
1950-10-01,4.2,0.9,,,,,1262.0,752.0,266.0,279.0,2625.0,,12.3
1950-11-01,4.2,0.8,,,,,1354.0,755.0,247.0,260.0,2589.0,,10.7
1950-12-01,4.3,0.8,,,,,1459.0,725.0,265.0,217.0,2639.0,,10.7
1951-01-01,3.7,0.7,,,,,1115.0,687.0,259.0,179.0,2305.0,,10.6
1951-02-01,3.4,0.6,,,,,1107.0,608.0,188.0,198.0,2117.0,,10.8
1951-03-01,3.4,0.6,,,,,1215.0,558.0,202.0,153.0,2125.0,,10.1
1951-04-01,3.1,0.5,,,,,1160.0,503.0,154.0,140.0,1919.0,,10.6
1951-05-01,3.0,0.4,,,,,1125.0,490.0,139.0,130.0,1856.0,,9.9
1951-06-01,3.2,0.4,,,,,1125.0,656.0,143.0,115.0,1995.0,,8.7
1951-07-01,3.1,0.4,,,,,1183.0,480.0,133.0,127.0,1950.0,,9.2
1951-08-01,3.1,0.4,,,,,1184.0,522.0,132.0,117.0,1933.0,,9.1
1951-09-01,3.3,0.4,,,,,1294.0,549.0,105.0,118.0,2067.0,,9.1
1951-10-01,3.5,0.4,,,,,1279.0,627.0,170.0,99.0,2194.0,,8.9
1951-11-01,3.5,0.5,,,,,1233.0,630.0,161.0,155.0,2178.0,,9.7
1951-12-01,3.1,0.4,,,,,1138.0,569.0,166.0,103.0,1960.0,,9.3
