date,"Typical Home Value (Zillow ZHVI, SA)","Typical Rent (Zillow ZORI, All Homes + Multifamily)","For-Sale Inventory (Zillow, smoothed)",Sales Count Nowcast (Zillow)
2000-01-31,122723.31472160046,,,
2000-02-29,122939.22437445784,,,
2000-03-31,123206.98413454268,,,
2000-04-30,123781.27626176394,,,
2000-05-31,124442.21764739459,,,
2000-06-30,125150.83589314227,,,
2000-07-31,125901.40141217974,,,
2000-08-31,126711.56384652601,,,
2000-09-30,127554.27660922916,,,
2000-10-31,128400.1990333202,,,
2000-11-30,129242.07057590706,,,
2000-12-31,130085.07924039922,,,
2001-01-31,130858.91290932843,,,
2001-02-28,131544.22806354458,,,
2001-03-31,132205.22538268013,,,
2001-04-30,132919.9104542412,,,
2001-05-31,133691.1648481191,,,
2001-06-30,134482.45528480597,,,
2001-07-31,135296.66417709176,,,
2001-08-31,136147.26892664633,,,
2001-09-30,137005.46168846884,,,
2001-10-31,137859.96692133628,,,
2001-11-30,138656.40986707827,,,
2001-12-31,139403.0909259943,,,
2002-01-31,140063.46209395313,,,
2002-02-28,140695.09342780514,,,
2002-03-31,141339.0131745364,,,
2002-04-30,142039.572870019,,,
2002-05-31,142813.35433544664,,,
2002-06-30,143651.51347962598,,,
2002-07-31,144570.38345735424,,,
2002-08-31,145551.43252755038,,,
2002-09-30,146545.52965368563,,,
2002-10-31,147538.124155152,,,
2002-11-30,148483.50154930243,,,
2002-12-31,149403.85425497536,,,
2003-01-31,150236.72703353208,,,
2003-02-28,151033.66751649437,,,
2003-03-31,151830.1765008499,,,
2003-04-30,152697.3212454448,,,
2003-05-31,153651.40289899262,,,
2003-06-30,154641.1734555878,,,
2003-07-31,155682.7638943127,,,
2003-08-31,156789.03384563132,,,
2003-09-30,157959.63074807564,,,
2003-10-31,159140.88401281685,,,
2003-11-30,160239.32108120163,,,
2003-12-31,161272.2255547645,,,
2004-01-31,162258.3935952868,,,
2004-02-29,163311.93749762865,,,
2004-03-31,164474.26458765473,,,
2004-04-30,165773.64856420504,,,
2004-05-31,167236.81470898355,,,
2004-06-30,168830.26152360011,,,
2004-07-31,170547.3494218034,,,
2004-08-31,172289.14052015817,,,
2004-09-30,174008.8751095617,,,
2004-10-31,175656.87152910858,,,
2004-11-30,177203.63802760476,,,
2004-12-31,178727.50704532862,,,
2005-01-31,180201.9621512502,,,
2005-02-28,181706.29833281398,,,
2005-03-31,183258.12564325272,,,
2005-04-30,185006.32096266784,,,
2005-05-31,186863.41528665958,,,
2005-06-30,188808.54940340066,,,
2005-07-31,190768.1806760865,,,
2005-08-31,192750.3457368981,,,
2005-09-30,194699.62703792448,,,
2005-10-31,196545.8678410107,,,
2005-11-30,198231.2910589575,,,
2005-12-31,199754.15998982088,,,
2006-01-31,201058.25478771442,,,
2006-02-28,202269.370045358,,,
2006-03-31,203489.21162214878,,,
2006-04-30,204799.90036354493,,,
2006-05-31,206093.55020771406,,,
2006-06-30,207234.53815354765,,,
2006-07-31,208128.49186482155,,,
2006-08-31,208816.2504947686,,,
2006-09-30,209266.58346157687,,,
2006-10-31,209584.60637574946,,,
2006-11-30,209751.27306383583,,,
2006-12-31,209851.84369316243,,,
2007-01-31,209889.02265697694,,,
2007-02-28,209928.59947027508,,,
2007-03-31,209957.15550000756,,,
2007-04-30,209986.23055158462,,,
2007-05-31,209893.575205573,,,
2007-06-30,209627.36081813517,,,
2007-07-31,209132.8234753837,,,
2007-08-31,208548.73418411243,,,
2007-09-30,207851.11222140802,,,
2007-10-31,207101.8044927171,,,
2007-11-30,206202.28877293714,,,
2007-12-31,205253.15838528052,,,
2008-01-31,204164.17272290913,,,
2008-02-29,202964.6618633746,,,203822.0
2008-03-31,201616.05819662954,,,235967.0
2008-04-30,200160.23992347205,,,261747.0
2008-05-31,198646.19569605854,,,288767.0
2008-06-30,197053.7501784699,,,301790.0
2008-07-31,195359.12932053139,,,304595.0
2008-08-31,193479.8825141797,,,287615.0
2008-09-30,191578.37238957334,,,270697.0
2008-10-31,189722.33394730292,,,261378.0
2008-11-30,187906.11488736115,,,192280.0
2008-12-31,186106.09016844947,,,218708.0
2009-01-31,184349.98713361283,,,164965.0
2009-02-28,182852.6048489193,,,179610.0
2009-03-31,181479.3420374574,,,228668.0
2009-04-30,180185.1517626356,,,243115.0
2009-05-31,178876.58175682012,,,264574.0
2009-06-30,177643.9480342718,,,313416.0
2009-07-31,176527.57486211535,,,320578.0
2009-08-31,175494.91697154273,,,292012.0
2009-09-30,174546.11800078696,,,287565.0
2009-10-31,173770.92462905907,,,302801.0
2009-11-30,173333.34457937864,,,281087.0
2009-12-31,173137.18464281628,,,261479.0
2010-01-31,173073.279909377,,,182325.0
2010-02-28,173003.30853487298,,,193334.0
2010-03-31,172999.81860189603,,,287328.0
2010-04-30,173103.8210659733,,,307845.0
2010-05-31,173163.9751905,,,317547.0
2010-06-30,173021.16387672292,,,349994.0
2010-07-31,172480.68064854413,,,252706.0
2010-08-31,171682.18319936996,,,256813.0
2010-09-30,170692.3338025923,,,267029.0
2010-10-31,169669.07217079864,,,233139.0
2010-11-30,168630.256543626,,,222551.0
2010-12-31,167663.50798206645,,,250062.0
2011-01-31,166768.1817456151,,,191569.0
2011-02-28,165938.80070606063,,,194610.0
2011-03-31,165149.01019682022,,,265782.0
2011-04-30,164322.94957941942,,,267489.0
2011-05-31,163452.70630311547,,,283991.0
2011-06-30,162600.05037870843,,,317829.0
2011-07-31,161881.1232857647,,,283582.0
2011-08-31,161277.05955832452,,,307350.0
2011-09-30,160758.68658751505,,,274242.0
2011-10-31,160248.7585564796,,,253377.0
2011-11-30,159815.19600604102,,,242992.0
2011-12-31,159438.54937485265,,,262272.0
2012-01-31,159208.84244456937,,,209119.0
2012-02-29,159190.21576367776,,,225788.0
2012-03-31,159401.7913616853,,,286829.0
2012-04-30,159762.89449307675,,,293026.0
2012-05-31,160205.11136266208,,,337300.0
2012-06-30,160734.52390355105,,,352449.0
2012-07-31,161312.27391168545,,,329186.0
2012-08-31,161807.59831865822,,,355400.0
2012-09-30,162373.34719070804,,,289061.0
2012-10-31,162984.75338255137,,,319323.0
2012-11-30,163715.16400708642,,,296141.0
2012-12-31,164479.37068848455,,,295605.0
2013-01-31,165356.0355464743,,,244533.0
