date,Median Existing-Home Price / Median Household Income Period Chg
1984-02-01,1.01
1984-03-01,0.53
1984-04-01,0.44
1984-05-01,0.84
1984-06-01,0.96
1984-07-01,1.1
1984-08-01,-0.97
1984-09-01,-2.17
1984-10-01,0.0
1984-11-01,0.0
1984-12-01,0.28
1985-01-01,-2.86
1985-02-01,0.29
1985-03-01,0.8
1985-04-01,0.28
1985-05-01,0.54
1985-06-01,1.73
1985-07-01,0.25
1985-08-01,0.65
1985-09-01,-1.68
1985-10-01,-0.9
1985-11-01,-0.41
1985-12-01,0.79
1986-01-01,-3.13
1986-02-01,0.39
1986-03-01,3.12
1986-04-01,0.5
1986-05-01,3.73
1986-06-01,-0.72
1986-07-01,-3.26
1986-08-01,2.62
1986-09-01,-2.06
1986-10-01,-1.12
1986-11-01,1.25
1986-12-01,0.5
1987-01-01,-1.97
1987-02-01,3.27
1987-03-01,-0.49
1987-04-01,0.95
1987-05-01,0.0
1987-06-01,-0.12
1987-07-01,2.79
1987-08-01,-2.04
1987-09-01,-1.14
1987-10-01,-1.07
1987-11-01,0.49
1987-12-01,0.46
1988-01-01,-1.28
1988-02-01,0.93
1988-03-01,0.0
1988-04-01,-1.01
1988-05-01,1.79
1988-06-01,0.7
1988-07-01,0.54
1988-08-01,0.87
1988-09-01,-3.27
1988-10-01,0.46
1988-11-01,-0.46
1988-12-01,0.22
1989-01-01,-8.44
1989-02-01,2.08
1989-03-01,0.23
1989-04-01,0.79
1989-05-01,-0.23
1989-06-01,1.01
1989-07-01,1.36
1989-08-01,1.53
1989-09-01,-2.16
1989-10-01,-1.12
1989-11-01,2.04
1989-12-01,-1.11
1990-01-01,-2.38
1990-02-01,0.13
1990-03-01,1.87
1990-04-01,-0.32
1990-05-01,-1.0
1990-06-01,4.48
1990-07-01,-0.72
1990-08-01,-2.62
1990-09-01,-0.78
1990-10-01,-2.28
1990-11-01,-0.67
1990-12-01,-0.1
1991-01-01,3.7
1991-02-01,-0.84
1991-03-01,3.79
1991-04-01,1.67
1991-05-01,0.4
1991-06-01,1.23
1991-07-01,1.92
1991-08-01,-1.5
1991-09-01,-2.1
1991-10-01,-0.53
1991-11-01,-1.03
1991-12-01,1.89
1992-01-01,-0.87
1992-02-01,0.62
1992-03-01,1.09
1992-04-01,-0.58
1992-05-01,-0.09
1992-06-01,2.1
1992-07-01,-1.88
1992-08-01,1.2
1992-09-01,-0.97
1992-10-01,0.4
1992-11-01,-0.8
1992-12-01,0.49
1993-01-01,-3.41
1993-02-01,-0.51
1993-03-01,2.27
1993-04-01,1.09
1993-05-01,0.9
1993-06-01,4.02
1993-07-01,-0.94
1993-08-01,0.39
1993-09-01,-1.16
1993-10-01,-0.48
1993-11-01,0.3
1993-12-01,0.57
1994-01-01,-2.87
1994-02-01,-1.45
1994-03-01,0.97
1994-04-01,1.27
1994-05-01,1.13
1994-06-01,3.35
1994-07-01,-0.82
1994-08-01,0.82
1994-09-01,-3.33
1994-10-01,-0.48
1994-11-01,0.09
1994-12-01,0.76
1995-01-01,-6.83
1995-02-01,-1.16
1995-03-01,1.08
1995-04-01,0.19
1995-05-01,1.52
1995-06-01,5.75
1995-07-01,0.36
1995-08-01,1.14
1995-09-01,-2.16
1995-10-01,-1.24
1995-11-01,0.61
1995-12-01,-0.15
1996-01-01,-2.87
1996-02-01,-1.7
1996-03-01,1.92
1996-04-01,0.78
1996-05-01,0.87
1996-06-01,4.01
1996-07-01,-0.92
1996-08-01,0.09
1996-09-01,-2.36
1996-10-01,-1.13
1996-11-01,0.87
1996-12-01,1.14
1997-01-01,-3.52
1997-02-01,-1.89
1997-03-01,1.92
1997-04-01,0.85
1997-05-01,1.93
1997-06-01,2.97
1997-07-01,-0.24
1997-08-01,1.13
1997-09-01,-1.44
1997-10-01,-1.38
1997-11-01,0.24
1997-12-01,1.24
1998-01-01,-4.54
1998-02-01,-1.53
1998-03-01,1.81
1998-04-01,0.97
1998-05-01,2.44
1998-06-01,1.87
1998-07-01,0.47
1998-08-01,-0.85
1998-09-01,-1.07
1998-10-01,-0.99
1998-11-01,1.0
1998-12-01,-0.69
1999-01-01,-0.36
1999-02-01,-2.22
1999-03-01,2.27
1999-04-01,0.0
1999-05-01,2.25
1999-06-01,3.65
1999-07-01,-1.4
1999-08-01,0.7
1999-09-01,-0.69
1999-10-01,-2.15
1999-11-01,0.74
1999-12-01,0.0
2000-01-01,-3.77
2000-02-01,0.0
2000-03-01,1.44
2000-04-01,0.73
2000-05-01,1.44
2000-06-01,2.1
2000-07-01,1.39
2000-08-01,-0.69
2000-09-01,0.69
2000-10-01,-3.4
2000-11-01,1.39
2000-12-01,0.7
2001-01-01,-2.61
2001-02-01,0.68
2001-03-01,2.81
2001-04-01,0.0
2001-05-01,2.04
2001-06-01,4.67
2001-07-01,-0.65
2001-08-01,0.65
2001-09-01,-2.56
2001-10-01,-1.96
2001-11-01,1.32
2001-12-01,4.61
2002-01-01,-2.31
2002-02-01,-0.63
2002-03-01,1.94
2002-04-01,0.62
2002-05-01,1.89
2002-06-01,5.55
2002-07-01,-1.17
2002-08-01,-1.18
2002-09-01,-1.19
2002-10-01,0.59
2002-11-01,1.2
2002-12-01,1.79
2003-01-01,-4.39
2003-02-01,-0.6
2003-03-01,1.8
2003-04-01,1.77
2003-05-01,1.76
2003-06-01,5.12
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,-1.62
2003-10-01,-0.55
2003-11-01,-0.55
2003-12-01,3.36
2004-01-01,-5.46
2004-02-01,1.11
2004-03-01,1.1
2004-04-01,2.18
2004-05-01,3.22
2004-06-01,4.66
2004-07-01,-0.5
2004-08-01,-1.48
2004-09-01,0.0
2004-10-01,-1.03
2004-11-01,1.54
2004-12-01,1.0
2005-01-01,-6.22
2005-02-01,1.01
2005-03-01,2.03
2005-04-01,5.41
2005-05-01,1.41
2005-06-01,5.53
2005-07-01,-0.45
2005-08-01,0.45
2005-09-01,-1.76
2005-10-01,1.79
2005-11-01,-1.76
2005-12-01,-1.32
2006-01-01,-5.93
2006-02-01,-0.78
2006-03-01,1.03
2006-04-01,2.15
2006-05-01,2.71
2006-06-01,0.38
2006-07-01,0.4
2006-08-01,-2.7
2006-09-01,-1.46
2006-10-01,-0.92
2006-11-01,-0.53
2006-12-01,1.93
2007-01-01,-8.71
2007-02-01,1.26
2007-03-01,1.83
2007-04-01,0.92
2007-05-01,1.42
2007-06-01,2.82
2007-07-01,-0.26
2007-08-01,-1.67
2007-09-01,-6.26
2007-10-01,-1.81
2007-11-01,1.02
2007-12-01,-0.91
2008-01-01,-3.57
2008-02-01,-2.04
2008-03-01,2.24
2008-04-01,0.45
2008-05-01,3.33
2008-06-01,3.56
2008-07-01,-2.22
2008-08-01,-3.52
2008-09-01,-5.88
2008-10-01,-2.34
2008-11-01,-3.43
2008-12-01,-2.46
2009-01-01,-5.32
2009-02-01,2.18
2009-03-01,1.01
2009-04-01,-1.93
2009-05-01,4.84
2009-06-01,4.08
2009-07-01,-0.27
2009-08-01,-2.2
2009-09-01,-0.67
2009-10-01,-2.23
2009-11-01,-1.27
2009-12-01,0.41
2010-01-01,-2.42
2010-02-01,-0.18
2010-03-01,3.05
2010-04-01,1.57
2010-05-01,1.34
2010-06-01,4.74
2010-07-01,-0.43
2010-08-01,-2.63
2010-09-01,-3.34
2010-10-01,-0.46
2010-11-01,-0.23
2010-12-01,-0.84
2011-01-01,-7.88
2011-02-01,-1.14
2011-03-01,2.37
2011-04-01,0.81
2011-05-01,5.09
2011-06-01,3.69
2011-07-01,-2.48
2011-08-01,0.0
2011-09-01,-3.45
2011-10-01,-2.72
2011-11-01,1.99
2011-12-01,-1.1
2012-01-01,-6.51
2012-02-01,0.66
2012-03-01,5.9
2012-04-01,5.42
2012-05-01,3.79
2012-06-01,4.73
2012-07-01,-0.54
2012-08-01,-1.55
2012-09-01,-3.56
2012-10-01,-0.8
2012-11-01,1.41
2012-12-01,0.46
2013-01-01,-9.88
2013-02-01,1.54
2013-03-01,6.22
2013-04-01,4.25
2013-05-01,5.9
2013-06-01,5.36
2013-07-01,-0.75
2013-08-01,-1.26
2013-09-01,-5.34
2013-10-01,-0.51
2013-11-01,-1.0
2013-12-01,1.12
2014-01-01,-5.07
2014-02-01,0.26
2014-03-01,4.41
2014-04-01,2.43
2014-05-01,5.22
2014-06-01,4.71
2014-07-01,-0.17
2014-08-01,-1.45
2014-09-01,-4.25
2014-10-01,-0.77
2014-11-01,-0.16
2014-12-01,0.49
2015-01-01,-9.9
2015-02-01,2.17
2015-03-01,4.37
2015-04-01,3.78
2015-05-01,4.68
2015-06-01,3.23
2015-07-01,-1.91
2015-08-01,-1.41
2015-09-01,-2.97
2015-10-01,-1.17
2015-11-01,0.39
2015-12-01,1.46
2016-01-01,-8.33
2016-02-01,-0.77
2016-03-01,4.4
2016-04-01,4.29
2016-05-01,3.45
2016-06-01,3.66
2016-07-01,-1.79
2016-08-01,-1.31
2016-09-01,-1.99
2016-10-01,-0.48
2016-11-01,0.13
2016-12-01,-0.45
2017-01-01,-5.92
2017-02-01,0.38
2017-03-01,3.7
2017-04-01,3.54
2017-05-01,3.07
2017-06-01,4.29
2017-07-01,-2.0
2017-08-01,-1.92
2017-09-01,-2.17
2017-10-01,-0.64
2017-11-01,0.47
2017-12-01,-0.27
2018-01-01,-5.48
2018-02-01,0.0
2018-03-01,3.75
2018-04-01,3.24
2018-05-01,2.79
2018-06-01,3.29
2018-07-01,-1.66
2018-08-01,-1.36
2018-09-01,-3.28
2018-10-01,-0.69
2018-11-01,0.89
2018-12-01,-1.06
2019-01-01,-9.95
2019-02-01,0.28
2019-03-01,3.85
2019-04-01,2.8
2019-05-01,4.19
2019-06-01,2.59
2019-07-01,-1.73
2019-08-01,-0.59
2019-09-01,-2.61
2019-10-01,-0.15
2019-11-01,0.08
2019-12-01,1.19
2020-01-01,-2.0
2020-02-01,1.53
2020-03-01,3.8
2020-04-01,2.18
2020-05-01,-1.14
2020-06-01,3.84
2020-07-01,3.79
2020-08-01,1.58
2020-09-01,0.35
2020-10-01,0.48
2020-11-01,-0.7
2020-12-01,-0.53
2021-01-01,-5.65
2021-02-01,2.35
2021-03-01,5.01
2021-04-01,4.38
2021-05-01,2.89
2021-06-01,3.53
2021-07-01,-0.92
2021-08-01,-0.49
2021-09-01,-1.82
2021-10-01,0.42
2021-11-01,0.48
2021-12-01,0.06
2022-01-01,-6.25
2022-02-01,2.0
2022-03-01,5.03
2022-04-01,4.23
2022-05-01,4.19
2022-06-01,2.07
2022-07-01,-2.94
2022-08-01,-3.53
2022-09-01,-1.55
2022-10-01,-1.23
2022-11-01,-2.13
2022-12-01,-1.15
2023-01-01,-8.81
2023-02-01,0.67
2023-03-01,3.21
2023-04-01,2.79
2023-05-01,2.78
2023-06-01,3.42
2023-07-01,-1.08
2023-08-01,-0.36
2023-09-01,-2.83
2023-10-01,-0.29
2023-11-01,-0.97
2023-12-01,-1.66
2024-01-01,-4.42
2024-02-01,1.37
2024-03-01,2.36
2024-04-01,3.5
