date,Altos Total Inventory (SFR + Condo) Period Chg
2015-01-09,-3.66
2015-01-16,0.83
2015-01-23,0.37
2015-01-30,0.64
2015-02-06,0.19
2015-02-13,0.89
2015-02-20,0.75
2015-02-27,0.28
2015-03-06,0.48
2015-03-13,0.95
2015-03-20,1.04
2015-03-27,0.06
2015-04-03,2.63
2015-04-10,0.68
2015-04-17,2.13
2015-04-24,1.49
2015-05-01,0.97
2015-05-08,0.97
2015-05-15,2.42
2015-05-22,1.3
2015-05-29,0.35
2015-06-05,0.18
2015-06-12,2.63
2015-06-19,0.76
2015-06-26,0.47
2015-07-03,0.22
2015-07-10,-0.2
2015-07-17,1.03
2015-07-24,0.38
2015-07-31,0.34
2015-08-07,-1.03
2015-08-14,0.71
2015-08-21,0.65
2015-08-28,0.22
2015-09-04,-0.91
2015-09-11,-0.72
2015-09-18,0.64
2015-09-25,-0.2
2015-10-02,-0.83
2015-10-09,-1.53
2015-10-16,0.86
2015-10-23,-0.6
2015-10-30,-0.19
2015-11-06,-2.35
2015-11-13,-0.39
2015-11-20,-1.15
2015-11-27,-1.36
2015-12-04,-2.05
2015-12-11,-2.79
2015-12-18,-1.31
2015-12-25,-2.26
2016-01-01,-1.62
2016-01-08,-4.02
2016-01-15,1.01
2016-01-22,-1.2
2016-01-29,-0.24
2016-02-05,1.28
2016-02-12,0.1
2016-02-19,-1.67
2016-02-26,0.57
2016-03-04,-0.6
2016-03-11,1.08
2016-03-18,0.3
2016-03-25,0.09
2016-04-01,-0.51
2016-04-08,0.43
2016-04-15,1.51
2016-04-22,2.48
2016-04-29,0.92
2016-05-06,-0.25
2016-05-13,1.33
2016-05-20,0.99
2016-05-27,1.02
2016-06-03,0.06
2016-06-10,0.67
2016-06-17,1.67
2016-06-24,0.09
2016-07-01,0.63
2016-07-08,-0.73
2016-07-15,0.63
2016-07-22,0.63
2016-07-29,0.13
2016-08-05,-1.32
2016-08-12,0.55
2016-08-19,-0.86
2016-08-26,-0.57
2016-09-02,-0.3
2016-09-09,-1.17
2016-09-16,0.59
2016-09-23,0.34
2016-09-30,-0.78
2016-10-07,-1.69
2016-10-14,-0.02
2016-10-21,-0.42
2016-10-28,-0.37
2016-11-04,-0.69
2016-11-11,-1.75
2016-11-18,-1.25
2016-11-25,-1.48
2016-12-02,-1.76
2016-12-09,-2.37
2016-12-16,-1.77
2016-12-23,-2.19
2016-12-30,-2.31
2017-01-06,-4.72
2017-01-13,0.27
2017-01-20,0.33
2017-01-27,0.01
2017-02-03,0.18
2017-02-10,-0.11
2017-02-17,0.3
2017-02-24,0.62
2017-03-03,0.37
2017-03-10,0.83
2017-03-17,1.24
2017-03-24,1.08
2017-03-31,1.67
2017-04-07,0.13
2017-04-14,1.31
2017-04-21,0.48
2017-04-28,1.46
2017-05-05,0.3
2017-05-12,0.76
2017-05-19,2.03
2017-05-26,1.01
2017-06-02,0.26
2017-06-09,0.83
2017-06-16,0.93
2017-06-23,-0.27
2017-06-30,1.17
2017-07-07,-0.6
2017-07-14,0.95
2017-07-21,0.92
2017-07-28,0.4
2017-08-04,0.04
2017-08-11,-1.01
2017-08-18,0.17
2017-08-25,0.18
2017-09-01,-0.66
2017-09-08,-1.11
2017-09-15,0.18
2017-09-22,0.01
2017-09-29,-0.12
2017-10-06,-1.17
2017-10-13,1.07
2017-10-20,-1.41
2017-10-27,0.07
2017-11-03,-0.81
2017-11-10,-1.58
2017-11-17,-0.9
2017-11-24,-1.66
2017-12-01,-2.16
2017-12-08,-2.71
2017-12-15,-1.31
2017-12-22,-2.45
2017-12-29,-2.73
2018-01-05,-4.92
2018-01-12,0.16
2018-01-19,0.62
2018-01-26,0.57
2018-02-02,-1.47
2018-02-09,-0.28
2018-02-16,0.98
2018-02-23,0.77
2018-03-02,-0.05
2018-03-09,0.33
2018-03-16,1.48
2018-03-23,1.34
2018-03-30,0.73
2018-04-06,-0.97
2018-04-13,1.33
2018-04-20,1.39
2018-04-27,0.59
2018-05-04,0.58
2018-05-11,1.49
2018-05-18,1.48
2018-05-25,1.49
2018-06-01,1.06
2018-06-08,0.91
2018-06-15,1.39
2018-06-22,0.63
2018-06-29,1.09
2018-07-06,-0.62
2018-07-13,0.48
2018-07-20,1.22
2018-07-27,0.74
2018-08-03,0.2
2018-08-10,-0.72
2018-08-17,0.9
2018-08-24,-0.25
2018-08-31,-0.08
2018-09-07,-0.8
2018-09-14,1.47
2018-09-21,0.53
