date,Altos New Listings (SFR + Condo) Period Chg,Altos New Listings 4-Week Avg (SFR + Condo) Period Chg,Altos New Listings 13-Week Avg (SFR + Condo) Period Chg
2015-01-09,84.17,,-3.54
2015-01-16,35.81,,-1.59
2015-01-23,4.31,,-2.49
2015-01-30,6.15,22.25,0.49
2015-02-06,28.67,17.71,5.34
2015-02-13,-12.28,5.46,0.91
2015-02-20,-1.57,3.88,2.0
2015-02-27,15.59,6.28,3.82
2015-03-06,2.32,0.57,5.15
2015-03-13,-15.07,-0.26,2.76
2015-03-20,21.28,5.03,4.84
2015-03-27,32.89,10.15,6.9
2015-04-03,-25.85,0.35,6.98
2015-04-10,7.39,5.65,5.19
2015-04-17,10.24,3.81,4.38
2015-04-24,-7.01,-5.38,3.3
2015-05-01,-2.04,1.8,2.69
2015-05-08,7.92,2.03,1.77
2015-05-15,3.29,0.4,2.79
2015-05-22,-7.42,0.27,2.15
2015-05-29,-15.43,-3.01,-0.03
2015-06-05,20.42,-0.69,1.2
2015-06-12,16.49,2.69,3.52
2015-06-19,-18.44,-0.8,0.53
2015-06-26,-3.62,2.16,-2.11
2015-07-03,-2.88,-2.75,0.06
2015-07-10,-4.09,-7.96,-0.74
2015-07-17,12.35,0.23,-0.68
2015-07-24,-12.02,-2.01,-1.02
2015-07-31,13.38,1.88,0.04
2015-08-07,-21.5,-2.84,-2.22
2015-08-14,27.68,-0.01,-0.84
2015-08-21,-11.8,0.05,-1.14
2015-08-28,-4.46,-4.24,-0.19
2015-09-04,1.6,2.08,-1.51
2015-09-11,-8.03,-5.94,-3.51
2015-09-18,13.36,0.32,-0.84
2015-09-25,-6.78,-0.31,-1.06
2015-10-02,-2.71,-1.38,-1.03
2015-10-09,-3.5,-0.19,-0.95
2015-10-16,8.16,-1.44,-1.37
2015-10-23,-10.18,-2.24,-1.08
2015-10-30,-3.68,-2.46,-2.41
2015-11-06,-3.59,-2.45,-0.73
2015-11-13,8.27,-2.69,-2.21
2015-11-20,-10.41,-2.55,-1.89
2015-11-27,-18.72,-6.08,-2.79
2015-12-04,-9.17,-7.39,-3.51
2015-12-11,39.38,-2.38,-0.87
2015-12-18,-19.45,-4.78,-3.41
2015-12-25,-17.87,-3.87,-3.97
2016-01-01,-35.7,-9.17,-5.75
2016-01-08,43.07,-13.53,-4.22
2016-01-15,59.24,6.55,-2.04
2016-01-22,22.64,19.78,0.98
2016-01-29,-22.64,15.48,-1.06
2016-02-05,30.32,16.0,1.76
2016-02-12,-21.26,-0.6,-1.24
2016-02-19,15.33,-2.36,1.04
2016-02-26,18.46,8.91,4.41
2016-03-04,-8.28,-0.35,3.94
2016-03-11,10.54,8.07,2.5
2016-03-18,8.87,6.88,4.91
2016-03-25,-12.45,-0.83,4.42
2016-04-01,-4.57,0.13,5.54
2016-04-08,16.52,1.52,5.34
2016-04-15,1.21,-0.4,2.82
2016-04-22,9.32,5.5,2.18
2016-04-29,-14.58,2.19,2.42
2016-05-06,8.23,0.56,1.33
2016-05-13,-5.34,-1.07,2.38
2016-05-20,8.67,-1.34,2.16
2016-05-27,-1.05,2.41,0.88
2016-06-03,-16.0,-3.63,0.17
2016-06-10,23.44,2.83,1.07
2016-06-17,12.9,4.12,1.49
2016-06-24,-27.5,-3.74,-0.12
2016-07-01,5.56,1.44,0.57
2016-07-08,-2.99,-4.24,-0.72
2016-07-15,19.99,-3.38,0.57
2016-07-22,-12.64,1.71,-1.2
2016-07-29,-1.12,0.13,-0.06
2016-08-05,-4.48,-0.23,-0.98
2016-08-12,10.22,-2.54,0.15
2016-08-19,-20.21,-4.26,-2.06
2016-08-26,4.95,-3.07,-1.7
2016-09-02,-1.31,-2.28,-0.47
2016-09-09,-6.41,-6.54,-2.57
2016-09-16,11.42,1.97,-3.07
2016-09-23,-4.21,-0.36,-0.59
2016-09-30,12.39,3.08,-0.14
2016-10-07,-10.36,1.72,-0.73
2016-10-14,-21.36,-6.03,-3.84
2016-10-21,33.15,1.4,-0.81
2016-10-28,-20.08,-7.06,-2.29
2016-11-04,15.68,-0.87,-0.95
2016-11-11,-17.58,0.31,-3.14
2016-11-18,0.63,-6.69,-1.26
2016-11-25,-7.37,-2.74,-2.14
2016-12-02,-28.8,-13.24,-3.85
2016-12-09,61.36,1.97,-0.65
2016-12-16,-33.62,-8.04,-4.08
2016-12-23,2.68,-5.99,-3.72
2016-12-30,-34.06,-5.74,-6.88
2017-01-06,15.74,-17.17,-5.61
2017-01-13,42.33,3.31,-1.65
2017-01-20,30.84,12.01,-2.39
2017-01-27,-6.73,16.95,-0.72
2017-02-03,7.89,14.51,-1.52
2017-02-10,22.94,12.77,2.58
2017-02-17,-5.11,4.16,1.88
2017-02-24,-5.28,4.12,1.93
2017-03-03,-3.58,1.45,3.83
2017-03-10,30.69,3.57,3.15
2017-03-17,-2.43,4.06,5.64
2017-03-24,0.52,5.3,5.25
2017-03-31,11.88,8.92,7.99
2017-04-07,-3.78,1.38,6.49
2017-04-14,-10.28,-0.69,3.64
2017-04-21,0.27,-0.76,2.07
2017-04-28,13.04,-0.58,3.5
2017-05-05,15.9,4.68,4.36
2017-05-12,-10.65,3.9,1.82
2017-05-19,-1.41,3.34,2.01
2017-05-26,-19.02,-4.11,0.72
2017-06-02,17.69,-4.6,2.12
2017-06-09,3.1,-0.84,0.57
2017-06-16,-0.99,-0.72,0.67
2017-06-23,-3.17,3.56,0.38
2017-06-30,1.41,0.06,-0.37
2017-07-07,-4.52,-1.83,-0.41
2017-07-14,-13.27,-4.81,-0.59
2017-07-21,18.32,-0.17,0.56
2017-07-28,-3.21,-1.37,-0.59
2017-08-04,2.71,0.52,-1.66
2017-08-11,0.67,4.09,-0.64
2017-08-18,-6.92,-1.73,-1.07
2017-08-25,4.34,0.1,0.84
2017-09-01,-4.99,-1.81,-0.74
2017-09-08,-6.02,-3.47,-1.43
2017-09-15,-17.19,-5.76,-2.56
2017-09-22,12.94,-4.6,-1.59
2017-09-29,4.37,-2.3,-1.44
2017-10-06,-3.86,-1.64,-1.35
2017-10-13,11.43,5.92,0.53
2017-10-20,-10.6,-0.01,-1.6
2017-10-27,-4.34,-2.1,-1.66
2017-11-03,-3.95,-2.08,-2.19
2017-11-10,7.19,-3.35,-1.81
2017-11-17,-5.39,-1.76,-1.61
2017-11-24,-9.59,-3.01,-2.68
2017-12-01,-36.34,-10.4,-4.67
2017-12-08,55.8,-4.53,-1.9
2017-12-15,-18.37,-7.94,-1.69
2017-12-22,-3.21,-6.29,-2.87
2017-12-29,-38.89,-4.89,-5.56
2018-01-05,-2.83,-17.18,-5.63
2018-01-12,79.21,0.96,-4.05
2018-01-19,13.18,6.25,-2.08
2018-01-26,8.62,20.07,-0.96
2018-02-02,3.01,18.07,-0.31
2018-02-09,12.13,9.07,0.13
2018-02-16,-3.14,4.82,0.36
2018-02-23,0.02,2.76,1.3
2018-03-02,-1.49,1.63,4.29
2018-03-09,28.34,5.78,3.82
2018-03-16,-0.95,5.94,5.03
2018-03-23,-5.0,4.21,4.44
2018-03-30,3.65,5.28,6.85
2018-04-06,-12.57,-3.77,5.28
2018-04-13,21.33,1.17,4.34
2018-04-20,0.79,2.68,3.54
2018-04-27,0.55,1.87,2.98
2018-05-04,-0.46,4.8,2.68
2018-05-11,5.39,1.57,2.34
2018-05-18,-6.33,-0.3,1.93
2018-05-25,6.11,1.06,2.39
2018-06-01,-14.25,-2.49,1.22
2018-06-08,15.79,-0.34,0.65
2018-06-15,-0.15,1.29,0.71
2018-06-22,-2.43,-0.85,0.88
2018-06-29,11.45,5.79,1.52
2018-07-06,-21.91,-3.75,0.5
2018-07-13,-7.59,-5.5,-1.35
2018-07-20,19.55,-1.02,-0.19
2018-07-27,1.18,-3.78,-0.15
2018-08-03,-13.02,-0.67,-1.11
2018-08-10,22.25,6.42,-0.04
2018-08-17,-14.12,-1.92,-0.68
2018-08-24,-1.07,-2.51,-1.24
2018-08-31,-8.03,-1.04,-0.64
2018-09-07,-8.07,-8.07,-2.32
2018-09-14,23.43,0.87,-0.9
2018-09-21,-11.13,-1.91,-1.56
2018-09-28,-2.02,-0.3,-2.71
2018-10-05,7.05,3.41,-0.14
2018-10-12,-3.8,-2.8,0.16
2018-10-19,-5.24,-1.09,-1.61
2018-10-26,-1.37,-0.92,-1.83
2018-11-02,-2.13,-3.18,-0.86
2018-11-09,2.73,-1.59,-2.41
2018-11-16,-5.32,-1.55,-1.48
2018-11-23,-10.51,-3.76,-2.15
2018-11-30,-38.23,-11.95,-3.95
2018-12-07,54.23,-5.81,-1.22
2018-12-14,-9.92,-7.03,-3.66
2018-12-21,-3.02,-4.89,-2.89
2018-12-28,-34.15,-2.13,-4.85
2019-01-04,-23.84,-16.77,-6.74
2019-01-11,106.67,0.17,-3.2
2019-01-18,37.7,13.37,-0.02
2019-01-25,-21.76,12.64,-2.05
2019-02-01,32.81,24.05,0.73
2019-02-08,-21.73,2.45,-1.82
2019-02-15,20.3,-0.6,0.39
2019-02-22,-8.19,3.2,0.58
2019-03-01,5.05,-2.56,4.32
2019-03-08,16.65,7.91,2.92
2019-03-15,-1.94,2.57,3.39
2019-03-22,2.19,5.09,3.7
2019-03-29,1.55,4.17,5.84
2019-04-05,9.94,2.97,7.37
2019-04-12,4.93,4.69,4.42
2019-04-19,-1.53,3.57,2.03
2019-04-26,-7.85,1.07,2.86
2019-05-03,12.15,1.68,1.96
2019-05-10,3.15,1.27,3.79
2019-05-17,-4.5,0.45,2.13
2019-05-24,11.44,5.27,3.59
2019-05-31,-21.42,-3.34,1.21
2019-06-07,14.98,-1.0,1.28
2019-06-14,6.08,1.7,1.89
2019-06-21,-5.78,-2.66,1.22
2019-06-28,-3.3,2.46,0.84
2019-07-05,-0.35,-0.92,0.15
2019-07-12,-21.95,-7.75,-1.86
2019-07-19,28.47,-0.92,-0.08
2019-07-26,-5.5,-1.48,0.11
2019-08-02,-5.7,-2.85,-1.17
2019-08-09,1.45,3.48,-1.34
2019-08-16,-1.66,-2.97,-1.09
2019-08-23,-4.89,-2.74,-2.38
2019-08-30,-0.81,-1.48,-0.5
2019-09-06,-13.54,-5.14,-2.53
2019-09-13,19.59,-0.66,-1.94
2019-09-20,1.36,1.02,-1.33
2019-09-27,-8.69,-1.09,-1.71
2019-10-04,-1.21,2.07,-1.8
2019-10-11,5.78,-0.85,0.54
2019-10-18,-4.05,-2.24,-1.74
2019-10-25,-6.35,-1.51,-1.74
2019-11-01,-9.23,-3.41,-1.91
2019-11-08,1.2,-4.75,-1.99
2019-11-15,0.35,-3.75,-1.87
2019-11-22,-5.44,-3.42,-1.85
2019-11-29,-7.58,-2.82,-2.31
2019-12-06,-28.31,-9.7,-2.96
2019-12-13,30.45,-5.3,-3.15
2019-12-20,-9.5,-6.31,-3.97
2019-12-27,-17.16,-8.54,-4.26
2020-01-03,-41.1,-9.5,-6.4
2020-01-10,83.43,-6.13,-4.78
2020-01-17,42.25,8.51,-1.99
2020-01-24,-1.67,12.16,-1.49
2020-01-31,10.09,22.78,0.33
2020-02-07,9.27,12.73,1.12
2020-02-14,-2.41,3.63,0.82
2020-02-21,-3.41,2.99,0.97
2020-02-28,8.66,2.85,2.47
2020-03-06,3.97,1.65,5.04
2020-03-13,15.5,6.34,4.74
2020-03-20,-6.43,4.89,4.44
2020-03-27,-9.32,0.43,4.31
2020-04-03,-16.96,-4.42,4.54
2020-04-10,-5.98,-9.68,1.77
2020-04-17,-12.56,-11.31,-1.05
2020-04-24,3.72,-8.87,-0.74
2020-05-01,0.72,-3.91,-1.37
2020-05-08,23.24,3.4,-0.67
2020-05-15,3.32,7.56,-0.23
2020-05-22,5.81,7.88,0.49
2020-05-29,-3.37,6.22,-0.45
2020-06-05,7.92,3.35,-0.16
2020-06-12,5.15,3.83,-1.07
2020-06-19,3.22,3.21,-0.13
2020-06-26,-7.26,1.97,0.07
2020-07-03,5.61,1.52,2.03
2020-07-10,-4.82,-0.94,1.98
2020-07-17,5.64,-0.4,3.23
2020-07-24,2.43,2.13,3.14
2020-07-31,-4.08,-0.3,2.65
2020-08-07,-0.24,0.85,1.3
2020-08-14,-0.46,-0.61,1.03
2020-08-21,1.58,-0.84,0.75
2020-08-28,3.09,1.0,1.22
2020-09-04,-7.41,-0.86,0.08
2020-09-11,-0.48,-0.87,-0.33
2020-09-18,6.06,0.19,-0.13
2020-09-25,-1.17,-0.89,0.35
2020-10-02,-5.03,-0.23,-0.45
2020-10-09,4.15,0.9,0.23
2020-10-16,-1.21,-0.88,-0.28
2020-10-23,-5.67,-2.0,-0.9
2020-10-30,-5.59,-2.07,-0.98
2020-11-06,-5.33,-4.4,-1.34
2020-11-13,-1.91,-4.7,-1.45
2020-11-20,-0.15,-3.35,-1.6
2020-11-27,-6.29,-3.45,-2.31
2020-12-04,-36.89,-10.85,-4.07
2020-12-11,44.87,-4.1,-2.32
