date,Altos New Pending Sales (SFR + Condo) Period Chg,Altos New Pending Sales 4-Week Avg (SFR + Condo) Period Chg,Altos New Pending Sales 13-Week Avg (SFR + Condo) Period Chg,Altos Pending Days on Market (SFR + Condo) Period Chg
2015-01-09,5.62,,-3.56,1.98
2015-01-16,28.99,,-2.22,3.47
2015-01-23,15.51,,-4.5,1.96
2015-01-30,25.85,19.64,1.71,2.12
2015-02-06,11.53,19.3,3.59,-0.18
2015-02-13,-12.72,7.93,-0.7,-0.12
2015-02-20,-1.11,4.32,-0.78,-1.14
2015-02-27,8.73,1.15,0.76,-1.36
2015-03-06,13.85,1.86,4.27,-3.04
2015-03-13,-12.79,1.57,2.43,-1.24
2015-03-20,48.59,13.71,6.88,2.29
2015-03-27,13.93,14.78,8.67,-0.47
2015-04-03,-29.84,0.77,5.54,-2.7
2015-04-10,8.5,5.38,5.8,-3.39
2015-04-17,0.25,-3.43,4.46,-2.23
2015-04-24,4.43,-6.29,3.96,-2.3
2015-05-01,10.7,5.98,3.46,-2.73
2015-05-08,-3.91,2.7,2.28,-1.56
2015-05-15,8.1,4.66,3.78,-0.37
2015-05-22,-12.44,0.16,2.56,-2.48
2015-05-29,-4.56,-3.38,1.67,-2.02
2015-06-05,9.05,-0.38,1.52,-1.59
2015-06-12,10.95,0.3,3.19,-1.28
2015-06-19,-7.98,1.5,-0.23,-1.91
2015-06-26,3.54,3.46,-1.08,-0.81
2015-07-03,-8.35,-0.75,1.0,-0.78
2015-07-10,1.76,-2.97,0.57,-0.72
2015-07-17,-10.35,-3.4,-0.23,0.03
2015-07-24,0.78,-4.27,-0.49,0.17
2015-07-31,21.86,3.13,0.22,-0.84
2015-08-07,-19.38,-2.88,-1.08,-0.34
2015-08-14,14.98,3.27,-0.71,3.07
2015-08-21,7.41,4.92,0.94,0.75
2015-08-28,-14.5,-3.99,0.05,-0.49
2015-09-04,18.29,5.61,0.72,1.37
2015-09-11,-4.29,0.97,-0.49,0.37
2015-09-18,-0.11,-0.86,0.19,1.49
2015-09-25,-10.74,0.21,-0.96,0.16
2015-10-02,26.75,2.17,1.67,4.78
2015-10-09,-14.12,-0.73,0.23,-0.34
2015-10-16,-4.11,-1.71,0.69,0.57
2015-10-23,-9.13,-1.17,-0.05,0.65
2015-10-30,107.79,16.18,5.73,10.11
2015-11-06,-45.8,-0.4,0.87,-0.64
2015-11-13,-0.22,0.44,-0.08,0.01
2015-11-20,-17.06,-1.27,-1.83,-6.49
2015-11-27,-3.99,-22.49,-0.96,0.66
2015-12-04,-1.57,-6.02,-2.3,0.25
2015-12-11,-8.95,-8.4,-2.53,-4.99
2015-12-18,-14.8,-7.09,-3.4,0.26
2015-12-25,-1.58,-6.82,-2.7,-3.75
2016-01-01,-13.59,-9.87,-5.48,4.31
2016-01-08,-10.95,-10.39,-4.84,2.14
2016-01-15,45.74,2.89,-2.79,5.92
2016-01-22,56.05,19.97,1.47,2.91
2016-01-29,-29.94,8.03,-10.25,0.7
2016-02-05,38.48,19.07,0.14,0.87
2016-02-12,0.42,10.07,0.21,1.03
2016-02-19,2.39,-0.07,2.2,2.0
2016-02-26,12.78,11.65,3.81,-0.24
2016-03-04,3.94,4.9,4.24,0.99
2016-03-11,-4.71,3.28,4.18,-1.34
2016-03-18,15.33,6.52,6.54,-1.77
2016-03-25,29.8,11.57,9.55,3.42
2016-04-01,-24.21,1.81,6.12,-2.34
2016-04-08,-4.78,1.68,5.72,-1.03
2016-04-15,31.37,5.47,6.66,-2.88
2016-04-22,17.97,3.45,5.75,-0.64
2016-04-29,-18.31,4.39,5.17,-1.23
2016-05-06,1.67,5.6,3.46,-2.81
2016-05-13,-11.18,-3.15,2.32,-2.5
2016-05-20,7.05,-6.21,2.68,-2.09
2016-05-27,7.65,1.05,2.53,-2.11
2016-06-03,-9.39,-1.88,1.43,-2.11
2016-06-10,16.04,4.96,2.92,1.48
2016-06-17,-2.95,2.35,1.71,-4.15
2016-06-24,-14.45,-3.19,-1.43,-3.98
2016-07-01,3.81,0.0,0.89,-1.58
2016-07-08,2.23,-3.25,1.35,-1.59
2016-07-15,17.19,1.75,0.7,4.16
2016-07-22,3.98,6.75,-0.37,1.35
2016-07-29,-11.66,2.25,0.29,-0.45
2016-08-05,-4.13,0.72,-0.17,-0.68
2016-08-12,1.48,-2.77,0.81,0.47
2016-08-19,-16.66,-7.9,-0.94,0.5
2016-08-26,19.24,-0.89,-0.28,1.3
2016-09-02,5.89,1.75,0.91,0.89
2016-09-09,-18.81,-3.75,-1.75,0.65
2016-09-16,0.59,0.7,-1.49,3.97
2016-09-23,3.33,-2.81,-0.09,0.64
2016-09-30,22.84,1.06,1.24,1.73
2016-10-07,10.1,9.39,1.92,3.77
2016-10-14,-35.61,-2.13,-2.64,-0.18
2016-10-21,30.32,3.03,-1.22,1.06
2016-10-28,-14.54,-5.63,-1.32,0.39
2016-11-04,14.79,-5.52,0.03,0.07
2016-11-11,-17.24,1.24,-1.46,0.29
2016-11-18,-2.46,-5.71,-0.29,0.82
2016-11-25,-5.59,-3.11,-1.97,0.99
2016-12-02,-18.14,-11.07,-3.64,0.58
2016-12-09,27.26,-1.11,-0.6,2.58
2016-12-16,-22.87,-6.52,-2.22,0.85
2016-12-23,16.33,-1.78,-1.64,1.47
2016-12-30,-24.28,-3.08,-5.07,1.01
2017-01-06,-9.06,-11.41,-6.85,2.28
2017-01-13,11.23,-2.83,-2.4,2.32
2017-01-20,32.63,0.5,-3.08,2.45
2017-01-27,7.71,10.44,-0.98,0.98
2017-02-03,9.21,14.21,-1.61,0.54
2017-02-10,9.2,13.24,1.13,0.1
2017-02-17,0.98,6.55,1.43,-0.74
2017-02-24,-8.48,2.27,1.04,-0.64
2017-03-03,13.07,3.36,3.7,-0.1
2017-03-10,8.46,3.35,2.66,-1.1
2017-03-17,-2.5,2.31,4.15,-1.28
2017-03-24,5.36,5.71,3.55,-2.28
2017-03-31,6.58,4.41,5.69,-1.74
2017-04-07,-3.34,1.42,5.48,-1.45
2017-04-14,-10.93,-0.78,3.72,-2.26
2017-04-21,5.88,-0.71,2.63,-2.19
2017-04-28,10.92,0.3,3.02,-1.81
2017-05-05,18.32,6.13,4.01,-3.42
2017-05-12,-12.2,4.76,2.06,-2.3
2017-05-19,-0.36,3.24,1.92,-1.3
2017-05-26,-24.69,-5.18,0.35,-2.14
2017-06-02,44.91,-1.33,2.42,-1.53
2017-06-09,-15.74,-2.18,0.39,-0.57
2017-06-16,3.99,-1.16,0.86,-3.12
2017-06-23,11.83,8.5,1.41,-0.92
2017-06-30,-4.64,-1.77,0.52,0.3
2017-07-07,-4.63,1.34,0.39,-1.05
2017-07-14,-21.86,-4.88,-0.5,-0.32
2017-07-21,6.26,-6.85,-0.51,-0.44
2017-07-28,2.63,-5.36,-1.1,-0.41
2017-08-04,0.56,-4.13,-2.51,0.71
2017-08-11,2.38,2.89,-1.25,0.32
2017-08-18,-6.24,-0.22,-1.68,0.55
2017-08-25,5.95,0.57,0.81,0.67
2017-09-01,7.13,2.24,-1.56,1.31
2017-09-08,-14.4,-2.23,-1.23,0.31
2017-09-15,-24.55,-6.41,-3.23,0.18
2017-09-22,26.37,-3.41,-2.97,0.62
2017-09-29,10.93,-2.85,-1.84,0.66
2017-10-06,-8.72,-0.92,-2.11,0.11
2017-10-13,-1.22,5.34,-0.18,-0.55
2017-10-20,-3.46,-0.83,-0.89,0.34
2017-10-27,1.92,-3.06,-0.97,1.19
2017-11-03,5.4,0.62,-0.64,1.34
2017-11-10,-7.68,-1.07,-1.43,0.99
2017-11-17,38.36,9.11,1.84,6.66
2017-11-24,-19.74,1.84,-0.59,1.95
2017-12-01,-31.88,-7.14,-3.7,0.83
2017-12-08,12.21,-3.56,-1.81,-0.06
2017-12-15,2.04,-12.63,0.3,3.41
2017-12-22,-7.71,-8.69,-1.83,1.81
2017-12-29,-28.63,-5.69,-4.47,0.86
2018-01-05,-13.45,-11.51,-4.49,2.3
2018-01-12,34.47,-7.41,-3.17,3.33
2018-01-19,21.39,0.26,-1.74,2.09
2018-01-26,-1.44,8.83,-2.05,-3.3
2018-02-02,33.23,20.47,-0.22,5.75
2018-02-09,7.83,14.37,1.27,0.15
2018-02-16,-10.13,5.78,-3.17,-0.97
2018-02-23,2.66,6.43,-0.53,-1.45
2018-03-02,17.89,4.28,4.46,0.48
2018-03-09,-8.05,0.0,2.57,-1.68
2018-03-16,12.94,5.9,3.63,-1.71
2018-03-23,1.01,5.27,4.16,-3.55
2018-03-30,-3.88,0.2,5.41,-1.68
2018-04-06,-6.29,0.63,5.12,-5.21
2018-04-13,1.92,-1.87,3.81,-0.6
2018-04-20,26.48,4.26,4.88,-2.29
2018-04-27,-9.12,2.38,3.82,-2.66
