date,Total Building Permits Period Chg,Single-Family Permits Period Chg,2-4 Unit Permits Period Chg,5+ Unit Permits Period Chg,Permits - Northeast Period Chg,Permits - Midwest Period Chg,Permits - South Period Chg,Permits - West Period Chg
1960-02-01,-0.37,2.6,5.97,-16.76,-5.69,1.19,-7.85,12.6
1960-03-01,-12.22,-16.01,-15.49,11.41,-28.45,-26.17,-10.49,10.85
1960-04-01,6.39,6.72,-5.0,9.04,13.86,29.1,4.76,-9.17
1960-05-01,3.54,-2.57,10.53,27.62,18.52,-1.64,5.59,-3.7
1960-06-01,-8.94,-1.19,7.94,-38.96,-21.43,-11.25,-5.63,-0.7
1960-07-01,4.28,-2.27,13.24,34.75,24.43,5.16,-5.96,1.41
1960-08-01,-0.5,0.0,-15.58,3.68,-5.02,2.68,0.75,-0.69
1960-09-01,-1.01,-3.83,-3.08,10.15,-1.44,-4.35,-2.22,3.15
1960-10-01,-1.22,0.99,-7.94,-6.45,-4.39,5.45,-0.38,-4.75
1960-11-01,0.72,-0.56,22.41,-0.99,4.59,-3.88,4.18,-1.42
1960-12-01,-2.86,-2.69,-8.45,-1.49,-17.56,6.73,2.19,-4.69
1961-01-01,1.89,2.18,-9.23,4.55,1.78,-0.84,-1.79,8.33
1961-02-01,-0.83,-4.27,6.78,8.7,2.33,6.36,-6.18,-3.5
1961-03-01,4.06,3.86,-6.35,7.56,14.2,-8.76,9.3,4.35
1961-04-01,0.2,-1.72,16.95,1.65,1.99,-6.99,3.55,1.39
1961-05-01,2.5,2.77,-4.35,3.66,6.83,4.23,-0.68,1.37
1961-06-01,4.19,1.42,4.55,11.76,0.91,-0.9,5.17,9.46
1961-07-01,1.21,3.49,-7.25,-2.46,7.24,3.64,0.98,-4.32
1961-08-01,7.02,0.81,10.94,22.66,27.0,-1.32,3.57,1.29
1961-09-01,-5.26,-1.2,1.41,-15.54,-24.92,4.44,-1.25,2.55
1961-10-01,2.28,3.79,5.56,-2.43,3.98,-2.98,3.17,4.04
1961-11-01,2.58,0.26,-2.63,10.32,7.23,1.32,-3.38,5.97
1961-12-01,0.78,0.78,-2.7,1.61,9.13,-1.73,2.23,-4.79
1962-01-01,-3.36,-7.36,13.89,2.54,-2.18,-12.33,0.62,-2.07
1962-02-01,6.42,3.35,-1.22,15.17,2.23,27.14,4.95,-1.21
1962-03-01,-5.03,-4.72,2.47,-7.26,-11.64,-11.86,-2.65,3.36
1962-04-01,8.91,5.67,0.0,17.68,19.34,5.83,-0.91,13.02
1962-05-01,-7.53,-4.83,15.66,-17.24,-24.14,0.85,4.28,-10.21
1962-06-01,1.05,-0.85,-17.71,10.42,5.91,1.26,-3.52,2.33
1962-07-01,3.03,1.85,16.46,2.43,-3.0,4.15,5.17,4.27
1962-08-01,0.93,1.12,-8.7,2.89,0.88,-7.17,3.76,3.83
1962-09-01,1.92,-0.97,4.76,6.65,-2.63,10.73,-1.11,2.11
1962-10-01,-3.43,-3.9,-2.27,-2.88,8.56,-9.3,-2.25,-7.47
1962-11-01,4.66,1.45,10.47,8.89,0.41,-0.43,4.9,10.58
1962-12-01,0.0,0.29,11.58,-2.95,-4.55,6.87,-4.95,3.27
1963-01-01,0.97,-1.0,-1.89,4.91,6.06,-19.28,6.94,5.37
1963-02-01,-2.88,0.58,-0.96,-8.69,-4.9,-3.98,1.35,-4.86
1963-03-01,3.8,5.58,12.62,-1.46,-1.29,30.05,-3.73,1.22
1963-04-01,2.38,5.28,-10.34,0.74,0.0,13.55,5.82,-6.01
1963-05-01,4.81,-4.76,12.5,21.13,7.39,-5.26,6.28,9.21
1963-06-01,-0.37,4.19,22.22,-12.58,-13.77,5.56,-1.72,4.92
1963-07-01,-1.78,-2.46,-11.89,2.78,6.1,-5.96,2.51,-6.7
1963-08-01,-0.83,0.53,-15.08,0.9,-0.88,3.36,-4.16,-0.24
1963-09-01,7.86,3.7,23.36,11.19,19.64,-1.08,9.18,6.24
1963-10-01,0.07,-1.66,0.0,2.82,-2.61,2.55,-0.7,0.9
