date,National Home Price Index Period Chg,Atlanta Period Chg,Boston Period Chg,Charlotte Period Chg,Chicago Period Chg,Cleveland Period Chg,Dallas Period Chg,Denver Period Chg,Detroit Period Chg,Las Vegas Period Chg,Los Angeles Period Chg,Miami Period Chg,Minneapolis Period Chg,New York Period Chg,Phoenix Period Chg,Portland Period Chg,San Diego Period Chg,San Francisco Period Chg,Seattle Period Chg,Tampa Period Chg,Washington DC Period Chg
1987-02-01,0.72,,0.53,0.74,1.88,0.32,,-0.37,,1.74,0.79,0.54,,1.83,,0.34,0.77,0.74,,0.85,1.12
1987-03-01,0.48,,0.57,0.12,-0.75,0.25,,0.44,,0.41,0.85,0.68,,1.57,,-0.07,0.49,1.14,,-0.53,1.33
1987-04-01,0.61,,0.51,1.23,-0.02,-0.39,,0.72,,0.5,1.53,0.11,,1.35,,-0.34,1.01,0.3,,0.17,0.97
1987-05-01,0.66,,0.66,0.51,1.23,1.05,,0.04,,-0.38,1.15,0.41,,1.78,,0.29,0.74,0.67,,0.19,1.21
1987-06-01,0.78,,0.57,0.52,1.05,0.28,,-0.65,,-1.66,1.2,-0.39,,1.46,,0.09,0.58,0.62,,0.92,1.59
1987-07-01,0.66,,0.45,0.25,1.87,0.74,,-0.45,,-1.55,1.08,0.24,,1.06,,0.3,0.51,0.99,,0.39,1.27
1987-08-01,0.65,,0.75,0.23,0.88,0.28,,-0.16,,-1.11,1.06,0.23,,0.64,,0.1,0.53,0.93,,-0.06,1.25
1987-09-01,0.59,,0.8,0.61,1.14,0.72,,-0.13,,0.38,1.19,1.09,,0.2,,-0.14,0.81,1.41,,0.12,1.62
1987-10-01,0.61,,0.35,0.48,1.26,0.51,,0.18,,0.36,1.35,0.64,,0.94,,0.21,0.78,1.5,,-0.21,1.29
1987-11-01,0.54,,0.56,0.79,1.2,0.6,,-0.82,,1.55,1.43,0.57,,0.63,,-0.13,1.04,1.27,,0.18,1.16
