date,Consumer Confidence Index (Conference Board) Period Chg,Consumer Confidence - Present Situation Period Chg,Consumer Confidence - Expectations Period Chg
1967-04-01,,4.49,4.92
1967-06-01,,-1.84,-7.15
1967-08-01,,1.13,-6.59
1967-10-01,,1.67,4.95
1967-12-01,,-0.97,3.23
1968-02-01,,-2.27,4.65
1968-04-01,,4.84,-5.82
1968-06-01,,-1.56,-6.95
1968-08-01,,1.58,-0.65
1968-10-01,,4.8,11.88
1968-12-01,,-1.37,-4.65
1969-02-01,,-3.19,3.66
1969-04-01,,1.68,-3.86
1969-06-01,,-0.65,2.53
1969-08-01,,-3.44,-5.45
1969-10-01,,-0.37,-7.03
1969-12-01,,-0.86,-0.29
1970-02-01,0.0,-24.69,-13.7
1970-03-01,-19.29,,
1970-04-01,0.0,-11.73,3.72
1970-05-01,-3.64,,
1970-06-01,0.0,-20.39,-2.28
1970-07-01,-10.1,,
1970-08-01,0.0,-10.81,12.22
1970-09-01,3.29,,
1970-10-01,0.0,-18.58,-3.47
1970-11-01,-8.57,,
1970-12-01,0.0,-23.79,-2.77
1971-01-01,-9.01,,
1971-02-01,0.0,-3.82,4.32
1971-03-01,2.25,,
1971-04-01,0.0,-11.26,-0.4
1971-05-01,-2.84,,
1971-06-01,0.0,21.64,6.19
1971-07-01,9.44,,
1971-08-01,0.0,2.45,-1.15
1971-09-01,-0.24,,
1971-10-01,0.0,-1.4,-2.42
1971-11-01,-2.19,,
1971-12-01,0.0,5.26,6.14
1972-01-01,5.85,,
1972-02-01,0.0,29.81,3.64
1972-03-01,10.12,,
1972-04-01,0.0,10.22,-1.98
1972-05-01,1.6,,
1972-06-01,0.0,15.59,-1.19
1972-07-01,4.0,,
1972-08-01,0.0,9.53,2.98
1972-09-01,5.26,,
1972-10-01,0.0,16.77,2.35
1972-11-01,7.59,,
1972-12-01,0.0,7.18,1.41
1973-01-01,3.66,,
1973-02-01,0.0,6.62,-12.27
1973-03-01,-4.57,,
1973-04-01,0.0,-8.11,-6.35
1973-05-01,-7.22,,
1973-06-01,0.0,6.15,-2.33
1973-07-01,1.56,,
1973-08-01,0.0,-2.12,-17.14
1973-09-01,-10.15,,
1973-10-01,0.0,4.42,25.13
1973-11-01,14.61,,
1973-12-01,0.0,-13.17,-52.72
1974-01-01,-34.33,,
1974-02-01,0.0,-30.24,19.25
1974-03-01,-11.19,,
1974-04-01,0.0,33.2,69.2
1974-05-01,51.67,,
1974-06-01,0.0,0.1,-4.82
1974-07-01,-2.73,,
1974-08-01,0.0,-13.34,-18.89
1974-09-01,-16.43,,
1974-10-01,0.0,-29.99,-29.12
1974-11-01,-29.5,,
1974-12-01,0.0,-47.39,1.2
1975-01-01,-20.73,,
1975-02-01,0.0,-1.24,37.62
1975-03-01,26.16,,
1975-04-01,0.0,2.19,27.91
1975-05-01,21.83,,
1975-06-01,0.0,3.07,10.01
1975-07-01,8.73,,
1975-08-01,0.0,32.44,10.02
1975-09-01,14.13,,
1975-10-01,0.0,15.06,-11.52
1975-11-01,-5.83,,
1975-12-01,0.0,28.91,17.75
1976-01-01,20.75,,
1976-02-01,0.0,14.7,5.17
1976-03-01,7.79,,
1976-04-01,0.0,-2.77,-15.1
1976-05-01,-11.39,,
1976-06-01,0.0,9.51,3.7
1976-07-01,5.59,,
1976-08-01,0.0,-2.23,1.25
1976-09-01,0.11,,
1976-10-01,0.0,-13.45,-5.14
1976-11-01,-7.93,,
1976-12-01,0.0,6.74,16.65
1977-01-01,13.55,,
1977-02-01,0.0,-2.88,-0.69
1977-03-01,-1.31,,
1977-04-01,0.0,14.99,-12.64
1977-05-01,-4.61,,
1977-06-01,0.0,18.7,-1.49
1977-07-01,5.48,-3.83,1.21
1977-08-01,-0.71,3.45,-0.1
1977-09-01,1.23,2.92,-5.17
1977-10-01,-2.03,-6.98,2.73
1977-11-01,-1.24,0.76,5.41
1977-12-01,3.56,12.96,9.59
1978-01-01,10.92,0.76,-3.27
1978-02-01,-1.73,-0.19,-1.1
1978-03-01,-0.74,-3.8,-1.02
1978-04-01,-2.15,10.67,1.4
1978-05-01,4.97,2.68,-8.75
1978-06-01,-4.0,6.26,1.92
1978-07-01,3.79,0.98,-7.62
1978-08-01,-3.74,0.41,4.39
1978-09-01,2.47,-0.32,-2.16
1978-10-01,-1.3,1.13,2.52
1978-11-01,1.88,-5.76,-15.66
1978-12-01,-11.14,7.31,4.49
1979-01-01,5.91,-0.55,-4.53
1979-02-01,-2.64,-4.06,8.03
1979-03-01,2.01,2.9,-12.16
1979-04-01,-5.02,-3.47,-0.13
1979-05-01,-1.87,2.09,0.77
1979-06-01,1.48,-0.41,-6.62
1979-07-01,-3.44,-10.52,-13.92
1979-08-01,-12.19,-1.38,-3.8
1979-09-01,-2.46,10.99,10.21
1979-10-01,10.58,0.25,10.76
1979-11-01,5.13,-3.01,-1.48
1979-12-01,-2.28,-1.29,2.47
1980-01-01,0.55,-5.94,-4.55
1980-02-01,-5.29,-5.2,3.78
1980-03-01,-0.7,-5.59,-4.86
1980-04-01,-5.28,-20.77,-29.08
1980-05-01,-25.12,-34.21,0.0
1980-06-01,-17.19,-6.57,24.6
1980-07-01,11.98,7.46,21.03
1980-08-01,16.58,-1.79,12.73
1980-09-01,8.26,21.01,10.35
1980-10-01,13.42,2.0,6.18
1980-11-01,4.86,4.09,3.31
1980-12-01,3.56,-5.97,-11.47
1981-01-01,-9.86,-4.52,-5.71
1981-02-01,-5.34,-3.68,-8.73
1981-03-01,-7.26,13.27,12.37
1981-04-01,12.75,3.37,5.68
1981-05-01,4.88,13.04,3.44
1981-06-01,6.5,-8.52,-2.39
1981-07-01,-4.49,1.65,0.11
1981-08-01,0.6,2.81,2.55
1981-09-01,2.63,-7.76,-10.26
1981-10-01,-9.45,-3.43,-2.19
1981-11-01,-2.58,-16.45,-9.09
