date,Corporate Profits with IVA & CCAdj (Pre-Tax) Period Chg,Corporate Profits After Tax with IVA & CCAdj Period Chg,Nonfinancial Corporate Profits After Tax Period Chg
1947-04-01,14.11,36.59,-6.24
1947-07-01,0.45,1.95,-1.37
1947-10-01,6.24,4.23,8.6
1948-01-01,14.74,24.32,4.82
1948-04-01,5.93,6.33,4.63
1948-07-01,-1.85,-1.82,-2.57
1948-10-01,4.8,10.4,-4.64
1949-01-01,-5.08,-2.63,-10.5
1949-04-01,-7.55,-5.08,-13.84
1949-07-01,4.39,4.4,4.34
1949-10-01,-10.97,-15.49,-1.43
1950-01-01,12.82,-1.63,4.3
1950-04-01,12.75,7.01,23.08
1950-07-01,13.43,5.26,22.63
1950-10-01,8.86,7.97,10.87
1951-01-01,-2.71,-27.41,-18.73
1951-04-01,-0.36,26.56,-18.02
1951-07-01,1.35,14.36,-11.12
1951-10-01,3.1,-0.54,8.11
1952-01-01,-5.58,-2.92,-1.88
1952-04-01,-4.74,-3.61,-5.3
1952-07-01,-0.15,0.04,0.58
1952-10-01,11.45,12.39,12.49
1953-01-01,2.14,-0.7,4.85
1953-04-01,-1.92,-4.18,-0.16
1953-07-01,-2.82,-3.31,-2.2
1953-10-01,-17.65,-13.0,-25.2
1954-01-01,7.32,14.82,17.64
1954-04-01,3.67,4.03,3.29
1954-07-01,5.41,4.71,7.16
1954-10-01,9.26,10.48,7.06
1955-01-01,11.96,12.65,14.03
1955-04-01,2.67,3.81,1.91
1955-07-01,0.14,-1.52,2.62
1955-10-01,2.8,1.9,4.68
1956-01-01,-4.19,-3.78,-3.22
1956-04-01,0.45,-0.69,2.68
1956-07-01,-0.67,3.76,-6.15
1956-10-01,1.84,-0.78,6.9
1957-01-01,2.88,3.37,1.21
1957-04-01,-2.65,-1.3,-6.03
1957-07-01,-1.89,-1.58,-2.89
1957-10-01,-8.25,-7.59,-8.92
1958-01-01,-12.82,-12.07,-15.55
1958-04-01,2.89,3.43,2.13
1958-07-01,10.22,8.02,14.21
1958-10-01,13.03,11.19,15.73
1959-01-01,7.26,9.48,5.97
1959-04-01,8.85,8.41,9.81
1959-07-01,-8.26,-5.96,-13.56
1959-10-01,0.64,3.26,-4.01
1960-01-01,7.47,3.98,12.47
1960-04-01,-6.51,-5.12,-9.44
1960-07-01,-1.8,-0.02,-4.68
1960-10-01,-4.28,-3.97,-5.67
1961-01-01,-2.45,-3.48,-4.24
1961-04-01,8.44,9.15,9.21
1961-07-01,5.07,4.45,6.81
1961-10-01,7.99,7.45,9.46
1962-01-01,1.19,6.22,1.37
1962-04-01,-0.05,0.64,-1.82
1962-07-01,2.76,2.6,3.5
1962-10-01,4.07,6.23,1.2
1963-01-01,0.51,0.57,0.51
1963-04-01,4.51,3.08,8.24
1963-07-01,2.03,1.62,3.21
1963-10-01,1.81,1.52,2.67
1964-01-01,5.62,9.56,9.56
1964-04-01,0.35,0.52,0.22
1964-07-01,1.45,1.06,2.92
1964-10-01,-0.54,0.09,-0.98
1965-01-01,10.03,11.64,14.77
1965-04-01,2.57,2.29,3.9
1965-07-01,1.38,1.17,2.32
1965-10-01,5.31,4.65,5.86
1966-01-01,3.59,3.85,2.51
1966-04-01,-1.03,-1.43,0.87
1966-07-01,-1.6,-1.68,-0.98
1966-10-01,1.14,2.88,-2.22
1967-01-01,-2.7,-2.76,-4.63
1967-04-01,-1.26,-1.41,0.49
1967-07-01,1.15,1.29,1.47
1967-10-01,3.81,2.84,6.19
1968-01-01,1.4,-4.22,-3.36
1968-04-01,4.07,5.49,2.4
1968-07-01,0.52,0.73,0.29
1968-10-01,1.43,0.86,2.94
1969-01-01,-0.61,-1.99,-3.06
1969-04-01,-3.04,-2.95,-3.72
1969-07-01,-2.9,-2.41,-4.65
1969-10-01,-5.11,-7.34,-3.55
1970-01-01,-8.41,-5.73,-7.45
1970-04-01,4.5,6.96,-1.4
1970-07-01,-0.1,-1.87,-0.04
1970-10-01,-5.57,-6.15,-7.63
1971-01-01,15.77,17.92,18.26
1971-04-01,2.19,1.9,3.69
1971-07-01,2.73,5.46,7.79
1971-10-01,4.29,5.87,3.76
1972-01-01,5.41,5.04,6.49
1972-04-01,1.7,2.11,1.25
1972-07-01,4.2,4.55,5.49
1972-10-01,6.41,4.12,10.5
1973-01-01,6.16,5.81,15.18
1973-04-01,-1.68,-2.59,2.05
1973-07-01,1.36,4.5,-0.53
1973-10-01,2.07,0.28,6.42
1974-01-01,-4.04,-4.03,5.35
1974-04-01,-1.05,-4.0,5.17
1974-07-01,-3.6,-11.54,7.47
1974-10-01,-4.0,0.52,-12.45
1975-01-01,-1.31,8.59,-15.2
1975-04-01,9.5,10.17,8.55
1975-07-01,16.15,11.68,22.52
1975-10-01,6.16,8.13,4.79
1976-01-01,10.15,8.12,9.13
1976-04-01,-1.12,-0.43,2.4
1976-07-01,0.92,1.75,1.5
1976-10-01,-0.23,0.09,-1.5
1977-01-01,5.61,4.6,7.39
1977-04-01,11.29,12.61,6.75
1977-07-01,7.19,9.02,3.92
1977-10-01,-2.36,-4.15,0.84
1978-01-01,-2.11,0.79,0.58
1978-04-01,14.19,11.11,15.87
1978-07-01,2.71,3.93,1.77
1978-10-01,4.94,4.47,4.85
1979-01-01,-3.24,-3.06,1.8
1979-04-01,0.96,1.32,1.65
1979-07-01,-0.85,-0.63,-0.31
1979-10-01,-2.47,-1.78,-1.89
1980-01-01,-2.75,-8.55,1.0
