date,CPI - New York Period Chg,CPI - Philadelphia Period Chg,CPI - Boston Period Chg,CPI - Chicago Period Chg,CPI - Detroit Period Chg,CPI - Dallas Period Chg,CPI - Houston Period Chg,CPI - Atlanta Period Chg,CPI - Miami Period Chg,CPI - San Francisco Period Chg,CPI - Seattle Period Chg,CPI - West Region (Size Class A) Period Chg,CPI - Los Angeles Period Chg,CPI - Denver Period Chg,CPI - Minneapolis Period Chg,CPI - Milwaukee Period Chg,CPI - Cincinnati Period Chg,CPI - St. Louis Period Chg,CPI - Washington DC Period Chg,CPI - Baltimore Period Chg,CPI - Tampa Period Chg,CPI - Phoenix Period Chg,CPI - San Diego Period Chg,CPI - Portland Period Chg,CPI - Riverside Period Chg,CPI - Urban Hawaii Period Chg,CPI - Urban Alaska Period Chg
1915-12-01,2.02,0.98,1.9,2.0,4.12,,0.0,,,0.0,-1.09,,,,,,,,,,,,,,,,
1916-12-01,11.88,12.62,13.08,13.73,15.84,,14.74,,,8.7,6.59,,,,,,,,,,,,,,,,
1917-12-01,22.12,21.55,17.36,16.38,22.22,,21.1,,,16.0,21.65,,,,,,,,,,,,,,,,
1918-12-01,21.74,20.57,21.83,20.74,18.88,,20.45,19.74,,21.55,30.51,,,,,,,,,,,,,,,,
1919-06-01,1.79,2.94,0.58,1.84,4.71,,3.14,3.85,,4.26,3.9,,,,,,,,,,,,,,,,
1919-12-01,12.87,9.71,12.07,13.86,11.8,,12.8,10.05,,10.88,13.75,,,,,,,,,,,,,,,,
1920-06-01,8.29,10.94,10.26,10.05,15.08,,6.49,10.58,,7.36,7.69,,,,,,,,,,,,,,,,
1920-12-01,-6.7,-6.57,-6.05,-9.13,-7.42,,-4.06,-9.57,,-5.71,-8.67,,,,,,,,,,,,,,,,
1921-05-01,-8.21,-9.05,-10.89,-5.29,-10.38,,-10.58,-8.65,,-7.88,-6.15,,,,,,,,,,,,,,,,
1921-09-01,-0.56,-1.1,0.0,-0.56,-2.63,,-1.78,-2.63,,-1.32,-2.98,,,,,,,,,,,,,,,,
1921-12-01,0.56,-1.12,-1.11,-1.69,-3.24,,-1.2,-2.7,,0.0,-1.84,,,,,,,,,,,,,,,,
1922-03-01,-4.47,-2.26,-5.06,,-3.35,,-3.05,-3.33,,-2.0,-1.88,,,,,,,,,,,,,,,,
1922-05-01,,,,-3.43,,,,,,,,,,,,,,,,,,,,,,,
1922-06-01,0.58,0.0,-0.59,0.59,0.58,,-0.63,0.57,,-0.68,-0.64,,,,,,,,,,,,,,,,
1922-09-01,-0.58,-2.31,0.6,0.0,-0.57,,-0.63,-0.57,,-0.68,-0.64,,,,,,,,,,,,,,,,
1922-12-01,1.75,2.37,2.37,0.59,1.16,,1.27,-0.57,,0.69,0.0,,,,,,,,,,,,,,,,
1923-03-01,-0.57,0.0,-1.16,0.58,1.14,,-1.26,0.58,,-1.37,-2.58,,,,,,,,,,,,,,,,
1923-06-01,0.58,1.73,0.0,0.58,1.69,,1.27,1.15,,1.39,2.65,,,,,,,,,,,,,,,,
1923-09-01,1.15,1.14,2.92,2.31,2.22,,0.63,1.14,,1.37,0.65,,,,,,,,,,,,,,,,
1923-12-01,1.14,0.0,1.14,0.0,-1.09,,0.63,-1.69,,1.35,0.0,,,,,,,,,,,,,,,,
1924-03-01,-2.25,-1.12,-2.81,-0.56,-0.55,,-1.24,-1.14,,-2.67,-0.64,,,,,,,,,,,,,,,,
1924-06-01,0.0,0.57,-0.58,0.57,0.0,,-1.89,0.0,,0.0,0.65,,,,,,,,,,,,,,,,
1924-09-01,0.0,-0.56,1.74,0.56,-1.1,,1.28,0.0,,0.68,-0.64,,,,,,,,,,,,,,,,
1924-12-01,1.72,2.27,0.57,0.56,0.0,,1.27,0.0,,0.68,0.65,,,,,,,,,,,,,,,,
