date,CPI All Urban Consumers Period Chg,CPI Less Food & Energy (Core) Period Chg,CPI Food & Beverages Period Chg,CPI Energy Period Chg,CPI Shelter Period Chg,CPI Medical Care Period Chg,CPI Transportation Period Chg,CPI Apparel Period Chg,CPI Education & Communication Period Chg
1947-02-01,0.65,,,,,0.76,0.0,1.04,
1947-03-01,1.76,,,,,0.0,1.12,1.55,
1947-04-01,0.0,,,,,0.75,1.1,0.76,
1947-05-01,-0.23,,,,,0.75,0.0,0.25,
1947-06-01,0.59,,,,,0.0,0.55,0.5,
1947-07-01,0.68,,,,,0.0,0.54,0.0,
1947-08-01,0.76,,,,,0.74,0.0,0.25,
1947-09-01,1.96,,,,,0.74,1.08,0.25,
1947-10-01,0.31,,,,,0.73,0.53,0.5,
1947-11-01,0.65,,,,,0.0,1.06,0.5,
1947-12-01,1.52,,,,,0.72,0.53,0.99,
1948-01-01,1.15,,,,,0.72,2.62,0.73,
1948-02-01,-0.04,,,,,0.0,-0.51,1.21,
1948-03-01,-0.72,,,,,0.71,0.51,0.48,
1948-04-01,1.36,,,,,1.42,1.53,0.24,
1948-05-01,0.8,,,,,0.0,0.0,0.95,
1948-06-01,0.58,,,,,0.7,0.5,-0.24,
1948-07-01,1.04,,,,,0.69,5.0,0.71,
1948-08-01,0.12,,,,,0.69,1.43,0.94,
1948-09-01,-0.29,,,,,-0.68,0.47,0.0,
1948-10-01,-0.21,,,,,0.69,0.47,0.0,
1948-11-01,-0.62,,,,,0.68,0.47,-0.23,
1948-12-01,-0.46,,,,,0.0,0.0,0.0,
1949-01-01,-0.17,,,,,0.0,0.0,-1.86,
1949-02-01,-0.42,,,,,0.68,0.93,-0.95,
1949-03-01,0.0,,,,,0.0,0.46,-0.48,
1949-04-01,0.04,,,,,0.0,0.46,-0.72,
1949-05-01,-0.04,,,,,0.0,0.91,-0.48,
1949-06-01,0.04,,,,,0.0,-0.45,-0.24,
1949-07-01,-0.92,,,,,0.0,0.45,-0.49,
1949-08-01,0.0,,,,,0.68,0.45,-0.74,
1949-09-01,0.21,,,,,0.0,-0.45,-0.74,
1949-10-01,-0.34,,,,,0.0,0.45,-0.75,
