date,Total Existing Home Sales (NSA) Period Chg,Existing Home Sales - Northeast (NSA) Period Chg,Existing Home Sales - Midwest (NSA) Period Chg,Existing Home Sales - South (NSA) Period Chg,Existing Home Sales - West (NSA) Period Chg,Median Sales Price - National Period Chg,Median Sales Price - Northeast Period Chg,Median Sales Price - Midwest Period Chg,Median Sales Price - South Period Chg,Median Sales Price - West Period Chg,Housing Inventory Period Chg,Months Supply of Inventory Period Chg
1968-02-01,,,,,,1.02,,,,,,
1968-03-01,,,,,,-1.01,,,,,,
1968-04-01,,,,,,1.52,,,,,,
1968-05-01,,,,,,0.5,,,,,,
1968-06-01,,,,,,2.99,,,,,,
1968-07-01,,,,,,0.48,,,,,,
1968-08-01,,,,,,-0.96,,,,,,
1968-09-01,,,,,,-0.49,,,,,,
1968-10-01,,,,,,-1.95,,,,,,
1968-11-01,,,,,,1.99,,,,,,
1968-12-01,,,,,,1.95,,,,,,
1969-01-01,,,,,,0.96,,,,,,
1969-02-01,,,,,,-0.47,,,,,,
1969-03-01,,,,,,0.95,,,,,,
1969-04-01,,,,,,1.42,,,,,,
1969-05-01,,,,,,0.47,,,,,,
1969-06-01,,,,,,2.78,,,,,,
1969-07-01,,,,,,3.6,,,,,,
1969-08-01,,,,,,-1.74,,,,,,
1969-09-01,,,,,,-3.98,,,,,,
1969-10-01,,,,,,0.92,,,,,,
1969-11-01,,,,,,0.91,,,,,,
1969-12-01,,,,,,-0.45,,,,,,
1970-01-01,,,,,,0.91,,,,,,
1970-02-01,,,,,,1.35,,,,,,
1970-03-01,,,,,,1.33,,,,,,
1970-04-01,,,,,,0.44,,,,,,
1970-05-01,,,,,,0.87,,,,,,
1970-06-01,,,,,,0.87,,,,,,
1970-07-01,,,,,,1.72,,,,,,
1970-08-01,,,,,,-0.84,,,,,,
1970-09-01,,,,,,-1.7,,,,,,
1970-10-01,,,,,,-1.73,,,,,,
1970-11-01,,,,,,2.2,,,,,,
1970-12-01,,,,,,-1.72,,,,,,
1971-01-01,,,,,,3.95,,,,,,
1971-02-01,,,,,,2.11,,,,,,
1971-03-01,,,,,,0.41,,,,,,
1971-04-01,,,,,,1.23,,,,,,
1971-05-01,,,,,,2.03,,,,,,
1971-06-01,,,,,,0.0,,,,,,
1971-07-01,,,,,,1.2,,,,,,
1971-08-01,,,,,,-0.39,,,,,,
1971-09-01,,,,,,-1.98,,,,,,
1971-10-01,,,,,,0.0,,,,,,
1971-11-01,,,,,,1.21,,,,,,
1971-12-01,,,,,,-0.8,,,,,,
1972-01-01,,,,,,1.61,,,,,,
1972-02-01,,,,,,0.4,,,,,,
1972-03-01,,,,,,1.97,,,,,,
1972-04-01,,,,,,1.54,,,,,,
1972-05-01,,,,,,2.28,,,,,,
1972-06-01,,,,,,1.49,,,,,,
1972-07-01,,,,,,0.73,,,,,,
1972-08-01,,,,,,-0.36,,,,,,
1972-09-01,,,,,,-1.46,,,,,,
1972-10-01,,,,,,-0.37,,,,,,
1972-11-01,,,,,,0.37,,,,,,
1972-12-01,,,,,,0.37,,,,,,
1973-01-01,,,,,,1.11,,,,,,
1973-02-01,,,,,,2.19,,,,,,
1973-03-01,,,,,,1.43,,,,,,
1973-04-01,,,,,,0.35,,,,,,
1973-05-01,,,,,,1.05,,,,,,
1973-06-01,,,,,,1.39,,,,,,
1973-07-01,,,,,,2.4,,,,,,
1973-08-01,,,,,,0.0,,,,,,
1973-09-01,,,,,,-2.68,,,,,,
1973-10-01,,,,,,-0.69,,,,,,
1973-11-01,,,,,,2.77,,,,,,
1973-12-01,,,,,,-0.67,,,,,,
1974-01-01,,,,,,3.73,,,,,,
1974-02-01,,,,,,0.0,,,,,,
1974-03-01,,,,,,2.61,,,,,,
1974-04-01,,,,,,0.96,,,,,,
1974-05-01,,,,,,1.26,,,,,,
1974-06-01,,,,,,2.49,,,,,,
1974-07-01,,,,,,0.3,,,,,,
1974-08-01,,,,,,-0.3,,,,,,
1974-09-01,,,,,,-1.52,,,,,,
1974-10-01,,,,,,-1.54,,,,,,
1974-11-01,,,,,,0.63,,,,,,
1974-12-01,,,,,,1.87,,,,,,
1975-01-01,,,,,,1.53,,,,,,
1975-02-01,,,,,,2.11,,,,,,
1975-03-01,,,,,,0.88,,,,,,
1975-04-01,,,,,,2.05,,,,,,
