date,Total Occupied Housing Units (000s) Period Chg,Owner-Occupied Housing Units (000s) Period Chg,Renter-Occupied Housing Units (000s) Period Chg,Total Housing Units (000s) Period Chg,Homeownership Rate Period Chg
1965-04-01,,,,,0.0
1965-07-01,,,,,0.0
1965-10-01,,,,,0.5
1966-01-01,,,,,0.1
1966-04-01,,,,,-0.3
1966-07-01,,,,,0.1
1966-10-01,,,,,0.5
1967-01-01,,,,,-0.5
1967-04-01,,,,,0.6
1967-07-01,,,,,-0.1
1967-10-01,,,,,-0.3
1968-01-01,,,,,0.1
1968-04-01,,,,,0.5
1968-07-01,,,,,0.0
1968-10-01,,,,,-0.5
1969-01-01,,,,,0.5
1969-04-01,,,,,0.3
1969-07-01,,,,,0.0
1969-10-01,,,,,0.0
1970-01-01,,,,,-0.1
1970-04-01,,,,,-0.3
1970-07-01,,,,,0.4
1970-10-01,,,,,-0.4
1971-01-01,,,,,0.0
1971-04-01,,,,,0.1
1971-07-01,,,,,0.3
1971-10-01,,,,,0.1
1972-01-01,,,,,-0.2
1972-04-01,,,,,0.2
1972-07-01,,,,,-0.2
1972-10-01,,,,,0.1
1973-01-01,,,,,0.5
1973-04-01,,,,,-0.5
1973-07-01,,,,,0.0
1973-10-01,,,,,0.0
1974-01-01,,,,,0.4
1974-04-01,,,,,0.0
1974-07-01,,,,,-0.2
1974-10-01,,,,,-0.2
1975-01-01,,,,,0.0
1975-04-01,,,,,0.5
1975-07-01,,,,,-0.3
1975-10-01,,,,,-0.1
1976-01-01,,,,,0.1
1976-04-01,,,,,0.0
1976-07-01,,,,,0.3
1976-10-01,,,,,-0.1
1977-01-01,,,,,0.0
1977-04-01,,,,,-0.3
1977-07-01,,,,,0.5
1977-10-01,,,,,-0.1
1978-01-01,,,,,-0.1
1978-04-01,,,,,-0.4
1978-07-01,,,,,0.8
1978-10-01,,,,,0.2
1979-01-01,,,,,-0.6
1979-04-01,,,,,0.1
1979-07-01,,,,,0.9
1979-10-01,,,,,-0.4
1980-01-01,,,,,0.1
1980-04-01,,,,,0.0
1980-07-01,,,,,0.3
1980-10-01,,,,,-0.3
1981-01-01,,,,,0.1
1981-04-01,,,,,-0.3
1981-07-01,,,,,0.3
1981-10-01,,,,,-0.4
1982-01-01,,,,,-0.4
1982-04-01,,,,,0.1
1982-07-01,,,,,0.0
1982-10-01,,,,,-0.4
1983-01-01,,,,,0.2
1983-04-01,,,,,0.0
1983-07-01,,,,,0.1
1983-10-01,,,,,-0.4
1984-01-01,,,,,0.2
1984-04-01,,,,,0.0
1984-07-01,,,,,0.0
1984-10-01,,,,,-0.5
1985-01-01,,,,,0.0
1985-04-01,,,,,0.0
1985-07-01,,,,,-0.2
1985-10-01,,,,,-0.4
1986-01-01,,,,,0.1
1986-04-01,,,,,0.2
1986-07-01,,,,,0.0
1986-10-01,,,,,0.1
1987-01-01,,,,,-0.1
1987-04-01,,,,,0.0
1987-07-01,,,,,0.4
1987-10-01,,,,,-0.1
1988-01-01,,,,,-0.4
1988-04-01,,,,,0.0
1988-07-01,,,,,0.3
1988-10-01,,,,,-0.2
1989-01-01,,,,,0.1
1989-04-01,,,,,-0.1
1989-07-01,,,,,0.3
1989-10-01,,,,,-0.3
1990-01-01,,,,,0.2
1990-04-01,,,,,-0.3
1990-07-01,,,,,0.3
1990-10-01,,,,,0.1
1991-01-01,,,,,-0.2
1991-04-01,,,,,0.0
1991-07-01,,,,,0.3
1991-10-01,,,,,0.0
1992-01-01,,,,,-0.2
1992-04-01,,,,,-0.1
1992-07-01,,,,,0.4
1992-10-01,,,,,0.1
1993-01-01,,,,,-0.2
1993-04-01,,,,,0.2
1993-07-01,,,,,0.3
1993-10-01,,,,,-0.1
1994-01-01,,,,,-0.8
1994-04-01,,,,,0.0
1994-07-01,,,,,0.3
1994-10-01,,,,,0.1
1995-01-01,,,,,0.0
1995-04-01,,,,,0.5
1995-07-01,,,,,0.3
1995-10-01,,,,,0.1
1996-01-01,,,,,0.0
1996-04-01,,,,,0.3
1996-07-01,,,,,0.2
1996-10-01,,,,,-0.2
1997-01-01,,,,,0.0
1997-04-01,,,,,0.3
1997-07-01,,,,,0.3
1997-10-01,,,,,-0.3
1998-01-01,,,,,0.2
1998-04-01,,,,,0.1
1998-07-01,,,,,0.8
1998-10-01,,,,,-0.4
1999-01-01,,,,,0.3
1999-04-01,,,,,-0.1
1999-07-01,,,,,0.4
1999-10-01,,,,,-0.1
2000-01-01,,,,,0.2
2000-04-01,,,,,0.1
2000-07-01,0.61,1.37,-0.96,0.37,0.5
2000-10-01,0.73,0.45,1.31,0.37,-0.2
2001-01-01,-0.18,-0.15,-0.25,0.37,0.0
2001-04-01,-0.04,0.11,-0.36,0.37,0.2
2001-07-01,0.79,1.46,-0.62,0.37,0.4
2001-10-01,0.45,0.32,0.74,0.35,-0.1
2002-01-01,0.02,-0.31,0.71,0.36,-0.2
2002-04-01,0.53,0.21,1.22,0.35,-0.2
2002-07-01,0.24,0.78,-0.9,0.36,0.4
2002-10-01,0.22,0.66,-0.71,0.37,0.3
2003-01-01,0.12,-0.3,1.03,0.37,-0.3
2003-04-01,0.1,0.17,-0.05,0.37,0.0
2003-07-01,0.07,0.66,-1.17,0.37,0.4
2003-10-01,0.41,0.72,-0.27,0.39,0.2
2004-01-01,0.22,0.23,0.19,0.39,0.0
2004-04-01,0.26,1.16,-1.69,0.38,0.6
2004-07-01,0.85,0.53,1.57,0.4,-0.2
2004-10-01,0.74,0.98,0.22,0.41,0.2
2005-01-01,0.12,0.02,0.33,0.42,-0.1
2005-04-01,0.18,-0.6,1.93,0.41,-0.5
2005-07-01,0.62,0.91,-0.01,0.4,0.2
2005-10-01,0.5,0.85,-0.27,0.39,0.2
2006-01-01,0.06,-0.69,1.74,0.38,-0.5
2006-04-01,0.19,0.5,-0.49,0.39,0.2
2006-07-01,0.2,0.59,-0.66,0.37,0.3
2006-10-01,0.29,0.16,0.56,0.35,-0.1
2007-01-01,-0.34,-1.12,1.39,0.35,-0.5
2007-04-01,0.57,0.36,1.02,0.35,-0.2
2007-07-01,-0.08,-0.18,0.13,0.32,0.0
2007-10-01,0.43,-0.13,1.6,0.26,-0.4
2008-01-01,-0.36,-0.33,-0.4,0.26,0.0
2008-04-01,0.25,0.64,-0.58,0.26,0.3
2008-07-01,0.3,0.09,0.76,0.22,-0.2
2008-10-01,-0.1,-0.73,1.22,0.16,-0.4
2009-01-01,0.03,-0.28,0.69,0.16,-0.2
2009-04-01,0.53,0.74,0.09,0.16,0.1
2009-07-01,-0.06,0.18,-0.56,0.13,0.2
2009-10-01,0.09,-0.53,1.4,0.09,-0.4
2010-01-01,0.01,-0.08,0.19,0.1,-0.1
2010-04-01,0.2,-0.08,0.78,0.09,-0.2
2010-07-01,0.19,0.15,0.27,0.09,0.0
2010-10-01,0.45,-0.15,1.66,0.09,-0.4
2011-01-01,-0.29,-0.42,-0.02,0.09,-0.1
2011-04-01,0.25,-0.52,1.75,0.09,-0.5
2011-07-01,0.14,0.73,-0.99,0.09,0.4
2011-10-01,0.48,0.09,1.24,0.1,-0.3
2012-01-01,0.04,-0.94,1.94,0.1,-0.6
2012-04-01,0.07,0.31,-0.39,0.1,0.1
2012-07-01,0.45,0.34,0.65,0.11,0.0
2012-10-01,0.33,0.22,0.56,0.13,-0.1
2013-01-01,-0.3,-0.89,0.81,0.13,-0.4
2013-04-01,0.41,0.41,0.4,0.13,0.0
2013-07-01,0.15,0.55,-0.59,0.14,0.3
2013-10-01,0.26,0.15,0.47,0.15,-0.1
2014-01-01,-0.14,-0.68,0.87,0.15,-0.4
2014-04-01,0.38,0.13,0.84,0.15,-0.1
2014-07-01,0.23,-0.23,1.05,0.16,-0.3
2014-10-01,1.23,0.57,2.44,0.16,-0.4
2015-01-01,-0.28,-0.72,0.51,0.16,-0.3
2015-04-01,0.29,-0.08,0.93,0.16,-0.3
2015-07-01,0.08,0.48,-0.6,0.17,0.3
2015-10-01,0.39,0.64,-0.03,0.18,0.1
2016-01-01,-0.19,-0.68,0.68,0.18,-0.3
2016-04-01,0.62,-0.35,2.32,0.18,-0.6
2016-07-01,0.3,1.27,-1.35,0.18,0.6
2016-10-01,0.08,0.39,-0.46,0.19,0.2
2017-01-01,0.18,-0.02,0.52,0.19,-0.1
2017-04-01,0.01,0.14,-0.21,0.19,0.1
2017-07-01,0.19,0.6,-0.54,0.2,0.2
2017-10-01,0.96,1.4,0.19,0.21,0.3
2018-01-01,-0.13,-0.23,0.04,0.21,0.0
2018-04-01,0.4,0.57,0.09,0.21,0.1
2018-07-01,0.1,0.24,-0.15,0.21,0.1
2018-10-01,0.93,1.64,-0.34,0.21,0.4
2019-01-01,-0.12,-0.99,1.49,0.21,-0.6
2019-04-01,0.06,-0.11,0.38,0.21,-0.1
2019-07-01,0.24,1.25,-1.57,0.21,0.7
2019-10-01,1.0,1.5,0.09,0.22,0.3
2020-01-01,0.36,0.73,-0.32,0.22,0.2
2020-04-01,1.95,5.89,-5.46,0.24,2.6
2020-07-01,-0.04,-0.66,1.28,0.23,-0.5
2020-10-01,-0.68,-3.05,4.23,0.24,-1.6
2021-01-01,0.15,-0.24,0.89,0.24,-0.2
2021-04-01,0.23,-0.04,0.72,0.24,-0.2
2021-07-01,0.64,0.57,0.78,0.26,0.0
2021-10-01,0.48,0.71,0.03,0.29,0.1
2022-01-01,0.18,0.0,0.52,0.29,-0.1
2022-04-01,0.22,0.85,-0.98,0.28,0.4
2022-07-01,0.29,0.66,-0.42,0.28,0.2
2022-10-01,0.89,0.62,1.41,0.27,-0.1
2023-01-01,-0.09,0.06,-0.37,0.27,0.1
2023-04-01,0.34,0.31,0.41,0.27,-0.1
2023-07-01,0.2,0.25,0.1,0.26,0.1
2023-10-01,0.59,0.2,1.34,0.24,-0.3
2024-01-01,-0.13,-0.23,0.08,0.24,-0.1
2024-04-01,0.31,0.3,0.32,0.24,0.0
2024-07-01,0.51,0.39,0.72,0.24,0.0
2024-10-01,0.2,0.35,-0.09,0.24,0.1
2025-01-01,-0.15,-1.01,1.49,0.24,-0.6
2025-04-01,0.35,0.23,0.59,0.24,-0.1
2025-07-01,0.43,0.89,-0.43,0.24,0.3
2025-10-01,0.45,1.02,-0.63,0.28,0.4
2026-01-01,0.02,-0.62,1.24,0.2,-0.4
