date,Total Housing Completions Period Chg,Single-Family Completions Period Chg,5+ Unit Completions Period Chg
1968-02-01,-6.6,-11.89,7.44
1968-03-01,12.69,13.36,11.14
1968-04-01,0.38,2.75,-3.52
1968-05-01,2.94,0.22,9.83
1968-06-01,-13.39,-12.0,-15.6
1968-07-01,15.71,12.63,13.94
1968-08-01,-6.64,-6.28,3.46
1968-09-01,9.23,4.9,9.0
1968-10-01,-3.51,-5.59,1.89
1968-11-01,1.41,4.47,-0.93
1968-12-01,1.68,1.16,1.87
1969-01-01,-9.57,-4.11,-18.35
1969-02-01,12.49,3.93,30.9
1969-03-01,10.18,0.0,28.97
1969-04-01,-15.4,-13.76,-19.63
1969-05-01,8.5,9.18,7.66
1969-06-01,1.75,3.53,-0.58
1969-07-01,-1.58,-4.59,4.84
1969-08-01,-2.72,-1.36,-6.27
1969-09-01,-1.87,-3.75,1.97
1969-10-01,2.85,4.68,0.58
1969-11-01,-0.14,-5.09,7.49
1969-12-01,-0.14,0.13,0.0
1970-01-01,2.28,8.36,-5.71
1970-02-01,-0.28,-8.31,10.23
1970-03-01,-7.9,-6.04,-11.34
1970-04-01,2.81,3.92,1.74
1970-05-01,-1.48,3.1,-7.43
1970-06-01,7.27,0.78,13.79
1970-07-01,-3.28,2.59,-4.88
1970-08-01,16.26,6.44,29.85
1970-09-01,-14.05,4.74,-37.92
1970-10-01,3.9,-8.72,27.59
1970-11-01,1.39,4.84,-3.33
1970-12-01,-1.37,-1.18,-0.19
1971-01-01,2.37,1.44,1.15
1971-02-01,-1.56,2.48,-7.58
1971-03-01,2.83,4.03,2.05
1971-04-01,14.78,13.84,15.06
1971-05-01,-4.21,-5.35,-0.52
1971-06-01,0.0,-0.82,0.18
1971-07-01,3.79,7.15,-1.23
1971-08-01,11.6,0.68,32.45
1971-09-01,-4.85,3.55,-18.07
1971-10-01,0.61,1.3,0.33
1971-11-01,1.6,2.01,0.0
1971-12-01,2.77,2.69,0.16
1972-01-01,2.48,-0.96,11.06
1972-02-01,6.13,-0.97,18.89
1972-03-01,-3.88,2.85,-13.79
1972-04-01,-0.56,2.95,-2.0
1972-05-01,-3.76,-4.8,-3.5
1972-06-01,2.11,1.24,1.21
1972-07-01,-0.31,-2.1,2.99
1972-08-01,8.91,11.33,5.94
1972-09-01,-2.33,-10.9,11.35
1972-10-01,-2.83,6.29,-13.39
1972-11-01,-0.5,-2.71,0.71
1972-12-01,6.85,4.96,11.69
1973-01-01,1.93,7.21,-5.42
1973-02-01,-1.76,-0.31,-3.73
1973-03-01,3.39,1.16,6.37
1973-04-01,-0.05,-1.76,3.26
1973-05-01,4.74,1.33,8.07
1973-06-01,-1.78,-2.31,-0.82
1973-07-01,-8.5,-14.81,0.12
1973-08-01,-0.48,6.29,-6.58
1973-09-01,0.24,1.91,-4.78
1973-10-01,-0.44,-3.59,2.64
1973-11-01,-6.19,-2.13,-8.11
1973-12-01,-2.91,-3.89,0.0
1974-01-01,3.37,-3.48,10.22
1974-02-01,0.31,0.2,1.65
1974-03-01,-6.81,-5.26,-9.88
1974-04-01,1.33,-3.8,8.32
1974-05-01,-6.28,-0.64,-12.29
1974-06-01,10.61,19.35,1.75
1974-07-01,-10.65,-17.3,-3.01
1974-08-01,-3.6,-0.98,-5.77
1974-09-01,1.04,-0.44,4.24
1974-10-01,-1.27,0.88,-3.46
1974-11-01,-2.45,-5.91,1.4
1974-12-01,-3.14,-2.1,-3.54
1975-01-01,3.12,15.34,-10.85
1975-02-01,-15.24,-18.56,-13.06
1975-03-01,-3.94,-3.8,-1.85
1975-04-01,-1.16,4.34,-12.58
1975-05-01,5.56,11.6,-3.6
1975-06-01,-8.52,-7.8,-9.95
1975-07-01,3.4,7.97,-6.63
1975-08-01,1.1,-0.45,5.92
1975-09-01,3.33,10.26,-13.13
1975-10-01,-14.93,-21.82,2.25
1975-11-01,21.96,30.95,1.89
1975-12-01,-5.57,-1.62,-17.28
1976-01-01,-3.68,-2.05,-8.96
1976-02-01,4.21,3.25,6.56
1976-03-01,2.75,1.32,10.0
1976-04-01,-1.11,0.4,-6.99
1976-05-01,8.11,0.7,25.56
1976-06-01,-3.47,4.86,-24.55
1976-07-01,-4.89,-1.7,-16.67
1976-08-01,3.93,1.92,12.38
1976-09-01,-0.22,-7.64,33.9
1976-10-01,1.24,6.54,-19.3
1976-11-01,2.88,4.99,-1.96
1976-12-01,2.03,0.0,10.4
1977-01-01,0.0,3.38,-16.67
1977-02-01,13.59,12.63,30.87
1977-03-01,-2.18,-6.98,13.95
1977-04-01,-4.39,0.17,-18.08
1977-05-01,0.45,-0.42,3.91
1977-06-01,5.21,2.62,4.11
1977-07-01,3.12,5.19,3.29
1977-08-01,-0.83,-0.23,-5.73
1977-09-01,11.48,13.81,0.68
1977-10-01,-10.19,-14.21,9.73
1977-11-01,5.67,4.5,14.98
1977-12-01,-7.68,-1.0,-28.19
1978-01-01,8.75,0.85,38.15
1978-02-01,-3.26,-3.08,-10.19
1978-03-01,3.84,7.07,-7.76
1978-04-01,3.25,4.9,0.0
1978-05-01,0.38,-1.27,6.8
1978-06-01,2.97,-1.29,26.36
1978-07-01,2.73,-2.47,17.99
1978-08-01,0.97,3.95,-7.32
1978-09-01,-1.62,2.22,-10.31
1978-10-01,-3.03,-0.42,-9.54
1978-11-01,-0.42,-2.89,-0.27
1978-12-01,-1.76,-2.1,3.25
1979-01-01,0.33,-2.89,10.5
1979-02-01,-0.27,0.46,-3.56
1979-03-01,5.47,6.37,2.71
1979-04-01,-4.11,-4.28,-2.88
1979-05-01,7.56,-0.52,39.01
1979-06-01,-7.67,0.22,-30.91
1979-07-01,-5.07,-7.47,1.54
1979-08-01,1.14,0.24,5.57
1979-09-01,11.47,0.81,45.8
1979-10-01,-7.61,1.68,-28.62
1979-11-01,3.28,-0.24,12.44
1979-12-01,-1.53,3.23,-16.19
1980-01-01,-3.7,-5.27,1.47
1980-02-01,0.5,-4.83,20.48
1980-03-01,-5.66,-5.67,-5.6
1980-04-01,2.94,-3.41,14.62
1980-05-01,-12.51,-9.85,-18.67
1980-06-01,-3.39,-5.98,1.14
1980-07-01,-0.54,-4.17,11.91
1980-08-01,-2.17,7.44,-24.7
1980-09-01,-12.01,-19.17,9.6
1980-10-01,0.39,9.22,-21.41
1980-11-01,3.22,1.57,11.15
1980-12-01,4.95,7.13,-1.39
1981-01-01,-7.84,-0.44,-24.86
1981-02-01,9.84,7.02,12.78
1981-03-01,-1.29,-7.6,18.0
1981-04-01,6.68,5.29,18.08
1981-05-01,-15.18,-5.99,-37.56
1981-06-01,8.35,-1.71,41.0
1981-07-01,-0.96,-1.5,-1.9
1981-08-01,-8.6,-5.88,-3.88
1981-09-01,-0.08,-0.75,-10.37
1981-10-01,-1.23,-10.44,24.12
1981-11-01,-10.95,-5.62,-20.98
1981-12-01,5.12,1.49,9.84
1982-01-01,-6.82,-5.87,-1.49
1982-02-01,-11.12,-13.55,-7.27
1982-03-01,3.21,6.85,-6.54
1982-04-01,1.45,2.19,1.4
1982-05-01,8.27,12.71,2.76
1982-06-01,-12.26,-16.11,-2.01
1982-07-01,8.17,17.1,-11.99
1982-08-01,-2.09,-6.71,7.39
1982-09-01,-3.86,-5.11,-8.7
1982-10-01,11.83,13.3,19.84
1982-11-01,1.89,2.23,1.32
1982-12-01,-2.97,-4.51,3.59
1983-01-01,13.37,18.11,-1.58
1983-02-01,-4.38,-7.99,9.29
1983-03-01,2.91,10.36,-13.49
1983-04-01,2.48,3.68,1.69
1983-05-01,8.6,4.77,14.0
1983-06-01,3.38,7.83,-7.31
1983-07-01,4.91,5.2,9.46
1983-08-01,21.35,6.39,70.03
1983-09-01,-12.74,-4.65,-30.17
1983-10-01,6.23,6.5,6.31
1983-11-01,-7.82,-4.39,-17.81
1983-12-01,3.21,0.5,16.11
1984-01-01,5.7,0.6,17.7
1984-02-01,-2.07,2.17,-12.2
1984-03-01,2.43,-0.39,11.81
1984-04-01,5.19,-4.26,17.18
1984-05-01,2.91,8.3,-6.71
1984-06-01,-1.04,-2.71,6.44
1984-07-01,-1.28,2.21,-9.96
1984-08-01,-0.41,-2.26,0.2
1984-09-01,-2.55,-0.87,-0.2
1984-10-01,-0.55,-5.24,7.31
1984-11-01,-1.35,3.89,-10.31
1984-12-01,1.12,-2.76,9.03
1985-01-01,1.04,8.41,-13.56
1985-02-01,7.65,1.96,22.66
1985-03-01,-3.22,-5.04,0.18
1985-04-01,-4.96,4.05,-19.68
1985-05-01,2.15,-3.8,21.19
1985-06-01,7.57,3.66,11.48
1985-07-01,-5.47,-2.51,-10.46
1985-08-01,-0.47,-1.62,3.28
1985-09-01,7.18,7.86,4.95
1985-10-01,-13.34,-3.51,-30.98
1985-11-01,11.76,1.96,39.27
1985-12-01,-0.97,2.38,-8.76
1986-01-01,-0.52,-6.7,10.56
1986-02-01,1.74,2.11,-0.17
1986-03-01,0.17,5.72,-9.04
1986-04-01,-4.04,0.89,-13.38
1986-05-01,8.78,0.62,35.98
1986-06-01,-8.78,-6.55,-15.42
1986-07-01,2.99,0.0,9.4
1986-08-01,2.38,5.7,-0.88
1986-09-01,-1.76,-1.59,-3.72
1986-10-01,2.89,5.12,-1.47
1986-11-01,0.62,-1.45,2.05
1986-12-01,2.62,0.95,7.31
1987-01-01,1.2,0.09,4.94
1987-02-01,-4.89,-1.8,-10.71
1987-03-01,-4.35,0.26,-8.36
1987-04-01,2.42,0.87,0.99
1987-05-01,-1.27,0.69,-5.7
1987-06-01,-4.55,-4.55,-11.25
1987-07-01,3.06,1.35,14.55
1987-08-01,-3.62,-4.7,-1.43
1987-09-01,-2.28,3.26,-15.18
1987-10-01,-0.63,0.81,-7.6
1987-11-01,0.06,-2.95,12.2
1987-12-01,3.42,2.4,8.04
1988-01-01,-4.78,-1.62,-12.91
1988-02-01,-6.69,-6.5,-5.53
1988-03-01,10.34,7.44,14.89
1988-04-01,0.94,-5.01,15.74
1988-05-01,-8.17,4.41,-33.0
1988-06-01,1.96,1.19,8.36
1988-07-01,0.99,-1.81,8.82
1988-08-01,1.57,0.09,3.54
1988-09-01,-1.29,2.59,-10.27
1988-10-01,-0.13,-1.35,2.72
1988-11-01,-7.98,-6.93,-9.02
1988-12-01,9.95,9.31,8.75
