date,Total Units Under Construction (SA) Period Chg,Single-Family Under Construction Period Chg
1970-02-01,-0.11,0.56
1970-03-01,0.23,1.12
1970-04-01,0.11,1.11
1970-05-01,-0.9,0.0
1970-06-01,-0.11,0.82
1970-07-01,1.02,0.54
1970-08-01,-1.91,-0.81
1970-09-01,1.83,0.54
1970-10-01,1.12,2.17
1970-11-01,1.56,1.06
1970-12-01,3.17,4.72
1971-01-01,2.97,3.01
1971-02-01,2.37,3.16
1971-03-01,3.12,1.18
1971-04-01,3.61,4.66
1971-05-01,2.92,3.34
1971-06-01,3.11,2.8
1971-07-01,2.93,1.68
1971-08-01,2.16,2.47
1971-09-01,1.69,1.61
1971-10-01,1.58,1.58
1971-11-01,3.1,2.34
1971-12-01,1.82,0.76
1972-01-01,2.41,2.84
1972-02-01,-1.67,-1.84
1972-03-01,5.02,5.24
1972-04-01,1.84,0.89
1972-05-01,1.37,1.06
1972-06-01,1.85,1.75
1972-07-01,1.4,1.37
1972-08-01,1.86,1.86
1972-09-01,1.56,2.99
1972-10-01,2.87,1.61
1972-11-01,2.01,1.43
1972-12-01,0.95,1.1
1973-01-01,1.2,0.93
1973-02-01,1.31,0.0
1973-03-01,-0.12,-1.38
1973-04-01,-0.43,-1.71
1973-05-01,0.31,-0.32
1973-06-01,-1.54,-3.02
1973-07-01,0.44,0.65
1973-08-01,-0.75,-1.3
1973-09-01,-1.0,-2.31
1973-10-01,-2.41,-2.7
1973-11-01,-1.17,-2.43
1973-12-01,-1.77,-2.13
1974-01-01,-2.01,-1.45
1974-02-01,-0.41,-0.55
1974-03-01,-2.95,-1.3
1974-04-01,-1.84,0.75
1974-05-01,-2.66,-2.05
1974-06-01,-2.37,-1.9
1974-07-01,-3.41,-1.36
1974-08-01,-3.61,-1.77
1974-09-01,-4.15,-2.4
1974-10-01,-4.24,-2.25
1974-11-01,-4.78,-1.68
1974-12-01,-4.19,-1.07
1975-01-01,-3.88,-2.16
1975-02-01,-2.83,-1.54
1975-03-01,-3.95,-1.12
1975-04-01,-3.14,-0.9
1975-05-01,-2.46,0.23
1975-06-01,-2.18,0.23
1975-07-01,-0.47,1.59
1975-08-01,-0.82,1.12
1975-09-01,-0.95,-0.44
1975-10-01,0.96,4.89
1975-11-01,-1.78,0.21
1975-12-01,-0.97,-0.42
1976-01-01,0.85,2.34
1976-02-01,-1.81,-0.41
1976-03-01,3.45,5.0
1976-04-01,0.36,1.39
1976-05-01,0.12,1.37
1976-06-01,1.42,1.74
1976-07-01,0.23,1.14
1976-08-01,1.28,1.31
1976-09-01,2.99,3.33
1976-10-01,2.12,2.51
1976-11-01,1.75,0.87
1976-12-01,1.83,1.73
1977-01-01,1.69,1.87
1977-02-01,1.97,2.51
1977-03-01,2.75,3.1
1977-04-01,3.17,3.48
1977-05-01,3.55,3.67
1977-06-01,2.04,2.36
1977-07-01,2.45,1.44
1977-08-01,1.69,1.14
1977-09-01,0.7,-0.28
1977-10-01,2.69,2.82
1977-11-01,1.35,1.78
1977-12-01,2.75,2.15
1978-01-01,0.32,0.92
1978-02-01,0.73,1.04
1978-03-01,0.96,0.26
1978-04-01,1.99,0.77
1978-05-01,0.86,0.0
1978-06-01,1.0,0.51
1978-07-01,0.0,0.13
1978-08-01,-0.15,0.13
1978-09-01,0.31,-0.89
1978-10-01,0.53,-0.38
1978-11-01,0.99,1.03
1978-12-01,1.05,1.53
1979-01-01,-1.26,-1.63
1979-02-01,-0.9,-1.27
1979-03-01,-2.05,-1.81
1979-04-01,-2.17,-2.37
1979-05-01,-0.56,-0.54
1979-06-01,0.96,0.0
1979-07-01,-0.55,-0.95
1979-08-01,-0.56,-0.68
1979-09-01,-1.44,-1.24
1979-10-01,-1.05,-1.53
1979-11-01,-2.7,-3.54
1979-12-01,-2.53,-3.52
1980-01-01,-1.99,-1.98
1980-02-01,-5.29,-5.89
1980-03-01,-2.79,-4.45
1980-04-01,-6.51,-7.76
1980-05-01,-6.56,-6.54
1980-06-01,-3.4,-3.6
1980-07-01,-2.38,-0.21
1980-08-01,-0.7,0.0
1980-09-01,2.22,4.57
1980-10-01,2.41,3.18
1980-11-01,1.34,1.93
1980-12-01,0.77,0.38
1981-01-01,1.86,0.75
1981-02-01,-0.43,-0.56
1981-03-01,-1.19,-1.69
1981-04-01,-1.42,-1.53
1981-05-01,-1.66,-2.72
1981-06-01,-3.72,-3.59
1981-07-01,-3.16,-3.31
1981-08-01,-3.14,-4.07
1981-09-01,-3.87,-3.79
1981-10-01,-4.29,-3.71
1981-11-01,-3.53,-3.13
1981-12-01,-2.39,-1.99
1982-01-01,-1.15,0.0
1982-02-01,0.15,1.27
1982-03-01,-1.6,-1.75
1982-04-01,-1.04,-1.02
1982-05-01,-1.2,-2.58
1982-06-01,-1.06,0.0
1982-07-01,2.14,-0.53
1982-08-01,0.3,-0.27
1982-09-01,2.39,1.87
1982-10-01,1.6,1.57
1982-11-01,2.87,3.09
1982-12-01,2.51,3.75
1983-01-01,3.4,3.61
1983-02-01,5.0,5.81
1983-03-01,3.26,2.64
1983-04-01,3.64,3.64
1983-05-01,4.33,5.37
1983-06-01,3.82,2.94
1983-07-01,3.57,2.1
1983-08-01,1.88,1.49
1983-09-01,1.43,0.18
1983-10-01,0.61,-0.18
1983-11-01,2.01,0.74
1983-12-01,0.98,-0.18
1984-01-01,1.36,2.01
1984-02-01,-0.1,0.0
1984-03-01,2.89,2.33
1984-04-01,1.59,1.23
1984-05-01,-0.46,0.52
1984-06-01,1.11,0.52
1984-07-01,0.46,-0.68
1984-08-01,-1.0,-1.55
1984-09-01,0.18,-0.35
1984-10-01,-0.73,0.7
1984-11-01,-0.09,0.7
1984-12-01,0.0,0.87
1985-01-01,-0.56,-1.37
1985-02-01,-0.65,0.35
1985-03-01,-0.19,0.52
1985-04-01,1.88,0.35
1985-05-01,0.28,-0.34
1985-06-01,-1.56,-1.04
1985-07-01,-0.09,0.35
1985-08-01,0.47,0.52
1985-09-01,-1.12,-1.73
1985-10-01,2.07,1.23
1985-11-01,0.28,-0.35
1985-12-01,0.55,-0.87
1986-01-01,0.55,1.23
1986-02-01,1.0,0.87
1986-03-01,-0.45,0.0
1986-04-01,2.62,1.21
1986-05-01,0.18,1.87
1986-06-01,1.06,2.01
1986-07-01,0.17,1.15
1986-08-01,0.52,1.13
1986-09-01,-0.78,0.0
1986-10-01,-1.05,-0.64
1986-11-01,-1.5,-0.81
1986-12-01,-1.07,-0.33
1987-01-01,-1.54,-0.49
1987-02-01,0.55,1.48
1987-03-01,-1.09,0.48
1987-04-01,-0.46,0.8
1987-05-01,-0.83,0.0
1987-06-01,-0.93,-0.8
1987-07-01,-0.85,0.0
1987-08-01,-0.57,-0.16
1987-09-01,0.29,1.13
1987-10-01,-0.67,-0.48
1987-11-01,0.1,-0.16
1987-12-01,-2.3,-0.8
1988-01-01,-0.98,-0.97
1988-02-01,-3.17,-3.43
1988-03-01,1.84,3.89
1988-04-01,0.5,0.98
1988-05-01,-1.2,-1.61
1988-06-01,-0.71,-0.33
1988-07-01,-0.92,-0.66
1988-08-01,-0.41,0.0
1988-09-01,-0.93,-1.32
1988-10-01,-0.52,0.17
1988-11-01,0.73,1.0
1988-12-01,-0.52,-0.5
1989-01-01,0.0,0.0
1989-02-01,-0.84,-1.33
1989-03-01,-0.74,-1.35
1989-04-01,-1.91,-1.2
1989-05-01,-0.98,-0.69
1989-06-01,0.0,-0.52
1989-07-01,0.55,0.88
1989-08-01,-1.85,-1.91
1989-09-01,-0.67,0.35
1989-10-01,0.22,-0.18
1989-11-01,-1.67,-1.24
1989-12-01,0.34,1.25
1990-01-01,0.68,0.53
1990-02-01,0.79,1.23
1990-03-01,-1.45,-1.74
1990-04-01,-1.47,-1.41
1990-05-01,-1.61,-1.79
1990-06-01,-1.4,-2.01
1990-07-01,-1.77,-1.68
1990-08-01,-2.17,-2.65
1990-09-01,-2.46,-1.95
1990-10-01,-3.4,-1.98
1990-11-01,-1.04,-1.42
1990-12-01,-1.72,-2.05
1991-01-01,-3.89,-3.77
1991-02-01,-0.84,-0.44
1991-03-01,-4.51,-3.28
1991-04-01,-1.18,-0.23
1991-05-01,-1.19,0.45
1991-06-01,-1.21,0.68
1991-07-01,-0.31,1.12
1991-08-01,-0.15,1.11
1991-09-01,-2.76,-0.44
1991-10-01,-0.47,-0.66
1991-11-01,0.95,1.11
1991-12-01,-0.47,0.44
1992-01-01,0.95,1.31
1992-02-01,-1.41,0.0
1992-03-01,4.13,3.66
1992-04-01,-0.91,0.21
1992-05-01,0.0,0.21
1992-06-01,-0.92,0.0
1992-07-01,-2.33,-1.24
1992-08-01,0.95,1.05
1992-09-01,0.47,0.83
1992-10-01,0.78,1.44
1992-11-01,-0.31,0.81
1992-12-01,-0.47,-0.2
1993-01-01,-0.31,0.81
1993-02-01,0.63,1.4
1993-03-01,-1.09,-1.38
1993-04-01,0.47,1.0
1993-05-01,1.89,2.57
1993-06-01,0.93,0.97
1993-07-01,1.38,1.34
1993-08-01,0.3,1.32
1993-09-01,1.8,1.12
1993-10-01,1.48,1.47
1993-11-01,1.16,1.45
1993-12-01,1.15,1.07
1994-01-01,0.85,0.71
1994-02-01,0.99,0.7
1994-03-01,2.23,2.09
1994-04-01,1.09,-0.17
1994-05-01,1.22,0.17
1994-06-01,1.07,0.85
1994-07-01,0.92,0.0
1994-08-01,1.18,0.0
1994-09-01,0.13,0.0
1994-10-01,0.13,-1.19
1994-11-01,1.29,0.34
1994-12-01,-0.13,-1.03
1995-01-01,-0.13,-1.38
1995-02-01,1.28,1.05
1995-03-01,-2.77,-3.99
1995-04-01,-1.3,-1.81
1995-05-01,-0.39,-0.74
1995-06-01,0.13,-0.56
1995-07-01,0.4,0.37
1995-08-01,1.57,1.48
1995-09-01,0.78,0.91
1995-10-01,0.13,0.91
1995-11-01,0.64,0.36
1995-12-01,1.65,1.79
1996-01-01,0.5,0.18
1996-02-01,-1.25,-1.23
1996-03-01,2.65,3.2
1996-04-01,1.6,1.89
1996-05-01,0.6,0.0
1996-06-01,-0.72,0.17
1996-07-01,-0.24,-0.34
1996-08-01,-0.49,0.0
1996-09-01,0.49,-0.17
1996-10-01,-0.36,-0.85
1996-11-01,0.97,0.17
1996-12-01,-1.81,-2.39
1997-01-01,0.37,0.17
1997-02-01,-0.86,-1.05
1997-03-01,-0.25,-0.88
1997-04-01,0.25,0.0
1997-05-01,0.74,0.36
1997-06-01,1.23,-0.35
1997-07-01,1.21,1.07
1997-08-01,0.0,0.18
1997-09-01,1.2,0.88
1997-10-01,1.42,0.87
1997-11-01,0.82,-0.17
1997-12-01,0.81,0.35
1998-01-01,1.61,2.07
1998-02-01,1.13,1.52
1998-03-01,1.0,1.66
1998-04-01,0.11,0.82
1998-05-01,0.66,1.3
1998-06-01,1.64,1.92
1998-07-01,1.19,0.94
1998-08-01,0.32,0.78
1998-09-01,1.17,1.08
1998-10-01,2.1,1.22
1998-11-01,0.41,1.36
1998-12-01,2.77,2.83
1999-01-01,-2.99,-3.91
1999-02-01,1.64,1.36
1999-03-01,0.51,0.6
1999-04-01,-0.3,-0.59
1999-05-01,-0.2,0.3
1999-06-01,-0.81,-0.89
1999-07-01,0.2,0.6
1999-08-01,0.61,0.45
1999-09-01,-0.61,-0.59
1999-10-01,0.0,0.3
1999-11-01,0.0,0.45
1999-12-01,0.0,0.15
2000-01-01,0.81,0.3
2000-02-01,0.71,-0.15
2000-03-01,-1.0,-0.44
2000-04-01,0.1,-0.44
2000-05-01,-0.4,-0.89
2000-06-01,-0.3,-0.45
2000-07-01,-0.31,-0.75
2000-08-01,-0.31,0.15
2000-09-01,-0.61,-0.46
2000-10-01,0.21,0.61
2000-11-01,-0.21,-0.76
2000-12-01,-0.1,0.0
2001-01-01,1.75,2.29
2001-02-01,0.1,0.3
2001-03-01,1.42,0.6
2001-04-01,0.6,1.04
2001-05-01,0.79,0.59
2001-06-01,-0.2,0.15
2001-07-01,0.39,0.15
2001-08-01,-0.59,0.44
2001-09-01,0.3,-0.29
2001-10-01,-0.59,-1.3
2001-11-01,0.3,0.29
2001-12-01,-1.48,-1.46
2002-01-01,0.0,-0.59
2002-02-01,0.9,1.05
2002-03-01,0.8,0.0
2002-04-01,-0.2,0.44
2002-05-01,0.79,1.03
2002-06-01,0.39,0.44
2002-07-01,0.59,1.02
2002-08-01,-1.55,-1.72
2002-09-01,1.09,1.02
2002-10-01,0.2,0.43
2002-11-01,0.49,0.14
2002-12-01,0.19,0.72
2003-01-01,1.55,2.43
2003-02-01,-0.48,-0.28
2003-03-01,0.0,0.84
2003-04-01,-0.1,0.28
2003-05-01,0.38,0.14
2003-06-01,1.62,1.8
2003-07-01,1.32,0.95
