date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
1959-02-01,,,,0.17
1959-03-01,,,,0.44
1959-04-01,,,,0.52
1959-05-01,,,,0.42
1959-06-01,,,,0.2
1959-07-01,,,,-0.3
1959-08-01,,,,-0.74
1959-09-01,,,,-0.12
1959-10-01,,,,-0.08
1959-11-01,,,,0.58
1959-12-01,,,,0.84
1960-01-01,,,,-0.01
1960-02-01,,,,-0.21
1960-03-01,,,,-0.1
1960-04-01,,,,0.19
1960-05-01,,,,0.03
1960-06-01,,,,-0.09
1960-07-01,,,,0.0
1960-08-01,,,,-0.39
1960-09-01,,,,0.0
1960-10-01,,,,0.24
1960-11-01,,,,-0.54
1960-12-01,,,,-0.56
1961-01-01,,,,0.87
1961-02-01,,,,0.3
1961-03-01,,,,0.29
1961-04-01,,,,0.07
1961-05-01,,,,0.68
1961-06-01,,,,0.9
1961-07-01,,,,0.2
1961-08-01,,,,-0.14
1961-09-01,,,,-0.07
1961-10-01,,,,0.91
1961-11-01,,,,0.79
1961-12-01,,,,0.49
1962-01-01,,,,-0.37
1962-02-01,,,,0.34
1962-03-01,,,,0.55
1962-04-01,,,,0.33
1962-05-01,,,,-0.06
1962-06-01,,,,-0.11
1962-07-01,,,,0.31
1962-08-01,,,,-0.05
1962-09-01,,,,-0.11
1962-10-01,,,,0.36
1962-11-01,,,,0.15
1962-12-01,,,,0.35
1963-01-01,,,,0.61
1963-02-01,,,,-0.69
1963-03-01,,,,0.32
1963-04-01,,,,0.3
1963-05-01,,,,0.27
1963-06-01,,,,0.38
1963-07-01,,,,-0.01
1963-08-01,,,,0.26
1963-09-01,,,,0.6
1963-10-01,,,,0.45
1963-11-01,,,,0.09
1963-12-01,,,,0.7
1964-01-01,,,,0.23
1964-02-01,,,,0.22
1964-03-01,,,,2.27
1964-04-01,,,,0.44
1964-05-01,,,,0.42
1964-06-01,,,,0.21
1964-07-01,,,,0.35
1964-08-01,,,,0.31
1964-09-01,,,,0.27
1964-10-01,,,,-0.15
1964-11-01,,,,0.54
1964-12-01,,,,0.86
1965-01-01,,,,0.1
1965-02-01,,,,-0.06
1965-03-01,,,,0.25
1965-04-01,,,,0.02
1965-05-01,,,,1.0
1965-06-01,,,,0.04
1965-07-01,,,,0.93
1965-08-01,,,,0.38
1965-09-01,,,,2.49
1965-10-01,,,,-0.6
1965-11-01,,,,0.61
1965-12-01,,,,0.32
1966-01-01,,,,-0.01
1966-02-01,,,,0.34
1966-03-01,,,,0.31
1966-04-01,,,,-0.47
1966-05-01,,,,0.06
1966-06-01,,,,0.32
1966-07-01,,,,0.25
1966-08-01,,,,0.4
1966-09-01,,,,0.48
1966-10-01,,,,0.22
1966-11-01,,,,0.36
1966-12-01,,,,-0.17
1967-01-01,,,,0.95
1967-02-01,,,,0.12
1967-03-01,,,,0.67
1967-04-01,,,,-0.12
1967-05-01,,,,0.12
1967-06-01,,,,0.28
1967-07-01,,,,0.3
1967-08-01,,,,0.26
1967-09-01,,,,-0.12
1967-10-01,,,,0.06
1967-11-01,,,,0.52
1967-12-01,,,,0.1
1968-01-01,,,,0.47
1968-02-01,,,,0.66
1968-03-01,,,,0.87
1968-04-01,,,,0.27
1968-05-01,,,,0.33
1968-06-01,,,,0.37
1968-07-01,,,,-0.3
1968-08-01,,,,0.03
1968-09-01,,,,-0.08
1968-10-01,,,,0.26
1968-11-01,,,,0.29
1968-12-01,,,,0.27
1969-01-01,,,,-0.25
1969-02-01,,,,-0.04
1969-03-01,,,,0.11
1969-04-01,,,,-0.22
1969-05-01,,,,1.05
1969-06-01,,,,0.62
1969-07-01,,,,0.61
1969-08-01,,,,0.51
1969-09-01,,,,0.12
1969-10-01,,,,0.14
1969-11-01,,,,0.08
