date,1-Year Expected Inflation Period Chg,5-Year Expected Inflation Period Chg,10-Year Expected Inflation Period Chg
1982-02-01,0.04,-0.08,-0.12
1982-03-01,-0.04,-0.38,-0.43
1982-04-01,-0.25,0.04,0.07
1982-05-01,-0.65,-0.12,-0.02
1982-06-01,-0.04,-0.06,-0.09
1982-07-01,0.93,0.39,0.31
1982-08-01,-0.01,-0.24,-0.22
1982-09-01,-0.03,-0.02,0.04
1982-10-01,-1.21,-0.5,-0.39
1982-11-01,-0.48,-0.62,-0.62
1982-12-01,-0.08,0.12,0.15
1983-01-01,0.29,-0.1,-0.14
1983-02-01,-0.27,0.09,0.14
1983-03-01,-0.53,-0.3,-0.25
1983-04-01,0.57,0.2,0.13
1983-05-01,-0.01,-0.18,-0.2
1983-06-01,-0.48,0.1,0.18
1983-07-01,0.82,0.23,0.15
1983-08-01,0.23,0.19,0.15
1983-09-01,-0.09,0.06,0.09
1983-10-01,0.01,-0.13,-0.13
1983-11-01,0.09,0.1,0.1
1983-12-01,-0.0,0.02,0.02
1984-01-01,0.05,0.0,-0.03
1984-02-01,-0.19,-0.06,-0.03
1984-03-01,-0.23,0.11,0.14
1984-04-01,0.59,0.21,0.14
1984-05-01,0.04,0.13,0.13
1984-06-01,0.13,0.28,0.29
1984-07-01,0.1,0.03,0.0
1984-08-01,-0.47,-0.36,-0.31
1984-09-01,-0.12,0.01,0.01
1984-10-01,0.31,-0.16,-0.23
1984-11-01,-0.48,-0.28,-0.2
1984-12-01,-0.09,0.0,0.02
1985-01-01,0.03,0.07,0.08
1985-02-01,-0.22,-0.1,-0.07
1985-03-01,0.33,0.25,0.22
1985-04-01,-0.22,-0.23,-0.24
1985-05-01,-0.07,-0.07,-0.04
1985-06-01,0.01,-0.38,-0.39
1985-07-01,-0.31,-0.05,-0.03
1985-08-01,0.02,0.14,0.15
1985-09-01,0.03,-0.08,-0.09
1985-10-01,-0.05,-0.01,-0.01
1985-11-01,-0.14,-0.12,-0.12
1985-12-01,-0.27,-0.16,-0.13
1986-01-01,-0.03,-0.24,-0.23
1986-02-01,-0.0,-0.0,-0.02
1986-03-01,-0.49,-0.4,-0.38
1986-04-01,-0.46,-0.24,-0.18
1986-05-01,-0.17,0.02,0.05
1986-06-01,0.61,0.37,0.32
1986-07-01,0.11,-0.24,-0.26
1986-08-01,-0.19,-0.07,-0.04
1986-09-01,0.02,-0.18,-0.2
1986-10-01,0.07,0.19,0.2
1986-11-01,-0.25,-0.11,-0.08
1986-12-01,0.42,-0.01,-0.08
1987-01-01,-0.16,0.01,0.04
1987-02-01,0.09,0.01,-0.0
1987-03-01,-0.48,-0.17,-0.14
1987-04-01,0.55,0.28,0.24
1987-05-01,0.27,0.36,0.36
1987-06-01,0.07,-0.04,-0.08
1987-07-01,0.03,0.04,0.06
1987-08-01,0.12,0.1,0.08
1987-09-01,0.15,0.11,0.1
1987-10-01,0.11,0.13,0.1
1987-11-01,-0.41,-0.17,-0.08
1987-12-01,0.11,0.09,0.08
1988-01-01,-0.42,-0.09,-0.04
1988-02-01,0.12,-0.31,-0.37
1988-03-01,-0.11,-0.05,-0.04
1988-04-01,0.3,0.24,0.21
1988-05-01,0.12,0.05,0.04
1988-06-01,-0.15,0.05,0.07
1988-07-01,0.32,-0.01,-0.05
1988-08-01,0.09,0.03,0.01
1988-09-01,0.05,0.09,0.08
1988-10-01,-0.04,-0.12,-0.12
1988-11-01,-0.12,-0.07,-0.05
1988-12-01,0.21,0.15,0.12
1989-01-01,0.02,0.15,0.17
1989-02-01,-0.08,-0.1,-0.1
1989-03-01,0.13,0.15,0.14
1989-04-01,0.17,-0.02,-0.06
1989-05-01,0.15,-0.12,-0.17
1989-06-01,-0.47,-0.2,-0.14
1989-07-01,-0.06,-0.22,-0.22
1989-08-01,-0.2,-0.18,-0.16
1989-09-01,-0.11,0.19,0.22
1989-10-01,0.2,0.06,0.03
1989-11-01,-0.23,-0.17,-0.14
1989-12-01,-0.34,-0.07,-0.02
1990-01-01,0.49,0.19,0.13
1990-02-01,0.28,0.2,0.18
1990-03-01,-0.44,-0.06,-0.01
1990-04-01,0.14,0.02,0.0
1990-05-01,0.11,0.17,0.18
1990-06-01,-0.06,-0.19,-0.18
1990-07-01,-0.12,-0.09,-0.09
1990-08-01,0.06,-0.04,-0.04
1990-09-01,0.61,0.3,0.25
1990-10-01,0.27,-0.04,-0.08
1990-11-01,-0.04,-0.03,-0.01
1990-12-01,-0.07,-0.12,-0.12
1991-01-01,-0.81,-0.16,-0.05
1991-02-01,-0.28,-0.1,-0.08
1991-03-01,-0.0,0.13,0.14
1991-04-01,-0.03,-0.09,-0.1
1991-05-01,-0.11,-0.01,0.02
1991-06-01,-0.07,0.07,0.08
1991-07-01,0.27,0.06,0.03
1991-08-01,-0.08,-0.05,-0.04
1991-09-01,-0.19,-0.18,-0.16
1991-10-01,0.01,-0.1,-0.1
1991-11-01,-0.11,-0.05,-0.04
1991-12-01,0.07,-0.05,-0.06
1992-01-01,-0.28,-0.16,-0.13
1992-02-01,0.07,0.2,0.21
1992-03-01,0.25,0.07,0.03
1992-04-01,-0.22,0.0,0.03
1992-05-01,0.04,0.02,0.03
1992-06-01,0.15,-0.06,-0.08
1992-07-01,-0.27,-0.17,-0.14
1992-08-01,-0.17,-0.15,-0.13
1992-09-01,-0.11,-0.11,-0.11
1992-10-01,-0.05,-0.12,-0.12
1992-11-01,0.13,0.26,0.25
1992-12-01,-0.07,0.08,0.09
1993-01-01,0.03,-0.1,-0.11
1993-02-01,-0.13,-0.15,-0.14
1993-03-01,0.06,-0.15,-0.18
1993-04-01,-0.07,0.04,0.05
1993-05-01,-0.09,-0.07,-0.05
1993-06-01,-0.01,0.01,-0.01
1993-07-01,0.01,-0.06,-0.05
1993-08-01,0.01,0.05,0.05
1993-09-01,-0.14,-0.16,-0.15
1993-10-01,0.08,0.01,0.0
1993-11-01,0.04,0.07,0.07
1993-12-01,-0.14,0.04,0.07
1994-01-01,0.19,0.07,0.04
1994-02-01,-0.05,-0.06,-0.05
1994-03-01,0.47,0.28,0.23
1994-04-01,-0.05,0.26,0.28
1994-05-01,0.02,-0.01,-0.02
1994-06-01,0.18,0.06,0.04
1994-07-01,-0.14,0.08,0.11
1994-08-01,0.0,-0.13,-0.16
1994-09-01,-0.04,0.03,0.03
1994-10-01,0.25,0.21,0.19
1994-11-01,0.08,0.11,0.11
1994-12-01,0.33,0.08,0.03
1995-01-01,-0.21,0.02,0.05
1995-02-01,-0.14,-0.11,-0.1
1995-03-01,-0.09,-0.19,-0.19
1995-04-01,-0.01,-0.05,-0.05
1995-05-01,0.0,-0.17,-0.19
1995-06-01,-0.41,-0.36,-0.31
1995-07-01,0.2,0.08,0.07
1995-08-01,0.01,0.09,0.09
1995-09-01,-0.06,-0.06,-0.05
1995-10-01,-0.08,-0.05,-0.05
1995-11-01,-0.15,-0.07,-0.05
1995-12-01,-0.23,-0.19,-0.18
1996-01-01,0.25,0.06,0.04
1996-02-01,-0.08,-0.03,-0.01
1996-03-01,-0.3,0.06,0.1
1996-04-01,0.52,0.21,0.15
1996-05-01,0.11,0.16,0.16
1996-06-01,-0.02,0.09,0.09
1996-07-01,-0.08,-0.1,-0.11
1996-08-01,-0.04,-0.01,0.0
1996-09-01,0.03,0.09,0.09
1996-10-01,0.05,-0.07,-0.08
1996-11-01,-0.08,-0.09,-0.08
1996-12-01,-0.14,-0.15,-0.15
1997-01-01,0.19,0.21,0.2
1997-02-01,-0.03,-0.01,-0.01
1997-03-01,0.1,0.04,0.02
1997-04-01,-0.0,0.11,0.12
1997-05-01,-0.1,-0.08,-0.07
1997-06-01,0.07,-0.01,-0.01
1997-07-01,-0.11,-0.1,-0.1
1997-08-01,-0.12,-0.07,-0.06
1997-09-01,0.04,0.02,0.0
1997-10-01,-0.03,-0.04,-0.03
1997-11-01,-0.06,-0.03,-0.02
1997-12-01,0.0,-0.08,-0.1
1998-01-01,-0.18,-0.07,-0.04
1998-02-01,-0.14,-0.06,-0.04
1998-03-01,0.25,0.07,0.03
1998-04-01,-0.14,-0.04,-0.02
1998-05-01,-0.08,0.03,0.05
1998-06-01,-0.18,-0.07,-0.06
1998-07-01,0.27,0.04,0.01
1998-08-01,-0.02,-0.01,-0.01
1998-09-01,-0.18,-0.19,-0.18
1998-10-01,-0.17,-0.34,-0.33
1998-11-01,-0.01,0.13,0.14
1998-12-01,-0.08,-0.04,-0.04
1999-01-01,0.13,0.09,0.09
1999-02-01,0.02,0.04,0.04
1999-03-01,0.29,0.2,0.16
1999-04-01,-0.01,0.01,0.01
1999-05-01,0.04,0.05,0.05
1999-06-01,-0.4,0.05,0.09
1999-07-01,0.45,0.11,0.07
1999-08-01,0.01,0.05,0.05
1999-09-01,-0.12,0.02,0.04
1999-10-01,0.19,0.06,0.04
1999-11-01,0.11,0.03,0.01
