date,Initial Claims Period Chg,Initial Claims - 4 Week Average Period Chg,Continuing Claims Period Chg,Continuing Claims - 4 Week Average Period Chg,Insured Unemployment Rate Period Chg
1967-01-14,-0.48,,-1.32,,
1967-01-21,4.83,,0.0,,
1967-01-28,-5.99,,-1.43,,
1967-02-04,5.88,0.96,2.54,-0.07,
1967-02-11,6.02,2.61,1.95,0.76,
1967-02-18,0.0,1.39,1.21,1.07,
1967-02-25,5.68,4.33,2.74,2.11,
1967-03-04,28.1,10.26,3.0,2.24,
1967-03-11,-22.26,1.19,-0.08,1.7,
1967-03-18,1.66,1.57,0.16,1.43,
1967-03-25,0.82,0.48,2.59,1.41,
1967-04-01,4.86,-4.89,1.81,1.13,
1967-04-08,-0.77,1.61,-1.39,0.78,
1967-04-15,16.34,5.36,0.39,0.83,
1967-04-22,-18.06,-0.19,-0.08,0.18,
1967-04-29,4.08,-0.38,0.7,-0.1,
1967-05-06,-0.39,-0.28,1.71,0.68,
1967-05-13,-9.06,-6.46,-1.83,0.12,
1967-05-20,-0.43,-1.52,-1.48,-0.23,
1967-05-27,-0.87,-2.78,-0.95,-0.64,
1967-06-03,8.77,-0.64,0.96,-0.84,
1967-06-10,-4.03,0.75,-1.11,-0.65,
1967-06-17,-5.88,-0.64,-0.24,-0.34,
1967-06-24,-2.68,-1.07,-2.24,-0.66,
1967-07-01,-4.13,-4.2,-2.21,-1.44,
1967-07-08,14.83,0.22,4.61,-0.06,
1967-07-15,0.42,1.91,0.8,0.2,
1967-07-22,-0.41,2.42,-0.48,0.65,
1967-07-29,-12.92,0.0,2.24,1.76,
1967-08-05,5.74,-2.04,-3.12,-0.16,
1967-08-12,-8.6,-4.28,-2.02,-0.85,
1967-08-19,6.44,-2.87,-1.07,-1.0,
1967-08-26,-0.93,0.47,-1.83,-2.03,
1967-09-02,2.35,-0.35,2.03,-0.74,
1967-09-09,5.96,3.42,-1.25,-0.54,
1967-09-16,-4.76,0.57,-0.84,-0.48,
1967-09-23,-5.0,-0.45,-0.08,-0.04,
1967-09-30,-2.39,-1.59,-1.78,-0.99,
1967-10-07,13.24,0.0,0.69,-0.51,
1967-10-14,-10.82,-1.62,2.06,0.21,
1967-10-21,8.25,1.65,-1.26,-0.09,
1967-10-28,-7.17,0.35,-1.11,0.09,
1967-11-04,7.25,-1.04,1.29,0.23,
1967-11-11,-3.6,0.93,-2.89,-1.0,
1967-11-18,-7.48,-2.89,-0.79,-0.88,
1967-11-25,-3.54,-1.9,0.79,-0.41,
1967-12-02,2.62,-3.15,0.7,-0.57,
1967-12-09,12.76,0.88,0.26,0.24,
1967-12-16,-7.69,0.74,3.04,1.2,
1967-12-23,7.35,3.45,0.59,1.14,
1967-12-30,-1.37,2.38,-2.34,0.36,
1968-01-06,2.78,0.12,-0.77,0.11,
1968-01-13,0.0,2.09,2.5,-0.02,
1968-01-20,-0.45,0.23,0.34,-0.08,
1968-01-27,-10.41,-2.04,-2.85,-0.21,
1968-02-03,23.23,2.55,1.38,0.32,
1968-02-10,-13.93,-1.36,0.17,-0.25,
1968-02-17,-6.67,-2.86,-2.72,-1.02,
1968-02-24,-1.53,-0.59,1.92,0.17,
1968-03-02,-1.55,-6.41,-1.2,-0.47,
1968-03-09,7.37,-0.76,-0.35,-0.6,
1968-03-16,-6.86,-0.77,-0.35,0.0,
1968-03-23,5.26,0.9,-0.61,-0.63,
1968-03-30,-4.0,0.26,-1.5,-0.7,
1968-04-06,-0.52,-1.65,-3.57,-1.5,
1968-04-13,-10.47,-2.46,0.0,-1.43,
1968-04-20,7.02,-2.25,-1.85,-1.74,
1968-04-27,37.16,8.01,2.64,-0.74,
1968-05-04,-16.73,2.26,-0.74,0.0,
1968-05-11,-7.18,2.83,1.11,0.28,
1968-05-18,2.58,1.91,-1.83,0.28,
1968-05-25,-2.51,-6.68,0.19,-0.32,
1968-06-01,2.58,-1.26,-0.93,-0.37,
1968-06-08,-3.52,-0.25,3.2,0.14,
1968-06-15,1.04,-0.64,-2.37,0.0,
1968-06-22,-2.58,-0.64,-1.03,-0.3,
1968-06-29,2.65,-0.65,-2.08,-0.58,
1968-07-06,10.31,2.86,5.68,0.0,
1968-07-13,-13.08,-1.01,-1.91,0.12,
1968-07-20,-3.23,-1.15,-4.0,-0.63,
1968-07-27,13.89,1.42,0.29,-0.05,
1968-08-03,0.49,-1.02,3.47,-0.59,
1968-08-10,5.83,4.12,1.49,0.28,
1968-08-17,-11.93,1.48,1.75,1.75,
1968-08-24,0.52,-1.46,-1.17,1.35,
1968-08-31,-2.59,-2.22,-2.74,-0.18,
1968-09-07,0.53,-3.67,0.28,-0.48,
1968-09-14,3.17,0.39,-2.16,-1.45,
1968-09-21,-2.05,-0.26,0.29,-1.1,
1968-09-28,-1.05,0.13,0.1,-0.38,
1968-10-05,-2.12,-0.52,1.15,-0.17,
1968-10-12,0.54,-1.18,-1.42,0.02,
1968-10-19,2.69,0.0,-0.96,-0.29,
1968-10-26,-4.71,-0.93,-0.19,-0.36,
1968-11-02,-0.55,-0.54,-0.48,-0.77,
1968-11-09,1.1,-0.41,0.0,-0.41,
1968-11-16,4.92,0.14,4.67,0.99,
1968-11-23,3.65,2.3,-4.93,-0.24,
1968-11-30,-18.59,-2.52,3.23,0.67,
1968-12-07,16.05,0.68,0.66,0.84,
1968-12-14,3.72,0.4,-0.19,-0.36,
1968-12-21,-1.54,-0.94,0.19,0.95,
1968-12-28,16.15,8.28,4.99,1.41,
1969-01-04,-14.8,0.25,0.18,1.28,
1969-01-11,0.53,-0.5,-1.7,0.87,
1969-01-18,0.52,0.0,-2.46,0.2,
1969-01-25,0.52,-3.77,0.47,-0.89,
1969-02-01,5.18,1.7,2.04,-0.44,
1969-02-08,-2.96,0.77,-1.0,-0.25,
1969-02-15,-2.54,0.0,2.48,0.99,
1969-02-22,0.0,-0.13,-2.06,0.34,
1969-03-01,4.69,-0.26,0.55,-0.02,
1969-03-08,-4.98,-0.77,0.09,0.25,
1969-03-15,-1.05,-0.39,-1.73,-0.79,
1969-03-22,-4.23,-1.42,-0.83,-0.48,
1969-03-29,1.1,-2.36,-2.8,-1.31,
1969-04-05,-0.55,-1.21,3.36,-0.54,
1969-04-12,4.4,0.14,-2.42,-0.7,
1969-04-19,-1.58,0.82,-2.38,-1.09,
1969-04-26,-5.35,-0.81,-3.22,-1.17,
1969-05-03,0.0,-0.68,1.11,-1.76,
1969-05-10,3.39,-0.96,1.5,-0.79,
1969-05-17,-2.19,-1.1,-1.08,-0.45,
1969-05-24,0.56,0.42,-0.1,0.35,
1969-05-31,3.89,1.39,-1.79,-0.37,
1969-06-07,2.67,1.23,0.4,-0.65,
1969-06-14,-5.21,0.41,1.81,0.08,
1969-06-21,4.95,1.48,0.2,0.15,
1969-06-28,6.28,2.13,0.89,0.82,
1969-07-05,11.82,4.56,5.0,1.98,
1969-07-12,-7.49,3.49,1.87,1.99,
1969-07-19,-1.9,1.81,-1.83,1.43,
1969-07-26,-6.8,-1.3,3.54,2.09,
1969-08-02,2.08,-3.71,1.44,1.24,
1969-08-09,3.57,-0.87,-2.93,0.02,
1969-08-16,-1.97,-0.88,-2.38,-0.11,
1969-08-23,0.0,0.89,-0.66,-1.14,
1969-08-30,-2.01,-0.13,1.32,-1.2,
1969-09-06,-6.67,-2.64,3.45,0.42,
1969-09-13,14.84,1.29,-2.61,0.35,
1969-09-20,-6.7,-0.51,0.09,0.53,
1969-09-27,-1.03,-0.26,0.28,0.28,
1969-10-04,0.0,1.41,1.57,-0.18,
1969-10-11,3.63,-1.14,-0.27,0.41,
1969-10-18,-0.5,0.51,1.64,0.8,
1969-10-25,3.02,1.53,1.61,1.13,
1969-11-01,-3.41,0.63,0.62,0.9,
1969-11-08,6.57,1.37,0.26,1.02,
1969-11-15,-6.64,-0.25,3.05,1.39,
1969-11-22,10.15,1.48,-1.95,0.48,
1969-11-29,-6.91,0.49,4.58,1.47,
1969-12-06,0.0,-1.09,1.24,1.7,
1969-12-13,9.9,3.06,0.57,1.09,
1969-12-20,4.5,1.78,1.54,1.95,
1969-12-27,-3.88,2.45,4.15,1.89,
1970-01-03,3.14,3.19,2.15,2.11,
1970-01-10,5.22,2.21,1.58,2.34,
1970-01-17,10.74,3.88,1.33,2.27,
1970-01-24,-4.48,3.43,1.24,1.57,
1970-01-31,-6.64,0.9,-0.22,0.97,
1970-02-07,7.11,1.39,0.87,0.8,
1970-02-14,3.52,-0.29,3.44,1.34,
1970-02-21,2.26,1.48,-2.28,0.43,
1970-02-28,-10.7,0.29,1.27,0.8,
1970-03-07,8.26,0.58,0.91,0.81,
1970-03-14,3.44,0.58,0.9,0.19,
1970-03-21,-2.58,-0.67,2.88,1.5,
1970-03-28,4.55,3.27,2.6,1.84,
1970-04-04,-1.09,1.03,2.34,2.19,
1970-04-11,11.72,3.14,0.83,2.14,
1970-04-18,22.62,9.84,4.22,2.5,
1970-04-25,-6.68,5.94,5.75,3.32,
1970-05-02,-4.3,4.69,3.6,3.63,
1970-05-09,-4.79,0.95,1.99,3.84,
1970-05-16,-4.72,-5.16,-0.38,2.65,
1970-05-23,-2.31,-4.06,-0.71,1.09,
1970-05-30,1.69,-2.64,-1.09,-0.05,
1970-06-06,0.0,-1.4,0.55,-0.41,
1970-06-13,-1.0,-0.42,1.93,0.16,
1970-06-20,-0.67,0.0,0.65,0.51,
1970-06-27,-1.69,-0.84,0.11,0.8,
1970-07-04,-4.81,-2.02,-0.7,0.49,
