date,Job Openings: Total Nonfarm Period Chg,Hires: Total Nonfarm Period Chg,Total Separations: Total Nonfarm Period Chg,Quits: Total Nonfarm Period Chg,Layoffs and Discharges: Total Nonfarm Period Chg
2001-01-01,2.87,5.46,11.49,12.6,10.01
2001-02-01,-2.62,-7.32,-10.46,-5.92,-16.44
2001-03-01,-6.57,4.24,6.4,0.03,14.99
2001-04-01,-3.09,-5.86,-2.73,3.57,-11.72
2001-05-01,-4.12,3.96,-0.44,-5.37,7.75
2001-06-01,-1.45,-5.56,-2.62,-3.84,-0.69
2001-07-01,1.97,2.64,2.5,2.4,1.14
2001-08-01,-9.51,-0.4,-0.46,-0.64,-1.32
2001-09-01,1.17,-5.15,-3.19,-7.68,4.77
2001-10-01,-8.94,2.5,5.4,3.4,10.06
2001-11-01,1.83,-3.23,-5.75,-8.41,-2.76
2001-12-01,-2.6,-1.73,-5.86,-0.04,-14.77
2002-01-01,0.6,0.54,5.55,11.18,-0.78
2002-02-01,-7.11,-1.11,-3.67,-9.6,3.72
2002-03-01,5.12,-1.98,-3.51,-3.07,-4.8
2002-04-01,-3.9,4.72,4.69,5.25,3.88
2002-05-01,-0.4,-1.44,-2.91,-3.32,0.56
2002-06-01,-1.3,0.25,1.1,-0.59,2.44
2002-07-01,-1.32,1.58,3.42,1.55,4.32
2002-08-01,4.46,-1.52,-4.12,0.0,-8.52
2002-09-01,-6.14,0.16,1.51,-1.56,5.15
2002-10-01,5.39,-1.66,-3.78,-3.89,-4.3
2002-11-01,1.01,-0.13,0.36,-0.83,0.47
2002-12-01,-9.82,2.11,3.75,4.08,3.24
2003-01-01,8.58,3.37,0.51,-2.88,5.08
2003-02-01,-6.16,-6.8,-1.66,2.51,-4.46
2003-03-01,-4.03,-5.18,-2.5,-3.86,-3.28
2003-04-01,0.29,2.91,-2.02,-4.8,2.51
2003-05-01,5.82,1.7,1.35,0.53,3.7
2003-06-01,3.07,0.09,0.04,1.05,0.19
2003-07-01,-12.06,-0.92,-1.21,-1.9,-0.67
2003-08-01,7.01,0.58,0.39,-3.35,4.85
2003-09-01,-3.1,2.85,-0.73,7.24,-10.64
2003-10-01,6.92,2.15,2.24,2.59,1.92
2003-11-01,0.57,-2.75,-1.03,-0.17,-0.91
2003-12-01,2.71,4.55,1.81,1.37,2.87
2004-01-01,0.29,-1.69,-1.32,-3.68,1.49
2004-02-01,3.15,-2.29,0.68,3.99,-2.55
2004-03-01,-0.2,9.17,5.09,5.47,4.03
2004-04-01,-0.4,-1.43,-2.84,-1.86,-2.66
2004-05-01,5.67,-3.42,-3.42,-4.18,-4.78
2004-06-01,-10.05,0.66,4.44,9.51,-1.41
2004-07-01,14.29,-2.36,-1.39,-1.88,-0.11
2004-08-01,-7.16,2.49,1.57,-0.88,4.72
2004-09-01,7.91,0.98,-0.37,-2.13,2.68
2004-10-01,3.19,1.72,-2.05,0.75,-6.12
2004-11-01,-11.95,0.62,7.27,9.37,7.04
2004-12-01,17.34,-0.54,-3.31,-3.37,-4.22
2005-01-01,-6.63,0.93,1.63,1.37,2.92
2005-02-01,4.23,1.44,0.59,-2.96,2.99
2005-03-01,1.99,-0.06,3.21,3.62,5.8
2005-04-01,2.84,1.69,-4.58,-0.22,-10.56
2005-05-01,-8.7,-1.7,2.24,0.8,3.27
2005-06-01,6.98,1.99,-0.29,-0.33,-0.3
2005-07-01,4.78,-0.89,-2.92,-0.69,-5.81
2005-08-01,-2.68,1.52,5.34,8.12,0.37
2005-09-01,5.07,1.55,3.72,3.01,6.67
2005-10-01,-3.86,-6.72,-6.61,-6.01,-7.82
2005-11-01,1.53,4.29,-0.83,1.12,-5.55
2005-12-01,0.8,-0.94,3.3,-1.59,8.71
2006-01-01,2.69,-0.43,-2.13,3.37,-7.23
2006-02-01,-1.64,3.85,3.4,0.68,5.49
2006-03-01,9.41,0.91,0.19,-0.3,0.32
2006-04-01,1.23,-5.59,-3.57,-6.02,-1.85
2006-05-01,-6.83,5.43,7.38,8.06,7.45
2006-06-01,3.38,-0.78,-2.89,1.33,-8.74
2006-07-01,-4.77,2.16,1.23,0.16,2.37
2006-08-01,7.19,-3.59,-2.57,0.3,-4.57
2006-09-01,0.57,-1.58,-1.9,-5.5,3.15
2006-10-01,-3.08,1.65,3.73,3.29,3.66
2006-11-01,1.18,2.23,1.12,2.01,1.48
2006-12-01,-0.54,-5.11,-3.94,-1.45,-8.0
2007-01-01,3.1,4.07,2.43,-1.43,8.47
2007-02-01,-1.34,-4.9,-2.11,-0.78,-3.75
2007-03-01,5.6,6.18,1.63,2.18,1.73
