date,U-1 Unemployed 15+ Weeks as % of Labor Force Period Chg,U-2 Job Losers as % of Labor Force Period Chg,U-4 + Discouraged Workers Period Chg,U-5 + Other Marginally Attached Period Chg,Unemployed Less Than 5 Weeks (000s) Period Chg,Unemployed 5-14 Weeks (000s) Period Chg,Unemployed 15-26 Weeks (000s) Period Chg,Total Unemployed (000s) Period Chg,Average Duration of Unemployment (Weeks) Period Chg,Civilian Labor Force Level (000s) Period Chg,Labor Force Participation Rate Period Chg,Employment-Population Ratio Period Chg,Average Weekly Hours - All Employees Period Chg,Average Hourly Earnings - Production Workers Period Chg,Hires: Total Nonfarm Period Chg,Total Separations: Total Nonfarm Period Chg,Quits: Total Nonfarm Period Chg,Layoffs and Discharges: Total Nonfarm Period Chg,Job Openings Rate Period Chg,Total Separations Rate Period Chg,Layoffs and Discharges Rate Period Chg,Multiple Jobholders (000s) Period Chg,Multiple Jobholders as % of Employed Period Chg,Part-Time for Economic Reasons (000s) Period Chg,Aggregate Weekly Payrolls Index Period Chg,Temp Help Services Employment (000s) Period Chg,Continuing Claims Period Chg,Continuing Claims - 4 Week Average Period Chg,Insured Unemployment Rate Period Chg
1948-02-01,0.0,,,,15.91,33.53,-11.48,14.45,-5.62,0.71,0.3,0.1,,,,,,,,,,,,,,,,,
1948-03-01,0.0,,,,-7.12,22.6,12.35,3.05,3.57,-0.75,-0.4,-0.6,,,,,,,,,,,,,,,,,
1948-04-01,0.0,,,,14.23,-16.39,18.13,-0.54,-2.3,1.01,0.5,0.6,,,,,,,,,,,,,,,,,
1948-05-01,0.0,,,,-21.56,-3.31,2.33,-11.23,7.06,-1.16,-0.7,-0.5,,,,,,,,,,,,,,,,,
1948-06-01,0.0,,,,12.3,-8.94,-7.27,4.53,-3.3,1.64,0.9,0.8,,,,,,,,,,,,,,,,,
1948-07-01,0.0,,,,-2.18,5.24,-7.84,-0.05,-2.27,0.37,0.1,0.1,,,,,,,,,,,,,,,,,
1948-08-01,0.0,,,,20.02,-8.09,8.51,6.19,2.33,-0.61,-0.4,-0.5,,,,,,,,,,,,,,,,,
1948-09-01,0.0,,,,-17.6,28.43,-16.18,-2.04,-3.41,0.01,0.0,0.0,,,,,,,,,,,,,,,,,
1948-10-01,0.0,,,,-2.81,-13.7,9.94,-1.87,11.76,-0.28,-0.2,-0.1,,,,,,,,,,,,,,,,,
1948-11-01,0.0,,,,3.39,4.12,-0.53,1.15,-17.89,0.09,0.0,0.0,,,,,,,,,,,,,,,,,
1948-12-01,0.0,,,,14.47,2.05,10.16,6.3,3.85,0.77,0.4,0.3,,,,,,,,,,,,,,,,,
1949-01-01,0.0,,,,5.45,2.73,2.43,6.88,1.23,-0.65,-0.4,-0.6,,,,,,,,,,,,,,,,,
1949-02-01,0.1,,,,6.16,24.34,15.64,9.75,1.22,0.47,0.3,0.0,,,,,,,,,,,,,,,,,
1949-03-01,0.1,,,,1.75,15.3,22.13,6.35,0.0,0.03,-0.1,-0.2,,,,,,,,,,,,,,,,,
1949-04-01,0.1,,,,1.29,14.24,9.06,7.59,6.02,-0.11,-0.1,-0.3,,,,,,,,,,,,,,,,,
1949-05-01,0.2,,,,14.04,6.49,26.15,13.71,3.41,0.41,0.2,-0.3,,,,,,,,,,,,,,,,,
1949-06-01,0.2,,,,-8.23,12.67,10.98,1.86,9.89,-0.51,-0.4,-0.4,,,,,,,,,,,,,,,,,
1949-07-01,0.2,,,,7.11,0.36,18.46,8.87,8.0,0.58,0.3,0.0,,,,,,,,,,,,,,,,,
1949-08-01,0.1,,,,1.19,4.4,7.24,1.99,1.85,0.47,0.3,0.1,,,,,,,,,,,,,,,,,
1949-09-01,0.1,,,,-11.9,2.31,6.92,-3.43,6.36,0.07,-0.1,0.2,,,,,,,,,,,,,,,,,
1949-10-01,0.0,,,,41.25,-8.03,2.27,21.41,-6.84,0.9,0.5,-0.4,,,,,,,,,,,,,,,,,
1949-11-01,0.1,,,,-25.09,-10.32,-0.95,-18.71,6.42,-0.29,-0.2,0.7,,,,,,,,,,,,,,,,,
1949-12-01,-0.1,,,,0.06,12.72,-11.82,1.68,1.72,-0.16,-0.2,-0.3,,,,,,,,,,,,,,,,,
1950-01-01,-0.1,,,,1.83,-10.29,-0.54,-0.91,-4.24,-0.4,-0.3,-0.2,,,,,,,,,,,,,,,,,
1950-02-01,0.0,,,,-10.11,6.13,-1.46,-2.24,4.42,0.04,0.0,0.0,,,,,,,,,,,,,,,,,
1950-03-01,0.0,,,,-6.06,-0.3,-9.43,-1.52,5.08,-0.13,-0.1,0.0,,,,,,,,,,,,,,,,,
1950-04-01,0.0,,,,-2.06,-15.27,-8.16,-7.77,1.61,0.9,0.4,0.7,,,,,,,,,,,,,,,,,
1950-05-01,-0.1,,,,-0.54,-10.21,5.56,-3.94,0.79,-0.12,-0.1,0.0,,,,,,,,,,,,,,,,,
1950-06-01,0.0,,,,0.27,7.81,-6.32,-1.95,3.15,0.54,0.3,0.4,,,,,,,,,,,,,,,,,
1950-07-01,-0.2,,,,-3.88,-12.39,-3.15,-7.34,-4.58,-0.48,-0.3,-0.1,,,,,,,,,,,,,,,,,
1950-08-01,-0.2,,,,-11.34,-0.21,-22.27,-10.29,-2.4,0.76,0.4,0.7,,,,,,,,,,,,,,,,,
1950-09-01,0.0,,,,1.68,-6.82,4.48,-0.89,0.0,-0.39,-0.3,-0.2,,,,,,,,,,,,,,,,,
1950-10-01,-0.1,,,,-0.79,-15.32,-24.0,-5.37,0.82,0.13,0.2,0.3,,,,,,,,,,,,,,,,,
1950-11-01,-0.1,,,,7.29,0.4,-7.14,-1.37,-13.01,-0.23,-0.1,0.0,,,,,,,,,,,,,,,,,
1950-12-01,0.0,,,,7.75,-3.97,7.29,1.93,0.0,-0.35,-0.1,-0.2,,,,,,,,,,,,,,,,,
1951-01-01,-0.1,,,,-23.58,-5.24,-2.26,-12.66,-0.93,-0.2,-0.1,0.2,,,,,,,,,,,,,,,,,
1951-02-01,-0.1,,,,-0.72,-11.5,-27.41,-8.16,1.89,-0.26,0.0,0.1,,,,,,,,,,,,,,,,,
1951-03-01,0.0,,,,9.76,-8.22,7.45,0.38,-6.48,1.21,0.7,0.7,,,,,,,,,,,,,,,,,
1951-04-01,-0.1,,,,-4.53,-9.86,-23.76,-9.69,4.95,-1.15,-0.7,-0.4,,,,,,,,,,,,,,,,,
1951-05-01,-0.1,,,,-3.02,-2.58,-9.74,-3.28,-6.6,0.38,0.3,0.3,,,,,,,,,,,,,,,,,
1951-06-01,0.0,,,,0.0,33.88,2.88,7.49,-12.12,-0.69,-0.4,-0.5,,,,,,,,,,,,,,,,,
1951-07-01,0.0,,,,5.16,-26.83,-6.99,-2.26,5.75,0.8,0.4,0.5,,,,,,,,,,,,,,,,,
1951-08-01,0.0,,,,0.08,8.75,-0.75,-0.87,-1.09,-0.29,-0.2,-0.2,,,,,,,,,,,,,,,,,
1951-09-01,0.0,,,,9.29,5.17,-20.45,6.93,0.0,-0.24,-0.1,-0.3,,,,,,,,,,,,,,,,,
1951-10-01,0.0,,,,-1.16,14.21,61.9,6.14,-2.2,0.69,0.3,0.2,,,,,,,,,,,,,,,,,
1951-11-01,0.1,,,,-3.6,0.48,-5.29,-0.73,8.99,-0.31,-0.2,-0.2,,,,,,,,,,,,,,,,,
1951-12-01,-0.1,,,,-7.7,-9.68,3.11,-10.01,-4.12,0.71,0.4,0.6,,,,,,,,,,,,,,,,,
1952-01-01,0.1,,,,-6.33,-3.51,7.23,0.61,0.0,-0.04,-0.1,0.0,,,,,,,,,,,,,,,,,
1952-02-01,-0.1,,,,10.79,-1.46,-10.11,-0.76,-5.38,-0.02,0.0,0.0,,,,,,,,,,,,,,,,,
