date,Multiple Jobholders (000s) Period Chg,Multiple Jobholders as % of Employed Period Chg,Part-Time for Economic Reasons (000s) Period Chg,Aggregate Weekly Payrolls Index Period Chg,Temp Help Services Employment (000s) Period Chg,Initial Claims - 4 Week Average Period Chg,Layoffs and Discharges Rate Period Chg
1955-06-01,,,-3.93,,,,
1955-07-01,,,7.11,,,,
1955-08-01,,,3.77,,,,
1955-09-01,,,-3.18,,,,
1955-10-01,,,-1.88,,,,
1955-11-01,,,5.06,,,,
1955-12-01,,,-2.27,,,,
1956-01-01,,,0.0,,,,
1956-02-01,,,-2.89,,,,
1956-03-01,,,-5.13,,,,
1956-04-01,,,3.59,,,,
1956-05-01,,,6.97,,,,
1956-06-01,,,6.24,,,,
1956-07-01,,,-1.89,,,,
1956-08-01,,,2.89,,,,
1956-09-01,,,1.95,,,,
1956-10-01,,,0.75,,,,
1956-11-01,,,-0.12,,,,
1956-12-01,,,-4.47,,,,
1957-01-01,,,-1.0,,,,
1957-02-01,,,6.26,,,,
1957-03-01,,,0.37,,,,
1957-04-01,,,-6.24,,,,
1957-05-01,,,4.12,,,,
1957-06-01,,,4.16,,,,
1957-07-01,,,-1.09,,,,
1957-08-01,,,-0.37,,,,
1957-09-01,,,1.8,,,,
1957-10-01,,,6.32,,,,
1957-11-01,,,0.08,,,,
1957-12-01,,,2.61,,,,
1958-01-01,,,21.35,,,,
1958-02-01,,,4.44,,,,
1958-03-01,,,15.57,,,,
1958-04-01,,,-5.77,,,,
1958-05-01,,,-3.77,,,,
1958-06-01,,,-7.27,,,,
1958-07-01,,,-11.53,,,,
1958-08-01,,,7.55,,,,
1958-09-01,,,-0.38,,,,
1958-10-01,,,-6.22,,,,
1958-11-01,,,-5.52,,,,
1958-12-01,,,0.71,,,,
1959-01-01,,,-2.69,,,,
1959-02-01,,,-8.51,,,,
1959-03-01,,,13.16,,,,
1959-04-01,,,-8.92,,,,
1959-05-01,,,-9.22,,,,
1959-06-01,,,8.07,,,,
1959-07-01,,,4.92,,,,
1959-08-01,,,-2.59,,,,
1959-09-01,,,-3.54,,,,
1959-10-01,,,8.9,,,,
1959-11-01,,,2.53,,,,
1959-12-01,,,-2.32,,,,
1960-01-01,,,-8.3,,,,
1960-02-01,,,2.31,,,,
1960-03-01,,,-6.24,,,,
1960-04-01,,,15.14,,,,
1960-05-01,,,-1.3,,,,
1960-06-01,,,6.26,,,,
1960-07-01,,,-2.55,,,,
1960-08-01,,,3.64,,,,
1960-09-01,,,4.71,,,,
1960-10-01,,,-0.07,,,,
1960-11-01,,,1.63,,,,
1960-12-01,,,5.96,,,,
1961-01-01,,,3.72,,,,
1961-02-01,,,3.88,,,,
1961-03-01,,,-6.63,,,,
1961-04-01,,,-0.9,,,,
1961-05-01,,,-0.79,,,,
1961-06-01,,,-3.61,,,,
1961-07-01,,,-3.68,,,,
1961-08-01,,,3.86,,,,
1961-09-01,,,-5.58,,,,
1961-10-01,,,-2.12,,,,
1961-11-01,,,-1.3,,,,
1961-12-01,,,-8.0,,,,
1962-01-01,,,-9.57,,,,
1962-02-01,,,9.99,,,,
1962-03-01,,,5.78,,,,
1962-04-01,,,-6.72,,,,
1962-05-01,,,6.16,,,,
1962-06-01,,,-2.65,,,,
1962-07-01,,,2.83,,,,
1962-08-01,,,-4.82,,,,
1962-09-01,,,1.87,,,,
1962-10-01,,,1.08,,,,
1962-11-01,,,0.37,,,,
1962-12-01,,,-5.12,,,,
1963-01-01,,,1.48,,,,
1963-02-01,,,-2.03,,,,
1963-03-01,,,3.32,,,,
1963-04-01,,,-0.04,,,,
1963-05-01,,,-2.76,,,,
1963-06-01,,,2.18,,,,
1963-07-01,,,-5.52,,,,
1963-08-01,,,10.39,,,,
1963-09-01,,,-0.62,,,,
1963-10-01,,,-2.79,,,,
1963-11-01,,,-0.91,,,,
1963-12-01,,,-1.64,,,,
1964-01-01,,,-5.89,,,,
1964-02-01,,,5.72,,,,
1964-03-01,,,-3.9,,,,
1964-04-01,,,3.85,,,,
1964-05-01,,,-0.9,,,,
1964-06-01,,,-2.17,,,,
1964-07-01,,,-4.63,,,,
1964-08-01,,,0.0,,,,
1964-09-01,,,3.63,,,,
1964-10-01,,,-0.81,,,,
1964-11-01,,,-2.79,,,,
1964-12-01,,,4.01,,,,
1965-01-01,,,-3.21,,,,
1965-02-01,,,-3.32,,,,
1965-03-01,,,-0.35,,,,
1965-04-01,,,-2.87,,,,
1965-05-01,,,1.26,,,,
1965-06-01,,,-3.9,,,,
1965-07-01,,,5.48,,,,
1965-08-01,,,-1.31,,,,
1965-09-01,,,-10.62,,,,
1965-10-01,,,7.38,,,,
1965-11-01,,,-4.2,,,,
1965-12-01,,,-1.93,,,,
1966-01-01,,,2.16,,,,
1966-02-01,,,-9.47,,,,
1966-03-01,,,1.11,,,,
1966-04-01,,,0.16,,,,
1966-05-01,,,0.79,,,,
1966-06-01,,,13.62,,,,
1966-07-01,,,-2.61,,,,
1966-08-01,,,-8.74,,,,
1966-09-01,,,-4.43,,,,
1966-10-01,,,0.05,,,,
1966-11-01,,,-6.41,,,,
1966-12-01,,,15.48,,,,
1967-01-01,,,8.72,,,,
1967-02-01,,,6.42,,,,
1967-02-04,,,,,,0.96,
1967-02-11,,,,,,2.61,
1967-02-18,,,,,,1.39,
1967-02-25,,,,,,4.33,
1967-03-01,,,-0.6,,,,
1967-03-04,,,,,,10.26,
1967-03-11,,,,,,1.19,
1967-03-18,,,,,,1.57,
1967-03-25,,,,,,0.48,
1967-04-01,,,2.86,,,-4.89,
1967-04-08,,,,,,1.61,
1967-04-15,,,,,,5.36,
1967-04-22,,,,,,-0.19,
1967-04-29,,,,,,-0.38,
1967-05-01,,,-22.7,,,,
1967-05-06,,,,,,-0.28,
1967-05-13,,,,,,-6.46,
1967-05-20,,,,,,-1.52,
1967-05-27,,,,,,-2.78,
1967-06-01,,,14.17,,,,
1967-06-03,,,,,,-0.64,
1967-06-10,,,,,,0.75,
1967-06-17,,,,,,-0.64,
1967-06-24,,,,,,-1.07,
1967-07-01,,,-1.58,,,-4.2,
1967-07-08,,,,,,0.22,
1967-07-15,,,,,,1.91,
1967-07-22,,,,,,2.42,
1967-07-29,,,,,,0.0,
1967-08-01,,,0.34,,,,
1967-08-05,,,,,,-2.04,
1967-08-12,,,,,,-4.28,
1967-08-19,,,,,,-2.87,
1967-08-26,,,,,,0.47,
1967-09-01,,,7.93,,,,
1967-09-02,,,,,,-0.35,
1967-09-09,,,,,,3.42,
1967-09-16,,,,,,0.57,
1967-09-23,,,,,,-0.45,
1967-09-30,,,,,,-1.59,
1967-10-01,,,-2.37,,,,
1967-10-07,,,,,,0.0,
1967-10-14,,,,,,-1.62,
1967-10-21,,,,,,1.65,
1967-10-28,,,,,,0.35,
1967-11-01,,,2.16,,,,
1967-11-04,,,,,,-1.04,
1967-11-11,,,,,,0.93,
1967-11-18,,,,,,-2.89,
1967-11-25,,,,,,-1.9,
1967-12-01,,,-4.63,,,,
1967-12-02,,,,,,-3.15,
1967-12-09,,,,,,0.88,
1967-12-16,,,,,,0.74,
1967-12-23,,,,,,3.45,
1967-12-30,,,,,,2.38,
1968-01-01,,,-11.82,,,,
1968-01-06,,,,,,0.12,
1968-01-13,,,,,,2.09,
1968-01-20,,,,,,0.23,
1968-01-27,,,,,,-2.04,
1968-02-01,3.36,,14.95,,,,
1968-02-03,,,,,,2.55,
1968-02-10,,,,,,-1.36,
1968-02-17,,,,,,-2.86,
1968-02-24,,,,,,-0.59,
1968-03-01,-0.87,,-7.9,,,,
1968-03-02,,,,,,-6.41,
1968-03-09,,,,,,-0.76,
1968-03-16,,,,,,-0.77,
1968-03-23,,,,,,0.9,
1968-03-30,,,,,,0.26,
1968-04-01,1.03,,-2.02,,,,
1968-04-06,,,,,,-1.65,
1968-04-13,,,,,,-2.46,
1968-04-20,,,,,,-2.25,
1968-04-27,,,,,,8.01,
1968-05-01,3.33,,-0.51,,,,
1968-05-04,,,,,,2.26,
1968-05-11,,,,,,2.83,
