date,MBA Purchase Index Period Chg,MBA Purchase Index 4-Week Avg Period Chg,MBA Purchase Index 13-Week Avg Period Chg
1990-01-12,3.87,,
1990-01-19,21.49,,
1990-01-26,3.66,,
1990-02-02,-9.15,4.08,
1990-02-09,-2.2,2.58,
1990-02-16,0.21,-1.98,
1990-02-23,27.19,3.59,
1990-03-02,-19.61,0.06,
1990-03-09,-7.12,-1.13,
1990-03-16,-2.25,-1.7,
1990-03-23,8.77,-6.28,
1990-03-30,2.01,0.19,
1990-04-06,-9.88,-0.55,0.53
1990-04-13,31.72,7.56,2.49
1990-04-20,-28.9,-3.34,-1.58
1990-04-27,2.09,-3.52,-1.76
1990-05-04,-1.69,-1.42,-1.12
1990-05-11,5.28,-7.89,-0.61
1990-05-18,-0.7,1.21,-0.68
1990-05-25,5.05,1.97,-2.44
1990-06-01,12.96,5.73,0.48
1990-06-08,-1.29,3.87,0.94
1990-06-15,-8.02,1.76,0.43
1990-06-22,-11.22,-2.09,-1.07
1990-06-29,5.28,-4.08,-0.88
1990-07-06,14.69,-0.39,1.0
1990-07-13,-14.43,-2.13,-2.55
1990-07-20,2.73,1.42,0.46
1990-07-27,-1.16,-0.08,0.23
1990-08-03,9.47,-1.35,1.05
1990-08-10,9.62,5.26,1.43
1990-08-17,-19.79,-1.14,-0.24
1990-08-24,10.21,1.43,0.1
1990-08-31,-15.44,-4.58,-2.06
1990-09-07,-0.91,-7.55,-2.05
1990-09-14,9.08,0.2,-0.78
1990-09-21,-1.21,-2.7,0.03
1990-09-28,-1.1,1.35,-0.43
1990-10-05,0.37,1.65,-1.52
1990-10-12,2.83,0.21,-0.06
1990-10-19,-24.16,-5.64,-2.09
1990-10-26,12.78,-3.08,-1.29
1990-11-02,11.61,-0.49,-1.3
1990-11-09,2.76,-0.55,-1.95
1990-11-16,-2.93,5.46,-0.26
1990-11-23,-5.15,1.28,-1.48
1990-11-30,22.25,3.95,1.54
1990-12-07,-3.9,2.03,1.24
1990-12-14,4.74,3.96,0.96
1990-12-21,-13.35,1.43,-0.14
1990-12-28,-33.54,-10.95,-2.61
1991-01-04,25.61,-6.81,-1.38
1991-01-11,60.71,5.13,2.42
1991-01-18,-14.44,3.86,2.8
1991-01-25,-11.36,8.84,0.98
1991-02-01,-5.01,3.03,-0.19
1991-02-08,8.48,-6.56,0.23
1991-02-15,9.0,-0.11,1.15
1991-02-22,53.26,17.58,6.03
1991-03-01,-23.4,7.64,1.36
1991-03-08,-11.02,2.76,0.63
1991-03-15,7.49,2.58,0.88
1991-03-22,14.62,-5.04,3.19
1991-03-29,24.32,9.21,7.66
1991-04-05,-28.33,2.02,2.91
1991-04-12,6.54,1.92,0.33
1991-04-19,0.71,-1.08,1.53
1991-04-26,3.27,-6.34,2.53
1991-05-03,-8.73,0.27,2.04
1991-05-10,6.19,0.2,2.0
1991-05-17,3.88,1.0,1.75
1991-05-24,1.78,0.64,-1.41
1991-05-31,7.76,4.89,1.42
1991-06-07,-0.7,3.11,2.14
1991-06-14,-14.43,-1.62,0.42
1991-06-21,-2.37,-2.61,-0.74
1991-06-28,3.17,-3.91,-2.41
1991-07-05,10.05,-1.46,1.08
1991-07-12,-7.98,0.5,-0.03
1991-07-19,16.35,5.12,1.13
1991-07-26,-20.28,-1.41,-0.86
1991-08-02,1.35,-3.52,-0.09
1991-08-09,-3.33,-2.26,-0.77
1991-08-16,-1.38,-6.78,-1.16
1991-08-23,8.18,1.14,-0.76
1991-08-30,1.94,1.31,-1.27
1991-09-06,-5.24,0.73,-1.61
1991-09-13,4.1,2.07,-0.04
1991-09-20,-5.87,-1.34,-0.31
1991-09-27,8.08,0.09,0.04
1991-10-04,-5.68,-0.02,-1.19
1991-10-11,20.73,4.04,1.03
1991-10-18,-14.4,1.24,-1.55
1991-10-25,1.29,-0.32,0.42
1991-11-01,-9.49,-1.22,-0.43
1991-11-08,7.16,-4.53,0.33
1991-11-15,7.15,1.34,0.97
1991-11-22,-6.85,-0.81,-0.17
1991-11-29,-13.29,-1.7,-1.32
1991-12-06,17.07,0.33,0.21
1991-12-13,6.87,0.29,0.44
1991-12-20,-13.64,-1.59,-0.24
1991-12-27,-20.72,-3.19,-2.3
1992-01-03,17.77,-3.71,-0.87
1992-01-10,31.68,1.83,-0.31
1992-01-17,21.85,12.59,3.01
1992-01-24,-3.02,14.81,2.49
1992-01-31,7.96,12.42,3.98
1992-02-07,-7.89,3.75,2.51
1992-02-14,-3.62,-1.77,1.62
1992-02-21,-4.19,-2.03,1.72
1992-02-28,-22.4,-9.28,0.69
1992-03-06,11.95,-5.5,0.47
1992-03-13,3.12,-4.0,0.24
1992-03-20,-5.89,-4.43,0.77
1992-03-27,5.46,3.34,2.44
1992-04-03,-11.7,-2.4,0.69
1992-04-10,5.28,-2.03,-0.76
1992-04-17,33.76,7.85,-0.14
1992-04-24,-23.94,-1.34,-2.0
1992-05-01,-0.54,1.44,-2.8
1992-05-08,1.17,0.54,-2.01
1992-05-15,-0.18,-7.19,-1.72
1992-05-22,3.84,1.07,-1.08
1992-05-29,17.71,5.76,2.29
1992-06-05,-14.32,1.07,0.14
1992-06-12,0.94,1.32,-0.03
1992-06-19,-0.68,0.27,0.37
1992-06-26,-2.3,-4.49,-0.2
1992-07-03,12.1,2.45,1.62
1992-07-10,-11.1,-0.81,0.32
1992-07-17,28.91,6.31,0.07
1992-07-24,-2.71,5.67,2.05
1992-07-31,9.82,5.41,2.94
1992-08-07,-17.56,2.75,1.09
1992-08-14,9.54,-0.9,1.84
1992-08-21,7.02,1.53,2.14
1992-08-28,-4.07,-1.97,0.54
1992-09-04,-3.63,1.91,1.37
1992-09-11,20.3,4.66,2.91
1992-09-18,-11.33,-0.34,1.81
1992-09-25,-14.84,-3.0,0.71
1992-10-02,3.28,-1.48,0.19
1992-10-09,-0.76,-6.6,0.9
1992-10-16,2.36,-2.95,-0.71
1992-10-23,10.65,3.91,0.27
1992-10-30,-0.34,2.91,-0.52
1992-11-06,10.67,5.81,1.83
1992-11-13,-15.31,0.76,-0.19
1992-11-20,6.05,-0.23,-0.28
1992-11-27,-30.16,-7.57,-2.3
1992-12-04,32.39,-5.04,-0.26
1992-12-11,11.68,2.52,-0.96
1992-12-18,-13.09,-2.81,-1.0
1992-12-25,-8.63,3.43,-0.41
1993-01-01,45.82,7.37,2.45
1993-01-08,-31.7,-5.48,-0.6
1993-01-15,3.91,-1.31,-0.51
1993-01-22,0.08,0.8,-1.31
1993-01-29,15.12,-5.88,-0.23
1993-02-05,-2.22,3.98,-1.3
1993-02-12,0.57,3.11,0.15
1993-02-19,37.53,12.64,2.69
1993-02-26,-28.42,-0.75,2.02
1993-03-05,4.24,0.73,0.49
1993-03-12,1.72,1.0,-0.23
1993-03-19,-1.42,-7.82,0.72
1993-03-26,11.88,4.08,2.27
1993-04-02,-0.92,2.69,-0.76
1993-04-09,19.14,7.22,3.8
1993-04-16,-18.72,1.62,1.6
1993-04-23,-0.26,-1.04,1.55
1993-04-30,7.5,0.93,1.17
1993-05-07,-14.62,-7.32,0.11
1993-05-14,5.8,-0.79,0.49
1993-05-21,-1.32,-1.05,-2.19
1993-05-28,4.95,-1.77,0.86
1993-06-04,9.44,4.74,1.3
1993-06-11,-10.14,0.45,0.32
1993-06-18,2.92,1.47,0.63
1993-06-25,-7.44,-1.54,-0.77
1993-07-02,11.1,-1.33,0.09
1993-07-09,7.48,3.4,-0.82
1993-07-16,-10.43,-0.25,0.04
1993-07-23,14.51,5.14,1.17
1993-07-30,-13.67,-1.17,-0.6
1993-08-06,-0.71,-3.18,0.54
1993-08-13,-2.01,-0.93,-0.02
1993-08-20,-2.91,-5.18,-0.13
1993-08-27,5.25,-0.14,-0.12
1993-09-03,12.18,3.13,0.08
1993-09-10,4.27,4.71,1.27
1993-09-17,2.99,6.0,1.3
1993-09-24,-9.57,1.99,1.0
1993-10-01,-2.32,-1.26,0.05
1993-10-08,-3.71,-3.2,-0.81
1993-10-15,7.71,-2.31,0.63
1993-10-22,-2.0,-0.19,-0.6
1993-10-29,-4.19,-0.65,0.22
1993-11-05,6.81,1.93,0.78
1993-11-12,-2.11,-0.46,0.76
1993-11-19,8.25,2.12,1.58
1993-11-26,-28.44,-4.47,-1.12
1993-12-03,33.49,0.32,-0.01
1993-12-10,0.69,1.06,-0.29
1993-12-17,-7.92,-3.14,-1.18
1993-12-24,-30.24,-2.77,-2.62
1993-12-31,22.88,-5.73,-1.28
