date,Xactus Mortgage Intent Index Period Chg,Xactus MII 4-Week Avg Period Chg,Xactus MII 13-Week Avg Period Chg
2024-01-12,28.82,,
2024-01-19,-7.75,,
2024-01-26,10.16,,
2024-02-02,3.1,7.31,
2024-02-09,6.17,2.81,
2024-02-16,-9.51,2.05,
2024-02-23,2.09,0.27,
2024-03-01,4.25,0.55,
2024-03-08,7.01,0.8,
2024-03-15,-3.03,2.48,
2024-03-22,0.0,1.93,
2024-03-29,-6.32,-0.68,
2024-04-05,0.78,-2.2,2.04
2024-04-12,4.31,-0.4,0.69
2024-04-19,0.3,-0.32,1.27
2024-04-26,-3.09,0.53,0.35
2024-05-03,0.99,0.58,0.19
2024-05-10,-1.2,-0.76,-0.36
2024-05-17,-4.64,-1.99,0.04
2024-05-24,-2.31,-1.78,-0.28
2024-05-31,-13.81,-5.37,-1.57
2024-06-07,22.46,-0.45,-0.75
2024-06-14,-0.46,0.69,-0.53
2024-06-21,-7.31,-0.67,-1.1
2024-06-28,6.12,4.35,-0.14
2024-07-05,-25.77,-7.01,-2.18
2024-07-12,31.84,-1.03,-0.72
2024-07-19,-3.8,-0.03,-1.04
2024-07-26,2.69,-0.91,-0.6
2024-08-02,0.9,6.43,-0.6
2024-08-09,8.02,1.94,0.12
2024-08-16,-2.4,2.22,0.31
2024-08-23,-0.85,1.31,0.42
2024-08-30,0.78,1.28,1.54
2024-09-06,-6.69,-2.3,-0.48
2024-09-13,18.22,2.61,0.92
2024-09-20,3.84,3.8,1.84
2024-09-27,-2.62,2.76,1.12
2024-10-04,-3.79,3.26,2.74
2024-10-11,-7.31,-2.44,0.32
2024-10-18,-3.79,-4.36,0.31
2024-10-25,-0.24,-3.88,0.11
2024-11-01,-8.38,-4.99,-0.57
2024-11-08,1.58,-2.82,-1.04
2024-11-15,2.86,-1.16,-0.67
2024-11-22,0.25,-1.06,-0.59
2024-11-29,-37.53,-8.42,-3.32
2024-12-06,59.27,0.7,-0.18
2024-12-13,-4.81,-1.39,-1.89
2024-12-20,-10.82,-4.36,-3.05
2024-12-27,-45.92,-4.92,-5.9
2025-01-03,63.42,-7.66,-3.5
2025-01-10,53.99,6.76,0.54
2025-01-17,-2.48,8.64,0.65
2025-01-24,-11.24,15.49,-0.4
2025-01-31,12.74,9.35,1.42
2025-02-07,4.79,0.6,1.72
2025-02-14,-4.71,-0.02,1.0
2025-02-21,-1.12,2.54,0.88
2025-02-28,9.4,1.99,4.73
2025-03-07,4.99,2.1,2.13
2025-03-14,-0.53,3.08,2.4
2025-03-21,-1.73,2.8,2.93
2025-03-28,1.82,1.09,5.79
2025-04-04,1.72,0.32,3.66
2025-04-11,-3.19,-0.36,0.63
2025-04-18,-6.4,-1.51,0.3
2025-04-25,-3.24,-2.76,0.87
2025-05-02,3.57,-2.45,0.31
2025-05-09,2.58,-0.99,0.16
2025-05-16,-4.83,-0.54,0.14
2025-05-23,-2.13,-0.25,0.06
2025-05-30,-15.25,-4.81,-1.69
2025-06-06,21.63,-1.08,-0.78
2025-06-13,-3.21,-0.62,-0.98
2025-06-20,-8.51,-2.24,-1.47
2025-06-27,7.49,3.53,-1.13
2025-07-04,-16.39,-5.37,-2.51
2025-07-11,25.09,0.77,-0.7
2025-07-18,-0.66,2.85,-0.19
2025-07-25,-3.24,0.14,-0.19
2025-08-01,-1.98,3.8,-0.62
2025-08-08,4.66,-0.35,-0.49
2025-08-15,-0.3,-0.26,-0.1
2025-08-22,-3.57,-0.34,-0.22
2025-08-29,-2.63,-0.49,0.79
2025-09-05,-7.69,-3.49,-1.23
2025-09-12,22.77,1.7,0.61
2025-09-19,-0.49,2.47,1.23
2025-09-26,-5.98,1.44,0.18
2025-10-03,-2.84,2.53,1.21
2025-10-10,-0.92,-2.6,-0.46
2025-10-17,0.39,-2.42,-0.38
2025-10-24,-0.08,-0.89,-0.13
2025-10-31,-1.08,-0.42,-0.05
2025-11-07,6.19,1.34,0.05
2025-11-14,-3.24,0.38,-0.18
2025-11-21,-1.07,0.13,0.02
2025-11-28,-39.37,-9.35,-2.78
2025-12-05,54.13,-3.0,0.29
2025-12-12,-2.97,-2.92,-1.52
2025-12-19,-9.43,-5.19,-2.17
2025-12-26,-47.56,-5.36,-4.87
2026-01-02,46.51,-9.81,-3.15
2026-01-09,76.56,7.42,1.08
2026-01-16,4.63,11.49,1.48
2026-01-23,-12.1,17.78,0.26
2026-01-30,-3.76,9.02,0.02
2026-02-06,6.88,-1.39,0.09
2026-02-13,2.19,-2.1,0.57
2026-02-20,0.57,1.41,0.71
2026-02-27,9.17,4.68,4.87
2026-03-06,3.65,3.9,2.35
2026-03-13,-2.45,2.6,2.28
2026-03-20,-5.93,0.89,2.34
2026-03-27,-1.99,-1.69,5.05
2026-04-03,-3.35,-3.45,3.11
2026-04-10,1.52,-2.54,-0.22
2026-04-17,3.99,0.0,-0.29
