date,New Single-Family Homes Sold (SAAR) Period Chg,Median Sales Price - New Homes Period Chg,Average Sales Price - New Homes Period Chg,Months Supply of New Houses Period Chg,New Houses For Sale (SAAR) Period Chg
1963-02-01,-21.49,2.91,,40.43,1.28
1963-03-01,-0.65,2.82,,-3.03,1.68
1963-04-01,31.24,0.0,,-17.19,1.65
1963-05-01,-3.14,-3.85,,-3.77,0.81
1963-06-01,-10.24,2.86,,17.65,2.02
1963-07-01,26.43,2.22,,-23.33,0.4
1963-08-01,-14.29,-3.26,,21.74,3.94
1963-09-01,3.51,0.56,,-3.57,-2.65
1963-10-01,-3.9,-1.68,,9.26,6.61
1963-11-01,2.12,4.55,,-6.78,-5.84
1963-12-01,-11.23,1.63,,10.91,2.33
1964-01-01,6.81,-4.81,,-4.92,-1.14
1964-02-01,10.93,1.12,,-5.17,0.38
1964-03-01,-7.72,5.56,,5.45,0.38
1964-04-01,-0.53,-1.05,,3.45,-1.14
1964-05-01,-6.44,2.66,,3.33,2.31
1964-06-01,10.9,-2.59,,-8.06,-0.75
1964-07-01,-0.86,1.6,,-3.51,-0.38
1964-08-01,1.22,-1.05,,-1.82,-1.9
1964-09-01,1.37,0.0,,0.0,-0.78
1964-10-01,-1.19,0.0,,-1.85,-1.17
1964-11-01,-6.0,2.12,,5.66,-1.58
1964-12-01,-1.46,8.81,,-1.79,0.4
1965-01-01,-1.3,-1.43,,1.82,-0.8
1965-02-01,4.88,-1.45,,-1.79,1.21
1965-03-01,-0.54,-2.94,,-1.82,-3.19
1965-04-01,-0.18,0.51,,3.7,-0.41
1965-05-01,-1.98,-1.51,,-5.36,-1.65
1965-06-01,12.87,1.02,,-11.32,-1.26
1965-07-01,-9.77,6.06,,10.64,0.0
1965-08-01,11.01,-3.81,,-11.54,-1.28
1965-09-01,-4.55,-2.97,,6.52,-0.43
1965-10-01,-5.45,1.53,,2.04,-1.73
1965-11-01,10.99,3.52,,-8.0,1.76
1965-12-01,-1.14,-1.46,,-4.35,-2.16
1966-01-01,-1.64,4.43,,6.82,0.88
1966-02-01,-9.68,-1.42,,4.26,-1.75
1966-03-01,2.96,-0.48,,2.04,0.45
1966-04-01,-2.15,10.58,,2.0,-1.78
1966-05-01,-8.44,-3.04,,3.92,-2.26
1966-06-01,-13.03,-4.93,,13.21,-0.93
1966-07-01,0.23,2.83,,-1.67,-1.87
1966-08-01,-13.33,-5.05,,15.25,-0.95
1966-09-01,-5.04,7.25,,5.88,0.0
1966-10-01,8.1,-6.31,,-12.5,-4.33
1966-11-01,-1.29,4.33,,-1.59,-3.02
1966-12-01,-3.4,0.0,,1.61,0.52
1967-01-01,12.74,2.3,,-9.52,-0.52
1967-02-01,-1.92,0.9,,0.0,0.52
1967-03-01,7.6,0.0,,-5.26,-1.55
1967-04-01,9.11,-0.45,,-9.26,-2.09
1967-05-01,5.01,6.28,,-8.16,0.0
1967-06-01,-0.8,0.84,,2.22,1.07
1967-07-01,3.21,-2.51,,-4.35,-2.65
1967-08-01,-2.14,-6.87,,0.0,-1.63
1967-09-01,5.36,5.07,,-2.27,1.66
1967-10-01,6.59,-2.19,,-4.65,2.17
1967-11-01,-11.66,3.59,,12.2,-1.06
1967-12-01,0.4,-3.9,,2.17,0.54
1968-01-01,-1.59,5.41,,0.0,1.07
1968-02-01,9.92,0.43,,-12.77,1.06
1968-03-01,-9.76,4.68,,17.07,0.52
1968-04-01,2.24,-0.41,,2.08,3.12
1968-05-01,-11.98,3.27,,12.24,0.51
1968-06-01,0.0,0.4,,0.0,1.01
1968-07-01,11.79,-3.15,,-7.27,1.0
1968-08-01,2.84,1.63,,-1.96,1.48
1968-09-01,-1.18,0.0,,2.0,0.97
1968-10-01,0.2,2.4,,1.96,1.44
1968-11-01,-6.57,-3.91,,7.69,1.42
