date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
1959-02-01,0.1,0.08
1959-03-01,0.07,0.12
1959-04-01,0.2,0.25
1959-05-01,0.05,0.12
1959-06-01,0.29,0.3
1959-07-01,0.21,0.24
1959-08-01,0.14,0.16
1959-09-01,0.26,0.26
1959-10-01,0.24,0.17
1959-11-01,0.06,0.18
1959-12-01,0.12,0.15
1960-01-01,-0.06,0.03
1960-02-01,0.1,0.19
1960-03-01,0.06,0.01
1960-04-01,0.36,0.18
1960-05-01,0.1,0.16
1960-06-01,0.05,0.06
1960-07-01,0.18,0.18
1960-08-01,0.17,0.14
1960-09-01,0.06,0.08
1960-10-01,0.12,0.06
1960-11-01,0.34,0.27
1960-12-01,0.02,-0.03
1961-01-01,0.02,0.02
1961-02-01,0.09,0.1
1961-03-01,-0.06,0.03
1961-04-01,-0.06,0.14
1961-05-01,0.06,0.13
1961-06-01,0.04,0.15
1961-07-01,0.22,0.16
1961-08-01,0.08,0.11
1961-09-01,0.11,0.2
1961-10-01,-0.01,0.03
1961-11-01,0.01,0.02
1961-12-01,0.03,0.09
1962-01-01,0.19,0.12
1962-02-01,0.27,0.17
1962-03-01,0.13,0.23
1962-04-01,0.11,0.02
1962-05-01,0.06,0.14
1962-06-01,0.06,0.18
1962-07-01,-0.06,0.09
1962-08-01,0.14,0.01
1962-09-01,0.49,0.2
1962-10-01,-0.1,-0.01
1962-11-01,0.07,0.07
1962-12-01,-0.04,0.03
1963-01-01,0.24,0.19
1963-02-01,0.11,0.12
1963-03-01,-0.08,0.06
1963-04-01,-0.01,0.12
1963-05-01,0.16,0.18
1963-06-01,0.22,0.17
1963-07-01,0.2,0.09
1963-08-01,0.14,0.09
1963-09-01,-0.02,0.18
1963-10-01,0.19,0.22
1963-11-01,0.14,0.09
1963-12-01,0.15,0.14
1964-01-01,0.21,0.14
1964-02-01,0.14,0.19
1964-03-01,0.06,0.1
1964-04-01,0.07,0.09
1964-05-01,0.01,0.08
1964-06-01,0.14,0.07
1964-07-01,0.13,0.1
1964-08-01,0.07,0.13
1964-09-01,0.15,0.04
1964-10-01,0.06,0.04
1964-11-01,0.14,0.14
1964-12-01,0.15,0.14
1965-01-01,0.11,0.14
1965-02-01,0.04,0.12
1965-03-01,0.13,0.06
1965-04-01,0.16,0.12
1965-05-01,0.22,0.18
1965-06-01,0.29,-0.02
1965-07-01,0.07,0.1
1965-08-01,0.02,0.19
1965-09-01,0.05,0.12
1965-10-01,0.03,-0.04
1965-11-01,0.17,0.19
1965-12-01,0.36,0.3
1966-01-01,0.12,0.03
1966-02-01,0.41,0.24
1966-03-01,0.24,0.13
1966-04-01,0.34,0.36
1966-05-01,0.12,0.27
1966-06-01,0.25,0.32
1966-07-01,0.19,0.29
1966-08-01,0.38,0.18
1966-09-01,0.32,0.31
1966-10-01,0.26,0.33
1966-11-01,0.15,0.25
1966-12-01,0.21,0.31
1967-01-01,0.01,0.09
1967-02-01,0.12,0.18
1967-03-01,0.05,0.15
1967-04-01,0.17,0.28
1967-05-01,0.19,0.22
1967-06-01,0.32,0.25
1967-07-01,0.34,0.34
1967-08-01,0.31,0.31
1967-09-01,0.3,0.36
1967-10-01,0.28,0.37
1967-11-01,0.33,0.32
1967-12-01,0.16,0.25
1968-01-01,0.46,0.44
1968-02-01,0.41,0.43
1968-03-01,0.33,0.4
1968-04-01,0.31,0.37
1968-05-01,0.37,0.38
1968-06-01,0.32,0.39
1968-07-01,0.31,0.33
1968-08-01,0.41,0.39
1968-09-01,0.35,0.4
1968-10-01,0.44,0.41
1968-11-01,0.34,0.38
1968-12-01,0.21,0.3
1969-01-01,0.39,0.38
1969-02-01,0.25,0.34
1969-03-01,0.47,0.47
1969-04-01,0.44,0.38
1969-05-01,0.4,0.4
1969-06-01,0.48,0.34
1969-07-01,0.44,0.47
1969-08-01,0.27,0.28
1969-09-01,0.42,0.4
1969-10-01,0.34,0.43
1969-11-01,0.43,0.38
1969-12-01,0.46,0.37
1970-01-01,0.36,0.33
1970-02-01,0.4,0.38
1970-03-01,0.25,0.37
1970-04-01,0.51,0.4
1970-05-01,0.32,0.35
1970-06-01,0.26,0.36
1970-07-01,0.37,0.38
1970-08-01,0.26,0.35
1970-09-01,0.45,0.42
1970-10-01,0.5,0.49
1970-11-01,0.39,0.51
1970-12-01,0.44,0.5
1971-01-01,0.21,0.4
1971-02-01,0.29,0.38
1971-03-01,0.33,0.32
1971-04-01,0.39,0.37
1971-05-01,0.42,0.44
1971-06-01,0.44,0.4
1971-07-01,0.3,0.38
1971-08-01,0.29,0.14
1971-09-01,0.15,0.17
1971-10-01,0.15,0.16
1971-11-01,0.21,0.23
1971-12-01,0.39,0.31
1972-01-01,0.41,0.43
1972-02-01,0.39,0.27
1972-03-01,0.14,0.2
1972-04-01,0.15,0.23
1972-05-01,0.22,0.23
1972-06-01,0.15,0.2
1972-07-01,0.36,0.28
1972-08-01,0.29,0.21
1972-09-01,0.45,0.33
1972-10-01,0.11,0.06
1972-11-01,0.3,0.26
1972-12-01,0.32,0.3
1973-01-01,0.3,0.06
1973-02-01,0.53,0.32
1973-03-01,0.71,0.4
1973-04-01,0.74,0.58
1973-05-01,0.49,0.39
1973-06-01,0.57,0.43
1973-07-01,0.36,0.43
1973-08-01,1.15,0.46
1973-09-01,0.4,0.51
1973-10-01,0.57,0.39
1973-11-01,0.82,0.48
1973-12-01,0.82,0.55
1974-01-01,0.96,0.49
1974-02-01,1.16,0.64
1974-03-01,1.16,0.78
1974-04-01,0.71,0.75
1974-05-01,0.99,0.96
1974-06-01,0.85,1.03
1974-07-01,0.74,0.89
1974-08-01,1.05,0.96
1974-09-01,1.04,0.9
1974-10-01,0.72,0.78
1974-11-01,0.75,0.73
1974-12-01,0.79,0.71
1975-01-01,0.62,0.58
1975-02-01,0.54,0.71
1975-03-01,0.34,0.52
1975-04-01,0.34,0.49
1975-05-01,0.4,0.43
1975-06-01,0.63,0.49
1975-07-01,0.86,0.62
1975-08-01,0.43,0.34
1975-09-01,0.5,0.54
1975-10-01,0.58,0.5
1975-11-01,0.64,0.66
1975-12-01,0.55,0.61
1976-01-01,0.38,0.51
1976-02-01,0.13,0.4
1976-03-01,0.15,0.33
1976-04-01,0.23,0.39
1976-05-01,0.48,0.47
1976-06-01,0.44,0.41
1976-07-01,0.51,0.55
1976-08-01,0.55,0.58
1976-09-01,0.56,0.58
1976-10-01,0.52,0.49
1976-11-01,0.45,0.45
1976-12-01,0.56,0.54
