date,PPI Final Demand (Headline) Period Chg,PPI Final Demand Less Food & Energy (Core) Period Chg,"PPI Final Demand Less Food, Energy & Trade Services Period Chg",PPI Final Demand Goods Period Chg,PPI Final Demand Services Period Chg,PPI Final Demand Finished Consumer Foods Period Chg,PPI Final Demand Finished Consumer Energy Goods Period Chg,PPI Processed Goods for Intermediate Demand Period Chg,PPI Unprocessed Goods for Intermediate Demand Period Chg,PPI Final Demand - Finished Goods Period Chg,PPI Final Demand - Less Food & Energy Period Chg
1947-05-01,,,,,,-1.59,,-0.43,-0.98,0.38,
1947-06-01,,,,,,0.32,,0.87,0.66,0.38,
1947-07-01,,,,,,-0.32,,0.0,1.31,0.0,
1947-08-01,,,,,,1.29,,0.43,1.94,0.38,
1947-09-01,,,,,,2.87,,1.72,2.53,1.52,
1947-10-01,,,,,,1.55,,1.27,4.01,0.37,
1947-11-01,,,,,,1.52,,1.25,0.59,1.12,
1947-12-01,,,,,,3.3,,0.82,4.13,2.21,
1948-01-01,,,,,,3.2,,2.04,2.55,1.44,
1948-02-01,,,,,,-1.97,,-1.2,-4.97,-0.71,
1948-03-01,,,,,,-0.29,,0.4,-2.62,0.36,
1948-04-01,,,,,,1.44,,1.21,2.09,0.36,
1948-05-01,,,,,,0.28,,0.0,3.22,1.07,
1948-06-01,,,,,,0.57,,1.2,2.55,0.7,
1948-07-01,,,,,,0.0,,0.0,-0.28,0.7,
1948-08-01,,,,,,0.0,,0.39,-1.66,0.35,
1948-09-01,,,,,,-1.41,,0.0,-1.69,-0.35,
1948-10-01,,,,,,-1.71,,0.0,-3.15,-0.35,
1948-11-01,,,,,,-1.16,,-0.39,-0.89,-0.7,
1948-12-01,,,,,,-1.18,,-0.79,-1.49,0.0,
1949-01-01,,,,,,-0.89,,0.0,-3.03,-0.7,
1949-02-01,,,,,,-2.4,,-1.59,-3.44,-1.06,
1949-03-01,,,,,,0.31,,-0.4,-0.32,0.0,
1949-04-01,,,,,,-0.31,,-0.81,-1.95,-0.36,
1949-05-01,,,,,,-0.31,,-0.82,-0.33,-0.36,
1949-06-01,,,,,,0.0,,-0.82,-1.33,-0.36,
1949-07-01,,,,,,-1.54,,0.0,-1.68,-0.72,
1949-08-01,,,,,,-0.31,,-0.83,0.0,-0.36,
1949-09-01,,,,,,-0.31,,0.0,1.03,0.0,
1949-10-01,,,,,,-1.26,,-0.42,0.0,-0.36,
1949-11-01,,,,,,0.32,,-0.42,0.34,-0.37,
1949-12-01,,,,,,-0.96,,0.42,0.0,0.0,
1950-01-01,,,,,,-0.32,,0.0,0.0,0.0,
1950-02-01,,,,,,1.29,,0.42,3.04,0.0,
1950-03-01,,,,,,0.32,,0.84,-0.66,0.37,
1950-04-01,,,,,,-0.63,,0.41,0.66,0.0,
1950-05-01,,,,,,0.96,,1.65,3.61,0.73,
1950-06-01,,,,,,0.95,,0.41,1.58,0.36,
1950-07-01,,,,,,3.76,,2.43,3.74,1.45,
1950-08-01,,,,,,2.11,,1.19,2.1,2.14,
1950-09-01,,,,,,0.59,,2.34,1.47,1.05,
1950-10-01,,,,,,-1.47,,1.91,0.0,0.35,
1950-11-01,,,,,,1.49,,0.75,2.61,1.38,
1950-12-01,,,,,,3.82,,3.35,3.67,2.04,
1951-01-01,,,,,,1.98,,2.52,4.09,1.67,
1951-02-01,,,,,,3.33,,0.7,3.66,0.98,
1951-03-01,,,,,,-1.08,,0.35,-1.26,0.32,
1951-04-01,,,,,,0.27,,0.0,0.0,0.0,
1951-05-01,,,,,,0.27,,0.0,-1.79,0.65,
1951-06-01,,,,,,-0.27,,-0.35,-0.78,-0.32,
1951-07-01,,,,,,-2.71,,-1.05,-3.41,-0.65,
1951-08-01,,,,,,0.84,,-1.41,-1.63,-0.32,
1951-09-01,,,,,,0.28,,0.0,-0.83,-0.33,
1951-10-01,,,,,,1.65,,-0.36,2.23,0.65,
1951-11-01,,,,,,0.54,,0.0,-0.82,0.32,
1951-12-01,,,,,,0.54,,-0.36,0.55,0.0,
1952-01-01,,,,,,-0.8,,0.0,-2.19,-0.32,
1952-02-01,,,,,,-0.81,,-0.36,-0.84,-0.32,
1952-03-01,,,,,,0.0,,-0.36,-1.41,0.65,
1952-04-01,,,,,,-0.54,,-0.36,-0.29,-0.65,
1952-05-01,,,,,,-0.55,,0.0,-0.29,0.0,
1952-06-01,,,,,,0.0,,0.36,-0.57,0.0,
1952-07-01,,,,,,1.1,,-0.36,0.0,0.33,
1952-08-01,,,,,,0.0,,0.36,0.29,-0.32,
1952-09-01,,,,,,-0.82,,0.0,-2.59,-0.33,
1952-10-01,,,,,,-0.55,,-0.36,0.0,-0.33,
1952-11-01,,,,,,-0.83,,-0.36,-0.3,-0.33,
1952-12-01,,,,,,-2.23,,-0.36,-2.37,-0.66,
1953-01-01,,,,,,0.28,,0.37,-1.22,0.33,
