date,Output Per Hour - Nonfarm Business Period Chg,Unit Labor Costs - Nonfarm Business Period Chg
1947-04-01,2.27,
1947-07-01,-3.06,-224.47
1947-10-01,4.21,-252.99
1948-01-01,0.45,-89.94
1948-04-01,-0.26,-161.11
1948-07-01,0.11,-136.36
1948-10-01,0.44,350.0
1949-01-01,1.02,127.78
1949-04-01,1.03,2.44
1949-07-01,2.39,135.71
1949-10-01,-0.54,-121.21
1950-01-01,3.43,-785.71
1950-04-01,1.23,-65.28
1950-07-01,2.17,80.0
1950-10-01,0.18,-92.22
1951-01-01,0.11,-42.86
1951-04-01,-0.31,-400.0
1951-07-01,2.22,-866.67
1951-10-01,0.3,-86.96
1952-01-01,0.51,75.0
1952-04-01,-0.2,-138.1
1952-07-01,-0.49,137.5
1952-10-01,2.12,-557.89
1953-01-01,0.87,-59.77
1953-04-01,0.24,-74.29
1953-07-01,0.42,88.89
1953-10-01,-0.35,-182.35
1954-01-01,0.21,-157.14
1954-04-01,0.7,250.0
1954-07-01,1.8,164.29
1954-10-01,1.13,-37.84
1955-01-01,1.97,76.09
1955-04-01,0.34,-82.72
1955-07-01,0.36,7.14
1955-10-01,-0.36,-193.33
1956-01-01,-1.21,235.71
1956-04-01,0.49,-142.55
1956-07-01,-0.01,-105.0
1956-10-01,1.07,-4500.0
1957-01-01,1.14,6.82
1957-04-01,-0.39,-134.04
1957-07-01,1.4,-456.25
1957-10-01,0.33,-77.19
1958-01-01,-1.37,-515.38
1958-04-01,1.91,-246.3
1958-07-01,1.88,-2.53
1958-10-01,1.71,-9.09
1959-01-01,0.12,-92.86
1959-04-01,0.97,680.0
1959-07-01,0.14,-84.62
1959-10-01,-0.33,-316.67
1960-01-01,2.33,-846.15
1960-04-01,-1.56,-162.89
1960-07-01,0.6,-139.34
1960-10-01,-1.32,-316.67
1961-01-01,1.29,-201.92
1961-04-01,2.63,105.66
1961-07-01,1.7,-35.78
1961-10-01,0.86,-50.0
1962-01-01,1.63,91.43
1962-04-01,-0.4,-123.88
1962-07-01,1.66,-525.0
1962-10-01,0.73,-55.88
1963-01-01,0.3,-60.0
1963-04-01,0.76,158.33
1963-07-01,2.45,229.03
1963-10-01,-0.07,-102.94
1964-01-01,0.63,-933.33
1964-04-01,0.55,-12.0
1964-07-01,1.03,90.91
1964-10-01,-0.97,-190.48
1965-01-01,1.43,-255.26
1965-04-01,0.46,-67.8
1965-07-01,2.03,342.11
1965-10-01,1.73,-15.48
1966-01-01,1.36,-21.13
1966-04-01,-0.69,-148.21
1966-07-01,0.33,-148.15
1966-10-01,0.62,92.31
1967-01-01,0.79,28.0
1967-04-01,0.37,-53.12
1967-07-01,0.51,40.0
1967-10-01,0.29,-42.86
1968-01-01,2.23,666.67
1968-04-01,0.94,-58.7
1968-07-01,0.04,-94.74
1968-10-01,-0.24,-600.0
1969-01-01,0.8,-420.0
1969-04-01,-0.82,-200.0
1969-07-01,0.1,-112.5
1969-10-01,-0.5,-600.0
1970-01-01,0.31,-160.0
1970-04-01,1.46,400.0
1970-07-01,1.57,6.67
1970-10-01,-0.92,-156.25
1971-01-01,2.96,-444.44
1971-04-01,0.28,-91.13
1971-07-01,0.95,245.45
1971-10-01,-0.87,-189.47
1972-01-01,1.56,-288.24
1972-04-01,1.97,26.56
1972-07-01,0.57,-71.6
1972-10-01,0.84,47.83
1973-01-01,2.26,176.47
1973-04-01,0.04,-98.94
1973-07-01,-0.94,-3800.0
1973-10-01,-0.62,-32.43
1974-01-01,-0.24,-60.0
1974-04-01,-0.3,20.0
1974-07-01,-1.03,233.33
1974-10-01,0.89,-190.0
1975-01-01,0.74,-16.67
1975-04-01,1.59,116.67
1975-07-01,1.22,-23.08
1975-10-01,0.11,-92.0
1976-01-01,1.48,1425.0
1976-04-01,0.92,-39.34
1976-07-01,0.24,-75.68
1976-10-01,0.29,33.33
1977-01-01,0.65,116.67
1977-04-01,0.41,-38.46
1977-07-01,1.05,168.75
1977-10-01,-1.27,-216.28
1978-01-01,0.06,-104.0
1978-04-01,1.99,4000.0
1978-07-01,0.06,-97.56
1978-10-01,0.66,1250.0
1979-01-01,-0.91,-233.33
1979-04-01,-0.19,-80.56
1979-07-01,-0.12,-28.57
1979-10-01,-0.12,-0.0
1980-01-01,0.47,-480.0
1980-04-01,-1.04,-315.79
1980-07-01,0.39,-139.02
1980-10-01,1.02,156.25
1981-01-01,1.54,53.66
1981-04-01,-1.29,-180.95
1981-07-01,0.94,-174.51
1981-10-01,-1.06,-210.53
1982-01-01,-0.5,-52.38
1982-04-01,0.03,-105.0
1982-07-01,0.2,700.0
1982-10-01,0.88,350.0
1983-01-01,1.36,55.56
1983-04-01,2.19,60.71
1983-07-01,0.24,-88.89
1983-10-01,0.58,130.0
1984-01-01,0.48,-17.39
1984-04-01,0.56,15.79
1984-07-01,0.42,-22.73
1984-10-01,0.11,-76.47
1985-01-01,0.32,225.0
1985-04-01,0.31,0.0
1985-07-01,1.27,300.0
1985-10-01,0.4,-69.23
1986-01-01,1.18,200.0
1986-04-01,0.78,-33.33
1986-07-01,0.43,-46.88
1986-10-01,-0.22,-152.94
1987-01-01,-0.47,111.11
1987-04-01,0.67,-242.11
1987-07-01,0.02,-96.3
1987-10-01,1.0,4000.0
1988-01-01,0.38,-63.41
1988-04-01,0.27,-26.67
1988-07-01,0.21,-27.27
1988-10-01,0.11,-50.0
1989-01-01,0.17,75.0
1989-04-01,0.29,71.43
1989-07-01,0.47,58.33
1989-10-01,0.01,-100.0
1990-01-01,0.93,
1990-04-01,0.69,-26.32
1990-07-01,0.33,-53.57
1990-10-01,-1.04,-415.38
1991-01-01,0.31,-129.27
1991-04-01,1.63,458.33
1991-07-01,0.86,-47.76
1991-10-01,0.48,-45.71
1992-01-01,1.98,326.32
1992-04-01,0.83,-58.02
1992-07-01,0.91,8.82
1992-10-01,0.58,-37.84
1993-01-01,-0.85,-247.83
1993-04-01,-0.59,-32.35
1993-07-01,0.45,-178.26
1993-10-01,0.38,-16.67
1994-01-01,0.28,-26.67
1994-04-01,0.09,-63.64
1994-07-01,-0.57,-650.0
1994-10-01,1.06,-295.45
1995-01-01,0.07,-93.02
1995-04-01,0.47,533.33
1995-07-01,-0.01,-100.0
1995-10-01,0.55,
1996-01-01,0.62,13.64
1996-04-01,0.97,56.0
1996-07-01,0.37,-61.54
1996-10-01,0.1,-73.33
1997-01-01,-0.22,-325.0
1997-04-01,1.48,-766.67
1997-07-01,0.8,-45.0
1997-10-01,0.49,-39.39
1998-01-01,0.93,90.0
1998-04-01,0.5,-47.37
1998-07-01,1.35,175.0
1998-10-01,0.77,-43.64
1999-01-01,1.39,83.87
1999-04-01,0.37,-73.68
1999-07-01,0.91,146.67
1999-10-01,1.49,64.86
2000-01-01,-0.41,-126.23
2000-04-01,2.01,-618.75
2000-07-01,-0.1,-104.82
2000-10-01,1.06,-1175.0
2001-01-01,-0.56,-151.16
2001-04-01,1.72,-422.73
2001-07-01,0.56,-67.61
2001-10-01,1.27,126.09
2002-01-01,2.1,65.38
2002-04-01,0.16,-93.02
2002-07-01,0.77,416.67
2002-10-01,-0.13,-116.13
2003-01-01,0.98,-900.0
2003-04-01,1.32,35.0
2003-07-01,2.2,68.52
2003-10-01,0.95,-57.14
2004-01-01,-0.3,-130.77
2004-04-01,1.04,-450.0
2004-07-01,0.46,-54.76
2004-10-01,0.45,-5.26
2005-01-01,1.07,138.89
2005-04-01,-0.09,-109.3
2005-07-01,0.68,-800.0
2005-10-01,0.01,-100.0
2006-01-01,0.69,
2006-04-01,-0.11,-114.29
2006-07-01,-0.19,100.0
2006-10-01,0.65,-425.0
2007-01-01,0.36,-46.15
2007-04-01,0.3,-14.29
2007-07-01,0.88,200.0
2007-10-01,0.79,-11.11
2008-01-01,-0.66,-181.25
2008-04-01,1.17,-284.62
2008-07-01,0.25,-79.17
2008-10-01,-0.54,-310.0
2009-01-01,1.14,-319.05
2009-04-01,2.3,106.52
2009-07-01,1.59,-31.58
2009-10-01,1.36,-15.38
2010-01-01,0.11,-92.73
2010-04-01,0.33,225.0
2010-07-01,0.65,100.0
2010-10-01,0.32,-50.0
2011-01-01,-0.74,-323.08
2011-04-01,0.06,-110.34
2011-07-01,-0.18,-333.33
2011-10-01,0.48,-371.43
2012-01-01,0.5,5.26
2012-04-01,0.52,5.0
2012-07-01,-0.29,-157.14
2012-10-01,-0.38,25.0
2013-01-01,0.49,-233.33
2013-04-01,-0.25,-150.0
2013-07-01,0.71,-390.0
2013-10-01,0.96,34.48
2014-01-01,-0.83,-184.62
2014-04-01,0.65,-178.79
2014-07-01,0.86,34.62
2014-10-01,-0.34,-140.0
2015-01-01,0.58,-264.29
2015-04-01,0.49,-13.04
2015-07-01,0.28,-45.0
2015-10-01,-0.61,-318.18
2016-01-01,0.43,-170.83
2016-04-01,0.06,-82.35
2016-07-01,0.34,366.67
2016-10-01,0.68,92.86
2017-01-01,0.16,-74.07
2017-04-01,0.05,-71.43
2017-07-01,0.81,1550.0
2017-10-01,0.74,-9.09
2018-01-01,0.32,-56.67
2018-04-01,0.01,-100.0
2018-07-01,0.29,
2018-10-01,-0.18,-158.33
2019-01-01,0.84,-585.71
2019-04-01,0.62,-26.47
2019-07-01,1.12,84.0
2019-10-01,0.94,-17.39
2020-01-01,-0.4,-142.11
2020-04-01,4.87,-1406.25
2020-07-01,1.57,-69.38
2020-10-01,-0.8,-150.0
2021-01-01,0.72,-190.62
2021-04-01,0.21,-72.41
2021-07-01,-0.61,-400.0
2021-10-01,0.57,-195.83
2022-01-01,-1.25,-313.04
2022-04-01,-0.74,-40.82
2022-07-01,0.05,-106.9
2022-10-01,0.56,1050.0
2023-01-01,0.21,-60.87
2023-04-01,0.99,344.44
2023-07-01,1.24,25.0
2023-10-01,0.97,-22.0
2024-01-01,0.06,-94.87
2024-04-01,0.92,1750.0
2024-07-01,0.91,0.0
2024-10-01,0.35,-62.16
2025-01-01,-0.23,-164.29
2025-04-01,1.03,-566.67
2025-07-01,1.27,23.81
2025-10-01,0.44,-65.38
