date,Pending Ratio (Realtor.com) Period Chg,Price Reduced Share (Realtor.com) Period Chg,Total Listing Count (Realtor.com) Period Chg
2016-08-01,-5.25,0.0,-1.32
2016-09-01,-4.8,0.0,-2.2
2016-10-01,-2.03,-0.01,-2.78
2016-11-01,-1.28,-0.01,-5.11
2016-12-01,-4.24,-0.03,-8.5
2017-01-01,-2.11,0.01,-6.94
2017-02-01,19.51,-0.0,3.13
2017-03-01,14.34,0.01,5.2
2017-04-01,11.03,0.01,4.9
2017-05-01,1.67,0.01,5.08
2017-06-01,-5.72,0.01,1.63
2017-07-01,-7.08,0.01,0.32
2017-08-01,-5.77,-0.0,-1.21
2017-09-01,-4.53,-0.01,-2.21
2017-10-01,-3.19,0.0,-2.1
2017-11-01,-3.48,-0.01,-5.41
2017-12-01,-3.6,-0.04,-8.86
2018-01-01,-2.99,0.01,-7.85
2018-02-01,20.47,0.0,4.01
2018-03-01,14.06,0.01,5.6
2018-04-01,11.92,0.01,6.14
2018-05-01,1.16,0.02,5.32
2018-06-01,-7.89,0.01,3.08
2018-07-01,-9.7,0.02,0.87
2018-08-01,-5.2,0.01,0.66
2018-09-01,-5.95,0.0,-0.66
2018-10-01,-6.92,0.0,-0.8
2018-11-01,-2.87,-0.03,-2.95
2018-12-01,-4.28,-0.04,-7.77
2019-01-01,-2.4,0.01,-6.79
2019-02-01,22.42,-0.0,3.72
2019-03-01,16.38,-0.01,4.76
2019-04-01,11.39,-0.01,4.76
2019-05-01,0.79,0.01,4.2
2019-06-01,-2.86,0.02,2.6
2019-07-01,-4.77,0.01,0.13
2019-08-01,-2.28,-0.0,-0.89
2019-09-01,-2.3,-0.0,-1.42
2019-10-01,-1.24,-0.0,-1.66
2019-11-01,2.74,-0.02,-4.39
2019-12-01,-3.31,-0.05,-10.64
2020-01-01,0.99,0.02,-7.58
2020-02-01,30.37,-0.01,4.81
2020-03-01,11.33,-0.01,4.43
2020-04-01,-11.63,-0.02,-3.44
2020-05-01,15.15,0.02,3.17
2020-06-01,33.34,0.0,4.23
2020-07-01,12.15,-0.0,-1.08
2020-08-01,8.41,-0.0,-2.0
2020-09-01,4.03,-0.0,-2.1
2020-10-01,4.57,-0.0,0.17
2020-11-01,1.19,-0.01,-6.31
2020-12-01,-1.98,-0.02,-11.29
2021-01-01,1.92,-0.01,-12.04
2021-02-01,30.59,-0.02,-0.47
2021-03-01,12.99,-0.0,1.46
2021-04-01,8.98,-0.0,4.07
2021-05-01,2.79,0.01,4.29
2021-06-01,-8.53,0.01,4.64
2021-07-01,-13.23,0.02,2.43
2021-08-01,-5.75,0.01,1.85
2021-09-01,-3.4,0.0,-1.22
2021-10-01,-1.21,-0.0,-2.53
2021-11-01,6.92,-0.02,-6.33
2021-12-01,1.91,-0.02,-12.39
2022-01-01,3.41,-0.01,-14.06
2022-02-01,20.32,-0.01,2.41
2022-03-01,4.17,0.0,4.62
2022-04-01,-0.78,0.01,6.78
2022-05-01,-19.95,0.03,11.61
2022-06-01,-19.07,0.05,7.15
2022-07-01,-23.32,0.04,6.8
2022-08-01,-7.65,0.0,1.71
2022-09-01,-5.22,0.01,-1.56
2022-10-01,-13.72,0.01,-2.71
2022-11-01,-10.74,-0.01,-3.94
2022-12-01,-4.2,-0.06,-10.5
2023-01-01,3.96,0.02,-8.28
2023-02-01,30.7,-0.03,3.32
2023-03-01,10.35,-0.0,1.0
2023-04-01,8.41,-0.0,3.61
2023-05-01,3.39,0.0,4.95
2023-06-01,-6.55,0.01,2.44
2023-07-01,-7.92,0.01,1.81
2023-08-01,-5.05,0.01,1.57
2023-09-01,-9.76,0.02,0.72
2023-10-01,-11.02,0.01,0.89
2023-11-01,-9.34,-0.01,-0.94
2023-12-01,-3.98,-0.05,-6.65
2024-01-01,2.95,0.02,-5.72
2024-02-01,18.95,-0.0,5.61
2024-03-01,9.69,0.0,8.12
2024-04-01,2.79,0.0,6.72
2024-05-01,-3.71,0.01,5.75
2024-06-01,-7.69,0.02,3.71
2024-07-01,-8.51,0.01,1.96
2024-08-01,-6.1,-0.0,0.1
2024-09-01,-5.63,-0.01,1.88
2024-10-01,-2.41,0.0,1.04
2024-11-01,-2.83,-0.02,-1.09
2024-12-01,-6.7,-0.04,-10.25
2025-01-01,-4.48,0.03,-6.05
2025-02-01,15.58,0.01,6.59
2025-03-01,6.34,0.01,7.31
2025-04-01,4.55,0.01,9.03
2025-05-01,-3.9,0.01,6.64
2025-06-01,-4.85,0.02,2.96
2025-07-01,-6.26,-0.0,-0.63
2025-08-01,-1.36,-0.0,-0.33
2025-09-01,-3.25,-0.0,-0.78
2025-10-01,-3.19,0.0,-0.91
2025-11-01,-0.67,-0.02,-2.7
2025-12-01,-7.9,-0.05,-10.91
2026-01-01,-3.0,0.01,-7.19
2026-02-01,22.19,0.01,5.78
2026-03-01,7.17,0.01,7.65
2026-04-01,3.95,0.0,5.26
