date,Active Listing Count (Realtor.com) Period Chg,New Listing Count (Realtor.com) Period Chg,Pending Listing Count (Realtor.com) Period Chg,Price Reduced Count (Realtor.com) Period Chg,Median Listing Price (Realtor.com) Period Chg,Average Listing Price (Realtor.com) Period Chg,Median Listing Price per Sq Ft (Realtor.com) Period Chg,Median Days on Market (Realtor.com) Period Chg,Median Home Size Sq Ft (Realtor.com) Period Chg
2016-08-01,-0.2,-10.76,-5.42,-2.44,-1.44,-0.81,-0.79,4.69,-0.31
2016-09-01,-1.16,-3.78,-5.92,-0.51,-0.1,-0.01,0.0,5.97,-0.05
2016-10-01,-2.45,-8.74,-4.43,-10.02,0.0,1.0,0.79,1.41,-0.31
2016-11-01,-4.83,-8.87,-6.05,-12.71,-0.79,0.29,-0.79,2.78,-0.52
2016-12-01,-7.74,-25.26,-11.63,-29.65,-1.22,-0.08,-0.79,12.16,-0.63
2017-01-01,-6.62,37.52,-8.62,9.17,0.0,0.77,0.8,6.02,-0.32
2017-02-01,-0.26,13.06,19.23,9.5,2.2,2.63,1.59,-6.82,0.58
2017-03-01,1.88,16.3,16.46,11.65,3.54,2.36,1.56,-24.39,1.16
2017-04-01,2.19,9.07,13.47,10.51,2.1,1.74,1.54,-6.45,1.51
2017-05-01,4.62,2.04,6.38,12.62,2.77,1.19,0.76,-5.17,1.03
2017-06-01,3.07,-4.85,-2.82,8.81,0.55,-0.36,0.75,1.82,0.46
2017-07-01,2.34,-1.03,-4.89,7.47,0.0,-1.08,0.0,5.36,-0.05
2017-08-01,0.2,-6.27,-5.59,-3.64,-1.43,-1.26,-0.75,3.39,-0.4
2017-09-01,-1.26,-12.17,-5.73,-8.06,0.0,0.2,0.0,4.92,-0.41
2017-10-01,-1.63,-2.52,-4.77,-1.61,0.0,0.34,0.75,6.25,-0.46
2017-11-01,-4.6,-10.27,-7.92,-13.77,-0.2,-0.16,-0.75,4.41,-0.46
2017-12-01,-8.17,-25.03,-11.45,-31.81,-1.66,0.02,0.0,9.86,-1.24
2018-01-01,-7.43,32.5,-10.2,4.91,-0.06,0.73,0.75,6.41,-0.42
2018-02-01,0.11,13.62,20.61,7.38,2.12,2.44,1.49,-8.43,0.42
2018-03-01,2.12,15.97,16.48,12.81,3.47,2.21,2.21,-23.68,1.2
2018-04-01,3.26,9.85,15.56,14.7,3.49,1.84,2.16,-6.9,1.18
2018-05-01,4.98,4.92,6.18,15.77,1.53,0.68,1.41,-5.56,0.87
2018-06-01,5.15,-5.7,-3.12,10.59,0.15,-0.27,0.0,0.0,0.5
2018-07-01,3.73,-4.15,-6.33,9.02,-0.15,-1.31,0.0,7.84,-0.3
2018-08-01,1.88,-5.96,-3.43,0.66,-0.32,-1.86,-0.69,5.45,-0.76
2018-09-01,1.26,-5.24,-4.74,0.03,-0.34,-0.08,0.7,3.45,-0.81
2018-10-01,0.21,-6.29,-6.73,-1.32,-0.76,0.18,0.0,6.67,-0.51
2018-11-01,-2.42,-10.65,-5.23,-15.92,-0.08,0.26,0.0,3.12,-0.67
2018-12-01,-6.85,-23.18,-10.84,-30.86,-1.73,-0.56,0.0,13.64,-1.04
2019-01-01,-6.34,32.89,-8.6,7.45,-0.16,0.22,0.0,8.0,-0.52
2019-02-01,-0.72,2.73,21.55,1.12,2.26,2.75,2.08,-7.41,0.42
2019-03-01,1.2,16.57,17.78,3.21,3.32,2.5,1.36,-13.33,1.52
2019-04-01,1.9,15.57,13.52,3.84,2.99,2.28,1.34,-16.92,1.65
2019-05-01,3.84,5.81,4.65,9.97,1.59,0.82,1.32,-3.7,0.86
2019-06-01,3.29,-4.74,0.34,13.09,0.02,-0.31,-0.65,1.92,0.5
2019-07-01,1.62,-7.8,-3.22,1.82,-0.17,-0.73,0.0,7.55,-0.3
2019-08-01,-0.35,-6.57,-2.61,-3.0,-1.15,-1.02,-0.66,3.51,-0.55
2019-09-01,-0.84,-5.52,-3.14,-3.01,-1.05,-0.52,-0.66,5.08,-0.66
2019-10-01,-1.35,-5.8,-2.58,-2.16,-0.81,-0.08,0.0,3.23,-0.46
2019-11-01,-5.38,-13.54,-2.76,-18.6,-1.6,0.06,0.0,4.69,-0.82
2019-12-01,-9.57,-27.61,-12.58,-40.76,-1.67,0.04,-0.67,14.93,-1.08
2020-01-01,-7.95,42.03,-7.03,21.18,-0.22,0.27,0.0,6.49,-0.47
2020-02-01,-2.45,9.01,27.17,-1.15,2.09,3.58,1.34,-10.98,0.42
2020-03-01,0.97,15.97,12.39,3.66,4.42,1.63,2.65,-21.92,1.09
2020-04-01,0.47,-27.27,-11.21,-24.86,0.08,-2.12,0.0,5.26,-0.21
2020-05-01,-1.42,29.18,13.52,24.29,3.05,2.82,2.58,13.33,0.98
2020-06-01,-6.12,10.16,25.18,11.03,3.18,4.95,2.52,-8.82,0.72
2020-07-01,-5.59,1.92,5.89,-2.54,1.63,3.12,1.84,-14.52,-0.3
2020-08-01,-5.26,-2.37,2.7,-5.53,1.16,3.23,1.2,-3.77,-1.07
2020-09-01,-3.87,-1.91,0.01,-3.41,0.0,1.99,1.79,-1.96,-1.75
2020-10-01,-2.05,-5.81,2.42,-1.05,0.0,1.18,1.17,2.0,-1.31
2020-11-01,-6.84,-14.57,-5.73,-13.72,-2.01,-0.12,0.58,5.88,-1.59
2020-12-01,-10.46,-20.54,-12.24,-32.46,-1.68,0.36,-0.57,14.81,-1.4
2021-01-01,-13.15,17.09,-11.48,-12.72,-0.37,2.25,1.16,6.45,-1.26
2021-02-01,-12.57,4.86,14.17,-20.49,2.54,4.37,3.43,-15.15,-0.44
2021-03-01,-5.23,19.49,7.08,4.56,2.61,2.37,2.76,-19.64,0.17
2021-04-01,-1.12,8.24,7.76,1.04,4.82,2.74,3.23,-17.78,0.5
2021-05-01,2.76,3.63,5.62,14.92,1.88,0.27,2.08,-5.41,0.77
2021-06-01,10.0,7.11,0.62,29.98,0.93,-1.43,0.51,-5.71,0.22
2021-07-01,11.02,-4.62,-3.67,35.29,-0.24,-3.74,-0.51,6.06,0.0
2021-08-01,5.11,-5.22,-0.92,9.18,-1.06,-2.38,0.0,5.71,-0.33
2021-09-01,0.6,-7.35,-2.82,-0.68,0.0,-0.6,0.51,10.81,-0.44
2021-10-01,-2.14,-5.88,-3.33,-5.35,0.0,0.86,0.0,4.88,-0.39
2021-11-01,-9.45,-12.79,-3.18,-21.0,-0.23,0.62,-0.51,6.98,-0.39
2021-12-01,-13.07,-23.74,-11.41,-34.3,-1.33,0.22,-0.51,15.22,-0.67
2022-01-01,-15.35,13.18,-12.46,-22.19,0.2,3.76,1.03,11.32,-0.62
2022-02-01,-8.08,13.76,10.6,-6.9,3.95,5.66,4.06,-30.51,0.28
2022-03-01,2.17,18.1,6.42,16.05,3.89,2.16,3.9,-17.07,0.79
2022-04-01,7.33,13.91,6.5,23.02,5.02,0.8,2.82,-11.76,0.95
2022-05-01,26.18,6.19,1.01,74.56,4.28,0.39,2.74,0.0,2.21
2022-06-01,19.64,1.35,-3.17,51.65,2.64,-1.97,0.89,3.33,1.35
2022-07-01,20.57,-11.53,-7.54,31.96,-1.14,-3.43,-0.44,9.68,0.16
2022-08-01,5.08,-11.33,-2.97,-2.98,-2.55,-2.31,-1.77,20.59,-0.16
2022-09-01,0.65,-5.88,-4.6,1.56,-1.12,-1.12,-0.9,14.63,-0.21
2022-10-01,2.9,-8.53,-11.22,3.01,-0.64,0.02,-0.91,6.38,0.11
2022-11-01,-0.34,-18.12,-11.03,-13.39,-2.12,-0.47,-1.38,10.0,-0.48
