date,Pending Sales (Redfin) Period Chg,Homes Sold (Redfin) Period Chg,New Listings (Redfin) Period Chg,Active Inventory (Redfin) Period Chg,Months of Supply (Redfin) Period Chg,Median Days on Market (Redfin) Period Chg,Sale-to-List Ratio (Redfin) Period Chg,Price Drop Share (Redfin) Period Chg,Median Sale Price (Redfin) Period Chg,Off Market in Two Weeks (Redfin) Period Chg,Pending Sales SA (Redfin) Period Chg,Homes Sold SA (Redfin) Period Chg,New Listings SA (Redfin) Period Chg,Active Inventory SA (Redfin) Period Chg
2012-02-29,11.6,10.39,7.27,1.87,-7.72,-0.93,0.19,-0.01,0.15,0.03,0.45,-0.01,-3.98,-0.35
2012-03-31,23.43,29.23,20.97,2.33,-20.81,-2.8,0.39,0.0,7.13,0.02,1.57,1.51,-4.04,-0.73
2012-04-30,-0.39,2.64,-2.51,2.09,-0.53,-12.5,0.36,0.0,4.44,0.01,-3.21,0.18,-3.21,-1.17
2012-05-31,8.35,14.61,0.17,0.46,-12.35,-9.89,0.36,0.0,4.41,0.0,-0.1,-1.08,-5.34,-2.73
2012-06-30,-0.71,5.16,-5.55,-0.98,-5.84,-4.88,0.2,0.0,4.15,-0.01,1.39,-0.03,0.0,-3.2
2012-07-31,-5.72,-7.62,-6.28,-1.77,6.33,1.28,0.03,0.0,-0.93,0.0,0.55,-0.23,0.28,-2.82
2012-08-31,4.31,7.68,-0.76,-3.03,-9.95,2.53,-0.09,0.0,-0.69,0.0,2.65,0.81,0.39,-2.86
2012-09-30,-16.1,-19.19,-10.84,-1.97,21.31,2.47,-0.01,0.0,-1.62,0.0,0.08,2.13,3.16,-1.72
2012-10-31,8.12,7.89,1.74,-3.62,-10.67,1.2,-0.02,0.0,-1.21,0.0,1.65,1.02,1.75,-1.22
2012-11-30,-9.67,-5.73,-20.87,-6.06,-0.36,0.0,-0.03,-0.01,2.41,-0.02,3.83,2.57,0.36,-1.31
2012-12-31,-10.18,-1.91,-22.88,-9.11,-7.35,3.57,-0.05,0.0,1.77,-0.01,1.69,1.07,7.23,0.06
2013-01-31,2.46,-20.3,64.61,1.46,27.3,3.45,-0.09,0.01,-7.01,0.04,-1.95,2.6,2.03,0.45
2013-02-28,8.0,3.32,3.15,2.43,-0.86,-1.11,0.2,-0.01,0.98,0.04,1.75,-0.39,-0.63,0.35
2013-03-31,21.75,30.24,20.1,2.89,-21.0,-10.11,0.37,0.0,6.55,0.02,-1.68,1.82,-2.4,-0.6
2013-04-30,8.04,9.63,13.62,5.28,-3.97,-12.5,0.36,0.0,3.43,0.01,-0.95,-1.67,0.9,0.8
2013-05-31,8.01,15.9,2.17,3.76,-10.48,-10.0,0.25,0.0,4.68,-0.02,2.47,1.35,0.03,-0.12
2013-06-30,-4.65,-1.51,-7.81,1.97,3.53,-3.17,0.13,0.0,4.56,-0.02,0.38,1.86,1.72,-0.31
2013-07-31,1.56,4.06,0.08,1.07,-2.87,1.64,-0.05,0.01,0.66,-0.02,3.81,1.18,1.44,0.1
2013-08-31,-3.6,-1.75,-5.69,-0.46,1.31,1.61,-0.19,0.0,-1.5,-0.02,-1.78,-0.6,-0.31,-0.14
2013-09-30,-13.61,-16.62,-10.09,-0.4,19.45,6.35,-0.27,0.01,-3.02,-0.01,-0.56,-2.36,-0.11,0.16
2013-10-31,1.94,-0.04,-1.51,-1.74,-1.7,2.99,-0.18,0.01,-0.18,0.0,-1.24,-1.21,-0.66,0.22
2013-11-30,-13.87,-14.28,-24.91,-5.27,10.51,5.8,-0.2,-0.01,-0.84,-0.01,0.62,-2.46,0.5,0.1
2013-12-31,-7.37,6.45,-24.42,-9.44,-14.92,4.11,-0.16,0.03,1.64,-0.03,1.3,1.0,-0.47,-0.32
2014-01-31,-3.31,-25.83,54.68,1.35,36.65,10.53,-0.25,-0.03,-5.32,0.05,-6.12,-1.99,-2.84,0.03
2014-02-28,4.36,2.78,3.51,2.67,-0.1,2.38,0.15,0.0,0.41,0.04,-1.45,0.7,0.26,0.83
2014-03-31,22.37,26.16,30.52,4.6,-17.09,-9.3,0.25,0.0,3.97,0.04,-1.04,-0.33,3.64,0.94
2014-04-30,19.86,13.02,11.8,3.63,-8.3,-12.82,0.34,0.02,2.79,0.0,8.15,0.48,4.01,-0.53
2014-05-31,6.75,14.26,3.58,3.62,-9.3,-11.76,0.15,0.01,3.1,-0.01,2.51,1.97,0.23,-0.31
2014-06-30,-1.92,6.98,-5.85,4.47,-2.35,-6.67,0.09,0.0,3.44,-0.02,0.33,1.47,-0.36,2.47
2014-07-31,-10.44,-1.46,-3.8,3.73,5.27,-3.57,-0.09,0.0,-0.17,-0.01,-5.29,0.98,-1.68,2.32
2014-08-31,1.98,-3.61,-10.98,-0.83,2.88,9.26,-0.2,0.0,-0.93,-0.03,5.32,1.55,-0.51,-0.03
2014-09-30,-6.95,-8.71,-4.51,-1.0,8.44,10.17,-0.22,0.01,-2.94,0.0,1.93,-1.36,-0.24,-0.49
2014-10-31,2.06,2.29,-3.13,-3.22,-5.39,7.69,-0.16,0.01,-0.16,-0.01,1.92,2.89,-0.72,-1.8
2014-11-30,-19.11,-21.28,-28.53,-6.4,18.91,2.86,-0.06,-0.03,0.01,0.0,-1.47,-1.56,-0.32,-1.11
2014-12-31,-3.66,17.65,-17.43,-9.84,-23.36,5.56,-0.11,-0.01,0.99,-0.03,1.43,1.0,3.41,-0.83
2015-01-31,6.76,-30.39,53.1,0.74,44.72,10.53,-0.22,0.02,-4.2,0.05,3.63,-0.53,0.33,-0.49
2015-02-28,7.28,8.1,4.04,1.15,-6.43,-1.19,0.28,-0.01,0.83,0.05,-0.57,1.48,-1.6,-0.49
2015-03-31,30.82,36.65,34.07,3.6,-24.19,-10.84,0.47,0.01,5.1,0.04,2.21,2.97,5.43,0.33
2015-04-30,7.67,8.2,12.59,6.31,-1.75,-17.57,0.36,0.01,2.6,0.03,1.74,-0.13,2.55,1.17
2015-05-31,2.31,9.68,-2.03,4.58,-4.65,-11.48,0.21,0.01,3.27,0.0,-0.45,2.05,1.32,1.29
2015-06-30,1.56,16.11,-2.69,1.43,-12.64,-5.56,0.13,0.01,2.72,-0.01,-0.57,1.26,-3.34,-0.6
2015-07-31,-3.87,-1.47,-4.26,0.58,2.08,0.0,-0.09,0.01,-1.23,-0.03,4.42,2.92,-0.67,-1.39
2015-08-31,-7.1,-9.54,-10.95,-1.32,9.09,3.92,-0.17,0.0,-1.07,-0.01,-2.38,-0.19,1.07,-0.18
2015-09-30,-7.57,-6.63,-6.14,-2.01,4.94,7.55,-0.21,0.0,-2.44,-0.01,1.18,0.33,-2.31,-1.98
2015-10-31,-0.65,-5.4,-5.82,-3.67,1.83,5.26,-0.21,0.0,-0.7,-0.01,0.13,-2.53,-1.69,-2.0
2015-11-30,-16.97,-20.67,-23.74,-6.42,17.96,5.0,-0.12,-0.03,0.92,-0.01,-1.78,-8.72,1.94,-0.59
2015-12-31,-6.3,24.53,-21.3,-10.8,-28.37,4.76,0.01,-0.02,1.16,-0.04,2.57,13.25,-0.09,-1.86
2016-01-31,5.31,-30.13,45.9,-0.16,42.91,9.09,-0.21,0.02,-4.01,0.05,-0.01,3.9,0.93,-0.74
2016-02-29,17.38,6.91,17.68,2.32,-4.29,1.39,0.12,0.03,-0.42,0.07,2.16,-8.97,2.39,0.31
2016-03-31,26.99,32.69,28.38,4.4,-21.32,-12.33,0.53,-0.02,5.36,0.03,1.84,1.59,2.51,0.64
2016-04-30,4.59,8.36,2.88,4.24,-3.8,-18.75,0.32,0.0,2.36,0.02,0.91,3.98,-2.23,-0.76
2016-05-31,1.47,12.33,-2.03,2.2,-9.03,-9.62,0.22,0.01,3.22,0.0,-2.62,0.88,-1.92,-1.01
2016-06-30,1.03,11.56,-0.08,1.8,-8.74,-4.26,0.09,0.01,2.75,-0.04,3.11,0.93,-0.96,-1.51
2016-07-31,-12.3,-11.5,-10.13,0.67,13.74,0.0,-0.07,0.0,-1.03,-0.01,-4.26,-0.95,0.45,-0.72
2016-08-31,0.39,5.18,-3.22,-2.26,-7.07,6.67,-0.21,0.0,-0.51,-0.01,-1.13,-0.47,-1.07,-1.05
2016-09-30,-12.63,-10.12,-6.83,-1.23,9.89,4.17,-0.17,0.0,-1.09,-0.01,0.12,1.16,-1.23,-1.83
2016-10-31,-5.19,-8.97,-11.79,-4.55,4.86,6.0,-0.13,0.0,-0.4,0.0,-2.68,2.09,-1.04,-1.97
2016-11-30,-10.27,-5.14,-17.76,-7.56,-2.55,1.89,-0.08,0.01,1.1,-0.03,1.32,-0.43,2.77,-1.57
2016-12-31,-13.44,4.47,-25.23,-11.59,-15.37,9.26,-0.14,-0.06,-0.09,-0.03,-0.01,-0.33,-1.21,-1.69
2017-01-31,14.0,-27.29,52.4,0.11,37.68,6.78,-0.16,0.02,-3.31,0.06,1.86,4.85,2.67,0.15
2017-02-28,10.04,2.11,12.12,2.97,0.85,0.0,0.17,0.0,0.1,0.07,1.65,-6.76,2.57,0.26
2017-03-31,28.14,44.55,34.39,5.53,-26.99,-14.29,0.45,0.01,4.33,0.04,-1.36,2.81,-0.08,0.72
2017-04-30,-3.13,-3.21,-5.16,4.27,7.73,-16.67,0.37,0.0,2.31,0.02,-2.57,1.5,-0.91,-0.37
2017-05-31,10.4,21.78,10.33,3.63,-14.91,-6.67,0.21,0.01,2.28,0.0,1.4,-1.18,1.39,-0.26
2017-06-30,-3.85,9.82,-2.43,2.85,-6.35,-4.76,0.07,0.01,3.48,-0.03,-1.08,0.16,-2.22,-0.83
2017-07-31,-7.97,-14.62,-12.19,0.47,17.68,2.5,-0.08,0.0,-1.58,-0.02,1.49,0.15,-0.26,-0.77
2017-08-31,1.32,6.39,-1.22,-1.49,-7.41,4.88,-0.21,0.01,-0.58,-0.02,-0.05,-0.43,-1.34,-0.92
2017-09-30,-15.24,-14.89,-13.26,-1.46,15.78,6.98,-0.17,-0.01,-0.95,-0.03,-2.47,-1.03,-3.16,-1.47
2017-10-31,7.19,-1.61,-2.36,-4.32,-2.75,4.35,-0.13,0.0,-0.31,-0.01,5.34,1.17,3.1,-1.62
2017-11-30,-14.42,-5.94,-19.76,-8.18,-2.38,4.17,-0.09,-0.02,0.93,-0.02,0.74,2.69,1.02,-2.37
2017-12-31,-16.9,0.72,-28.65,-12.76,-13.38,8.0,-0.1,-0.03,0.19,-0.03,-2.16,0.75,0.37,-1.35
2018-01-31,16.23,-26.92,54.29,0.0,36.83,5.56,-0.17,0.03,-2.92,0.06,-1.49,-2.28,-2.37,-0.02
2018-02-28,6.07,3.22,11.74,3.86,0.63,-1.75,0.28,0.0,1.82,0.07,-0.01,-2.87,4.5,0.84
2018-03-31,32.27,37.73,28.14,4.06,-24.44,-14.29,0.39,0.01,3.11,0.04,3.18,1.98,0.14,-0.52
2018-04-30,0.67,4.45,5.72,5.7,1.19,-16.67,0.31,0.01,1.83,0.03,-1.6,1.05,0.39,0.06
2018-05-31,4.18,16.13,8.0,6.97,-7.89,-7.5,0.15,0.02,1.85,0.0,-1.58,-0.66,2.29,2.25
2018-06-30,-4.8,5.59,-6.5,4.2,-1.32,-2.7,0.02,0.01,1.98,-0.04,-1.03,-0.14,-1.59,1.07
2018-07-31,-4.27,-7.19,-8.1,1.08,8.91,2.78,-0.17,0.01,-1.7,-0.04,0.6,0.16,-1.68,-0.2
2018-08-31,-3.2,2.88,-0.83,1.01,-1.82,8.11,-0.32,0.01,-1.29,-0.03,-2.01,-2.14,0.15,1.32
2018-09-30,-15.05,-21.92,-14.19,1.05,29.43,7.5,-0.19,0.0,-1.77,-0.02,0.12,-1.13,-0.52,1.38
2018-10-31,4.6,6.65,0.51,-1.64,-7.78,9.3,-0.21,0.02,-0.41,-0.02,-1.12,-1.07,0.43,1.19
2018-11-30,-16.49,-9.07,-23.39,-5.89,3.5,6.38,-0.18,-0.03,0.61,-0.04,-0.95,0.16,-1.86,-0.28
2018-12-31,-17.53,-7.13,-31.4,-10.62,-3.76,8.0,-0.17,-0.05,-0.52,-0.03,0.19,-2.22,-1.35,0.36
2019-01-31,25.41,-24.27,67.12,1.7,34.28,12.96,-0.27,0.04,-2.29,0.05,4.0,0.08,3.39,0.75
2019-02-28,7.13,11.35,2.24,1.71,-8.66,1.64,0.28,-0.02,1.22,0.05,0.87,3.19,-2.82,-0.19
2019-03-31,26.54,31.03,30.46,4.26,-20.44,-14.52,0.34,0.01,3.12,0.06,0.92,2.08,3.71,-0.08
