date,Payrolls - New York-Newark-Jersey City (000s) Period Chg,Payrolls - Los Angeles-Long Beach-Anaheim (000s) Period Chg,Payrolls - Chicago-Naperville-Elgin (000s) Period Chg,Payrolls - Dallas-Fort Worth-Arlington (000s) Period Chg,Payrolls - Houston-Pasadena-The Woodlands (000s) Period Chg,Payrolls - Washington-Arlington-Alexandria (000s) Period Chg,Payrolls - Philadelphia-Camden-Wilmington (000s) Period Chg,Payrolls - Atlanta-Sandy Springs-Roswell (000s) Period Chg,Payrolls - Miami-Fort Lauderdale-West Palm Beach (000s) Period Chg,Payrolls - Boston-Cambridge-Newton (000s) Period Chg,Payrolls - Phoenix-Mesa-Chandler (000s) Period Chg,Payrolls - Seattle-Tacoma-Bellevue (000s) Period Chg,Payrolls - Detroit-Warren-Dearborn (000s) Period Chg,Payrolls - Minneapolis-St. Paul-Bloomington (000s) Period Chg,Payrolls - Riverside-San Bernardino-Ontario (000s) Period Chg,Payrolls - Denver-Aurora-Centennial (000s) Period Chg,Payrolls - San Diego-Chula Vista-Carlsbad (000s) Period Chg,Payrolls - Tampa-St. Petersburg-Clearwater (000s) Period Chg,Payrolls - Orlando-Kissimmee-Sanford (000s) Period Chg,Payrolls - Baltimore-Columbia-Towson (000s) Period Chg,Payrolls - Austin-Round Rock-San Marcos (000s) Period Chg,Payrolls - Charlotte-Concord-Gastonia (000s) Period Chg,Payrolls - Portland-Vancouver-Hillsboro (000s) Period Chg,Payrolls - Nashville-Davidson-Murfreesboro-Franklin (000s) Period Chg,Payrolls - Pittsburgh (000s) Period Chg,Payrolls - San Antonio-New Braunfels (000s) Period Chg,"Payrolls - Columbus, OH (000s) Period Chg",Payrolls - Las Vegas-Henderson-North Las Vegas (000s) Period Chg,Payrolls - Cincinnati (000s) Period Chg,Payrolls - Indianapolis-Carmel-Greenwood (000s) Period Chg,Payrolls - Kansas City (000s) Period Chg,Payrolls - Sacramento-Roseville-Folsom (000s) Period Chg,Payrolls - Cleveland (000s) Period Chg,Payrolls - Salt Lake City-Murray (000s) Period Chg,Payrolls - Raleigh-Cary (000s) Period Chg,Payrolls - San Francisco-Oakland-Fremont (000s) Period Chg,Payrolls - San Jose-Sunnyvale-Santa Clara (000s) Period Chg,Payrolls - Santa Rosa-Petaluma (000s) Period Chg,Payrolls - Vallejo (000s) Period Chg,Payrolls - Napa (000s) Period Chg
1990-02-01,-0.17,0.06,0.06,0.12,0.41,-0.01,0.06,0.22,0.14,-0.32,0.42,0.23,0.32,0.33,0.45,0.18,0.13,0.2,0.91,0.5,0.08,0.7,-0.21,0.07,0.34,-0.2,0.33,0.03,0.22,0.15,0.0,0.08,0.15,-0.03,0.78,-0.21,0.02,-0.22,-1.03,0.75
1990-03-01,-0.07,-0.13,0.03,0.14,0.41,0.05,0.23,0.28,0.22,-0.3,0.38,0.14,0.16,0.04,0.37,0.17,0.23,0.05,0.19,0.36,0.75,0.13,0.74,0.09,0.15,-0.06,0.23,0.8,0.2,0.22,0.05,0.32,0.09,0.38,0.03,0.02,0.06,0.15,0.0,-0.5
1990-04-01,-0.64,-0.1,-0.36,0.1,0.63,-0.29,-0.71,-0.31,-0.2,-0.27,1.0,0.45,-0.12,0.12,0.13,0.25,0.01,0.27,0.07,-0.6,0.85,-0.1,0.51,-0.38,0.01,-0.02,0.36,0.76,-0.13,-0.34,-0.58,0.4,0.21,-0.55,-0.03,0.36,0.08,0.44,0.73,2.74
1990-05-01,0.11,-0.15,-0.07,0.07,0.77,-0.04,-0.12,-0.06,0.06,-0.22,-0.05,0.36,0.1,-0.15,0.62,0.65,0.2,-0.13,0.35,-0.1,1.02,-0.07,0.39,0.0,-0.06,0.18,0.05,0.35,0.22,0.13,0.17,0.31,0.08,0.52,-0.2,0.0,0.0,0.07,0.41,1.45
1990-06-01,-0.11,-0.24,0.22,0.38,0.76,0.25,0.18,0.42,-0.08,-0.4,-0.01,0.6,0.19,0.15,0.51,0.15,-0.46,0.22,0.4,-0.04,-0.1,-0.01,0.33,-0.47,0.2,0.44,0.31,0.94,-0.08,-0.17,0.06,0.06,0.23,0.57,0.03,0.33,-0.1,0.29,0.21,0.0
1990-07-01,-0.47,-0.36,0.02,0.39,0.51,-0.22,0.0,0.29,-0.29,-0.34,-0.25,0.1,-0.04,0.16,0.15,-0.3,0.5,-0.33,0.52,-0.07,0.33,-0.53,-0.15,0.04,0.5,-0.33,0.11,0.96,0.19,0.56,0.05,0.16,-0.43,0.35,0.78,0.46,0.22,0.58,0.21,0.0
1990-08-01,-0.06,-0.43,-0.09,0.28,0.22,0.07,-0.03,0.0,0.05,-0.55,-0.16,0.71,-0.01,0.18,-0.21,0.46,0.16,0.76,-0.05,-0.01,-0.05,-0.33,1.47,0.29,-0.32,0.11,0.13,0.37,0.34,0.25,0.29,0.11,-0.12,0.46,-0.3,-0.47,0.04,0.0,-0.31,0.0
1990-09-01,-0.28,-0.41,0.13,-0.0,0.27,-0.17,-0.23,-0.08,-0.17,-0.54,0.44,-0.55,-0.16,-0.05,0.18,0.41,0.14,-0.56,-0.55,-0.42,0.0,0.22,-0.69,0.0,-0.12,0.4,0.05,-0.21,0.01,0.01,0.13,0.22,-0.02,0.22,0.0,0.37,-0.4,0.36,0.1,0.95
1990-10-01,-1.0,0.35,-0.57,-0.02,-0.19,-0.71,-0.68,-0.41,-0.05,-0.97,-0.21,-0.62,-0.39,-0.16,0.4,-0.17,0.06,-0.4,-0.4,-0.98,0.15,-0.62,-0.4,-0.32,-0.25,0.09,-0.2,0.29,-0.02,0.17,-0.06,0.46,-0.56,0.24,-0.13,0.18,0.53,0.5,-0.51,0.0
1990-11-01,-0.24,-0.49,-0.04,0.11,0.11,-0.35,-0.23,-0.11,-0.31,-0.34,0.2,0.41,-0.5,0.0,0.17,0.3,0.03,-0.37,0.16,-0.14,0.68,-0.04,-0.04,0.05,0.04,0.15,-0.07,0.34,-0.05,-0.17,0.38,-0.02,-0.28,0.03,-0.1,-0.01,-0.6,0.07,0.62,0.24
